934fa8ae4b22803ad60fa899156ae3046b37bdd2f7c33934387ed337c581e072,21a2d2128a20fc3ab59933651ad38adfefca0ef628ad8c25e9d0bde610fde36f,b5f8a91d2ff6f764f9365d93bb2f8607099b64f6c418ed68238ce267eb0a2307,0ca0388d46f3cc615ea8b54b307893b659085f8988f5988bb48ec8bef7a2082c,5c2df3e4777a95412897e2c39f8d1ff8214bafaca193854af03684a6858bc927,6fb059b22f2ae10d39afa435f4de0ece563f9ab9475522bec5fc704934629198,96d209ac6c0018d80d62116c06dab6fb2420821784b44c1abbea54f02a2ddd6c,2359db578239b69943d30c8f2a6de839c3f72d33c10d1af308dd96355ac4a4c0,163406c19426b7ea7391d32fc00494e9c823dc696e69c2ddb3ec2b66039918bb,e80dc95c787547111748768bae576d54f1df77ee6047477b9c42fb53c4a709db,4062c71ab053b0ee384ae8c4901d788452a6eeb1604f555b07981abbb18a6621,1307344feccbb5ac428b92f7c46c58483952a7ceaa5fe2714decd247d2cc240d,837cd10073cda17aef4a53c0656be565018481aad1c41e1fbbc13ec50166155c,7aabd2c30184eb6a4f7dc74dc8527b2053e0a88ae70455c7cd2b76e994d188b8,6f142bd2d9455c81e91a3ec3efd536db78aa0acc4d71cbd73881be5e2ac04b1c,06e690ac2f6cf6270638fe86510ddf27fe109455558f8fa3b3c629ca6b628af1,2ac66bc110d809ba3eaae7136769bcf451278ab6e929698ea2fad1aef6945d7a,c6d1ab7e63cab8056de39a71e1a24567670a346f52b1271008573f3853a55584,d9190f76f256453c7d40f96c3fb9135607067ad5c3046f5373dd51aa771ec147,d0bb57b5768187b37f7f80e7cdf3d2f363ea74c51483f8812ba4647f3591d7f1,2750a222657912432349715b46885dda7e8474a55e91a5d99ebd64eac6343492,5272109762076cf9753858f77004235db8dc627057c50c4e35c0e743acf1984d,2d3102d124414a6705c818804f9a9918909cbce968f87a6b776245f0ee36d04e,c43b35685ef30efc840351356b79176d740da52c9c2340d351cf6ef2f6c34eef,76c76c01b81365fe7b7df0a972b4f9e8e3f78b9c58a989ff184ffc811c977798,fc8d2bef967018358f710b8f4d589127f24fc5c5061c2b42422cef317e9db7e7,7b0085ab5964085915ef8ac90d5162bcfed7263f5b1a1cb58734f41d07dcdc7b,4a01be7aeb23d7451d3a672bab5264c130c89fab445dba1c27e80bac1cad14f2,788caffa5a3c377b926585128ab68165ea1ef8a1e552ebdf47dfe6c630df323f,2bd7ca2beb7775cb3cf40ef0ce3e76a7ff0e0b31caec05f217fbbf343f707f31,76bcb613aee6a2f6a2870f2b005384a51bfee10d6185e2d06a65000a5d07e41a,9f8c9ac4efaee6201b6601804b13fcb2ff96c114250e9ee07950d78fd14675b5,328398f334fe2095e6dfc03f232ca1f7a384c4dcb0364f7662449bbe6e19c88e,5524c391f98cba5fccebaeb297d960d05a744563aba9b59efa2e490781ec86c3
"1158","0","1038","0","1127","0","0","0","1128","0","0","0","11","0","0","1235","0","位在山上的牧場公會。活動內容講白了就是牧場，飼育著牛及馬等等的動物。同時也是獸人們度過休假的野餐地及病人的靜養之地。","0","1807","伊麗莎白牧場","1033","0","1123","0","1192","0","1254","1026","0","1033","0","0","1052"
"1144","0","1034","0","1079","1268","0","0","1146","0","0","0","12","0","0","1809","0","手邊有著龐大的資金，對各式各樣的事業進行融資及買賣的公會。懲治使用惡劣手段賺取金錢的生意人，是其背地裡的活動目的。","1267","1168","墨丘利財團","1032","0","1080","1251","1169","0","1222","1046","0","1032","0","0","1048"
"1131","0","1027","0","1090","1247","0","0","1132","0","0","0","13","1299","0","1175","1276","基於某個目的而組成，無論什麼危險的委託都會承攬下來的萬事屋公會。幾乎每個成員都擁有稱號，也傳聞是蘭德索爾最危險的公會。","1237","1133","暮光流星群","1056","0","1009","1219","1170","0","1208","1013","0","1056","0","0","1051"
"1190","0","1016","0","1101","0","0","0","1179","0","0","0","14","0","0","0","0","存在於蘭德索爾的學校之一。由公會管理協會所直營的公立教育機關。在學校裡，前來上學的學生的年齡、種族、學力都不盡相同。","0","1214","月光學院","1018","0","1100","0","1273","0","0","1083","0","1018","0","0","1050"
"1130","0","1030","0","1095","1263","0","0","1096","0","0","0","15","0","0","1178","1270","身為公會長的莫妮卡所組成的公會。總是因愚蠢的行動而招來許多危機，但成員都可憑己身之力華麗地解決。","1252","1142","純白之翼 蘭德索爾分部","1053","0","1055","1215","1176","0","1191","1045","0","1053","0","0","1008"
"1294","0","1109","0","1164","0","0","0","1293","0","0","0","16","0","0","0","0","以通過獎學金審查做為目的，而為了表現具有達成「高親和力共同體」的條件，所趁勢結成的新感覺社團風公會。","0","0","聖德蕾莎女子學院（好朋友社）","1110","0","1162","0","0","0","0","1163","0","1110","0","0","1108"
"1249","0","1066","0","1216","0","0","0","1245","0","0","0","17","0","0","0","0","為了發現並且保護稀有的種族－龍人族為目的而成立。僅管在各地都有進行著探索的蹤跡，然而私底下卻進行著幫派活動的負面傳聞不曾停歇過的一個公會。","0","1283","龍族巢穴","1067","0","1166","0","1318","0","0","1165","0","1067","0","0","1065"
"0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","","0","0","里士滿工商會","1180","0","0","0","0","0","0","0","0","1180","0","0","1280"
"0","0","1269","0","0","0","0","0","0","0","0","0","19","0","0","0","0","","0","0","憤怒‧軍團","1181","0","0","0","0","0","0","1311","0","1923","0","0","1233"
"0","0","1261","0","0","0","0","0","0","0","0","0","20","0","0","0","0","","0","0","幻變少女","1258","0","0","0","0","0","0","1316","0","1258","0","0","1260"
"0","0","1125","0","0","0","0","0","0","0","0","0","100","0","0","0","0","","0","0","new generations","1124","0","0","0","0","0","0","0","0","1124","0","0","1126"
"0","0","0","0","0","0","0","0","0","0","0","0","500","0","0","0","0","","0","0","森林守衛、牧場（伊麗莎白牧場）","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","501","0","0","0","0","","0","0","墨丘利財團、咲戀育幼院","0","0","0","0","0","0","0","0","0","0","0","0","0"
