fdb27d134a9515fb587329ad3b1ac590e9541cee9b0f432886787afc68f7ae6b,47e1a2ce811edce47fd1930f2e1ac9abe7cf4e00a5f291ffbc94eafcf3c15e16,c67bf3bfce52698475d3cf1ce935c9671f788428879a32f8b38b6a9c9aa074be,74cb8c406df8040416735e237363d23dfbb34cb0daf8d2c01952b9f051b0306f,14c2720c69ce3d0514a02038c10880107ec151cac0926ccaeae5c31ce957cba6,646f0b96b28495868a07931971b6afa571f8a08425d3283d133da72fece30fb0,6aed13d018adf340815d207534f4b9d2728e2292b3ee7eb43809b5d6664234f1,70f9c2b4ad784f4f1b87a059944a0793a69b7f8a286354b9b2cb0c8351b0d5e7,2d589cc019b4308dad49d78381bf39fbdb03f41771738e6bcaa48aa1480c52a1,4685fd1b6f4d3a1f1f4329a20f99f5ff85dff401c756c95c6e0be66f793edfd0,ebc7acaf045805b57bd1a573e7695f89a704837664639e739f0645317fec3978
"1","1010801","2","沒沒沒、沒有，我什麼都沒說喔～\n倒是這座溫泉！\n這熱度不尋常……\n裡頭肯定有危險的東西！","11","0.2","0","10","0","1010801043","1"
"","1010801","0","","91","","","","","1010801044",""
"","1010801","2","dsb_idle_surprise1_normal","3","","0.5","1","","1010801045",""
"","1010801","1","dsb_talk_bitter","3","","0.5","1","","1010801046",""
"0","1010801","vo_dsb_1010801","vo_dsb_1006","21","","","0","","1010801047",""
"1","1010801","1","說得真難聽～\n裡面沒有危險的東西哦～\n……應該說這東西\n祈梨也很熟呀。","11","0.2","0","10","0","1010801048","1"
"","1010801","0","","91","","","","","1010801049",""
"","1010801","1","dsb_idle_normal","3","","0.5","1","","1010801050",""
"","1010801","2","dsb_sniff","3","","0.5","1","","1010801051",""
"0","1010801","vo_dsb_1010801","vo_dsb_1007","21","","","0","","1010801052",""
"1","1010801","2","這麼說來……嗅嗅。\n我好像在哪裡聞過\n這泉水的味道。","11","0.2","0","10","0","1010801053","1"
"","1010801","0","","91","","","","","1010801054",""
"","1010801","2","dsb_idle_normal","3","","0.5","1","","1010801055",""
"","1010801","1","dsb_talk_joy3","3","","0.5","1","","1010801056",""
"0","1010801","vo_dsb_1010801","vo_dsb_1008","21","","","0","","1010801057",""
"1","1010801","1","對吧～？\n正確答案是……\n吃了會噴火的樹果，\n我向似龍生物拿來的～☆","11","0.2","0","10","0","1010801058","1"
"","1010801","0","","91","","","","","1010801059",""
"","1010801","1","dsb_idle_normal","3","","0.5","1","","1010801060",""
"dsb_talk_guts2_loop","1010801","2","dsb_talk_guts2","3","","0.5","0","0.5","1010801061","1"
"0","1010801","vo_dsb_1010801","vo_dsb_1009","21","","","0","","1010801062",""
"1","1010801","2","喔喔！？\n是那個火焰果實啊！\n那水這麼熱也說得通了！\n那傢伙還好嗎？","11","0.2","0","10","0","1010801063","1"
"","1010801","0","","91","","","","","1010801064",""
"","1010801","2","dsb_idle_guts2","3","","0.5","1","","1010801065",""
"","1010801","1","dsb_talk_normal","3","","0.5","1","","1010801066",""
"0","1010801","vo_dsb_1010801","vo_dsb_1010","21","","","0","","1010801067",""
"1","1010801","1","嗯☆\n牠好像還記得我呢？\n馬上就把果實分給我了～♪\n心甘情願～地喔？","11","0.2","0","10","0","1010801068","1"
"","1010801","0","","91","","","","","1010801069",""
"","1010801","1","dsb_hot","3","","0.5","1","","1010801070",""
"0","1010801","vo_dsb_1010801","vo_dsb_1011","21","","","0","","1010801071",""
"1","1010801","1","不過……\n呼。\n是我果實加太多了嗎～？\n感覺有點發熱了～","11","0.2","0","10","0","1010801072","1"
"","1010801","0","","91","","","","","1010801073",""
"","1010801","1","dsb_hot_loop","3","","0.5","1","","1010801074",""
"","1010801","2","dsb_talk_thinking_Ex9","3","","0.3","1","","1010801075",""
"0","1010801","vo_dsb_1010801","vo_dsb_1012","21","","","0","","1010801076",""
"1","1010801","2","（這、這是……好機會！\n如果老大比我先泡到頭昏，\n到時候老大就比我還遜了！\n就等於是我贏了！The‧以下犯上！）","11","0.2","0","10","0","1010801077","1"
"","1010801","0","","91","","","","","1010801078",""
"dsb_talk_arm_crossed_Ex10_loop","1010801","2","dsb_talk_arm_crossed_Ex10","3","","0.5","0","0.5","1010801079","1"
"0","1010801","vo_dsb_1010801","vo_dsb_1013","21","","","0","","1010801080",""
"1","1010801","2","呵呵呵……\n這場比賽我贏定了──！\n啊──哈哈哈哈！","11","0.2","0","10","0","1010801081","1"
"","1010801","5.6","1","93","","","","","1010801082",""
"dsb_ahaha_loop","1010801","2","dsb_ahaha_in","3","","0.5","0","0","1010801083","1"
"","1010801","1010801081","","91","","","","","1010801084",""
"","1010801","40","1","32","","","","","1010801085",""
"","1010801","1.5","0","93","","","","","1010801086",""
"","1010801","2","dsb_inori_dizzy","3","","0","1","","1010801087",""
"","1010801","1","dsb_idle_normal","3","","0","1","","1010801088",""
"","1010801","0.5","0","93","","","","","1010801089",""
"","1010801","0","0","22","","","","","1010801090",""
"","1010801","1","0","93","","","","","1010801091",""
"dsb_talk_joy3","1010801","1","dsb_smile4","3","","0.5","0","0.2","1010801092","1"
"0","1010801","vo_dsb_1010801","vo_dsb_1014","21","","","0","","1010801093",""
"1","1010801","1","嗯──♪\n終於暖和起來了～\n祈梨，對吧？","11","0.2","0","10","0","1010801094","1"
"","1010801","0","","91","","","","","1010801095",""
"","1010801","1","dsb_idle_normal","3","","0.5","1","","1010801096",""
"0","1010801","vo_dsb_1010801","vo_dsb_1015","21","","","0","","1010801097",""
"1","1010801","2","噫……\n噫噫噫噫……\n我要變成水煮龍人族了～！","11","0.2","0","10","0","1010801098","1"
"","1010801","0","","91","","","","","1010801099",""
"","1010801","0","0","22","","","","","1010801100",""
"","1010801","se_10044200","se_10044200_get_out_water","23","","","0","","1010801101",""
"dsb_inori_stand_up_loop","1010801","2","dsb_inori_stand_up_in","3","","0.2","0","0.2","1010801102","1"
"dsb_idle_normal","1010801","1","dsb_smile2","3","","0.3","0","0.2","1010801103","1"
"","1010801","0.3","0","93","","","","","1010801104",""
"","1010801","se_adv_emote_sweat_02","se_adv_emote_sweat_02","23","","","0","","1010801105",""
"0","1010801","2","2","12","0","0","1.4","0","1010801106","0"
"0","1010801","1","10","12","0","0","1.4","0","1010801107","0"
"","1010801","2.5","0","93","","","","","1010801108",""
"-165","1010802","12","1","5","dsb_idle_normal","2","70","0","1010802001","-345"
"165","1010802","6","2","5","dsb_idle_normal","2","70","1","1010802002","-345"
"0","1010802","1","1","31","","1","0","","1010802003","1"
"0","1010802","3","3","31","","1","0","","1010802004","1"
"0","1010802","4","4","31","","1","0","","1010802005","1"
"0","1010802","16","10","31","","1","0","","1010802006","1"
"0","1010802","26","20","31","","1","0","","1010802007","1"
"-168","1010802","36","30","31","","1","155","","1010802008","1"
"-168","1010802","36","31","31","","1","-155","","1010802009","1"
"","1010802","1","170","13","","","","","1010802010",""
"","1010802","2","170","13","","","","","1010802011",""
"","1010802","0","","91","","","","","1010802012",""
"","1010802","se_10044200","se_10044200_cmn_amb","23","","","1","","1010802013",""
"","1010802","se_10044200","se_10044200_cmn_steam","23","","","0","","1010802014",""
"","1010802","6","0","93","","","","","1010802015",""
"","1010802","se_10044200","se_10044200_hotspring_06","23","","","1","","1010802016",""
"","1010802","1.5","0","93","","","","","1010802017",""
"dsb_talk_joy1","1010802","2","dsb_smile3_joy","3","","0.5","0","0.5","1010802018","1"
"0","1010802","vo_dsb_1010802","vo_dsb_2001","21","","","0","","1010802019",""
"1","1010802","2","太讚了──！浴池好寬敞～☆\n「泡溫泉感」真誇張！\n而且還能見到美里妳們，超好玩！\n好嗨喔～♪","11","0.2","0","10","0","1010802020","1"
"","1010802","0","","91","","","","","1010802021",""
"","1010802","2","dsb_idle_joy1","3","","0.5","1","","1010802022",""
"","1010802","1","dsb_talk_normal_joy","3","","0.5","1","","1010802023",""
"0","1010802","vo_dsb_1010802","vo_dsb_2002","21","","","0","","1010802024",""
"1","1010802","1","好久不見～鈴奈♪\n今天我準備的溫泉\n是鮮花的香芬浴池。\n味道很香，對皮膚也很好喔～","11","0.2","0","10","0","1010802025","1"
"","1010802","0","","91","","","","","1010802026",""
"","1010802","1","dsb_idle_normal","3","","0.5","1","","1010802027",""
"dsb_talk_surprise1_2","1010802","2","dsb_surprise2","3","","0.5","0","0.5","1010802028","1"
"0","1010802","vo_dsb_1010802","vo_dsb_2003","21","","","0","","1010802029",""
"1","1010802","2","超讚，妳真是溫泉天才！\n泡了還有助於美容，嚇死了！\n要感謝小伊緒\n告訴我這個地方♪","11","0.2","0","10","0","1010802030","1"
"","1010802","6.5","1","93","","","","","1010802031",""
"","1010802","2","dsb_talk_joy3","3","","0.5","1","","1010802032",""
"","1010802","1010802030","","91","","","","","1010802033",""
"dsb_talk_guts2_doya_loop","1010802","2","dsb_talk_guts2_doya","3","","0.3","0","0.5","1010802034","1"
"0","1010802","vo_dsb_1010802","vo_dsb_2004","21","","","0","","1010802035",""
"1","1010802","2","好──！\n那我要盡～情泡──\n讓肌膚變得很光滑──\n叫秀才大吃一驚☆","11","0.2","0","10","0","1010802036","1"
"","1010802","0","","91","","","","","1010802037",""
"","1010802","2","dsb_talk_worry_normal2","3","","0.5","1","","1010802038",""
"0","1010802","vo_dsb_1010802","vo_dsb_2005","21","","","0","","1010802039",""
"1","1010802","2","啊，對了！\n說到大吃一驚──\n讓這裡再多一些\n厲害感怎麼樣？","11","0.2","0","10","0","1010802040","1"
"","1010802","0","","91","","","","","1010802041",""
"","1010802","2","dsb_idle_normal","3","","0.5","1","","1010802042",""
"","1010802","1","dsb_talk_surprise1","3","","0.5","1","","1010802043",""
"0","1010802","vo_dsb_1010802","vo_dsb_2006","21","","","0","","1010802044",""
"1","1010802","1","厲害感？","11","0.2","0","10","0","1010802045","1"
"","1010802","0","","91","","","","","1010802046",""
"","1010802","1","dsb_idle_wish_normal","3","","0.2","1","","1010802047",""
"","1010802","2","dsb_talk_surprise1_normal2","3","","0.5","1","","1010802048",""
"0","1010802","vo_dsb_1010802","vo_dsb_2007","21","","","0","","1010802049",""
"1","1010802","2","對哇！\n要一眼就讓大家明白！\n這裡超讚！","11","0.2","0","10","0","1010802050","1"
"","1010802","0","","91","","","","","1010802051",""
"","1010802","2","dsb_talk_surprise1_talkjoy2","3","","0.5","1","","1010802052",""
"0","1010802","vo_dsb_1010802","vo_dsb_2008","21","","","0","","1010802053",""
"1","1010802","2","只要氣氛調整一下搞不好就會爆紅！\n弄成超可愛的浴池，\n就會有一大堆客人唷！","11","0.2","0","10","0","1010802054","1"
"","1010802","0","","91","","","","","1010802055",""
"","1010802","2","dsb_idle_joy1","3","","0.5","1","","1010802056",""
"","1010802","1","dsb_talk_joy3","3","","0.5","1","","1010802057",""
"0","1010802","vo_dsb_1010802","vo_dsb_2009","21","","","0","","1010802058",""
"1","1010802","1","可愛的浴池……\n真好奇～♪\n會是什麼樣的呢～？","11","0.2","0","10","0","1010802059","1"
"","1010802","0","","91","","","","","1010802060",""
"","1010802","1","dsb_idle_sad_talkjoy2","3","","0.5","1","","1010802061",""
"","1010802","2","dsb_talk_worry_normal2","3","","0.5","1","","1010802062",""
"0","1010802","vo_dsb_1010802","vo_dsb_2010","21","","","0","","1010802063",""
"1","1010802","2","我想想──\n少不了要有更多花在水上漂漂吧！\n當然要有各式各樣的！\n如果變成彩色的看起來就超有feel♪","11","0.2","0","10","0","1010802064","1"
"","1010802","0","","91","","","","","1010802065",""
"","1010802","2","dsb_idle_normal","3","","0.5","1","","1010802066",""
"","1010802","1","dsb_talk_memory","3","","0.5","1","","1010802067",""
"0","1010802","vo_dsb_1010802","vo_dsb_2011","21","","","0","","1010802068",""
"1","1010802","1","就像一片溫泉裡的花海呢～♪\n在五顏六色的花圍繞下\n泡溫泉……嗯呵呵♪\n光用想像的心情就很雀躍～","11","0.2","0","10","0","1010802069","1"
"","1010802","0","","91","","","","","1010802070",""
"","1010802","1","dsb_talk_normal","3","","0.5","1","","1010802071",""
"0","1010802","vo_dsb_1010802","vo_dsb_2012","21","","","0","","1010802072",""
"1","1010802","1","對了，既然如此……\n花香的搭配也要講究一下。\n還有花語的意思。","11","0.2","0","10","0","1010802073","1"
"","1010802","0","","91","","","","","1010802074",""
"","1010802","1","dsb_idle_normal","3","","0.5","1","","1010802075",""
"dsb_talk_surprise1","1010802","2","dsb_surprise","3","","0.5","0","0.5","1010802076","1"
"0","1010802","vo_dsb_1010802","vo_dsb_2013","21","","","0","","1010802077",""
"1","1010802","2","咦？\n花語？","11","0.2","0","10","0","1010802078","1"
"","1010802","0","","91","","","","","1010802079",""
"","1010802","2","dsb_idle_surprise1","3","","0.5","1","","1010802080",""
"","1010802","1","dsb_talk_worry_normal2","3","","0.5","1","","1010802081",""
"0","1010802","vo_dsb_1010802","vo_dsb_2014","21","","","0","","1010802082",""
"1","1010802","1","每種花都有\n它各自的含義。\n送花給別人時\n也能當作訊息傳遞給對方喔～","11","0.2","0","10","0","1010802083","1"
"","1010802","0","","91","","","","","1010802084",""
"","1010802","1","dsb_talk_wish_dere","3","","0.3","1","","1010802085",""
"0","1010802","vo_dsb_1010802","vo_dsb_2015","21","","","0","","1010802086",""
"1","1010802","1","順便一提，今天的花的意義是……\n「為了我愛的你」，\n呵呵呵，很棒吧♪","11","0.2","0","10","0","1010802087","1"
"","1010802","0","","91","","","","","1010802088",""
"","1010802","1","dsb_idle_wish_normal","3","","0.5","1","","1010802089",""
"","1010802","2","dsb_talk_anger_shy2","3","","0.5","1","","1010802090",""
"0","1010802","vo_dsb_1010802","vo_dsb_2016","21","","","0","","1010802091",""
"1","1010802","2","啊，愛……！\n等等，認真嗎……？\n這麼直接……\n好像有點…………太犯規了。","11","0.2","0","10","0","1010802092","1"
"","1010802","0","","91","","","","","1010802093",""
"","1010802","2","dsb_talk_sad2_dead","3","","0.5","1","","1010802094",""
"0","1010802","vo_dsb_1010802","vo_dsb_2017","21","","","0","","1010802095",""
"1","1010802","2","呃……\n爆紅計畫，當我沒說。\n……啊──好熱。","11","0.2","0","10","0","1010802096","1"
"","1010802","0","","91","","","","","1010802097",""
"","1010802","2","dsb_hot_dead_loop","3","","0.2","1","","1010802098",""
"dsb_talk_normal_dere2","1010802","1","dsb_smile2_dere2","3","","0.5","0","0.5","1010802099","1"
"0","1010802","vo_dsb_1010802","vo_dsb_2018","21","","","0","","1010802100",""
"1","1010802","1","嗯呵呵♪\n小心別泡過頭囉。","11","0.2","0","10","0","1010802101","1"
"","1010802","0","","91","","","","","1010802102",""
"","1010802","0.3","0","93","","","","","1010802103",""
"-165","1010803","11","1","5","dsb_idle_normal","2","70","0","1010803001","-345"
"165","1010803","2","2","5","dsb_idle_normal","2","70","1","1010803002","-345"
"0","1010803","1","1","31","","1","0","","1010803003","1"
"0","1010803","3","3","31","","1","0","","1010803004","1"
"0","1010803","4","4","31","","1","0","","1010803005","1"
"0","1010803","12","10","31","","1","0","","1010803006","1"
"0","1010803","22","20","31","","1","0","","1010803007","1"
"-168","1010803","32","30","31","","1","155","","1010803008","1"
"-168","1010803","32","31","31","","1","-155","","1010803009","1"
"","1010803","1","170","13","","","","","1010803010",""
"","1010803","2","170","13","","","","","1010803011",""
"","1010803","0","","91","","","","","1010803012",""
"","1010803","se_10044200","se_10044200_cmn_amb","23","","","1","","1010803013",""
"","1010803","se_10044200","se_10044200_cmn_steam","23","","","0","","1010803014",""
"","1010803","6.2","0","93","","","","","1010803015",""
"","1010803","se_10044200","se_10044200_hotspring_02","23","","","1","","1010803016",""
"","1010803","1.3","0","93","","","","","1010803017",""
"dsb_talk_anger_dere2","1010803","2","dsb_smile3_kyouka","3","","0.5","0","0.5","1010803018","1"
"0","1010803","vo_dsb_1010803","vo_dsb_3001","21","","","0","","1010803019",""
"1","1010803","2","哇哇……\n好厲害，水在冒泡泡……！\n好像真的在泡\n哈蜜瓜汽水……♪","11","0.2","0","10","0","1010803020","1"
"","1010803","0","","91","","","","","1010803021",""
"","1010803","2","dsb_idle_joy1_Ex2","3","","0.5","1","","1010803022",""
"","1010803","1","dsb_talk_normal_dere","3","","0.5","1","","1010803023",""
"0","1010803","vo_dsb_1010803","vo_dsb_3002","21","","","0","","1010803024",""
"1","1010803","1","呵呵呵，很棒吧？\n我想要做出小孩們會喜歡的溫泉，\n所以特地打造的。","11","0.2","0","10","0","1010803025","1"
"","1010803","0","","91","","","","","1010803026",""
"","1010803","1","dsb_idle_normal","3","","0.5","1","","1010803027",""
"","1010803","2","dsb_talk_surprise1","3","","0.5","1","","1010803028",""
"0","1010803","vo_dsb_1010803","vo_dsb_3003","21","","","0","","1010803029",""
"1","1010803","2","這樣啊……","11","0.2","0","10","0","1010803030","1"
"","1010803","0","","91","","","","","1010803031",""
"","1010803","2","dsb_idle_surprise1_look","3","","0.5","1","","1010803032",""
"0","1010803","vo_dsb_1010803","vo_dsb_3004","21","","","0","","1010803033",""
"1","1010803","2","（本來以為她是個可疑的人，\n其實人很好嗎……）","11","0.2","0","10","0","1010803034","1"
"","1010803","0","","91","","","","","1010803035",""
"","1010803","2","dsb_talk_thinking","3","","0.3","1","","1010803036",""
"0","1010803","vo_dsb_1010803","vo_dsb_3005","21","","","0","","1010803037",""
"1","1010803","2","小孩的確會很高興。\n……我、我也不禁\n重返童心了。","11","0.2","0","10","0","1010803038","1"
"","1010803","0","","91","","","","","1010803039",""
"","1010803","2","dsb_idle_arm_crossed","3","","0.5","1","","1010803040",""
"","1010803","1","dsb_talk_thinking_normal2","3","","0.5","1","","1010803041",""
"0","1010803","vo_dsb_1010803","vo_dsb_3006","21","","","0","","1010803042",""
"1","1010803","1","童心……？\n啊，原來如此。\n那就好♪","11","0.2","0","10","0","1010803043","1"
"","1010803","0","","91","","","","","1010803044",""
"","1010803","1","dsb_idle_arm_crossed","3","","0.5","1","","1010803045",""
"","1010803","2","dsb_talk_sad2_Ex5","3","","0.5","1","","1010803046",""
"","1010803","0","0","22","","","","","1010803047",""
"0.9","1010803","vo_dsb_1010803","vo_dsb_3007","21","","","0","","1010803048",""
"1","1010803","2","……有什麼奇怪的嗎？","11","0.2","0","10","0","1010803049","1"
"","1010803","0","","91","","","","","1010803050",""
"","1010803","2","dsb_idle_sad_blink","3","","0.5","1","","1010803051",""
"","1010803","1","dsb_talk_sad_dere","3","","0.5","1","","1010803052",""
"0","1010803","vo_dsb_1010803","vo_dsb_3008","21","","","0","","1010803053",""
"1","1010803","1","不，沒什麼♪","11","0.2","0","10","0","1010803054","1"
"","1010803","0","","91","","","","","1010803055",""
"","1010803","2","dsb_idle_normal","3","","0.5","1","","1010803056",""
"","1010803","1","dsb_talk_normal_joy","3","","0.5","1","","1010803057",""
"0","1010803","vo_dsb_1010803","vo_dsb_3009","21","","","0","","1010803058",""
"1","1010803","1","對了……\n要是重返童心的話，\n應該會想在大浴池裡游泳吧？\n鏡華覺得如何？","11","0.2","0","10","0","1010803059","1"
"","1010803","0","","91","","","","","1010803060",""
"","1010803","1","dsb_idle_normal","3","","0.5","1","","1010803061",""
"","1010803","2","dsb_talk_tsun_shy","3","","0.5","1","","1010803062",""
"0","1010803","vo_dsb_1010803","vo_dsb_3010","21","","","0","","1010803063",""
"1","1010803","2","游泳……！\n我才不做那種事！\n太不像話了……","11","0.2","0","10","0","1010803064","1"
"","1010803","0","","91","","","","","1010803065",""
"","1010803","2","dsb_idle_anger","3","","0.5","1","","1010803066",""
"","1010803","1","dsb_talk_normal","3","","0.5","1","","1010803067",""
"0","1010803","vo_dsb_1010803","vo_dsb_3011","21","","","0","","1010803068",""
"1","1010803","1","怎麼會不像話……\n現在只有我們兩個人呀。\n我覺得在哈蜜瓜汽水裡游泳\n一定會很好玩的……","11","0.2","0","10","0","1010803069","1"
"","1010803","0","","91","","","","","1010803070",""
"","1010803","1","dsb_idle_normal","3","","0.5","1","","1010803071",""
"","1010803","2","dsb_talk_surprise1_shy","3","","0.5","1","","1010803072",""
"0","1010803","vo_dsb_1010803","vo_dsb_3012","21","","","0","","1010803073",""
"1","1010803","2","這、這個……\n雖然感覺很好玩……\n而且我現在也稍微會游了……\n可是就禮儀來說……唔……","11","0.2","0","10","0","1010803074","1"
"","1010803","0","","91","","","","","1010803075",""
"","1010803","2","dsb_idle_surprise1_normal","3","","0.5","1","","1010803076",""
"","1010803","1","dsb_talk_thinking_joy","3","","0.5","1","","1010803077",""
"","1010803","0","0","22","","","","","1010803078",""
"0.9","1010803","vo_dsb_1010803","vo_dsb_3013","21","","","0","","1010803079",""
"1","1010803","1","……呵呵呵。\n那我來游好了～？","11","0.2","0","10","0","1010803080","1"
"","1010803","0","","91","","","","","1010803081",""
"","1010803","1","dsb_idle_joy1","3","","0.5","1","","1010803082",""
"dsb_talk_surprise1_2","1010803","2","dsb_surprise2","3","","0.5","0","0.5","1010803083","1"
"0","1010803","vo_dsb_1010803","vo_dsb_3014","21","","","0","","1010803084",""
"1","1010803","2","咦咦！？\n說這種話太狡猾了。\n那……我、我也要游！","11","0.2","0","10","0","1010803085","1"
"","1010803","3.5","1","93","","","","","1010803086",""
"","1010803","2","dsb_talk_anger_shy2","3","","0.5","1","","1010803087",""
"","1010803","1010803085","","91","","","","","1010803088",""
"","1010803","0","0","22","","","","","1010803089",""
"","1010803","2","dsb_surprise_kyouka","3","","0.2","1","","1010803090",""
"","1010803","1","dsb_surprise_mitsuki","3","","0.2","1","","1010803091",""
"","1010803","0.7","0","93","","","","","1010803092",""
"dsb_idle_normal_Ex1","1010803","2","dsb_smile2_kyouka","3","","0.3","0","0.2","1010803093","1"
"dsb_idle_normal","1010803","1","dsb_smile2_mitsuki2","3","","0.3","0","0.2","1010803094","1"
"","1010803","0.3","0","93","","","","","1010803095",""
"","1010803","se_adv_emote_common_01","se_adv_emote_common_01","23","","","0","","1010803096",""
"0","1010803","2","10","12","0","0","1.4","0","1010803097","0"
"0","1010803","1","10","12","0","0","1.4","0","1010803098","0"
"","1010803","2","0","93","","","","","1010803099",""
"-475","1010804","1","124531","1","dsb_idle_normal","2","70","0","1010804001","-219"
"0","1010804","7","2","5","dsb_idle_relax_Ex2","2","70","1","1010804002","-360"
"-345","1010804","10","99","5","dsb_empty","2","71","0","1010804003","-219"
"0","1010804","1","1","31","","1","0","","1010804004","1"
"0","1010804","3","3","31","","1","0","","1010804005","1"
"0","1010804","4","4","31","","1","0","","1010804006","1"
"0","1010804","17","10","31","","1","0","","1010804007","1"
"0","1010804","27","20","31","","1","0","","1010804008","1"
"-183","1010804","37","30","31","","1","-10","","1010804009","1"
"0","1010804","43","43","31","","1","0","","1010804010","1"
"0","1010804","44","44","31","","0","130","","1010804011","1"
"-141","1010804","45","45","31","","0","133","","1010804012","1"
"0","1010804","46","46","31","","0","130","","1010804013","1"
"-212","1010804","47","47","31","","0","142","","1010804014","1"
"-212","1010804","48","48","31","","0","142","","1010804015","1"
"","1010804","124531","170","13","","","","","1010804016",""
"","1010804","2","170","13","","","","","1010804017",""
"","1010804","0","","91","","","","","1010804018",""
"","1010804","se_10044200","se_10044200_cmn_amb","23","","","1","","1010804019",""
"","1010804","se_10044200","se_10044200_cmn_steam","23","","","0","","1010804020",""
"","1010804","6","0","93","","","","","1010804021",""
"","1010804","se_10044200","se_10044200_hotspring_07","23","","","1","","1010804022",""
"","1010804","1.5","0","93","","","","","1010804023",""
"","1010804","2","dsb_idle_relax_blink","3","","0.5","1","","1010804024",""
"0","1010804","vo_dsb_1010804","vo_dsb_4001","21","","","0","","1010804025",""
"1","1010804","2","…………","11","0.2","0","10","0","1010804026","1"
"","1010804","0","","91","","","","","1010804027",""
"","1010804","2","dsb_idle_relax_Ex2","3","","0.5","1","","1010804028",""
"2","1010804","3","130","33","","","0","","1010804029","12"
"2","1010804","4","130","33","","","0","","1010804030","12"
"2","1010804","20","130","33","","","0","","1010804031","12"
"2","1010804","30","120","33","","","-183","","1010804032","12"
