086f559b9f983b61d91858e941d6669ef8867560a2711faac19bc90b13f74262,11c641d77a26380156f2dca3c1f51530e24defd93d9375909bd88527bcbcd465,00696d1728005229d334216c1010b499ad9aa1ce709b294007d5536be458b3e1,89932396f4acf335052bf884aeeb7d14efc5b33326ada5435631931c65814bf7,fce56913601f0103dc8eb4a34b957a6c473d559965def071285830018170d18f,407e0411f0d5bbeda9f55e123786a64a759d34209e336d75b9539258b84301f5,b05c2a243689ff5628e84669b50eb9aaaa603e4a910e593265c2d4c990e5afbe,4919da1e31e65bd707812df26aae8612d1bdd3321dce9352216c34fdaf1eabe8,4b8b5d7de73a09101f2b61d6eb6e558ac561f196fe136d34281eba286ff4d43a,5f4bed486acf3f801ccb099a78de7b4b047cda6a0f07a648fd401ae0247b227e,a69cb624890e79195734d92c34c766db7b63b9be098d50d649e91c74f16223b7
"2022/01/26 16:00:00","活動特別章節","10075","2","前往劇情","5048","2022/01/31 15:59:59","1007501","0","也可以從額外劇情中\n查看特別的劇情。","閱讀完活動「Happy‧Change‧Angels」的\n終幕後，即會解放特別的章節。"
"2022/01/26 16:00:00","活動特別章節","10075","3","前往劇情","5048","2022/01/31 15:59:59","1007502","0","也可以從額外劇情中\n查看特別的劇情。","活動「Happy‧Change‧Angels」中\n拉菲寄了信給你！"
"2022/05/16 16:00:00","追加大合照","10082","5","前往活動","1004","2022/05/20 15:59:59","1008201","5082601","","已於「眾人同樂的年菜派對」\n追加大合照。"
"2022/05/18 16:00:00","活動特別章節","10083","4","前往劇情","5056","2022/05/24 15:59:59","1008301","5056601","也可以從額外劇情中\n查看特別的劇情。","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。"
"2022/07/19 16:00:00","活動特別章節","10089","3","前往劇情","5061","2022/07/28 15:59:59","1008901","5061601","可以從額外劇情中\n查看特別的劇情。","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。"
"2022/07/26 16:00:00","活動特別章節","10089","5","前往劇情","10089","2022/07/28 15:59:59","1008902","5061602","","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。"
"2022/07/28 16:00:00","活動特別章節","10089","3","前往劇情","5061","2022/07/31 15:59:59","1008903","5061601","可以從額外劇情中\n查看特別的劇情。","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。"
"2022/09/15 16:00:00","活動特別章節","10092","5","前往劇情","10092","2022/09/19 15:59:59","1009201","5092601","","活動「 Episode of Pirate　海盜島上被詛咒的遺寶」\n的活動特別章節已解放。"
"2023/01/16 16:00:00","活動特別章節","10100","5","前往劇情","10100","2023/01/20 15:59:59","1010001","5100601","","活動「真步真步的神奇旅程！　旅行的少女與\n邊境的大樹」的特別章節已解放。"
"2023/05/26 16:00:00","追加大合照","10109","5","前往活動","1004","2023/05/28 15:59:59","1010901","5082601","","已於「眾人同樂的年菜派對」\n追加大合照。"
"2023/09/25 16:00:00","活動特別章節","10119","5","前往劇情","10119","2023/09/28 15:59:59","1011901","5092601","","活動「 Episode of Pirate　海盜島上被詛咒的遺寶」\n的活動特別章節已解放。"
"2024/01/24 16:00:00","活動特別章節","10127","5","前往劇情","10127","2024/01/27 15:59:59","1012701","5100601","","活動「真步真步的神奇旅程！　旅行的少女與\n邊境的大樹」的特別章節已解放。"
"2022/05/18 16:00:00","活動特別章節","20032","4","前往劇情","5056","2022/05/24 15:59:59","2003201","5056601","也可以從額外劇情中\n查看特別的劇情。","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。"
