3bc0dc62da6995c74f990a87a04a35bdf9aa2676ea3cff965d197b9ac1574035,43cc46f5b7dd12568f82d5428ac4f381f2dcc09f60e20a9222781f8ec75fea66,465dbb8543e9d8368e9265db18baa22c66ba50dac60712593a35f4f33b6bc44f,79ca26930041f719ebec604553b2e21f20df3905e6331f233cae710a57678f19,97bec069d0ad66bd4aa634e8eb812a59546fa94e84d2cbc577814d159745a5c9,252c7952df944d225b8582633837fef774042736851fd12b1bac4da5697c0f90,7d6d39532927d5ab69c55e8e43c14f14595da5c6c9967a4a550d5e1919c930cb,20f34818019d2e1528d00db4e799459bf6c8a11988ca0ed40ce15c97db889684,3c767bee9d64855806a4e7b0a6ee6f99d0080ede267f18d0e4d4257ebee65ade,cedaf0502f088ee3b630e85dbe23ad73bc14c4a6c79f5744685328f80af503af
"1010021","0","21","1","8","可是……","0","0","0","1"
"1010022","0","22","4","0","","1","2.5","0","1"
"1010023","vo_10011600","23","2","0","","0","0","vo_10011600_0105","1"
"1010024","0","24","1","8","可是、","0","0","0","1"
"1010025","0","25","4","0","","1","1.375","0","1"
"1010026","0","26","1","8","如果、","0","0","0","1"
"1010027","0","27","4","0","","1","1.5","0","1"
"1010028","0","28","1","8","我可以在聖德蕾莎女學院好好努力。\n\n","0","0","0","1"
"1010029","0","29","4","0","","1","4.875","0","1"
"1010030","vo_10011600","30","2","0","","0","0","vo_10011600_0106","1"
"1010031","0","31","1","6","……是不是就能","0","0","0","1"
"1010032","0","32","4","0","","1","1.58333333333333","0","1"
"1010033","0","33","1","8","交到朋友呢？","0","0","0","1"
"1010034","0","34","4","0","","1","1.75","0","1"
"1020001","vo_10011600","1","2","0","","0","0","vo_10011600_0201","2"
"1020002","0","2","1","8","　一想到要用「日安」向別人打招呼，","0","0","0","2"
"1020003","0","3","4","0","","1","2.375","0","2"
"1020004","0","4","1","8","我孤單的心靈就會緊張到怦怦狂跳。\n","0","0","0","2"
"1020005","0","5","4","0","","1","4","0","2"
"1020006","vo_10011600","6","2","0","","0","0","vo_10011600_0202","2"
"1020007","0","7","1","8","不過，","0","0","0","2"
"1020008","0","8","4","0","","1","1.125","0","2"
"1020009","0","9","1","8","此時BB團團長卻突然現身！","0","0","0","2"
"1020010","0","10","4","0","","1","3.75","0","2"
"1020011","vo_10011600","11","2","0","","0","0","vo_10011600_0203","2"
"1020012","0","12","1","8","　BB團的羈絆","0","0","0","2"
"1020013","0","13","4","0","","1","1.875","0","2"
"1020014","0","14","1","8","不管走到哪裡都不會改變呢！\n","0","0","0","2"
"1020015","0","15","4","0","","1","3.75","0","2"
"1020016","vo_10011600","16","2","0","","0","0","vo_10011600_0204","2"
"1020017","0","17","1","8","然後，","0","0","0","2"
"1020018","0","18","4","0","","1","1","0","2"
"1020019","0","19","1","8","我認識了和那個人一起來到","0","0","0","2"
"1020020","0","20","4","0","","1","2","0","2"
"1020021","0","21","1","8","聖德蕾莎女學院","0","0","0","2"
"1020022","0","22","4","0","","1","1.125","0","2"
"1020023","0","23","1","8","（好朋友社）的成員們。","0","0","0","2"
"1020024","0","24","4","0","","1","3.5","0","2"
"1020025","vo_10011600","25","2","0","","0","0","vo_10011600_0205","2"
"1020026","0","26","1","8","　大家似乎都是很有個性的人，","0","0","0","2"
"1020027","0","27","4","0","","1","3","0","2"
"1020028","0","28","1","6","我很擔心自己是否能和他們融洽相處……","0","0","0","2"
"1020029","0","29","4","0","","1","2.83333333333333","0","2"
"1030001","vo_10011600","1","2","0","","0","0","vo_10011600_0301","3"
"1030002","0","2","1","8","　我搞砸了。","0","0","0","3"
"1030003","0","3","4","0","","1","3","0","3"
"1030004","vo_10011600","4","2","0","","0","0","vo_10011600_0302","3"
"1030005","0","5","1","8","　自我介紹對孤單的人來說就像眼前的巨大障礙。","0","0","0","3"
"1030006","0","6","4","0","","1","5.125","0","3"
"1030007","vo_10011600","7","2","0","","0","0","vo_10011600_0303","3"
"1030008","0","8","1","8","　我明明已經在腦海中做過很多次假想訓練，","0","0","0","3"
"1030009","0","9","4","0","","1","2.625","0","3"
"1030010","0","10","1","8","卻還是失敗了。","0","0","0","3"
"1030011","0","11","4","0","","1","2.75","0","3"
"1030012","vo_10011600","12","2","0","","0","0","vo_10011600_0304","3"
"1030013","0","13","1","8","　當所有同學盯著我看的那一瞬間，","0","0","0","3"
"1030014","0","14","4","0","","1","3.5","0","3"
"1030015","0","15","1","8","我的腦中變得一片空白，","0","0","0","3"
"1030016","0","16","4","0","","1","2","0","3"
"1030017","0","17","1","10","然後又開始脫口說出奇怪的話。\n","0","0","0","3"
"1030018","0","18","4","0","","1","4.5","0","3"
"1030019","vo_10011600","19","2","0","","0","0","vo_10011600_0305","3"
"1030020","0","20","1","8","雖然大家笑得很開心，","0","0","0","3"
"1030021","0","21","4","0","","1","3","0","3"
"1030022","0","22","1","8","不過我還是對未來感到不安……","0","0","0","3"
"1030023","0","23","4","0","","1","2.25","0","3"
"1040001","vo_10011600","1","2","0","","0","0","vo_10011600_0401","4"
"1040002","0","2","1","8","　優妮看起來","0","0","0","4"
"1040003","0","3","4","0","","1","1.75","0","4"
"1040004","0","4","1","8","是個很聰明的人。","0","0","0","4"
"1040005","0","5","4","0","","1","2.625","0","4"
"1040006","vo_10011600","6","2","0","","0","0","vo_10011600_0402","4"
"1040007","0","7","1","8","　她的用字譴詞十分艱澀，","0","0","0","4"
"1040008","0","8","4","0","","1","3.75","0","4"
"1040009","0","9","1","8","有些單字常常讓我聽不懂，","0","0","0","4"
"1040010","0","10","4","0","","1","3.125","0","4"
"1040011","0","11","1","8","以後我是不是應該隨身攜帶字典呢？\n","0","0","0","4"
"1040012","0","12","4","0","","1","4","0","4"
"1040013","vo_10011600","13","2","0","","0","0","vo_10011600_0403","4"
"1040014","0","14","1","8","　總是關在象牙之塔裡埋頭研究，","0","0","0","4"
"1040015","0","15","4","0","","1","3.75","0","4"
"1040016","0","16","1","8","平常不會從那裡踏出一步，","0","0","0","4"
"1040017","0","17","4","0","","1","3.25","0","4"
"1040018","0","18","1","8","散發出和我一樣的孤獨氣息。","0","0","0","4"
"1040019","0","19","4","0","","1","3.375","0","4"
"1040020","vo_10011600","20","2","0","","0","0","vo_10011600_0404","4"
"1040021","0","21","1","8","　「孤獨會召喚孤獨」，","0","0","0","4"
"1040022","0","22","4","0","","1","2.5","0","4"
"1040023","0","23","1","8","我","0","0","0","4"
"1040024","0","24","4","0","","1","1.125","0","4"
"1040025","0","25","1","8","不記得是誰說過這句話，","0","0","0","4"
"1040026","0","26","4","0","","1","2.75","0","4"
"1040027","0","27","1","8","但是說不定……\n","0","0","0","4"
"1040028","0","28","4","0","","1","2","0","4"
"1040029","vo_10011600","29","2","0","","0","0","vo_10011600_0405","4"
"1040030","0","30","1","8","擁有相同宿命的同伴，","0","0","0","4"
"1040031","0","31","4","0","","1","2.375","0","4"
"1040032","0","32","1","8","彼此可以成為好朋友？","0","0","0","4"
"1040033","0","33","4","0","","1","2.125","0","4"
"1050001","vo_10011600","1","2","0","","0","0","vo_10011600_0501","5"
"1050002","0","2","1","8","　克蘿依和我一樣都是","0","0","0","5"
"1050003","0","3","4","0","","1","1.875","0","5"
"1050004","0","4","1","8","精靈，","0","0","0","5"
"1050005","0","5","4","0","","1","1.5","0","5"
"1050006","0","6","1","8","可是……","0","0","0","5"
"1050007","0","7","4","0","","1","1.625","0","5"
"1050008","0","8","1","8","她給人的感覺，","0","0","0","5"
"1050009","0","9","4","0","","1","1.375","0","5"
"1050010","0","10","1","8","有點不太一樣。","0","0","0","5"
"1050011","0","11","4","0","","1","2.625","0","5"
"1050012","vo_10011600","12","2","0","","0","0","vo_10011600_0502","5"
"1050013","0","13","1","8","說不定擁有相同宿命的同伴，彼此可以成為好朋友？","0","0","0","5"
"1050014","0","14","4","0","","1","3.625","0","5"
"1050015","0","15","1","8","我曾經抱持這樣的想法，","0","0","0","5"
"1050016","0","16","4","0","","1","2.125","0","5"
"1050017","0","17","1","8","但是我根本不敢向她搭話！","0","0","0","5"
"1050018","0","18","4","0","","1","3.125","0","5"
"1050019","vo_10011600","19","2","0","","0","0","vo_10011600_0503","5"
"1050020","0","20","1","8","按照那個人的說法，","0","0","0","5"
"1050021","0","21","4","0","","1","1.65","0","5"
"1050022","0","22","1","8","她好像是個熱心助人，","0","0","0","5"
"1050023","0","23","4","0","","1","1.625","0","5"
"1050024","0","24","1","8","而且個性溫柔的好人……\n","0","0","0","5"
"1050025","0","25","4","0","","1","3.125","0","5"
"1050026","vo_10011600","26","2","0","","0","0","vo_10011600_0504","5"
"1050027","0","27","1","8","這麼說來，","0","0","0","5"
"1050028","0","28","4","0","","1","2","0","5"
"1050029","0","29","1","8","噗……","0","0","0","5"
"1050030","0","30","4","0","","1","1.5","0","5"
"1050031","0","31","1","8","那個聲音其實是歎息聲（？）、","0","0","0","5"
"1050032","0","32","4","0","","1","2.375","0","5"
"1050033","vo_10011600","33","2","0","","0","0","vo_10011600_0505","5"
"1050034","0","34","1","8","雖然說不出口……\n","0","0","0","5"
"1050035","0","35","4","0","","1","2.375","0","5"
"1050036","0","36","1","8","但是聽起來好可愛啊！","0","0","0","5"
"1050037","0","37","4","0","","1","1.375","0","5"
"1050038","0","38","1","8","我不禁在心裡這麼想。","0","0","0","5"
"1050039","0","39","4","0","","1","1","0","5"
"1060001","vo_10011600","1","2","0","","0","0","vo_10011600_0601","6"
"1060002","0","2","1","8","　琪愛兒則是個現充。","0","0","0","6"
"1060003","0","3","4","0","","1","2.375","0","6"
"1060004","0","4","1","8","這一點是毋庸置疑的。\n","0","0","0","6"
"1060005","0","5","4","0","","1","2.5","0","6"
"1060006","vo_10011600","6","2","0","","0","0","vo_10011600_0602","6"
"1060007","0","7","1","8","長得很可愛，擁有很多朋友。","0","0","0","6"
"1060008","0","8","4","0","","1","2.5","0","6"
"1060009","0","9","1","8","和我這種邊緣人完全相反。","0","0","0","6"
"1060010","0","10","4","0","","1","2.875","0","6"
"1060011","vo_10011600","11","2","0","","0","0","vo_10011600_0603","6"
"1060012","0","12","1","8","身上散發出令人難以直視的耀眼光芒。\n","0","0","0","6"
"1060013","0","13","4","0","","1","3.25","0","6"
"1060014","vo_10011600","14","2","0","","0","0","vo_10011600_0604","6"
"1060015","0","15","1","8","如果和她面對面說話，","0","0","0","6"
"1060016","0","16","4","0","","1","3.5","0","6"
"1060017","0","17","1","8","我的空虛心靈一定會裂成碎片，","0","0","0","6"
"1060018","0","18","4","0","","1","2.5","0","6"
"1060019","0","19","1","8","掉落滿地。\n","0","0","0","6"
"1060020","0","20","4","0","","1","3.875","0","6"
"1060021","vo_10011600","21","2","0","","0","0","vo_10011600_0605","6"
"1060022","0","22","1","8","「切嚕～」，","0","0","0","6"
"1060023","0","23","4","0","","1","1.75","0","6"
"1060024","0","24","1","8","那種問候語…","0","0","0","6"
"1060025","0","25","4","0","","1","1.625","0","6"
"1060026","0","26","1","8","如果要我說出來，我一定會當場昏倒，","0","0","0","6"
"1060027","0","27","4","0","","1","2.75","0","6"
"1060028","0","28","1","8","直接蒙主寵召……","0","0","0","6"
"1060029","0","29","4","0","","1","3.125","0","6"
"1070001","vo_10011600","1","2","0","","0","0","vo_10011600_0701","7"
"1070002","0","2","1","8","　今天真的是每件事情","0","0","0","7"
"1070003","0","3","4","0","","1","2.375","0","7"
"1070004","0","4","1","7","都受到優妮的照顧。\n","0","0","0","7"
"1070005","0","5","4","0","","1","3.28571428571429","0","7"
"1070006","vo_10011600","6","2","0","","0","0","vo_10011600_0702","7"
"1070007","0","7","1","8","和喜歡調侃人的克蘿依與琪愛兒完全不同，","0","0","0","7"
"1070008","0","8","4","0","","1","4.625","0","7"
"1070009","0","9","1","8","我從她身上看見了充滿知性，","0","0","0","7"
"1070010","0","10","4","0","","1","1.5","0","7"
"1070011","0","11","1","10","值得信賴的一面。","0","0","0","7"
"1070012","0","12","4","0","","1","2.4","0","7"
"1070013","vo_10011600","13","2","0","","0","0","vo_10011600_0703","7"
"1070014","0","14","1","8","俐落下達明確指示的模樣，","0","0","0","7"
"1070015","0","15","4","0","","1","2.375","0","7"
"1070016","0","16","1","8","充分展現出她身為公會長的威嚴。","0","0","0","7"
"1070017","0","17","4","0","","1","3.5","0","7"
"1070018","vo_10011600","18","2","0","","0","0","vo_10011600_0704","7"
"1070019","0","19","1","8","我相信優妮一定","0","0","0","7"
"1070020","0","20","4","0","","1","2.25","0","7"
"1070021","0","21","1","8","可以將優妮們的威名傳播到全世界。\n\n","0","0","0","7"
"1070022","0","22","4","0","","1","6.625","0","7"
"1070023","vo_10011600","23","2","0","","0","0","vo_10011600_0705","7"
"1070024","0","24","1","8","咦？","0","0","0","7"
"1070025","0","25","4","0","","1","1.125","0","7"
"1070026","0","26","1","8","　公會名是這樣嗎？","0","0","0","7"
"1070027","0","27","4","0","","1","2.75","0","7"
"1080001","vo_10011600","1","2","0","","0","0","vo_10011600_0801","8"
"1080002","0","2","1","8","　初次見面時，","0","0","0","8"
"1080003","0","3","4","0","","1","1.75","0","8"
"1080004","0","4","1","8","因為太害怕而遲遲不敢跟克蘿依說話。","0","0","0","8"
"1080005","0","5","4","0","","1","4.125","0","8"
"1080006","vo_10011600","6","2","0","","0","0","vo_10011600_0802","8"
"1080007","0","7","1","8","不過後來我漸漸明白她其實是個很溫柔的人，","0","0","0","8"
"1080008","0","8","4","0","","1","2.75","0","8"
"1080009","0","9","1","8","而且時常關心我的事情。\n","0","0","0","8"
"1080010","0","10","4","0","","1","5.875","0","8"
"1080011","vo_10011600","11","2","0","","0","0","vo_10011600_0803","8"
"1080012","0","12","1","8","托克蘿依的福，雖然只有一點點…","0","0","0","8"
"1080013","0","13","4","0","","1","3.25","0","8"
"1080014","0","14","1","8","不過\n我總算比較能融入班上。\n","0","0","0","8"
"1080015","0","15","4","0","","1","4.25","0","8"
"1080016","vo_10011600","16","2","0","","0","0","vo_10011600_0804","8"
"1080017","0","17","1","8","克蘿依似乎有很多兄弟姊妹。","0","0","0","8"
"1080018","0","18","4","0","","1","4.125","0","8"
"1080019","vo_10011600","19","2","0","","0","0","vo_10011600_0805","8"
"1080020","0","20","1","8","的確，","0","0","0","8"
"1080021","0","21","4","0","","1","1.625","0","8"
"1080022","0","22","1","8","今天的克蘿依差點讓我脫口喊她姊姊！","0","0","0","8"
"1080023","0","23","4","0","","1","4.625","0","8"
"1090001","vo_10011600","1","2","0","","0","0","vo_10011600_0901","9"
"1090002","0","2","1","8","　切嚕～","0","0","0","9"
"1090003","0","3","4","0","","1","3.875","0","9"
"1090004","vo_10011600","4","2","0","","0","0","vo_10011600_0902","9"
"1090005","0","5","1","8","如果可以學會說出這句問候語，","0","0","0","9"
"1090006","0","6","4","0","","1","2.75","0","9"
"1090007","0","7","1","8","我是不是就能像琪愛兒一樣","0","0","0","9"
"1090008","0","8","4","0","","1","2.375","0","9"
"1090009","0","9","1","8","開朗有自信，擁有許多朋友，","0","0","0","9"
"1090010","0","10","4","0","","1","2.75","0","9"
"1090011","0","11","1","8","變身為自己理想中的女性呢？\n","0","0","0","9"
"1090012","0","12","4","0","","1","4.375","0","9"
"1090013","vo_10011600","13","2","0","","0","0","vo_10011600_0903","9"
"1090014","0","14","1","8","不過","0","0","0","9"
"1090015","0","15","4","0","","1","1.25","0","9"
"1090016","0","16","1","8","這句問候語對我而言還太困難，","0","0","0","9"
"1090017","0","17","4","0","","1","2.875","0","9"
"1090018","0","18","1","8","今天暫且寫下來就好。\n","0","0","0","9"
"1090019","0","19","4","0","","1","4.125","0","9"
"1090020","vo_10011600","20","2","0","","0","0","vo_10011600_0904","9"
"1090021","0","21","1","8","切嚕～切嚕～切嚕～切嚕～切嚕～","0","0","0","9"
"1090022","0","22","4","0","","1","4.125","0","9"
"1090023","vo_10011600","23","2","0","","0","0","vo_10011600_0905","9"
"1090024","0","24","1","8","切嚕～切嚕～切嚕～切嚕～切嚕～","0","0","0","9"
"1090025","0","25","4","0","","1","4.125","0","9"
"1090026","vo_10011600","26","2","0","","0","0","vo_10011600_0906","9"
"1090027","0","27","1","8","切嚕～切嚕～切嚕～切嚕～切嚕～\n","0","0","0","9"
"1090028","0","28","4","0","","1","4.125","0","9"
"1090029","vo_10011600","29","2","0","","0","0","vo_10011600_0907","9"
"1090030","0","30","1","8","切嚕～切嚕～切嚕～","0","0","0","9"
"1090031","0","31","4","0","","1","2.875","0","9"
"1100001","vo_10011600","1","2","0","","0","0","vo_10011600_1001","10"
"1100002","0","2","1","8","　忘記了忘記了忘記了！\n","0","0","0","10"
"1100003","0","3","4","0","","1","2.75","0","10"
"1100004","0","4","1","8","特別講座到底該怎麼辦啦！","0","0","0","10"
"1100005","0","5","4","0","","1","2.25","0","10"
"1100006","vo_10011600","6","2","0","","0","0","vo_10011600_1002","10"
"1100007","0","7","1","8","從精靈之森帶來的曼德拉草逃跑了，","0","0","0","10"
"1100008","0","8","4","0","","1","3.625","0","10"
"1100009","0","9","1","8","我完全沒有任何準備！\n","0","0","0","10"
"1100010","0","10","4","0","","1","2.375","0","10"
"1100011","vo_10011600","11","2","0","","0","0","vo_10011600_1003","10"
"1100012","0","12","1","8","……精靈之森嗎","0","0","0","10"
"1100013","0","13","4","0","","1","2","0","10"
"1100014","0","14","1","8","似乎在呼喚我……","0","0","0","10"
"1100015","0","15","4","0","","1","2.25","0","10"
"1100016","vo_10011600","16","2","0","","0","0","vo_10011600_1004","10"
"1100017","0","17","1","8","不對，不行不行，","0","0","0","10"
"1100018","0","18","4","0","","1","1.875","0","10"
"1100019","0","19","1","8","我不能背叛美里老師的期待！\n","0","0","0","10"
"1100020","0","20","4","0","","1","4.125","0","10"
"1100021","vo_10011600","21","2","0","","0","0","vo_10011600_1005","10"
"1100022","0","22","1","8","但是我該如何是好？","0","0","0","10"
"1100023","0","23","4","0","","1","3.125","0","10"
"1100024","vo_10011600","24","2","0","","0","0","vo_10011600_1006","10"
"1100025","0","25","1","8","既然如此，","0","0","0","10"
"1100026","0","26","4","0","","1","1.75","0","10"
"1100027","0","27","1","8","乾脆將「如何度過孤獨人生」的要點整理出來","0","0","0","10"
"1100028","0","28","4","0","","1","3.375","0","10"
"1100029","0","29","1","8","並且對外發表吧……？","0","0","0","10"
"1100030","0","30","4","0","","1","2.5","0","10"
"1110001","vo_10011600","1","2","0","","0","0","vo_10011600_1101","11"
"1110002","0","2","1","8","　特別講座","0","0","0","11"
"1110003","0","3","4","0","","1","1.75","0","11"
"1110004","0","4","1","8","結束！\n","0","0","0","11"
"1110005","0","5","4","0","","1","2.625","0","11"
"1110006","vo_10011600","6","2","0","","0","0","vo_10011600_1102","11"
"1110007","0","7","1","8","結果……","0","0","0","11"
"1110008","0","8","4","0","","1","1.625","0","11"
"1110009","0","9","1","8","成功","0","0","0","11"
"1110010","0","10","4","0","","1","1.375","0","11"
"1110011","0","11","1","8","…應該吧。","0","0","0","11"
"1110012","0","12","4","0","","1","3.125","0","11"
"1110013","vo_10011600","13","2","0","","0","0","vo_10011600_1103","11"
"1110014","0","14","1","8","　這一切都要感謝","0","0","0","11"
"1110015","0","15","4","0","","1","2.5","0","11"
"1110016","0","16","1","8","從旁協助的那個人，","0","0","0","11"
"1110017","0","17","4","0","","1","1.875","0","11"
"1110018","0","18","1","8","以及","0","0","0","11"
"1110019","0","19","4","0","","1","0.875","0","11"
"1110020","0","20","1","8","好朋友社的各位。\n","0","0","0","11"
"1110021","0","21","4","0","","1","3","0","11"
"1110022","vo_10011600","22","2","0","","0","0","vo_10011600_1104","11"
"1110023","0","23","1","8","講座結束之後，","0","0","0","11"
"1110024","0","24","4","0","","1","2.125","0","11"
"1110025","0","25","1","8","許多人圍在我身邊，讓我感到很害怕。","0","0","0","11"
"1110026","0","26","4","0","","1","3","0","11"
"1110027","vo_10011600","27","2","0","","0","0","vo_10011600_1105","11"
"1110028","0","28","1","8","可是我…","0","0","0","11"
"1110029","0","29","4","0","","1","1.5","0","11"
"1110030","0","30","1","8","沒有像往常一樣逃跑！\n","0","0","0","11"
"1110031","0","31","4","0","","1","3.125","0","11"
"1110032","vo_10011600","32","2","0","","0","0","vo_10011600_1106","11"
"1110033","0","33","1","8","我是否也有稍微……","0","0","0","11"
"1110034","0","34","4","0","","1","2","0","11"
"1110035","0","35","1","8","雖然只有一點點……","0","0","0","11"
"1110036","0","36","4","0","","1","2.625","0","11"
"1110037","0","37","1","8","成長……","0","0","0","11"
"1110038","0","38","4","0","","1","1.5","0","11"
"1110039","0","39","1","8","了呢？","0","0","0","11"
"1110040","0","40","4","0","","1","1.875","0","11"
"1120001","vo_10011600","1","2","0","","0","0","vo_10011600_1201","12"
"1120002","0","2","1","8","　沒想到我居然可以自然而然地融入聖德蕾莎女學院，","0","0","0","12"
"1120003","0","3","4","0","","1","4.25","0","12"
"1120004","0","4","1","8","那個人果然好厲害啊！\n","0","0","0","12"
"1120005","0","5","4","0","","1","3.5","0","12"
"1120006","vo_10011600","6","2","0","","0","0","vo_10011600_1202","12"
"1120007","0","7","1","8","　走在走廊時，","0","0","0","12"
"1120008","0","8","4","0","","1","2.125","0","12"
"1120009","0","9","1","8","其他學生看見那個人後紛紛露出驚訝的表情，","0","0","0","12"
"1120010","0","10","4","0","","1","3.375","0","12"
"1120011","0","11","1","8","不過那個人還是微笑著向大家打招呼！\n","0","0","0","12"
"1120012","0","12","4","0","","1","3.125","0","12"
"1120013","vo_10011600","13","2","0","","0","0","vo_10011600_1203","12"
"1120014","0","14","1","8","即使有人","0","0","0","12"
"1120015","0","15","4","0","","1","1.375","0","12"
"1120016","0","16","1","8","朝著他尖叫，","0","0","0","12"
"1120017","0","17","4","0","","1","1.25","0","12"
"1120018","0","18","1","8","他依舊一臉蠻不在乎地揮手以對！","0","0","0","12"
"1120019","0","19","4","0","","1","2.5","0","12"
"1120020","vo_10011600","20","2","0","","0","0","vo_10011600_1204","12"
"1120021","0","21","1","8","　和不懂得打招呼的我完全不同！\n\n","0","0","0","12"
"1120022","0","22","4","0","","1","4.625","0","12"
"1120023","vo_10011600","23","2","0","","0","0","vo_10011600_1205","12"
"1120024","0","24","1","8","我也好想盡快","0","0","0","12"
"1120025","0","25","4","0","","1","1.25","0","12"
"1120026","0","26","1","8","變成那樣的人……","0","0","0","12"
"1120027","0","27","4","0","","1","2.5","0","12"
"1130001","vo_10011600","1","2","0","","0","0","vo_10011600_1301","13"
"1130002","0","2","1","8","　我帶來的曼德拉草惹出大麻煩……","0","0","0","13"
"1130003","0","3","4","0","","1","4.875","0","13"
"1130004","vo_10011600","4","2","0","","0","0","vo_10011600_1302","13"
"1130005","0","5","1","8","可是，","0","0","0","13"
"1130006","0","6","4","0","","1","1.25","0","13"
"1130007","0","7","1","8","多虧那個人和好朋友社出手相助，","0","0","0","13"
"1130008","0","8","4","0","","1","4","0","13"
"1130009","0","9","1","8","最後終於趕在釀成重大災情前及時阻止了牠。","0","0","0","13"
"1130010","0","10","4","0","","1","5","0","13"
"1130011","vo_10011600","11","2","0","","0","0","vo_10011600_1303","13"
"1130012","0","12","1","8","　雖然大家","0","0","0","13"
"1130013","0","13","4","0","","1","1.45","0","13"
"1130014","0","14","1","8","口口聲聲說自己別有所圖，","0","0","0","13"
"1130015","0","15","4","0","","1","2.75","0","13"
"1130016","0","16","1","8","但是我相信事情一定不是那樣的。\n","0","0","0","13"
"1130017","0","17","4","0","","1","3.25","0","13"
"1130018","vo_10011600","18","2","0","","0","0","vo_10011600_1304","13"
"1130019","0","19","1","8","能夠像這樣和大家並肩作戰，","0","0","0","13"
"1130020","0","20","4","0","","1","2.75","0","13"
"1130021","0","21","1","8","我真的很高興。\n","0","0","0","13"
"1130022","0","22","4","0","","1","2.5","0","13"
"1130023","vo_10011600","23","2","0","","0","0","vo_10011600_1305","13"
"1130024","0","24","1","8","感覺就像……","0","0","0","13"
"1130025","0","25","4","0","","1","1.75","0","13"
"1130026","0","26","1","8","和大家…","0","0","0","13"
"1130027","0","27","4","0","","1","1.375","0","13"
"1130028","0","28","1","8","變成了同伴。","0","0","0","13"
"1130029","0","29","4","0","","1","2.125","0","13"
"1140001","vo_10011600","1","2","0","","0","0","vo_10011600_1401","14"
"1140002","0","2","1","8","　今天是","0","0","0","14"
"1140003","0","3","4","0","","1","1.5","0","14"
"1140004","0","4","1","7","在聖德蕾莎女學院上課的","0","0","0","14"
"1140005","0","5","4","0","","1","3.60714285714286","0","14"
"1140006","0","6","1","8","……最後一天。\n","0","0","0","14"
"1140007","0","7","4","0","","1","3.25","0","14"
"1140008","vo_10011600","8","2","0","","0","0","vo_10011600_1402","14"
"1140009","0","9","1","8","一開始聽見美里老師提出這項要求時，","0","0","0","14"
"1140010","0","10","4","0","","1","3.375","0","14"
"1140011","0","11","1","8","我認為自己一定無法辦到。","0","0","0","14"
"1140012","0","12","4","0","","1","3.125","0","14"
"1140013","vo_10011600","13","2","0","","0","0","vo_10011600_1403","14"
"1140014","0","14","1","8","　但是現在心中卻十分不捨，","0","0","0","14"
"1140015","0","15","4","0","","1","2.625","0","14"
"1140016","0","16","1","8","於是像這樣靠著寫日記紀錄一切。\n","0","0","0","14"
"1140017","0","17","4","0","","1","3.375","0","14"
"1140018","vo_10011600","18","2","0","","0","0","vo_10011600_1404","14"
"1140019","0","19","1","8","　閉上眼睛，","0","0","0","14"
"1140020","0","20","4","0","","1","2","0","14"
"1140021","0","21","1","8","那個人和","0","0","0","14"
"1140022","0","22","4","0","","1","1.5","0","14"
"1140023","0","23","1","8","好朋友社的各位、","0","0","0","14"
"1140024","0","24","4","0","","1","2.125","0","14"
"1140025","0","25","1","8","以及所有對我親切友好的同學們。\n\n","0","0","0","14"
"1140026","0","26","4","0","","1","6.375","0","14"
"1140027","vo_10011600","27","2","0","","0","0","vo_10011600_1405","14"
