da89c2619862b624e233c5723970a355196f04461cfd95f12e5336772648c29a,45c990e983ef9a367b1eb74d4d0d90aacd4682740a43f0479759ffc32cd674f5,f0df05e3eca7979d79b19368c63d9d66c947ef739c106c3dbf69b7fcd97bca2d,0012aedc2d6ec125331969349f7ae60272d58225cb127e594602a47fefec3c87,4ee74521e684babf967a6838f30ffccf37b1e3a5b1dcd7049728a15a5e23680f,3d2e9da6a09370ca9f4c4dabde7cab70b0f8a581012eac083fad8b9545b206ff,6f3b3abe82e26a5e87c0de3a87c9a704be7a4d15ea4a7c78b75c6e8f54a5e69f,bb956f8e42b653482278f8d58c062bd2a9bde2099c741ffdf8f2fc5d10e388e5,51f6dc4471ea89fdd3cdeeb3288047bc5b39c61a1ff55a6b7713cbf2559b0d73,237522c881fb41b8664a4c0e5dea4bf4391856b593cb5829d7137c6814c2834e,826ec1532b0ab61e58de868aa6d6ff7b9c129b611891037cc0bddefcbc537ed8,daba1eda0d12160b456b65354c8fff451944b72c88f0060da59905f9750c9a75,a2a028dfa1171eefdccab494fc3f65f289360213dd939fd365196a79380cc44f,e1f20ee0a2793ad425e7fc29c7e8195891e50d3b765981720bad12246d8848d3,3ae416bdeed6c4b6a6f70291ddcf53266c6ad8bf0b292883dc45b0527d9ea864,077c00bb5e2d43149b5303e353d8ecd435da27cc741e57d73674b6a6417a7044,bf1656918f4f2249f3286c2738dc1e03f735f7d2295b81426af459d22bd4cc3b,a3e5031e56a1d4ad9fa9eed4b51ba61ef0ed5e6539c1774f4170bbd1a98e27af,37d96aa3b6b02f8e3486eff1043380f89dd40f00acb7d70d475e76bbc55fa708
"-33","1.25","0","319","0","0","0","","1","610154007","1","0","5.5","1","10154","3","5","68","0"
"-10","1","610154502","319","0","0","0","","1","610154008","2","0","1.5","2","10154","3","5","0","600"
"-33","1.25","0","319","0","0","0","","1","610154009","3","0","1.5","1","10154","0","5","0","0"
"5","0.85","610156501","322","0","0","0","","1","610156007","1","0","5.5","2","10156","3","5","0","600"
"-10","1.11","0","322","0","0","0","","1","610156008","2","0","1.5","1","10156","3","5","75","600"
"-10","1.11","0","322","0","0","0","","1","610156009","3","0","1.5","1","10156","0","5","0","0"
"-40","1.5","610158501","325","0","0","0","","1","610158007","1","0","5.5","2","10158","3","5","0","600"
"-33","1.75","0","325","0","0","0","","1","610158008","2","0","1.5","1","10158","0","5","65","0"
"-33","1.75","0","325","0","0","0","","1","610158009","3","0","1.5","1","10158","0","5","0","0"
"-35","1.4","610160501","328","20","0","0","","1","610160007","1","0","5.5","3","10160","4.8","5","0","600"
"-35","1.4","0","328","0","0","0","","1","610160008","2","0","1.5","1","10160","0","5","70","0"
"-35","1.4","0","328","0","0","0","","1","610160009","3","0","1.5","1","10160","0","5","0","0"
