c6e33fdefb84d0fd448c41f4523000b14ab26ab7b1030cd8ce8344be864c74c9,16dec8f713d1e782793b95b76f56ddd7347ca00200572c055db1c8a5441d0c42,6bc490fd46eb50a4a5420c1de9306bcfe553b7c2be62d06d8012848aeaf82be2,09d64a09af52606c23c34769946bc5badf8516d15acf8a45eeae8a986a69dc61,9266046ae467b2b1b8aa6bbe9fa8b6ac62de124ea5fb6cc8ec2b7370d71428fc,220b9ed2ec42dd0866bd5d0c08221efaf81e0877d54aff7997e816b444c8d518,d966b6a77829cab6ef37af11636942e840251ef733925174c72b17b19240b1c5
"1","1001601","vo_minigame_1004","2","嘿，妳還滿行的嘛！","vo_minigame_1004_top_2_027","10016"
"2","1001602","vo_minigame_1004","1","嘉夜夜也比我想像的還厲害呢！","vo_minigame_1004_top_2_028","10016"
"1","1001701","vo_minigame_1004","2","喂～似龍生物？","vo_minigame_1004_top_2_029","10017"
"2","1001702","vo_minigame_1004","3","咕麼！？（噫！）","vo_minigame_1004_top_2_030","10017"
"1","1001801","vo_minigame_1004","2","哎呀，那時真是不好意思啊哈哈哈！","vo_minigame_1004_top_2_031","10018"
"2","1001802","vo_minigame_1004","3","咕麼麼麼……（嘉夜夜 好可怕）","vo_minigame_1004_top_2_032","10018"
"1","1001901","vo_minigame_1004","2","你啊……還真是一臉呆樣呢。","vo_minigame_1004_top_2_033","10019"
"2","1001902","vo_minigame_1004","3","咕麼……（妳還 敢說我）","vo_minigame_1004_top_2_034","10019"
"2","1002001","vo_minigame_1004","3","咕麼……（肚子餓了 想要巧克力）","vo_minigame_1004_top_2_044","10020"
"1","1002002","vo_minigame_1004","2","怎麼了？睏了嗎？","vo_minigame_1004_top_2_045","10020"
"2","1002101","vo_minigame_1004","3","咕麼麼（這傢伙……好危險）","vo_minigame_1004_top_2_046","10021"
"1","1002102","vo_minigame_1004","2","嗯？　怎麼了？想當我的小弟嗎？","vo_minigame_1004_top_2_047","10021"
"2","1002201","vo_minigame_1004","3","咕麼……（嘉夜夜是 肌肉笨蛋）","vo_minigame_1004_top_2_048","10022"
"1","1002202","vo_minigame_1004","2","喂，你現在在想沒禮貌的事吧？","vo_minigame_1004_top_2_049","10022"
"1","1002301","vo_minigame_1004","2","欸，這個要持續到什麼時候？","vo_minigame_1004_top_3_058","10023"
"2","1002302","vo_minigame_1004","1","到嘉夜夜投降為止！","vo_minigame_1004_top_3_059","10023"
"2","1002303","vo_minigame_1004","3","咕麼麼！（給我投降！）","vo_minigame_1004_top_3_060","10023"
"2","1002401","vo_minigame_1004","3","咕麼！（祈梨 我想要巧克力）","vo_minigame_1004_top_3_065","10024"
"1","1002402","vo_minigame_1004","1","真拿你沒辦法，不可以吃太多哦！","vo_minigame_1004_top_3_066","10024"
"1","1002403","vo_minigame_1004","2","你好像很喜歡伴手禮的巧克力呢。","vo_minigame_1004_top_3_067","10024"
"2","1002501","vo_minigame_1004","3","咕麼！（我不會輸給 嘉夜夜！）","vo_minigame_1004_top_3_068","10025"
"1","1002502","vo_minigame_1004","2","哦？怎麼了？是肚子餓了嗎？","vo_minigame_1004_top_3_069","10025"
"2","1002503","vo_minigame_1004","1","……完全無法溝通。","vo_minigame_1004_top_3_070","10025"
