af1f8c440a9a34d1a34cd89a321e3eb367c6492b135087f507f8e10c35f32153,9f1a088b8511b8dbbb01bd33b0c47db97c50653e8e40f6ca4a43dd8dc2c3c23e,d637ecf14657832f8ef9221b174b662100899e692ea9956a159f0e9db87b6be4,08028757fcc7dd63f13c380726ace353586086b53af0b62011ef28f81c8b4509,6eef9fb84cd7a00c035fb4b28cc16a0b52641638fd72beee752044c7533d46f9
"boss_def_lower_limit","92407110","提升物理防禦力（不可降低）","18","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92407110","提升魔法防禦力（不可降低）","19","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"17","92407110","賦予TP上升的上限","20","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92407110","降低HP吸收","21","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"boss_tp_down_cut","92407110","減少降低TP","22","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"12","92407120","火屬性獎勵特大幅度提升","23","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"18","92407120","傷害值衰減","24","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"boss_def_lower_limit","92407120","提升物理防禦力（不可降低）","25","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92407120","提升魔法防禦力（不可降低）","26","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"17","92407120","賦予TP上升的上限","27","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92407120","降低HP吸收","28","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"boss_tp_down_cut","92407120","減少降低TP","29","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"12","92407130","火屬性獎勵特大幅度提升","30","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"18","92407130","傷害值衰減","31","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"boss_def_lower_limit","92407130","提升物理防禦力（不可降低）","32","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92407130","提升魔法防禦力（不可降低）","33","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"17","92407130","賦予TP上升的上限","34","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92407130","降低HP吸收","35","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"boss_tp_down_cut","92407130","減少降低TP","36","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"12","92407140","火屬性獎勵特大幅度提升","37","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"18","92407140","傷害值衰減","38","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"boss_def_lower_limit","92407140","提升物理防禦力（不可降低）","39","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92407140","提升魔法防禦力（不可降低）","40","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"17","92407140","賦予TP上升的上限","41","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92407140","降低HP吸收","42","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"boss_tp_down_cut","92407140","減少降低TP","43","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"12","92407210","火屬性獎勵特大幅度提升","44","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"18","92407210","傷害值衰減","45","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"boss_def_lower_limit","92407210","提升物理防禦力（不可降低）","46","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92407210","提升魔法防禦力（不可降低）","47","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"17","92407210","賦予TP上升的上限","48","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92407210","降低HP吸收","49","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"boss_tp_down_cut","92407210","減少降低TP","50","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"energy_recover","92407210","TP恢復","51","戰鬥開始時，所有怪物特大幅度恢復自身的ＴＰ。"
"12","92407220","火屬性獎勵特大幅度提升","52","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"18","92407220","傷害值衰減","53","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"boss_def_lower_limit","92407220","提升物理防禦力（不可降低）","54","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92407220","提升魔法防禦力（不可降低）","55","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"17","92407220","賦予TP上升的上限","56","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92407220","降低HP吸收","57","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"boss_tp_down_cut","92407220","減少降低TP","58","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"12","92407230","火屬性獎勵特大幅度提升","59","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"18","92407230","傷害值衰減","60","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"boss_def_lower_limit","92407230","提升物理防禦力（不可降低）","61","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92407230","提升魔法防禦力（不可降低）","62","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"17","92407230","賦予TP上升的上限","63","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92407230","降低HP吸收","64","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"boss_tp_down_cut","92407230","減少降低TP","65","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"12","92407240","火屬性獎勵特大幅度提升","66","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"18","92407240","傷害值衰減","67","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"boss_def_lower_limit","92407240","提升物理防禦力（不可降低）","68","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92407240","提升魔法防禦力（不可降低）","69","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"17","92407240","賦予TP上升的上限","70","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92407240","降低HP吸收","71","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"boss_tp_down_cut","92407240","減少降低TP","72","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"12","92407310","火屬性獎勵特大幅度提升","73","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"18","92407310","傷害值衰減","74","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"boss_def_lower_limit","92407310","提升物理防禦力（不可降低）","75","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92407310","提升魔法防禦力（不可降低）","76","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"17","92407310","賦予TP上升的上限","77","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92407310","降低HP吸收","78","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"boss_tp_down_cut","92407310","減少降低TP","79","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"12","92407320","火屬性獎勵特大幅度提升","80","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"18","92407320","傷害值衰減","81","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"boss_def_lower_limit","92407320","提升物理防禦力（不可降低）","82","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92407320","提升魔法防禦力（不可降低）","83","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"17","92407320","賦予TP上升的上限","84","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92407320","降低HP吸收","85","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"boss_tp_down_cut","92407320","減少降低TP","86","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"12","92407330","火屬性獎勵特大幅度提升","87","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"18","92407330","傷害值衰減","88","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"boss_def_lower_limit","92407330","提升物理防禦力（不可降低）","89","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92407330","提升魔法防禦力（不可降低）","90","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"17","92407330","賦予TP上升的上限","91","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92407330","降低HP吸收","92","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"boss_tp_down_cut","92407330","減少降低TP","93","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"12","92407340","火屬性獎勵特大幅度提升","94","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"18","92407340","傷害值衰減","95","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"boss_def_lower_limit","92407340","提升物理防禦力（不可降低）","96","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92407340","提升魔法防禦力（不可降低）","97","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"17","92407340","賦予TP上升的上限","98","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92407340","降低HP吸收","99","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"boss_tp_down_cut","92407340","減少降低TP","100","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"13","92408010","水屬性獎勵特大幅度提升","101","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"boss_def_lower_limit","92408010","提升物理防禦力（不可降低）","102","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92408010","提升魔法防禦力（不可降低）","103","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"17","92408010","賦予TP上升的上限","104","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92408010","降低HP吸收","105","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"13","92408020","水屬性獎勵特大幅度提升","106","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"boss_def_lower_limit","92408020","提升物理防禦力（不可降低）","107","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92408020","提升魔法防禦力（不可降低）","108","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"17","92408020","賦予TP上升的上限","109","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92408020","降低HP吸收","110","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"13","92408030","水屬性獎勵特大幅度提升","111","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"boss_def_lower_limit","92408030","提升物理防禦力（不可降低）","112","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92408030","提升魔法防禦力（不可降低）","113","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"17","92408030","賦予TP上升的上限","114","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92408030","降低HP吸收","115","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"13","92408110","水屬性獎勵特大幅度提升","116","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"boss_def_lower_limit","92408110","提升物理防禦力（不可降低）","117","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92408110","提升魔法防禦力（不可降低）","118","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"boss_tp_down_cut","92408110","減少降低TP","119","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"18","92408110","傷害值衰減","120","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"17","92408110","賦予TP上升的上限","121","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92408110","降低HP吸收","122","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"13","92408120","水屬性獎勵特大幅度提升","123","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"boss_def_lower_limit","92408120","提升物理防禦力（不可降低）","124","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92408120","提升魔法防禦力（不可降低）","125","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"boss_tp_down_cut","92408120","減少降低TP","126","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"18","92408120","傷害值衰減","127","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"17","92408120","賦予TP上升的上限","128","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92408120","降低HP吸收","129","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"13","92408130","水屬性獎勵特大幅度提升","130","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"boss_def_lower_limit","92408130","提升物理防禦力（不可降低）","131","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92408130","提升魔法防禦力（不可降低）","132","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"boss_tp_down_cut","92408130","減少降低TP","133","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"18","92408130","傷害值衰減","134","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"17","92408130","賦予TP上升的上限","135","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92408130","降低HP吸收","136","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"13","92408140","水屬性獎勵特大幅度提升","137","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"boss_def_lower_limit","92408140","提升物理防禦力（不可降低）","138","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92408140","提升魔法防禦力（不可降低）","139","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"boss_tp_down_cut","92408140","減少降低TP","140","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"18","92408140","傷害值衰減","141","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"17","92408140","賦予TP上升的上限","142","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92408140","降低HP吸收","143","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"13","92408210","水屬性獎勵特大幅度提升","144","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"boss_def_lower_limit","92408210","提升物理防禦力（不可降低）","145","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92408210","提升魔法防禦力（不可降低）","146","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"boss_tp_down_cut","92408210","減少降低TP","147","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"18","92408210","傷害值衰減","148","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"17","92408210","賦予TP上升的上限","149","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92408210","降低HP吸收","150","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"13","92408220","水屬性獎勵特大幅度提升","151","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"boss_def_lower_limit","92408220","提升物理防禦力（不可降低）","152","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92408220","提升魔法防禦力（不可降低）","153","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"boss_tp_down_cut","92408220","減少降低TP","154","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"18","92408220","傷害值衰減","155","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"17","92408220","賦予TP上升的上限","156","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92408220","降低HP吸收","157","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"13","92408230","水屬性獎勵特大幅度提升","158","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"boss_def_lower_limit","92408230","提升物理防禦力（不可降低）","159","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92408230","提升魔法防禦力（不可降低）","160","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"boss_tp_down_cut","92408230","減少降低TP","161","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"18","92408230","傷害值衰減","162","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"17","92408230","賦予TP上升的上限","163","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92408230","降低HP吸收","164","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"13","92408240","水屬性獎勵特大幅度提升","165","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"boss_def_lower_limit","92408240","提升物理防禦力（不可降低）","166","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92408240","提升魔法防禦力（不可降低）","167","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"boss_tp_down_cut","92408240","減少降低TP","168","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"18","92408240","傷害值衰減","169","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"17","92408240","賦予TP上升的上限","170","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92408240","降低HP吸收","171","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"13","92408310","水屬性獎勵特大幅度提升","172","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"boss_def_lower_limit","92408310","提升物理防禦力（不可降低）","173","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92408310","提升魔法防禦力（不可降低）","174","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"boss_tp_down_cut","92408310","減少降低TP","175","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"18","92408310","傷害值衰減","176","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"17","92408310","賦予TP上升的上限","177","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92408310","降低HP吸收","178","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"13","92408320","水屬性獎勵特大幅度提升","179","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"boss_def_lower_limit","92408320","提升物理防禦力（不可降低）","180","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92408320","提升魔法防禦力（不可降低）","181","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"boss_tp_down_cut","92408320","減少降低TP","182","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"18","92408320","傷害值衰減","183","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"17","92408320","賦予TP上升的上限","184","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92408320","降低HP吸收","185","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"13","92408330","水屬性獎勵特大幅度提升","186","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"boss_def_lower_limit","92408330","提升物理防禦力（不可降低）","187","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92408330","提升魔法防禦力（不可降低）","188","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"boss_tp_down_cut","92408330","減少降低TP","189","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"18","92408330","傷害值衰減","190","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"17","92408330","賦予TP上升的上限","191","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92408330","降低HP吸收","192","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"13","92408340","水屬性獎勵特大幅度提升","193","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"boss_def_lower_limit","92408340","提升物理防禦力（不可降低）","194","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"boss_magic_def_lower_limit","92408340","提升魔法防禦力（不可降低）","195","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"boss_tp_down_cut","92408340","減少降低TP","196","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"18","92408340","傷害值衰減","197","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"17","92408340","賦予TP上升的上限","198","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"9","92408340","降低HP吸收","199","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"16","92409010","闇屬性獎勵特大幅度提升","200","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
