5bf828b0e54ccd00ad6ec48b47331c022c0d3db2c963a72bc6c1ddcce5a625d6,ac66a1a3a1026a281016f27fec551d318b4d1bd6074d3a5743487fbd8a33067d,8db74f8374eae974a543124b8d175c9aed1cf2b9cfde2cc9e5d9b1a8391cf8a5,b7dd5c5d77a1718ad5bc90dd874b937b96f9c5e3109afba44f4e92e49e80159e,3e1e0a741db5987bfe7cf555cd74ca58bf2b535b41b362b8279c503e36255322,08c559156a37949e43d380ac6bd8d907b40bcc4616e3451799c45306d00bbaa4,466b8d50e9e7dc607084d36f915197924a4d262addf8f01dc19e649bdab5d79f,da08811a50ddecfa32d81ac985ed4dd490965670b74379a3b0819b91e4aa31a1,9339145d869ca3115969b0e45f3d66277f12bb0563904c3b0fe77c9ed28287d7
"100224","3","7","1001","1002","1","在EXTRA難易度取得20000分","100224","20000"
"100225","3","7","1001","1002","1","在EXTRA難易度取得40000分","100225","40000"
"100226","3","7","1001","1002","1","在EXTRA難易度取得60000分","100226","60000"
"100301","0","0","1001","1003","1","全難易度合計取得10000分","100301","10000"
"100302","0","0","1001","1003","1","全難易度合計取得30000分","100302","30000"
"100303","0","0","1001","1003","1","全難易度合計取得50000分","100303","50000"
"100304","0","0","1001","1003","1","全難易度合計取得70000分","100304","70000"
"100305","0","1","1001","1003","1","全難易度合計取得90000分","100305","90000"
"100306","0","1","1001","1003","1","全難易度合計取得105000分","100306","105000"
"100307","0","1","1001","1003","1","全難易度合計取得120000分","100307","120000"
"100308","0","1","1001","1003","1","全難易度合計取得135000分","100308","135000"
"100309","1","2","1002","1003","1","在NORMAL1難易度戰鬥1次","100309","0"
"100310","1","2","1003","1003","1","在NORMAL2難易度戰鬥1次","100310","0"
"100311","1","2","1004","1003","1","在NORMAL3難易度戰鬥1次","100311","0"
"100312","1","3","1001","1003","1","在NORMAL難易度取得10000分","100312","10000"
"100313","1","3","1001","1003","1","在NORMAL難易度取得20000分","100313","20000"
"100314","1","3","1001","1003","1","在NORMAL難易度取得30000分","100314","30000"
"100315","2","4","1002","1003","1","在HARD1難易度戰鬥1次","100315","0"
"100316","2","4","1003","1003","1","在HARD2難易度戰鬥1次","100316","0"
"100317","2","4","1004","1003","1","在HARD3難易度戰鬥1次","100317","0"
"100318","2","5","1001","1003","1","在HARD難易度取得15000分","100318","15000"
"100319","2","5","1001","1003","1","在HARD難易度取得30000分","100319","30000"
"100320","2","5","1001","1003","1","在HARD難易度取得45000分","100320","45000"
"100321","3","6","1002","1003","1","在EXTRA1難易度戰鬥1次","100321","0"
"100322","3","6","1003","1003","1","在EXTRA2難易度戰鬥1次","100322","0"
"100323","3","6","1004","1003","1","在EXTRA3難易度戰鬥1次","100323","0"
"100324","3","7","1001","1003","1","在EXTRA難易度取得20000分","100324","20000"
"100325","3","7","1001","1003","1","在EXTRA難易度取得40000分","100325","40000"
"100326","3","7","1001","1003","1","在EXTRA難易度取得60000分","100326","60000"
"100401","0","0","1001","1004","1","全難易度合計取得10000分","100401","10000"
"100402","0","0","1001","1004","1","全難易度合計取得30000分","100402","30000"
"100403","0","0","1001","1004","1","全難易度合計取得50000分","100403","50000"
"100404","0","0","1001","1004","1","全難易度合計取得70000分","100404","70000"
"100405","0","1","1001","1004","1","全難易度合計取得90000分","100405","90000"
"100406","0","1","1001","1004","1","全難易度合計取得105000分","100406","105000"
"100407","0","1","1001","1004","1","全難易度合計取得120000分","100407","120000"
"100408","0","1","1001","1004","1","全難易度合計取得135000分","100408","135000"
"100409","1","2","1002","1004","1","在NORMAL1難易度戰鬥1次","100409","0"
"100410","1","2","1003","1004","1","在NORMAL2難易度戰鬥1次","100410","0"
"100411","1","2","1004","1004","1","在NORMAL3難易度戰鬥1次","100411","0"
"100412","1","3","1001","1004","1","在NORMAL難易度取得10000分","100412","10000"
"100413","1","3","1001","1004","1","在NORMAL難易度取得20000分","100413","20000"
"100414","1","3","1001","1004","1","在NORMAL難易度取得30000分","100414","30000"
"100415","2","4","1002","1004","1","在HARD1難易度戰鬥1次","100415","0"
"100416","2","4","1003","1004","1","在HARD2難易度戰鬥1次","100416","0"
"100417","2","4","1004","1004","1","在HARD3難易度戰鬥1次","100417","0"
"100418","2","5","1001","1004","1","在HARD難易度取得15000分","100418","15000"
"100419","2","5","1001","1004","1","在HARD難易度取得30000分","100419","30000"
"100420","2","5","1001","1004","1","在HARD難易度取得45000分","100420","45000"
"100421","3","6","1002","1004","1","在EXTRA1難易度戰鬥1次","100421","0"
"100422","3","6","1003","1004","1","在EXTRA2難易度戰鬥1次","100422","0"
"100423","3","6","1004","1004","1","在EXTRA3難易度戰鬥1次","100423","0"
"100424","3","7","1001","1004","1","在EXTRA難易度取得20000分","100424","20000"
"100425","3","7","1001","1004","1","在EXTRA難易度取得40000分","100425","40000"
"100426","3","7","1001","1004","1","在EXTRA難易度取得60000分","100426","60000"
"100501","0","0","1001","1005","1","全難易度合計取得10000分","100501","10000"
"100502","0","0","1001","1005","1","全難易度合計取得30000分","100502","30000"
"100503","0","0","1001","1005","1","全難易度合計取得50000分","100503","50000"
"100504","0","0","1001","1005","1","全難易度合計取得70000分","100504","70000"
"100505","0","1","1001","1005","1","全難易度合計取得90000分","100505","90000"
"100506","0","1","1001","1005","1","全難易度合計取得105000分","100506","105000"
"100507","0","1","1001","1005","1","全難易度合計取得120000分","100507","120000"
"100508","0","1","1001","1005","1","全難易度合計取得135000分","100508","135000"
"100509","1","2","1002","1005","1","在NORMAL1難易度戰鬥1次","100509","0"
"100510","1","2","1003","1005","1","在NORMAL2難易度戰鬥1次","100510","0"
"100511","1","2","1004","1005","1","在NORMAL3難易度戰鬥1次","100511","0"
"100512","1","3","1001","1005","1","在NORMAL難易度取得10000分","100512","10000"
"100513","1","3","1001","1005","1","在NORMAL難易度取得20000分","100513","20000"
"100514","1","3","1001","1005","1","在NORMAL難易度取得30000分","100514","30000"
"100515","2","4","1002","1005","1","在HARD1難易度戰鬥1次","100515","0"
"100516","2","4","1003","1005","1","在HARD2難易度戰鬥1次","100516","0"
"100517","2","4","1004","1005","1","在HARD3難易度戰鬥1次","100517","0"
"100518","2","5","1001","1005","1","在HARD難易度取得15000分","100518","15000"
"100519","2","5","1001","1005","1","在HARD難易度取得30000分","100519","30000"
"100520","2","5","1001","1005","1","在HARD難易度取得45000分","100520","45000"
"100521","3","6","1002","1005","1","在EXTRA1難易度戰鬥1次","100521","0"
"100522","3","6","1003","1005","1","在EXTRA2難易度戰鬥1次","100522","0"
"100523","3","6","1004","1005","1","在EXTRA3難易度戰鬥1次","100523","0"
"100524","3","7","1001","1005","1","在EXTRA難易度取得20000分","100524","20000"
"100525","3","7","1001","1005","1","在EXTRA難易度取得40000分","100525","40000"
"100526","3","7","1001","1005","1","在EXTRA難易度取得60000分","100526","60000"
"100601","0","0","1001","1006","1","全難易度合計取得10000分","100601","10000"
"100602","0","0","1001","1006","1","全難易度合計取得30000分","100602","30000"
"100603","0","0","1001","1006","1","全難易度合計取得50000分","100603","50000"
"100604","0","0","1001","1006","1","全難易度合計取得70000分","100604","70000"
"100605","0","1","1001","1006","1","全難易度合計取得90000分","100605","90000"
"100606","0","1","1001","1006","1","全難易度合計取得105000分","100606","105000"
"100607","0","1","1001","1006","1","全難易度合計取得120000分","100607","120000"
"100608","0","1","1001","1006","1","全難易度合計取得135000分","100608","135000"
"100609","1","2","1002","1006","1","在NORMAL1難易度戰鬥1次","100609","0"
"100610","1","2","1003","1006","1","在NORMAL2難易度戰鬥1次","100610","0"
"100611","1","2","1004","1006","1","在NORMAL3難易度戰鬥1次","100611","0"
"100612","1","3","1001","1006","1","在NORMAL難易度取得10000分","100612","10000"
"100613","1","3","1001","1006","1","在NORMAL難易度取得20000分","100613","20000"
"100614","1","3","1001","1006","1","在NORMAL難易度取得30000分","100614","30000"
"100615","2","4","1002","1006","1","在HARD1難易度戰鬥1次","100615","0"
"100616","2","4","1003","1006","1","在HARD2難易度戰鬥1次","100616","0"
"100617","2","4","1004","1006","1","在HARD3難易度戰鬥1次","100617","0"
"100618","2","5","1001","1006","1","在HARD難易度取得15000分","100618","15000"
"100619","2","5","1001","1006","1","在HARD難易度取得30000分","100619","30000"
"100620","2","5","1001","1006","1","在HARD難易度取得45000分","100620","45000"
"100621","3","6","1002","1006","1","在EXTRA1難易度戰鬥1次","100621","0"
"100622","3","6","1003","1006","1","在EXTRA2難易度戰鬥1次","100622","0"
"100623","3","6","1004","1006","1","在EXTRA3難易度戰鬥1次","100623","0"
"100624","3","7","1001","1006","1","在EXTRA難易度取得20000分","100624","20000"
"100625","3","7","1001","1006","1","在EXTRA難易度取得40000分","100625","40000"
"100626","3","7","1001","1006","1","在EXTRA難易度取得60000分","100626","60000"
"100701","0","0","1001","1007","1","全難易度合計取得10000分","100701","10000"
"100702","0","0","1001","1007","1","全難易度合計取得30000分","100702","30000"
"100703","0","0","1001","1007","1","全難易度合計取得50000分","100703","50000"
"100704","0","0","1001","1007","1","全難易度合計取得70000分","100704","70000"
"100705","0","1","1001","1007","1","全難易度合計取得90000分","100705","90000"
"100706","0","1","1001","1007","1","全難易度合計取得105000分","100706","105000"
"100707","0","1","1001","1007","1","全難易度合計取得120000分","100707","120000"
"100708","0","1","1001","1007","1","全難易度合計取得135000分","100708","135000"
"100709","1","2","1002","1007","1","在NORMAL1難易度戰鬥1次","100709","0"
"100710","1","2","1003","1007","1","在NORMAL2難易度戰鬥1次","100710","0"
"100711","1","2","1004","1007","1","在NORMAL3難易度戰鬥1次","100711","0"
"100712","1","3","1001","1007","1","在NORMAL難易度取得10000分","100712","10000"
"100713","1","3","1001","1007","1","在NORMAL難易度取得20000分","100713","20000"
"100714","1","3","1001","1007","1","在NORMAL難易度取得30000分","100714","30000"
"100715","2","4","1002","1007","1","在HARD1難易度戰鬥1次","100715","0"
"100716","2","4","1003","1007","1","在HARD2難易度戰鬥1次","100716","0"
"100717","2","4","1004","1007","1","在HARD3難易度戰鬥1次","100717","0"
"100718","2","5","1001","1007","1","在HARD難易度取得15000分","100718","15000"
"100719","2","5","1001","1007","1","在HARD難易度取得30000分","100719","30000"
"100720","2","5","1001","1007","1","在HARD難易度取得45000分","100720","45000"
"100721","3","6","1002","1007","1","在EXTRA1難易度戰鬥1次","100721","0"
"100722","3","6","1003","1007","1","在EXTRA2難易度戰鬥1次","100722","0"
"100723","3","6","1004","1007","1","在EXTRA3難易度戰鬥1次","100723","0"
"100724","3","7","1001","1007","1","在EXTRA難易度取得20000分","100724","20000"
"100725","3","7","1001","1007","1","在EXTRA難易度取得40000分","100725","40000"
"100726","3","7","1001","1007","1","在EXTRA難易度取得60000分","100726","60000"
"100801","0","0","1001","1008","1","全難易度合計取得10000分","100801","10000"
"100802","0","0","1001","1008","1","全難易度合計取得30000分","100802","30000"
"100803","0","0","1001","1008","1","全難易度合計取得50000分","100803","50000"
"100804","0","0","1001","1008","1","全難易度合計取得70000分","100804","70000"
"100805","0","1","1001","1008","1","全難易度合計取得90000分","100805","90000"
"100806","0","1","1001","1008","1","全難易度合計取得105000分","100806","105000"
"100807","0","1","1001","1008","1","全難易度合計取得120000分","100807","120000"
"100808","0","1","1001","1008","1","全難易度合計取得135000分","100808","135000"
"100809","1","2","1002","1008","1","在NORMAL1難易度戰鬥1次","100809","0"
"100810","1","2","1003","1008","1","在NORMAL2難易度戰鬥1次","100810","0"
"100811","1","2","1004","1008","1","在NORMAL3難易度戰鬥1次","100811","0"
"100812","1","3","1001","1008","1","在NORMAL難易度取得10000分","100812","10000"
"100813","1","3","1001","1008","1","在NORMAL難易度取得20000分","100813","20000"
"100814","1","3","1001","1008","1","在NORMAL難易度取得30000分","100814","30000"
"100815","2","4","1002","1008","1","在HARD1難易度戰鬥1次","100815","0"
"100816","2","4","1003","1008","1","在HARD2難易度戰鬥1次","100816","0"
"100817","2","4","1004","1008","1","在HARD3難易度戰鬥1次","100817","0"
"100818","2","5","1001","1008","1","在HARD難易度取得15000分","100818","15000"
"100819","2","5","1001","1008","1","在HARD難易度取得30000分","100819","30000"
"100820","2","5","1001","1008","1","在HARD難易度取得45000分","100820","45000"
"100821","3","6","1002","1008","1","在EXTRA1難易度戰鬥1次","100821","0"
"100822","3","6","1003","1008","1","在EXTRA2難易度戰鬥1次","100822","0"
"100823","3","6","1004","1008","1","在EXTRA3難易度戰鬥1次","100823","0"
"100824","3","7","1001","1008","1","在EXTRA難易度取得20000分","100824","20000"
"100825","3","7","1001","1008","1","在EXTRA難易度取得40000分","100825","40000"
"100826","3","7","1001","1008","1","在EXTRA難易度取得60000分","100826","60000"
"100901","0","0","1001","1009","1","全難易度合計取得10000分","100901","10000"
"100902","0","0","1001","1009","1","全難易度合計取得30000分","100902","30000"
"100903","0","0","1001","1009","1","全難易度合計取得50000分","100903","50000"
"100904","0","0","1001","1009","1","全難易度合計取得70000分","100904","70000"
"100905","0","1","1001","1009","1","全難易度合計取得90000分","100905","90000"
"100906","0","1","1001","1009","1","全難易度合計取得105000分","100906","105000"
"100907","0","1","1001","1009","1","全難易度合計取得120000分","100907","120000"
"100908","0","1","1001","1009","1","全難易度合計取得135000分","100908","135000"
"100909","1","2","1002","1009","1","在NORMAL1難易度戰鬥1次","100909","0"
"100910","1","2","1003","1009","1","在NORMAL2難易度戰鬥1次","100910","0"
"100911","1","2","1004","1009","1","在NORMAL3難易度戰鬥1次","100911","0"
"100912","1","3","1001","1009","1","在NORMAL難易度取得10000分","100912","10000"
"100913","1","3","1001","1009","1","在NORMAL難易度取得20000分","100913","20000"
"100914","1","3","1001","1009","1","在NORMAL難易度取得30000分","100914","30000"
"100915","2","4","1002","1009","1","在HARD1難易度戰鬥1次","100915","0"
"100916","2","4","1003","1009","1","在HARD2難易度戰鬥1次","100916","0"
"100917","2","4","1004","1009","1","在HARD3難易度戰鬥1次","100917","0"
"100918","2","5","1001","1009","1","在HARD難易度取得15000分","100918","15000"
"100919","2","5","1001","1009","1","在HARD難易度取得30000分","100919","30000"
"100920","2","5","1001","1009","1","在HARD難易度取得45000分","100920","45000"
"100921","3","6","1002","1009","1","在EXTRA1難易度戰鬥1次","100921","0"
"100922","3","6","1003","1009","1","在EXTRA2難易度戰鬥1次","100922","0"
"100923","3","6","1004","1009","1","在EXTRA3難易度戰鬥1次","100923","0"
"100924","3","7","1001","1009","1","在EXTRA難易度取得20000分","100924","20000"
"100925","3","7","1001","1009","1","在EXTRA難易度取得40000分","100925","40000"
"100926","3","7","1001","1009","1","在EXTRA難易度取得60000分","100926","60000"
