21f9d091a2ee58605a73da47d3b4074bdf4185df9349170db14eb41cc0927386,bf417f4292c078e4686f5a6fad9f580eee84730321db443c1c1a32aed40f5759,0570c636a17e94ddbfc9652032977c8f4ee43a615408e95db2daf14b2751c310,734f33e236388581d559a8140cd54977443fcd0fcd52e5dba7afc7688b0906b2,cc315fb9f5e4a9fc03ec74464342715684df1477301db257a15c924871c2519d,ad990f65cf55fc868fb40467be7461e93618990039c6deba4d8ff3900333f9b0,14710da0fd8a49ba94c9e3604dfa5c67963765a39bfe6d97b18e6615fd16754a,2192b0f2ae5e82c24ceca56781e7516f30e8b9f5c7a637b462cf3bf9c6020936,1b732c7b5f32cfbede4f202490a3e3a8e84d248004ca602137f32342798b3b0c,f2eff25162cf9d12c33516026a15b23c5601a09e3bc0a3e8dcbe8227fa696493,7ed477d55c97e1a209b672c245b74659c12684e2621115f744cccf53ed915eaa,2da05cd61a8b572e49dabc7a4145bcf56fa53a1bd81d56470d743ec85bb64519,4c5d217b7ab56c6c61c9e19850adc6aa1fd0e2e9d3f40e9e83b7a037499df68a,cdd0fa1c21666974aa2a8d2bab977df3c415d5ea6f2cdea2ec8103ea5d51dc0a,28ac2b67d999c2bfd2d5c286c74e4c4a5e29d67868310e5234959210df6ae9f4,3aca29f79e0107698dd131af836edae12589a797689ed2e2386977d63bdfbd14,1ce1865f8ca9bf8bb28393f5804462c8d9bb7b5f125e6d65bb8968da80f454bd
"10","51013","由克蕾琪塔設計，以流通於吉歐‧提格尼亞的\n巧克力貨幣組成的拼盤。乍看之下\n只是個把金幣放入口中的傻瓜，然而\n吃下貨幣的悖德感，成了最佳的額外香料。","3","0","52013","3","4","0","打開RANK2的里程商店。","克蕾琪塔的開運點心拼盤","0","克蕾琪塔的開運\n點心拼盤","獲得800里程。","8","500","2"
"11","51014","可愛的妹妹為了哥哥誠心製作的\n特別刨冰。只要吃下一口，精神就會立即\n被那冰冷的甜美滋味研磨至最銳利狀態，變成\n不放過任何好康的要塞賢母。","2","2","52014","1","1","0","跳過里程格進行移動。效果持續2回合。","璃乃的「時乃金時」刨冰","0","璃乃的\n「時乃金時」刨冰","下次擲骰的時候，多前進1格。","9","500","1"
"11","51015","姊姊為了弟弟誠心製作的\n特別漢堡排。裡面塞滿了熱騰騰的肉汁\n和滿溢的愛情，只要吃下\n一口，就會美味到讓人想要四處亂跑。","1","1","52015","1","1","0","下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","靜流的愛情滿滿漢堡排","0","靜流的愛情\n滿滿漢堡排","下次擲骰的時候，多前進1格。","1","500","2"
"0","51016","碧做來當作便當的精靈族傳統三明治。\n這是源自陪著她的至親好友給她的建議，\n據說無論在多麼幽暗的森林中，\n都能使出全力衝刺。（碧本人表示）","3","1","52016","1","0","0","下次投擲的骰子一定會丟出「6」。","碧的衝刺三明治","0","碧的衝刺\n三明治","無","2","500","20005"
"10","51017","妄想過無數種被虐場景的空花最近熱衷的事物，\n是種以觸手為主軸的活切料理。\n新鮮的章魚腳與濃郁的鮮味在物理上交纏在一塊，\n無論身心都能體驗到被緊綁的感受。","3","2","52017","1","5","0","[FF7C4E,D62146]【不可覆寫】[-]下一回合無法食用「移動系的料理」，相對地當場獲得2000里程。","空花的活切緊綁觸手","1","空花的活切\n緊綁觸手","無","2","500","1"
"10","51018","在可可蘿的指導下提升了料理技術的蘭法\n所親手製作的馬鈴薯燉肉。雖然還有改善的空間，\n但只要一想到這是笨拙的蘭法為了他人\n而拼命努力煮出的菜餚，就覺得格外美味。","1","1","52018","1","6","0","下次投擲的骰子一定會丟出「3」。","蘭法的熱心馬鈴薯燉肉","0","蘭法的熱心馬鈴薯燉肉","獲得1000里程。","2","500","20006"
"0","0","蠻賊三姊妹昨天晚餐的咖哩。\n若菜將吃不完的份分裝給了大家。\n因為靜置了一晚，味道變得更加濃郁，\n是極致的隔夜咖哩。","1","1","52019","1","0","0","下次投擲的骰子一定會丟出「8」。","若菜的節儉八分飽咖哩","0","若菜的節儉八分飽咖哩","無","2","500","20007"
"11","51014","可愛的妹妹為了哥哥誠心製作的\n特別刨冰。只要吃下一口，精神就會立即\n被那冰冷的甜美滋味研磨至最銳利狀態，變成\n不放過任何好康的要塞賢母。","2","2","52020","2","1","0","跳過里程格進行移動。效果持續2回合。","璃乃的「時乃金時」刨冰","0","璃乃的\n「時乃金時」刨冰","下次擲骰的時候，多前進1格。","9","500","1"
"10","51021","放在華麗禮盒中的糖果巧克力。\n當那甜中帶苦的濃厚滋味，活化灰色的腦細胞時，\n名偵探便能展現精闢的推理，\n使謎團真相大白，讓事件劃下句點。","3","3","52021","2","7","0","跳過寶物格進行移動。效果持續3回合。","霞的看透真相的糖果巧克力","0","霞的看透真相的\n糖果巧克力","	獲得2個未鑑定的平凡寶物。","9","500","2"
"0","51022","使用了秋乃在吉歐‧格黑納取得\n的香料，既時髦又豪華的烤雞拼盤。佐以\n牧場特製優格醬所演繹出的刺激風味，\n實在是兩個世界奇蹟般的完美結合。","1","3","52022","1","0","0","在投擲3次骰子之前，投擲的骰子丟出「5和6」的機率變成3倍。","秋乃的煉獄烤雞拼盤","0","秋乃的煉獄\n烤雞拼盤","無","2","500","20008"
"10","51023","美美想著在吉歐‧格黑納幫助自己的\n姐姐們所製作的飯糰。雖然每個被加入\n不同的佐料，但都一如美美的願望，\n彼此不吵架、和睦地演奏著和聲。","1","2","52023","1","1","0","[FF7C4E,D62146]【不可被覆蓋】[-]下次投擲的骰子一定會丟出「6」，再下一次投擲的骰子一定會丟出「3」。","美美的丟沙包圓滾滾飯糰","1","美美的丟沙包\n圓滾滾飯糰","獲得1個未鑑定的平凡寶物。","7","500","1"
"11","51024","回過神來就在莉莉手中的不可思議的點心。\n雖然乍看之下是普通的蛋糕，\n內部卻藏了各式各樣的配料。\n其複雜又多層次的滋味，彷彿就像是某人一般。","3","0","52024","3","3","0","打開RANK2的里程商店。","步未的祕密隱形蛋糕","0","步未的祕密\n隱形蛋糕","下次擲骰的時候，多前進3格。","8","500","2"
"0","51025","使用安涅默涅照料著的祕密菜園中的蔬菜的沙拉。\n重視營養的安涅默涅將草食動物的肉視為蔬菜，\n一開始只是在蔬菜上放上肉而已，\n後來在涅羅的指導下重新進行了擺盤。","3","1","52025","2","0","0","跳過「里程格」及「寶物格」進行移動。效果持續1回合。","安涅默涅的爛漫花朵牛排沙拉","0","安涅默涅的\n爛漫花朵牛排沙拉","無","9","500","3"
"10","51026","一道用探索吉歐‧格黑納的冥姬們\n在當地採集的調味料製作的料理。\n沸騰的紅醬帶有刺激而深奧的味道，\n就像一片未知的土地，吸引冒險者深入探索。","1","0","52026","3","8","0","讓隨機活動出現。","杏奈的煉獄番茄燉煮渾沌蛋","0","杏奈的\n煉獄番茄燉煮渾沌蛋","獲得2張抽獎券。","4","500","1"
"0","51027","優衣想著吃的人用心製作的便當。\n大小適中的便當盒裡裝滿了\n充滿愛意且精心烹調的極品料理，\n溫柔地填滿吃的人的心和胃。","3","2","52027","1","0","0","在投擲2次骰子之前，投擲的骰子一定會丟出「5」。","優衣的營養滿分心意滿分便當","0","優衣的\n營養滿分心意滿分便當","無","2","500","20004"
"10","51028","鈴給了防災糧食的紅豆麵包。\n添加了堅果的脆脆口感讓人百吃不膩。\n似乎是窩在房間裡玩遊戲之際的好夥伴，\n也是能補充必要營養素的完全營養食物。","3","1","52028","1","9","0","下次投擲的骰子只會丟出「1、2」。\n同時會當場獲得3張抽獎券。","鈴的堅果懶人紅豆麵包","0","鈴的\n堅果懶人紅豆麵包","無","2","500","30003"
"0","51029","雪菲利用自身的魔力冰製作的冰品。\n雖然是在貪吃佩可央求之下製作的，\n不過也備受凱留等人的好評。據可可蘿的表示，\n這雖然吃起來冰冰涼涼的，卻能溫暖內心。","2","1","52029","1","0","0","下次投擲的骰子一定會丟出「2」。並且跳過下次的回合數計算。","雪菲的冰晶輝煌手工冰","0","雪菲的\n冰晶輝煌手工冰","無","3","500","30004"
"0","51030","美空做的拉麵。因為蘭法記得她隨口說的喜歡的食物，\n所以在對方準備好材料之後，\n不得已而做出來的，但是味道是好事級的。\n她似乎不討厭別人津津有味地吃著它的樣子。","1","3","52030","3","0","0","3回合之內，所有的「里程格」變成Rank 3的「寶物格」。","美空的隨興味噌拉麵★","0","美空的\n隨興味噌拉麵★","無","12","500","1"
"0","51031","彩羽總是隨身攜帶的色彩斑斕的果凍……\n但是它是阿爾克絲鍊金堂製作的，\n有著跟鍬形蟲果凍一樣的外觀。雖然很甜很好吃，\n但是問她那是給人吃的嗎時，她會別開視線。","3","1","52031","1","0","0","下次投擲的骰子會丟出「1、6、6、6、8、8」。","彩羽的最強鍬形蟲果凍（人類用）","0","彩羽的\n最強鍬形蟲果凍（人類用）","無","2","500","20009"
"11","51032","格蕾斯親手做的杯子蛋糕。把全力都用在\n刺激的外觀上了……雖然讓人那麼覺得，\n但是連眼球都能吃又很美味……才讓人那麼覺得，但是一部分\n又甜到讓人覺得靈魂要消散了。她堅持不說出原料是什麼。","3","2","52032","2","3","0","跳過料理格進行移動。效果持續2回合。","格蕾斯的目瞪口呆杯子蛋糕","0","格蕾斯的\n目瞪口呆杯子蛋糕","下次擲骰的時候，多前進3格。","9","500","4"
"0","51033","苑做的蛋包飯。是彩羽非常喜歡吃的料理，\n有家庭的味道。雖然平常因為嫌麻煩所以不會去做，\n但是在彩羽當乖孩子時會用番茄醬\n幫她畫鍬形蟲。那個時候似乎會比平常還好吃。","1","0","52033","3","0","0","打開RANK3的里程商店。","苑的今天是特別獎勵蛋包飯","0","苑的今天是特別獎勵蛋包飯","無","8","500","3"
"10","51034","由於實在太過美味又含有爆表熱量，\n這道肉料理獲得了像惡意集合體般的嚇人名字。\n由於收集這些肉能夠展現作為騎空士的力量，\n所以吉塔想要大量收集。","1","2","52034","2","1","0","跳過里程格進行移動。效果持續2回合。","吉塔的炙燒‧怨念肉片","0","吉塔的\n炙燒‧怨念肉片","獲得1個未鑑定的平凡寶物。","9","500","1"
"10","51035","露易絲瑪莉完整重現祖母食譜的最佳傑作。\n精細的調配與溫度控管下生產出的麵衣\n以及酥脆鬆軟的食材被譽為鍊金技術的最終目標，\n但也有不少意見認為只是單純的烹飪。","1","0","52035","3","10","0","讓隨機活動出現。","露易絲瑪莉過於成功的炸物","0","露易絲瑪莉\n過於成功的炸物","獲得1個未鑑定的貴重寶物。","4","500","1"
"0","51036","身為吉歐‧格黑納天空霸主的煉花鳳凰\n為集結對自身的信仰而訂製的甜點。\n內餡香甜綿密，風味高雅。任意封其為\n吉歐‧格黑納知名點心的日子或許也不遠了。","3","3","52036","1","0","0","[FF7C4E,D62146]【不可被覆蓋】[-]這回合投擲的骰子一定會丟出「12」，下一回合與下下一回合投擲的骰子一定會丟出「1」。","鳳凰的賜予你享用的權利！饅頭","1","給你\n吃鳳凰的權利！饅頭","無","7","500","1"
"10","51037","由七七香構思＆監製的威化餅。由於提高了\n附贈貼紙的收藏性，而在整個蘭德索爾\n蔚為風潮……然而最重要的餅乾卻遭到捨棄。\n為了解決這個問題，公主便親自張口吃下。","3","0","52037","2","11","1","地圖上的「里程格」、「寶物格」、「商店格」的RANK提升1。效果將持續到停在對象格上1次之後為止。","魔法少女七七香威化餅","0","魔法少女\n七七香威化餅","獲得3個未鑑定的平凡寶物。","6","500","1"
