3a7e24a6e02a8c5a02b66d0abf10b388c51d9a732e77eadaccec0ee0db3a90aa,acd96d5b3143a79df6e4ed02a9f3e1177f3a2c185e8a362ad3754fd7d9bb4817,ea45d30effc2f0657ce5944911f4d5db82efbf95246cd05a26b8554980a77c39,3a1acf1d01c080f24d858b89476dcb086c40e2b2b2c81cd78ac0e7c117cddbdd,111f2c268cde466d285e9171870a1932fc2dc905b446f19be85cbc77cc0c976c,04925fcebdf58b56df2c7cf89d9439737667a3876759fdd9466e7d872feae565,d4546256f5260afe3270c092084607e26148f55968753eb22f315066094cc686,d8771bde6b404d33866eb6ed8af94c20903cad6bb8ea5c0e1454294f2d22a005,78474ca6e8a35639bda86e77a12a2b42f945addd939a53b22823a05a224dbdd9,2547e6304c546e9cccd0eb94ebd64fe4b1211c8ba8edf99c8c8114fcfbbf9cc4,48e7cd5506c7aae571a9432442cb5f7493ef509644ee871175a352fe718c3e8a,c97fb15869bd2672ee95edea59362adafa0dd65652856bc2df60a40a3e4c96bd,97740f5f99e8c7bda9a5cad2c18c080b3ea4b3851859bb4d0e7775db5d4d454f,1dc30dd2087af4f7d6749efe4a17089c96fdbd0cb111dc21e26de16c4b66c695
"0","-50","0.8","13","2","10115","0","0","0","-25","100000","0","0.7","1011503"
"0.03","-50","0.92","-17","1","10115","0","10","10115401","-30","100000","1","0.7","1011504"
"0","-50","0.8","30","2","10115","0","0","0","-30","100000","0","0.6","1011504"
"0.03","-50","0.92","-17","1","10115","0","10","0","-30","100000","1","0.7","1011505"
"0","-50","0.8","30","2","10115","0","0","0","-30","100000","0","0.6","1011505"
"0.03","-50","0.92","-13","1","20048","0","10","0","-25","100000","1","0.84","2004801"
"0","-50","0.8","13","2","20048","0","0","0","-25","100000","0","0.7","2004801"
"0.03","-50","0.92","-13","1","20048","0","10","0","-25","100000","1","0.84","2004802"
"0","-50","0.8","13","2","20048","0","0","0","-25","100000","0","0.7","2004802"
"0.03","-50","0.92","-13","1","20048","0","10","0","-25","100000","1","0.84","2004803"
"0","-50","0.8","13","2","20048","0","0","0","-25","100000","0","0.7","2004803"
