48e7cd5506c7aae571a9432442cb5f7493ef509644ee871175a352fe718c3e8a,3a1acf1d01c080f24d858b89476dcb086c40e2b2b2c81cd78ac0e7c117cddbdd,d4546256f5260afe3270c092084607e26148f55968753eb22f315066094cc686,acd96d5b3143a79df6e4ed02a9f3e1177f3a2c185e8a362ad3754fd7d9bb4817,3a7e24a6e02a8c5a02b66d0abf10b388c51d9a732e77eadaccec0ee0db3a90aa,1dc30dd2087af4f7d6749efe4a17089c96fdbd0cb111dc21e26de16c4b66c695,c97fb15869bd2672ee95edea59362adafa0dd65652856bc2df60a40a3e4c96bd,78474ca6e8a35639bda86e77a12a2b42f945addd939a53b22823a05a224dbdd9,d8771bde6b404d33866eb6ed8af94c20903cad6bb8ea5c0e1454294f2d22a005,04925fcebdf58b56df2c7cf89d9439737667a3876759fdd9466e7d872feae565,2547e6304c546e9cccd0eb94ebd64fe4b1211c8ba8edf99c8c8114fcfbbf9cc4,97740f5f99e8c7bda9a5cad2c18c080b3ea4b3851859bb4d0e7775db5d4d454f,ea45d30effc2f0657ce5944911f4d5db82efbf95246cd05a26b8554980a77c39,111f2c268cde466d285e9171870a1932fc2dc905b446f19be85cbc77cc0c976c
"100000","-32","0","-23","0","2002903","0","0","10","20029","-47","1.7","1.5","3"
"100000","30","0","0","0","2002904","0","0","10","20029","-30","1.7","1.5","2"
"100000","-17","0","-40","0.03","2002904","1","0","0","20029","25","1.7","1.5","1"
"100000","-32","0","-23","0","2002904","0","0","10","20029","-47","1.7","1.5","3"
"100000","30","0","0","0","2002905","0","0","10","20029","-30","1.7","1.5","2"
"100000","-17","0","-40","0.03","2002905","1","0","0","20029","25","1.7","1.5","1"
"100000","-32","0","-23","0","2002905","0","0","10","20029","-47","1.7","1.5","3"
"100000","-13","0","-50","0.03","1011501","1","10115101","10","10115","-25","0.84","0.92","1"
"100000","13","0","-50","0","1011501","0","0","0","10115","-25","0.7","0.8","2"
"100000","-13","0","-50","0.03","1011502","1","10115201","10","10115","-25","0.84","0.92","1"
"100000","13","0","-50","0","1011502","0","0","0","10115","-25","0.7","0.8","2"
"100000","-13","0","-50","0.03","1011503","1","10115301","10","10115","-25","0.84","0.92","1"
"100000","13","0","-50","0","1011503","0","0","0","10115","-25","0.7","0.8","2"
"100000","-17","0","-50","0.03","1011504","1","10115401","10","10115","-30","0.7","0.92","1"
"100000","30","0","-50","0","1011504","0","0","0","10115","-30","0.6","0.8","2"
"100000","-17","0","-50","0.03","1011505","1","0","10","10115","-30","0.7","0.92","1"
"100000","30","0","-50","0","1011505","0","0","0","10115","-30","0.6","0.8","2"
"100000","-13","0","-50","0.03","2004801","1","0","10","20048","-25","0.84","0.92","1"
"100000","13","0","-50","0","2004801","0","0","0","20048","-25","0.7","0.8","2"
"100000","-13","0","-50","0.03","2004802","1","0","10","20048","-25","0.84","0.92","1"
"100000","13","0","-50","0","2004802","0","0","0","20048","-25","0.7","0.8","2"
"100000","-13","0","-50","0.03","2004803","1","0","10","20048","-25","0.84","0.92","1"
"100000","13","0","-50","0","2004803","0","0","0","20048","-25","0.7","0.8","2"
