f0921b37378cd1e83203466e5cd257cde537ddedba54998aee4a216312e06283,bd4607600ff0a8bb8fffe1129eac1f1c8b61fab02214df01bf1fdbb5fde0c682,64cc4636d0d434cfdd614dd37a8c46facb432bd61f3925f8e36284ff15050421,ae33eba1bd8b6609ec550483434ba96dbb0d549fcfcf062d786756681bad450c,ec2ef2c45b5c040500543a346af1054b5187792570a1c801bfa99ba42c4507ad,6fe8bae077de8a8c1d9734b40acffcb5928fa0fa7fc4bec8c2e4aead61ce4133,68c856158298a08048849ff2a9c7d180194d340617cf9a1a42a7d3eabd0817c1,c371d23f2bb9db36b9da692a42b51e8daffcbd5b30e0a4471f8701bc5b6cccfe,e72f3c6201dbe9c4c0bbba9ad080cb5eff05558b68aa828744568fc5adeb50ab,b21ade5aae5ca942804db69084c354a4a33b8498027a90805748fd9fa5a2b71f,ed3ffd6da604cf0148a1d549d41f7ce8dd5f57a8535dee1203ef7b1268d4c67d,546ec6c7a7b8dfb6eb6f69295fd4f1bae45e811ab8c6d6a01bfe410caf97eb10,3dac4c6d38c9e7afba52ee715afb96e0a1bd80fa51a641d9b4da55d8b6b4d551,8524b66d37f2d92d729f5c1df12224da74554fd0d35eb48e4c6eca5db3abce12,e783d9d7aee5c3baabe283f594efa78f8c3c1409ec209c4574f5b03897d44a7b,9921aa46699a9e76a1850ac3bda96649bc9a0c6547cb2edffc256d2b4b57d850,46dedff366bacef2656f8aac0e948e3bcf946a1cb8af4759909f9b14903c3284,b216159029486bbb08adf14b476d475995201c23d341162c8b8a179438575d26,66d8626b23236a2e86f8560960724e9af59c6cb10fd5cebd1513ac024c418088,bbe4e0b517666413da2a147f80889a39d28f0f83e8163523b24fcbe068b0ff13,e2e2a9d96f29f772cabf09c3ee8477ac7d51d298c8d7b436e3dccd8829a69a0f,0769e7a59f5136759e8efff848f6646b0cf06a63a03e16c664fcbde8a6dff524,fa674f8a6e4b8a17dc15ced39d1c93d45c76d4e3005255900bf01eff406f4768,d9ca7657ea006c97459649b669a9915d09c5b0483c0ff8c409d5bb805f33b5f8,44e1016472c6a34f9792748a8afee84a16eb165503756f056d909c226c6678b7,8a947f9bd51844aecb28b06e2e44ba551d4d335e4d3e4f28353c4f122711bf09,f979389bb7bdb7a5afa50767898496023f81fef16a4fae2f99a9a4ee8a2e7520,34f0fe707f5f3af153767e7992a1224a997f995ae57fe78093bb25279255da4e,1742321514769af110f999294f30579ee67d6a95b5ee9e49264cd31b3ca94626
"0","0","0","-50","800","140001","0","0","90002","0","99002","0.7","103002","25001","20000","0","31008001","bgm_M06","3100801","bgm_M06","1.2","1","40004","103002","31008","90","0","1","94002"
"0","0","0","-50","800","140001","0","0","90002","0","99002","0.85","103002","25001","20000","0","31008002","bgm_M06","3100801","bgm_M06","1.2","2","40004","103002","31008","90","0","1","94002"
"0","0","0","-50","1200","140001","0","0","90002","0","99002","0.9","103002","25001","20000","0","31008003","bgm_M06","3100801","bgm_M06","1.2","3","40004","103002","31008","90","0","1","94002"
"0","0","0","-50","1200","140001","0","0","90002","0","99002","1","103002","25001","20000","0","31008004","bgm_M06","3100802","bgm_M06","1.2","4","40004","103002","31008","90","0","1","90005"
"0","1","0","-50","600","140001","1","0","90002","0","99002","1","103001","25001","20000","0","31008005","bgm_M63","3100803","bgm_M63","1.3","5","40004","103001","31008","90","2.9","4","94002"
"0","0","0","-50","900","140001","0","0","90002","0","99002","0.7","103222","25001","20000","0","31009001","bgm_M06","3100901","bgm_M06","1.2","1","40004","103222","31009","90","0","1","94002"
"0","0","0","-50","900","140001","0","0","90002","0","99002","0.85","103221","25001","20000","0","31009002","bgm_M06","3100901","bgm_M06","1.2","2","40004","103221","31009","90","0","1","94002"
"0","0","0","-50","1400","140001","0","0","90002","0","99002","0.9","103213","25001","20000","0","31009003","bgm_M06","3100901","bgm_M06","1.2","3","40004","103213","31009","90","0","1","94002"
"0","0","0","-50","1400","140001","0","0","90002","0","99002","1","103211","25001","20000","0","31009004","bgm_M06","3100902","bgm_M06","1.2","4","40004","103211","31009","90","0","1","90005"
"0","1","0","-50","700","140001","0","0","90002","1","99002","1","103232","25001","20000","0","31009005","bgm_M63","3100903","bgm_M63","1.3","5","40004","103232","31009","90","2.9","6","94002"
"0","1","0","-50","1400","140001","0","501010105","90002","1","99002","1","103371","25001","20000","0","31010001","bgm_M06","3101001","bgm_M06","1.1","1","40004","103371","31010","90","0","3","94002"
"0","1","0","-50","1400","140001","0","501010106","90002","1","99002","1","103372","25001","20000","0","31010002","bgm_M06","3101001","bgm_M06","1.2","2","40004","103372","31010","90","0","3","94002"
"0","1","0","-50","1400","140001","0","501010107","90002","1","99002","1","103373","25001","20000","0","31010003","bgm_M06","3101001","bgm_M06","1.6","3","40004","103373","31010","90","0","3","94002"
"0","1","0","-50","1400","140001","0","501010108","90002","1","99002","1","103374","25001","20000","0","31010004","bgm_M06","3101002","bgm_M06","1.1","4","40004","103374","31010","90","0","3","90005"
"0","1","0","-50","800","140001","0","0","90002","1","99002","1","103371","25001","20000","0","31010005","bgm_M63","3101003","bgm_M63","1.3","5","40004","103371","31010","90","0","6","94002"
