09b8cc9ff25a2f319425023ccb31fa3595977f0e673c80124d31e92e8c12655d,9ef645e6f73bd8b6010c4fdd9f6ada2bf083df9eab00974fb13725ded2ae88c9,3f2b5e4812fae43051889842c080555cd9fc9ea6341f7a559836cfdd377fe409,40632fe1cab1ec28e27e674fa47c959d4315f9ecf511ce04757c8a5b982d6582,ee119af9fdc424e31445eab1806b0a30ec12aae0334000c69a1fc8f8683102ad,e42ae089b8aa28dcc41bb1ae533327009a97146a717573a9c33cbda867f3d53e,2b1e20f6186d3dbe8997a14afc4f1eea3e38e596b493a5e693cd992e3b6ff0ee,b937f3fa28d6b0c3cadd7faa1781df0517a81fa50535ceb5c943d1ba3843df07,ed71259e4da99943e18bf8351a67d777f22532a5d9317aa76e58e85c15e2c5c6,aa5cdcf078fdd6c6102553a69207c9d10224572359f130e924a8b674f4610503
"","0","6","vo_10011600_0402","1040006","0","2","0","vo_10011600","4"
"　她的用字譴詞十分艱澀，","0","7","0","1040007","0","1","8","0","4"
"","1","8","0","1040008","3.75","4","0","0","4"
"有些單字常常讓我聽不懂，","0","9","0","1040009","0","1","8","0","4"
"","1","10","0","1040010","3.125","4","0","0","4"
"以後我是不是應該隨身攜帶字典呢？\n","0","11","0","1040011","0","1","8","0","4"
"","1","12","0","1040012","4","4","0","0","4"
"","0","13","vo_10011600_0403","1040013","0","2","0","vo_10011600","4"
"　總是關在象牙之塔裡埋頭研究，","0","14","0","1040014","0","1","8","0","4"
"","1","15","0","1040015","3.75","4","0","0","4"
"平常不會從那裡踏出一步，","0","16","0","1040016","0","1","8","0","4"
"","1","17","0","1040017","3.25","4","0","0","4"
"散發出和我一樣的孤獨氣息。","0","18","0","1040018","0","1","8","0","4"
"","1","19","0","1040019","3.375","4","0","0","4"
"","0","20","vo_10011600_0404","1040020","0","2","0","vo_10011600","4"
"　「孤獨會召喚孤獨」，","0","21","0","1040021","0","1","8","0","4"
"","1","22","0","1040022","2.5","4","0","0","4"
"我","0","23","0","1040023","0","1","8","0","4"
"","1","24","0","1040024","1.125","4","0","0","4"
"不記得是誰說過這句話，","0","25","0","1040025","0","1","8","0","4"
"","1","26","0","1040026","2.75","4","0","0","4"
"但是說不定……\n","0","27","0","1040027","0","1","8","0","4"
"","1","28","0","1040028","2","4","0","0","4"
"","0","29","vo_10011600_0405","1040029","0","2","0","vo_10011600","4"
"擁有相同宿命的同伴，","0","30","0","1040030","0","1","8","0","4"
"","1","31","0","1040031","2.375","4","0","0","4"
"彼此可以成為好朋友？","0","32","0","1040032","0","1","8","0","4"
"","1","33","0","1040033","2.125","4","0","0","4"
"","0","1","vo_10011600_0501","1050001","0","2","0","vo_10011600","5"
"　克蘿依和我一樣都是","0","2","0","1050002","0","1","8","0","5"
"","1","3","0","1050003","1.875","4","0","0","5"
"精靈，","0","4","0","1050004","0","1","8","0","5"
"","1","5","0","1050005","1.5","4","0","0","5"
"可是……","0","6","0","1050006","0","1","8","0","5"
"","1","7","0","1050007","1.625","4","0","0","5"
"她給人的感覺，","0","8","0","1050008","0","1","8","0","5"
"","1","9","0","1050009","1.375","4","0","0","5"
"有點不太一樣。","0","10","0","1050010","0","1","8","0","5"
"","1","11","0","1050011","2.625","4","0","0","5"
"","0","12","vo_10011600_0502","1050012","0","2","0","vo_10011600","5"
"說不定擁有相同宿命的同伴，彼此可以成為好朋友？","0","13","0","1050013","0","1","8","0","5"
"","1","14","0","1050014","3.625","4","0","0","5"
"我曾經抱持這樣的想法，","0","15","0","1050015","0","1","8","0","5"
"","1","16","0","1050016","2.125","4","0","0","5"
"但是我根本不敢向她搭話！","0","17","0","1050017","0","1","8","0","5"
"","1","18","0","1050018","3.125","4","0","0","5"
"","0","19","vo_10011600_0503","1050019","0","2","0","vo_10011600","5"
"按照那個人的說法，","0","20","0","1050020","0","1","8","0","5"
"","1","21","0","1050021","1.65","4","0","0","5"
"她好像是個熱心助人，","0","22","0","1050022","0","1","8","0","5"
"","1","23","0","1050023","1.625","4","0","0","5"
"而且個性溫柔的好人……\n","0","24","0","1050024","0","1","8","0","5"
"","1","25","0","1050025","3.125","4","0","0","5"
"","0","26","vo_10011600_0504","1050026","0","2","0","vo_10011600","5"
"這麼說來，","0","27","0","1050027","0","1","8","0","5"
"","1","28","0","1050028","2","4","0","0","5"
"噗……","0","29","0","1050029","0","1","8","0","5"
"","1","30","0","1050030","1.5","4","0","0","5"
"那個聲音其實是歎息聲（？）、","0","31","0","1050031","0","1","8","0","5"
"","1","32","0","1050032","2.375","4","0","0","5"
"","0","33","vo_10011600_0505","1050033","0","2","0","vo_10011600","5"
"雖然說不出口……\n","0","34","0","1050034","0","1","8","0","5"
"","1","35","0","1050035","2.375","4","0","0","5"
"但是聽起來好可愛啊！","0","36","0","1050036","0","1","8","0","5"
"","1","37","0","1050037","1.375","4","0","0","5"
"我不禁在心裡這麼想。","0","38","0","1050038","0","1","8","0","5"
"","1","39","0","1050039","1","4","0","0","5"
"","0","1","vo_10011600_0601","1060001","0","2","0","vo_10011600","6"
"　琪愛兒則是個現充。","0","2","0","1060002","0","1","8","0","6"
"","1","3","0","1060003","2.375","4","0","0","6"
"這一點是毋庸置疑的。\n","0","4","0","1060004","0","1","8","0","6"
"","1","5","0","1060005","2.5","4","0","0","6"
"","0","6","vo_10011600_0602","1060006","0","2","0","vo_10011600","6"
"長得很可愛，擁有很多朋友。","0","7","0","1060007","0","1","8","0","6"
"","1","8","0","1060008","2.5","4","0","0","6"
"和我這種邊緣人完全相反。","0","9","0","1060009","0","1","8","0","6"
"","1","10","0","1060010","2.875","4","0","0","6"
"","0","11","vo_10011600_0603","1060011","0","2","0","vo_10011600","6"
"身上散發出令人難以直視的耀眼光芒。\n","0","12","0","1060012","0","1","8","0","6"
"","1","13","0","1060013","3.25","4","0","0","6"
"","0","14","vo_10011600_0604","1060014","0","2","0","vo_10011600","6"
"如果和她面對面說話，","0","15","0","1060015","0","1","8","0","6"
"","1","16","0","1060016","3.5","4","0","0","6"
"我的空虛心靈一定會裂成碎片，","0","17","0","1060017","0","1","8","0","6"
"","1","18","0","1060018","2.5","4","0","0","6"
"掉落滿地。\n","0","19","0","1060019","0","1","8","0","6"
"","1","20","0","1060020","3.875","4","0","0","6"
"","0","21","vo_10011600_0605","1060021","0","2","0","vo_10011600","6"
"「切嚕～」，","0","22","0","1060022","0","1","8","0","6"
"","1","23","0","1060023","1.75","4","0","0","6"
"那種問候語…","0","24","0","1060024","0","1","8","0","6"
"","1","25","0","1060025","1.625","4","0","0","6"
"如果要我說出來，我一定會當場昏倒，","0","26","0","1060026","0","1","8","0","6"
"","1","27","0","1060027","2.75","4","0","0","6"
"直接蒙主寵召……","0","28","0","1060028","0","1","8","0","6"
"","1","29","0","1060029","3.125","4","0","0","6"
"","0","1","vo_10011600_0701","1070001","0","2","0","vo_10011600","7"
"　今天真的是每件事情","0","2","0","1070002","0","1","8","0","7"
"","1","3","0","1070003","2.375","4","0","0","7"
"都受到優妮的照顧。\n","0","4","0","1070004","0","1","7","0","7"
"","1","5","0","1070005","3.28571428571429","4","0","0","7"
"","0","6","vo_10011600_0702","1070006","0","2","0","vo_10011600","7"
"和喜歡調侃人的克蘿依與琪愛兒完全不同，","0","7","0","1070007","0","1","8","0","7"
"","1","8","0","1070008","4.625","4","0","0","7"
"我從她身上看見了充滿知性，","0","9","0","1070009","0","1","8","0","7"
"","1","10","0","1070010","1.5","4","0","0","7"
"值得信賴的一面。","0","11","0","1070011","0","1","10","0","7"
"","1","12","0","1070012","2.4","4","0","0","7"
"","0","13","vo_10011600_0703","1070013","0","2","0","vo_10011600","7"
"俐落下達明確指示的模樣，","0","14","0","1070014","0","1","8","0","7"
"","1","15","0","1070015","2.375","4","0","0","7"
"充分展現出她身為公會長的威嚴。","0","16","0","1070016","0","1","8","0","7"
"","1","17","0","1070017","3.5","4","0","0","7"
"","0","18","vo_10011600_0704","1070018","0","2","0","vo_10011600","7"
"我相信優妮一定","0","19","0","1070019","0","1","8","0","7"
"","1","20","0","1070020","2.25","4","0","0","7"
"可以將優妮們的威名傳播到全世界。\n\n","0","21","0","1070021","0","1","8","0","7"
"","1","22","0","1070022","6.625","4","0","0","7"
"","0","23","vo_10011600_0705","1070023","0","2","0","vo_10011600","7"
"咦？","0","24","0","1070024","0","1","8","0","7"
"","1","25","0","1070025","1.125","4","0","0","7"
"　公會名是這樣嗎？","0","26","0","1070026","0","1","8","0","7"
"","1","27","0","1070027","2.75","4","0","0","7"
"","0","1","vo_10011600_0801","1080001","0","2","0","vo_10011600","8"
"　初次見面時，","0","2","0","1080002","0","1","8","0","8"
"","1","3","0","1080003","1.75","4","0","0","8"
"因為太害怕而遲遲不敢跟克蘿依說話。","0","4","0","1080004","0","1","8","0","8"
"","1","5","0","1080005","4.125","4","0","0","8"
"","0","6","vo_10011600_0802","1080006","0","2","0","vo_10011600","8"
"不過後來我漸漸明白她其實是個很溫柔的人，","0","7","0","1080007","0","1","8","0","8"
"","1","8","0","1080008","2.75","4","0","0","8"
"而且時常關心我的事情。\n","0","9","0","1080009","0","1","8","0","8"
"","1","10","0","1080010","5.875","4","0","0","8"
"","0","11","vo_10011600_0803","1080011","0","2","0","vo_10011600","8"
"托克蘿依的福，雖然只有一點點…","0","12","0","1080012","0","1","8","0","8"
"","1","13","0","1080013","3.25","4","0","0","8"
"不過\n我總算比較能融入班上。\n","0","14","0","1080014","0","1","8","0","8"
"","1","15","0","1080015","4.25","4","0","0","8"
"","0","16","vo_10011600_0804","1080016","0","2","0","vo_10011600","8"
"克蘿依似乎有很多兄弟姊妹。","0","17","0","1080017","0","1","8","0","8"
"","1","18","0","1080018","4.125","4","0","0","8"
"","0","19","vo_10011600_0805","1080019","0","2","0","vo_10011600","8"
"的確，","0","20","0","1080020","0","1","8","0","8"
"","1","21","0","1080021","1.625","4","0","0","8"
"今天的克蘿依差點讓我脫口喊她姊姊！","0","22","0","1080022","0","1","8","0","8"
"","1","23","0","1080023","4.625","4","0","0","8"
"","0","1","vo_10011600_0901","1090001","0","2","0","vo_10011600","9"
"　切嚕～","0","2","0","1090002","0","1","8","0","9"
"","1","3","0","1090003","3.875","4","0","0","9"
"","0","4","vo_10011600_0902","1090004","0","2","0","vo_10011600","9"
"如果可以學會說出這句問候語，","0","5","0","1090005","0","1","8","0","9"
"","1","6","0","1090006","2.75","4","0","0","9"
"我是不是就能像琪愛兒一樣","0","7","0","1090007","0","1","8","0","9"
"","1","8","0","1090008","2.375","4","0","0","9"
"開朗有自信，擁有許多朋友，","0","9","0","1090009","0","1","8","0","9"
"","1","10","0","1090010","2.75","4","0","0","9"
"變身為自己理想中的女性呢？\n","0","11","0","1090011","0","1","8","0","9"
"","1","12","0","1090012","4.375","4","0","0","9"
"","0","13","vo_10011600_0903","1090013","0","2","0","vo_10011600","9"
"不過","0","14","0","1090014","0","1","8","0","9"
"","1","15","0","1090015","1.25","4","0","0","9"
"這句問候語對我而言還太困難，","0","16","0","1090016","0","1","8","0","9"
"","1","17","0","1090017","2.875","4","0","0","9"
"今天暫且寫下來就好。\n","0","18","0","1090018","0","1","8","0","9"
"","1","19","0","1090019","4.125","4","0","0","9"
"","0","20","vo_10011600_0904","1090020","0","2","0","vo_10011600","9"
"切嚕～切嚕～切嚕～切嚕～切嚕～","0","21","0","1090021","0","1","8","0","9"
"","1","22","0","1090022","4.125","4","0","0","9"
"","0","23","vo_10011600_0905","1090023","0","2","0","vo_10011600","9"
"切嚕～切嚕～切嚕～切嚕～切嚕～","0","24","0","1090024","0","1","8","0","9"
"","1","25","0","1090025","4.125","4","0","0","9"
"","0","26","vo_10011600_0906","1090026","0","2","0","vo_10011600","9"
"切嚕～切嚕～切嚕～切嚕～切嚕～\n","0","27","0","1090027","0","1","8","0","9"
"","1","28","0","1090028","4.125","4","0","0","9"
"","0","29","vo_10011600_0907","1090029","0","2","0","vo_10011600","9"
"切嚕～切嚕～切嚕～","0","30","0","1090030","0","1","8","0","9"
"","1","31","0","1090031","2.875","4","0","0","9"
"","0","1","vo_10011600_1001","1100001","0","2","0","vo_10011600","10"
"　忘記了忘記了忘記了！\n","0","2","0","1100002","0","1","8","0","10"
"","1","3","0","1100003","2.75","4","0","0","10"
"特別講座到底該怎麼辦啦！","0","4","0","1100004","0","1","8","0","10"
"","1","5","0","1100005","2.25","4","0","0","10"
"","0","6","vo_10011600_1002","1100006","0","2","0","vo_10011600","10"
"從精靈之森帶來的曼德拉草逃跑了，","0","7","0","1100007","0","1","8","0","10"
"","1","8","0","1100008","3.625","4","0","0","10"
"我完全沒有任何準備！\n","0","9","0","1100009","0","1","8","0","10"
"","1","10","0","1100010","2.375","4","0","0","10"
"","0","11","vo_10011600_1003","1100011","0","2","0","vo_10011600","10"
"……精靈之森嗎","0","12","0","1100012","0","1","8","0","10"
"","1","13","0","1100013","2","4","0","0","10"
"似乎在呼喚我……","0","14","0","1100014","0","1","8","0","10"
"","1","15","0","1100015","2.25","4","0","0","10"
"","0","16","vo_10011600_1004","1100016","0","2","0","vo_10011600","10"
"不對，不行不行，","0","17","0","1100017","0","1","8","0","10"
"","1","18","0","1100018","1.875","4","0","0","10"
"我不能背叛美里老師的期待！\n","0","19","0","1100019","0","1","8","0","10"
"","1","20","0","1100020","4.125","4","0","0","10"
"","0","21","vo_10011600_1005","1100021","0","2","0","vo_10011600","10"
"但是我該如何是好？","0","22","0","1100022","0","1","8","0","10"
"","1","23","0","1100023","3.125","4","0","0","10"
"","0","24","vo_10011600_1006","1100024","0","2","0","vo_10011600","10"
"既然如此，","0","25","0","1100025","0","1","8","0","10"
"","1","26","0","1100026","1.75","4","0","0","10"
"乾脆將「如何度過孤獨人生」的要點整理出來","0","27","0","1100027","0","1","8","0","10"
"","1","28","0","1100028","3.375","4","0","0","10"
"並且對外發表吧……？","0","29","0","1100029","0","1","8","0","10"
"","1","30","0","1100030","2.5","4","0","0","10"
"","0","1","vo_10011600_1101","1110001","0","2","0","vo_10011600","11"
"　特別講座","0","2","0","1110002","0","1","8","0","11"
"","1","3","0","1110003","1.75","4","0","0","11"
"結束！\n","0","4","0","1110004","0","1","8","0","11"
"","1","5","0","1110005","2.625","4","0","0","11"
"","0","6","vo_10011600_1102","1110006","0","2","0","vo_10011600","11"
"結果……","0","7","0","1110007","0","1","8","0","11"
"","1","8","0","1110008","1.625","4","0","0","11"
"成功","0","9","0","1110009","0","1","8","0","11"
"","1","10","0","1110010","1.375","4","0","0","11"
"…應該吧。","0","11","0","1110011","0","1","8","0","11"
"","1","12","0","1110012","3.125","4","0","0","11"
"","0","13","vo_10011600_1103","1110013","0","2","0","vo_10011600","11"
"　這一切都要感謝","0","14","0","1110014","0","1","8","0","11"
"","1","15","0","1110015","2.5","4","0","0","11"
"從旁協助的那個人，","0","16","0","1110016","0","1","8","0","11"
"","1","17","0","1110017","1.875","4","0","0","11"
"以及","0","18","0","1110018","0","1","8","0","11"
"","1","19","0","1110019","0.875","4","0","0","11"
"好朋友社的各位。\n","0","20","0","1110020","0","1","8","0","11"
"","1","21","0","1110021","3","4","0","0","11"
"","0","22","vo_10011600_1104","1110022","0","2","0","vo_10011600","11"
"講座結束之後，","0","23","0","1110023","0","1","8","0","11"
"","1","24","0","1110024","2.125","4","0","0","11"
"許多人圍在我身邊，讓我感到很害怕。","0","25","0","1110025","0","1","8","0","11"
"","1","26","0","1110026","3","4","0","0","11"
"","0","27","vo_10011600_1105","1110027","0","2","0","vo_10011600","11"
"可是我…","0","28","0","1110028","0","1","8","0","11"
"","1","29","0","1110029","1.5","4","0","0","11"
"沒有像往常一樣逃跑！\n","0","30","0","1110030","0","1","8","0","11"
"","1","31","0","1110031","3.125","4","0","0","11"
"","0","32","vo_10011600_1106","1110032","0","2","0","vo_10011600","11"
"我是否也有稍微……","0","33","0","1110033","0","1","8","0","11"
"","1","34","0","1110034","2","4","0","0","11"
"雖然只有一點點……","0","35","0","1110035","0","1","8","0","11"
"","1","36","0","1110036","2.625","4","0","0","11"
"成長……","0","37","0","1110037","0","1","8","0","11"
"","1","38","0","1110038","1.5","4","0","0","11"
"了呢？","0","39","0","1110039","0","1","8","0","11"
"","1","40","0","1110040","1.875","4","0","0","11"
"","0","1","vo_10011600_1201","1120001","0","2","0","vo_10011600","12"
"　沒想到我居然可以自然而然地融入聖德蕾莎女學院，","0","2","0","1120002","0","1","8","0","12"
"","1","3","0","1120003","4.25","4","0","0","12"
"那個人果然好厲害啊！\n","0","4","0","1120004","0","1","8","0","12"
"","1","5","0","1120005","3.5","4","0","0","12"
"","0","6","vo_10011600_1202","1120006","0","2","0","vo_10011600","12"
"　走在走廊時，","0","7","0","1120007","0","1","8","0","12"
"","1","8","0","1120008","2.125","4","0","0","12"
"其他學生看見那個人後紛紛露出驚訝的表情，","0","9","0","1120009","0","1","8","0","12"
"","1","10","0","1120010","3.375","4","0","0","12"
"不過那個人還是微笑著向大家打招呼！\n","0","11","0","1120011","0","1","8","0","12"
"","1","12","0","1120012","3.125","4","0","0","12"
"","0","13","vo_10011600_1203","1120013","0","2","0","vo_10011600","12"
"即使有人","0","14","0","1120014","0","1","8","0","12"
"","1","15","0","1120015","1.375","4","0","0","12"
"朝著他尖叫，","0","16","0","1120016","0","1","8","0","12"
"","1","17","0","1120017","1.25","4","0","0","12"
"他依舊一臉蠻不在乎地揮手以對！","0","18","0","1120018","0","1","8","0","12"
"","1","19","0","1120019","2.5","4","0","0","12"
"","0","20","vo_10011600_1204","1120020","0","2","0","vo_10011600","12"
"　和不懂得打招呼的我完全不同！\n\n","0","21","0","1120021","0","1","8","0","12"
"","1","22","0","1120022","4.625","4","0","0","12"
"","0","23","vo_10011600_1205","1120023","0","2","0","vo_10011600","12"
"我也好想盡快","0","24","0","1120024","0","1","8","0","12"
"","1","25","0","1120025","1.25","4","0","0","12"
"變成那樣的人……","0","26","0","1120026","0","1","8","0","12"
"","1","27","0","1120027","2.5","4","0","0","12"
"","0","1","vo_10011600_1301","1130001","0","2","0","vo_10011600","13"
"　我帶來的曼德拉草惹出大麻煩……","0","2","0","1130002","0","1","8","0","13"
"","1","3","0","1130003","4.875","4","0","0","13"
"","0","4","vo_10011600_1302","1130004","0","2","0","vo_10011600","13"
"可是，","0","5","0","1130005","0","1","8","0","13"
"","1","6","0","1130006","1.25","4","0","0","13"
"多虧那個人和好朋友社出手相助，","0","7","0","1130007","0","1","8","0","13"
"","1","8","0","1130008","4","4","0","0","13"
"最後終於趕在釀成重大災情前及時阻止了牠。","0","9","0","1130009","0","1","8","0","13"
"","1","10","0","1130010","5","4","0","0","13"
"","0","11","vo_10011600_1303","1130011","0","2","0","vo_10011600","13"
"　雖然大家","0","12","0","1130012","0","1","8","0","13"
"","1","13","0","1130013","1.45","4","0","0","13"
"口口聲聲說自己別有所圖，","0","14","0","1130014","0","1","8","0","13"
"","1","15","0","1130015","2.75","4","0","0","13"
"但是我相信事情一定不是那樣的。\n","0","16","0","1130016","0","1","8","0","13"
"","1","17","0","1130017","3.25","4","0","0","13"
"","0","18","vo_10011600_1304","1130018","0","2","0","vo_10011600","13"
"能夠像這樣和大家並肩作戰，","0","19","0","1130019","0","1","8","0","13"
"","1","20","0","1130020","2.75","4","0","0","13"
"我真的很高興。\n","0","21","0","1130021","0","1","8","0","13"
"","1","22","0","1130022","2.5","4","0","0","13"
"","0","23","vo_10011600_1305","1130023","0","2","0","vo_10011600","13"
"感覺就像……","0","24","0","1130024","0","1","8","0","13"
"","1","25","0","1130025","1.75","4","0","0","13"
"和大家…","0","26","0","1130026","0","1","8","0","13"
"","1","27","0","1130027","1.375","4","0","0","13"
"變成了同伴。","0","28","0","1130028","0","1","8","0","13"
"","1","29","0","1130029","2.125","4","0","0","13"
"","0","1","vo_10011600_1401","1140001","0","2","0","vo_10011600","14"
"　今天是","0","2","0","1140002","0","1","8","0","14"
"","1","3","0","1140003","1.5","4","0","0","14"
"在聖德蕾莎女學院上課的","0","4","0","1140004","0","1","7","0","14"
"","1","5","0","1140005","3.60714285714286","4","0","0","14"
"……最後一天。\n","0","6","0","1140006","0","1","8","0","14"
"","1","7","0","1140007","3.25","4","0","0","14"
"","0","8","vo_10011600_1402","1140008","0","2","0","vo_10011600","14"
"一開始聽見美里老師提出這項要求時，","0","9","0","1140009","0","1","8","0","14"
"","1","10","0","1140010","3.375","4","0","0","14"
"我認為自己一定無法辦到。","0","11","0","1140011","0","1","8","0","14"
"","1","12","0","1140012","3.125","4","0","0","14"
"","0","13","vo_10011600_1403","1140013","0","2","0","vo_10011600","14"
"　但是現在心中卻十分不捨，","0","14","0","1140014","0","1","8","0","14"
"","1","15","0","1140015","2.625","4","0","0","14"
"於是像這樣靠著寫日記紀錄一切。\n","0","16","0","1140016","0","1","8","0","14"
"","1","17","0","1140017","3.375","4","0","0","14"
"","0","18","vo_10011600_1404","1140018","0","2","0","vo_10011600","14"
"　閉上眼睛，","0","19","0","1140019","0","1","8","0","14"
"","1","20","0","1140020","2","4","0","0","14"
"那個人和","0","21","0","1140021","0","1","8","0","14"
"","1","22","0","1140022","1.5","4","0","0","14"
"好朋友社的各位、","0","23","0","1140023","0","1","8","0","14"
"","1","24","0","1140024","2.125","4","0","0","14"
"以及所有對我親切友好的同學們。\n\n","0","25","0","1140025","0","1","8","0","14"
"","1","26","0","1140026","6.375","4","0","0","14"
