9543b4d9cebca4c215ae86db40d17db7d63e46fa06d8e6105cc70f05d4ccc24a,0a7d2f617f14805ab1bf53788cb113b8c1cc5780d48d6a3768824d7e9226202b,f5a37be1d03ae303d4967b3cde4a155eaf3eb8ed9e1a7b4dfacd11b5a4ff5701,dd5a556a8030e03a05fb8631d8d31f467a54bcfdf55cf4a76c066268e64f0e9d,e741cbe2fe59347759f4924f8d38544c612ab68bbe25885792d1cfb6d450a2ad
"提升物理防禦力（不可降低）","25","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92407120","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","26","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92407120","boss_magic_def_lower_limit"
"賦予TP上升的上限","27","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92407120","17"
"降低HP吸收","28","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92407120","9"
"減少降低TP","29","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92407120","boss_tp_down_cut"
"火屬性獎勵特大幅度提升","30","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92407130","12"
"傷害值衰減","31","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92407130","18"
"提升物理防禦力（不可降低）","32","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92407130","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","33","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92407130","boss_magic_def_lower_limit"
"賦予TP上升的上限","34","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92407130","17"
"降低HP吸收","35","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92407130","9"
"減少降低TP","36","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92407130","boss_tp_down_cut"
"火屬性獎勵特大幅度提升","37","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92407140","12"
"傷害值衰減","38","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92407140","18"
"提升物理防禦力（不可降低）","39","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92407140","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","40","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92407140","boss_magic_def_lower_limit"
"賦予TP上升的上限","41","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92407140","17"
"降低HP吸收","42","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92407140","9"
"減少降低TP","43","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92407140","boss_tp_down_cut"
"火屬性獎勵特大幅度提升","44","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92407210","12"
"傷害值衰減","45","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92407210","18"
"提升物理防禦力（不可降低）","46","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92407210","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","47","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92407210","boss_magic_def_lower_limit"
"賦予TP上升的上限","48","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92407210","17"
"降低HP吸收","49","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92407210","9"
"減少降低TP","50","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92407210","boss_tp_down_cut"
"TP恢復","51","戰鬥開始時，所有怪物特大幅度恢復自身的ＴＰ。","92407210","energy_recover"
"火屬性獎勵特大幅度提升","52","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92407220","12"
"傷害值衰減","53","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92407220","18"
"提升物理防禦力（不可降低）","54","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92407220","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","55","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92407220","boss_magic_def_lower_limit"
"賦予TP上升的上限","56","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92407220","17"
"降低HP吸收","57","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92407220","9"
"減少降低TP","58","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92407220","boss_tp_down_cut"
"火屬性獎勵特大幅度提升","59","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92407230","12"
"傷害值衰減","60","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92407230","18"
"提升物理防禦力（不可降低）","61","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92407230","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","62","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92407230","boss_magic_def_lower_limit"
"賦予TP上升的上限","63","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92407230","17"
"降低HP吸收","64","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92407230","9"
"減少降低TP","65","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92407230","boss_tp_down_cut"
"火屬性獎勵特大幅度提升","66","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92407240","12"
"傷害值衰減","67","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92407240","18"
"提升物理防禦力（不可降低）","68","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92407240","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","69","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92407240","boss_magic_def_lower_limit"
"賦予TP上升的上限","70","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92407240","17"
"降低HP吸收","71","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92407240","9"
"減少降低TP","72","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92407240","boss_tp_down_cut"
"火屬性獎勵特大幅度提升","73","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92407310","12"
"傷害值衰減","74","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92407310","18"
"提升物理防禦力（不可降低）","75","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92407310","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","76","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92407310","boss_magic_def_lower_limit"
"賦予TP上升的上限","77","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92407310","17"
"降低HP吸收","78","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92407310","9"
"減少降低TP","79","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92407310","boss_tp_down_cut"
"火屬性獎勵特大幅度提升","80","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92407320","12"
"傷害值衰減","81","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92407320","18"
"提升物理防禦力（不可降低）","82","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92407320","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","83","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92407320","boss_magic_def_lower_limit"
"賦予TP上升的上限","84","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92407320","17"
"降低HP吸收","85","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92407320","9"
"減少降低TP","86","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92407320","boss_tp_down_cut"
"火屬性獎勵特大幅度提升","87","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92407330","12"
"傷害值衰減","88","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92407330","18"
"提升物理防禦力（不可降低）","89","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92407330","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","90","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92407330","boss_magic_def_lower_limit"
"賦予TP上升的上限","91","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92407330","17"
"降低HP吸收","92","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92407330","9"
"減少降低TP","93","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92407330","boss_tp_down_cut"
"火屬性獎勵特大幅度提升","94","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92407340","12"
"傷害值衰減","95","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92407340","18"
"提升物理防禦力（不可降低）","96","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92407340","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","97","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92407340","boss_magic_def_lower_limit"
"賦予TP上升的上限","98","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92407340","17"
"降低HP吸收","99","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92407340","9"
"減少降低TP","100","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92407340","boss_tp_down_cut"
"水屬性獎勵特大幅度提升","101","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92408010","13"
"提升物理防禦力（不可降低）","102","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92408010","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","103","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92408010","boss_magic_def_lower_limit"
"賦予TP上升的上限","104","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92408010","17"
"降低HP吸收","105","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92408010","9"
"水屬性獎勵特大幅度提升","106","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92408020","13"
"提升物理防禦力（不可降低）","107","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92408020","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","108","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92408020","boss_magic_def_lower_limit"
"賦予TP上升的上限","109","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92408020","17"
"降低HP吸收","110","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92408020","9"
"水屬性獎勵特大幅度提升","111","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92408030","13"
"提升物理防禦力（不可降低）","112","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92408030","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","113","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92408030","boss_magic_def_lower_limit"
"賦予TP上升的上限","114","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92408030","17"
"降低HP吸收","115","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92408030","9"
"水屬性獎勵特大幅度提升","116","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92408110","13"
"提升物理防禦力（不可降低）","117","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92408110","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","118","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92408110","boss_magic_def_lower_limit"
"減少降低TP","119","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92408110","boss_tp_down_cut"
"傷害值衰減","120","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92408110","18"
"賦予TP上升的上限","121","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92408110","17"
"降低HP吸收","122","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92408110","9"
"水屬性獎勵特大幅度提升","123","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92408120","13"
"提升物理防禦力（不可降低）","124","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92408120","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","125","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92408120","boss_magic_def_lower_limit"
"減少降低TP","126","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92408120","boss_tp_down_cut"
"傷害值衰減","127","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92408120","18"
"賦予TP上升的上限","128","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92408120","17"
"降低HP吸收","129","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92408120","9"
"水屬性獎勵特大幅度提升","130","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92408130","13"
"提升物理防禦力（不可降低）","131","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92408130","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","132","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92408130","boss_magic_def_lower_limit"
"減少降低TP","133","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92408130","boss_tp_down_cut"
"傷害值衰減","134","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92408130","18"
"賦予TP上升的上限","135","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92408130","17"
"降低HP吸收","136","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92408130","9"
"水屬性獎勵特大幅度提升","137","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92408140","13"
"提升物理防禦力（不可降低）","138","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92408140","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","139","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92408140","boss_magic_def_lower_limit"
"減少降低TP","140","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92408140","boss_tp_down_cut"
"傷害值衰減","141","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92408140","18"
"賦予TP上升的上限","142","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92408140","17"
"降低HP吸收","143","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92408140","9"
"水屬性獎勵特大幅度提升","144","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92408210","13"
"提升物理防禦力（不可降低）","145","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92408210","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","146","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92408210","boss_magic_def_lower_limit"
"減少降低TP","147","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92408210","boss_tp_down_cut"
"傷害值衰減","148","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92408210","18"
"賦予TP上升的上限","149","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92408210","17"
"降低HP吸收","150","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92408210","9"
"水屬性獎勵特大幅度提升","151","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92408220","13"
"提升物理防禦力（不可降低）","152","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92408220","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","153","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92408220","boss_magic_def_lower_limit"
"減少降低TP","154","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92408220","boss_tp_down_cut"
"傷害值衰減","155","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92408220","18"
"賦予TP上升的上限","156","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92408220","17"
"降低HP吸收","157","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92408220","9"
"水屬性獎勵特大幅度提升","158","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92408230","13"
"提升物理防禦力（不可降低）","159","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92408230","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","160","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92408230","boss_magic_def_lower_limit"
"減少降低TP","161","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92408230","boss_tp_down_cut"
"傷害值衰減","162","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92408230","18"
"賦予TP上升的上限","163","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92408230","17"
"降低HP吸收","164","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92408230","9"
"水屬性獎勵特大幅度提升","165","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92408240","13"
"提升物理防禦力（不可降低）","166","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92408240","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","167","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92408240","boss_magic_def_lower_limit"
"減少降低TP","168","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92408240","boss_tp_down_cut"
"傷害值衰減","169","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92408240","18"
"賦予TP上升的上限","170","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92408240","17"
"降低HP吸收","171","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92408240","9"
"水屬性獎勵特大幅度提升","172","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92408310","13"
"提升物理防禦力（不可降低）","173","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92408310","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","174","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92408310","boss_magic_def_lower_limit"
"減少降低TP","175","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92408310","boss_tp_down_cut"
"傷害值衰減","176","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92408310","18"
"賦予TP上升的上限","177","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92408310","17"
"降低HP吸收","178","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92408310","9"
"水屬性獎勵特大幅度提升","179","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92408320","13"
"提升物理防禦力（不可降低）","180","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92408320","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","181","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92408320","boss_magic_def_lower_limit"
"減少降低TP","182","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92408320","boss_tp_down_cut"
"傷害值衰減","183","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92408320","18"
"賦予TP上升的上限","184","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92408320","17"
"降低HP吸收","185","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92408320","9"
"水屬性獎勵特大幅度提升","186","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92408330","13"
"提升物理防禦力（不可降低）","187","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92408330","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","188","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92408330","boss_magic_def_lower_limit"
"減少降低TP","189","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92408330","boss_tp_down_cut"
"傷害值衰減","190","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92408330","18"
"賦予TP上升的上限","191","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92408330","17"
"降低HP吸收","192","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92408330","9"
"水屬性獎勵特大幅度提升","193","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92408340","13"
"提升物理防禦力（不可降低）","194","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92408340","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","195","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92408340","boss_magic_def_lower_limit"
"減少降低TP","196","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92408340","boss_tp_down_cut"
"傷害值衰減","197","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92408340","18"
"賦予TP上升的上限","198","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92408340","17"
"降低HP吸收","199","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92408340","9"
"闇屬性獎勵特大幅度提升","200","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409010","16"
