80642156e16321369d271e8ece3af05ba4ad14685e836531f33270a8045b29ac,592d4d9be929697574af37eb6a6a3bc1850b8dc4dc471de629a786d747df3340,2a15c38f772b6cda6ce8dc862ff0fe61c178e5aee91ab88e04756a2c0e9a3804,3f35a2664e35fc856781fc6a9856494d1a921cda553b7f904dfc3bdc286880d7,614891ca9874fb7e17b4f41cb6c904f5eb643086a65e23830f44d2305cef5815,9a48808966ccf8e3bc5d8a8326b7b74a5607d42800441f054787b6f332ee0fa6,ed18b53ac5cc8ec2c8964824eecb9d1b5ca57908df9ce4adc1db3d3f080b7f40,a42ce70d89d597d719514e36e7b6d3a84f3ccdc55641e682148170a692203173
"2","ENEMY_SELECT_GREAT2","嘿嘿～！是「{0}」！","srt_inori_react_1,srt_inori_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle"
"-1","ENEMY_SELECT_WAIT","","","","","",""
"1","ENEMY_SELECT_N","嘉夜夜，最後那是「鼻音」啊……","","out_071","","srt_kaya_shock",""
"1","PLAYER_TURN1","「{0}」嗎？\n接著是由「{1}」韻所開頭的詞呢。","srt_inori_thinking","","","srt_kaya_waiting","srt_dragon_thinking"
"1","PLAYER_TURN2","「{0}」嗎？\n嗯――，由「{1}」韻當開頭的詞有……","srt_inori_thinking","","","srt_kaya_waiting","srt_dragon_thinking"
"1","PLAYER_TURN3","原來如此，是「{0}」呢。\n唔呣，由「{1}」韻作為開頭的詞有……","srt_inori_thinking","","","srt_kaya_waiting","srt_dragon_thinking"
"1","PLAYER_TURN_TW1","哎呀，是「{0}」嗎？\n「{1}」這個韻有點特別，只要是\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個單音，\n都可以用來接「{1}」韻所開頭的詞呢。","srt_inori_thinking","","","srt_kaya_waiting","srt_dragon_thinking"
"1","PLAYER_TURN_TW2","哇啊，是「{0}」嗎？\n如果是「{1}」這個韻的話，像是\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個單音，\n跟「{1}」這個韻也是可以接上的喔！所以……","srt_inori_thinking","","","srt_kaya_waiting","srt_dragon_thinking"
"1","PLAYER_TURN_TW3","原來是「{0}」嗎？\n「{1}」這個韻可以接其他的注音，例如\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個發音，\n唔呣，所以我要選的詞應該是……","srt_inori_thinking","","","srt_kaya_waiting","srt_dragon_thinking"
"1","PLAYER_CUTIN_GREAT","","","sugoyomi_cutin_049,sugoyomi_cutin_051,sugoyomi_cutin_053","","",""
"1","PLAYER_CUTIN_PRICONNE","","","sugoyomi_cutin_050,sugoyomi_cutin_052","","",""
"1","PLAYER_SELECT1","「{0}」！","srt_inori_select_1,srt_inori_idle","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","","srt_kaya_react_1,srt_kaya_waiting","srt_dragon_select_1,srt_dragon_idle"
"1","PLAYER_SELECT2","是「{0}」呀！","srt_inori_select_2,srt_inori_idle","correct_030-correct_031,correct_035-correct_036","","srt_kaya_react_2,srt_kaya_waiting","srt_dragon_select_2,srt_dragon_idle"
"1","PLAYER_SELECT_GREAT1","「{0}」這個詞如何！","srt_inori_select_1,srt_inori_idle","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","","srt_kaya_react_1,srt_kaya_waiting","srt_dragon_select_1,srt_dragon_idle"
"1","PLAYER_SELECT_GREAT2","哼哼～♪「{0}」！","srt_inori_select_2,srt_inori_idle","correct_030-correct_031,correct_035-correct_036","","srt_kaya_react_2,srt_kaya_waiting","srt_dragon_select_2,srt_dragon_idle"
"1","PLAYER_SELECT_PRECONNE1","呵呵呵，那就是\n「{0}」了！","srt_inori_select_1,srt_inori_idle","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","","srt_kaya_react_1,srt_kaya_waiting","srt_dragon_select_1,srt_dragon_idle"
"1","PLAYER_SELECT_PRECONNE2","腦中靈光一閃！\n是「{0}」呀！","srt_inori_select_2,srt_inori_idle","correct_030-correct_031,correct_035-correct_036","","srt_kaya_react_2,srt_kaya_waiting","srt_dragon_select_2,srt_dragon_idle"
"-1","PLAYER_SELECT_WAIT","","","","","",""
"1","PLAYER_MISS","哇嗚！我、我搞錯了……","srt_inori_miss,srt_inori_thinking","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046","","srt_kaya_react_3,srt_kaya_waiting","srt_dragon_miss,srt_dragon_thinking"
"2","PLAYER_SELECT_N","喂喂，尾音是「鼻音」耶……","srt_inori_shock","out_070","","srt_kaya_react_4",""
"1","INFEVER","我要積極進攻囉！","srt_inori_thinking","rush","","srt_kaya_infever","srt_dragon_thinking"
"1","FEVER_SELECT1","「{0}」！","srt_inori_select_1","correct_028-correct_029,correct_037-correct_038","","","srt_dragon_select_1"
"1","FEVER_SELECT2","是「{0}」呀！","srt_inori_select_2","correct_030-correct_031,correct_035-correct_036","","","srt_dragon_select_2"
"1","FEVER_MISS","哇嗚！我、我搞錯了……","srt_inori_miss","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046,mistake_047-mistake_048","","","srt_dragon_miss"
"1","FEVER_DAMAGE","給我覺悟吧！","srt_inori_fever_attack","rush_attack","","srt_kaya_fever_damage","srt_dragon_fever_attack"
"1","WIN_HP","是我贏了！！","srt_inori_win_1","win_005-win_006,win_012-win_013","","srt_kaya_lose","srt_dragon_win"
"1","WIN_N","是我贏了！！","srt_inori_win_1","win_005-win_006,win_012-win_013","","","srt_dragon_win"
"1","LOSE_MISS","嗚嗚……是我輸了……","srt_inori_lose","lose_017,lose_019,lose_023","","srt_kaya_win","srt_dragon_lose"
"1","LOSE_N","嗚嗚……是我輸了……","","lose_017,lose_019,lose_023","","","srt_dragon_miss"
"1","TIMEUP","時、時間到了嗎！？我太大意了…… ","srt_inori_lose","lose_025/lose_026-boss_emote_068,lose_021","","srt_kaya_win","srt_dragon_lose"
"1","LOSE_MISS2","嗚嗚……是我輸了……\n沒想到還有「{0}」可以接……","srt_inori_lose","lose_017,lose_019,lose_023","","srt_kaya_win","srt_dragon_lose"
"1","LOSE_N2","嗚嗚……是我輸了……\n應該還有「{0}」這個詞可以用……","","lose_017,lose_019,lose_023","","","srt_dragon_miss"
"1","TIMEUP2","時、時間到了嗎！？我太大意了…… \n應該要選「{0}」這個詞才對……","srt_inori_lose","lose_025/lose_026-boss_emote_068,lose_021","","srt_kaya_win","srt_dragon_lose"
