9f27ed496f2146b97eb019fb37812e37528fdd7c9ac10c65845c1df467003d8e,cdf262d8ca4118ef105662a7528c970cd84d92fdef97c258c55534e85ab29a99,6e2d5b289053c1a56c10e0f499d06d4d38c06663ed04bc2c107db36e6fdc6f18,8791d7621fbcf803aa8f55fe04a8dd66d1e7d41d1d0887302b82083d15c76acf,bb371635f751bd181f3f55cc19c6bf1c1c73a5cccceb5b098074c7914682a362,4eab1af55706dfecf35b5706a6e99596542a1fdb1f1f19d1c3f9971e7275a910,701a49908a44d23db6fafc4fb4cb166d14b514a299af297b82b3bccbc8454c56
"2023/07/21 04:59:59","0","9006004","86","2023/07/20 05:00:00","80008","3"
"2023/07/22 04:59:59","0","9006005","87","2023/07/21 05:00:00","80008","3"
"2023/07/23 04:59:59","0","9006006","88","2023/07/22 05:00:00","80008","3"
"2023/07/24 04:59:59","0","9006007","89","2023/07/23 05:00:00","80008","3"
"2023/07/25 04:59:59","0","9006008","90","2023/07/24 05:00:00","80008","3"
"2023/07/26 04:59:59","0","9006009","91","2023/07/25 05:00:00","80008","3"
"2023/07/27 04:59:59","0","9006010","92","2023/07/26 05:00:00","80008","3"
"2023/07/28 04:59:59","0","9006011","93","2023/07/27 05:00:00","80008","3"
"2023/07/29 04:59:59","0","9006012","94","2023/07/28 05:00:00","80008","3"
"2023/07/30 04:59:59","0","9006013","95","2023/07/29 05:00:00","80008","3"
"2023/07/31 04:59:59","0","9006014","96","2023/07/30 05:00:00","80008","3"
"2023/08/01 04:59:59","0","9006015","97","2023/07/31 05:00:00","80008","3"
"2023/08/02 04:59:59","1","9006016","98","2023/08/01 05:00:00","80008","3"
"2024/01/25 04:59:59","0","9007001","99","2024/01/24 05:00:00","80009","3"
"2024/01/26 04:59:59","0","9007002","100","2024/01/25 05:00:00","80009","3"
"2024/01/27 04:59:59","0","9007003","101","2024/01/26 05:00:00","80009","3"
"2024/01/28 04:59:59","0","9007004","102","2024/01/27 05:00:00","80009","3"
"2024/01/29 04:59:59","0","9007005","103","2024/01/28 05:00:00","80009","3"
"2024/01/30 04:59:59","0","9007006","104","2024/01/29 05:00:00","80009","3"
"2024/01/31 04:59:59","0","9007007","105","2024/01/30 05:00:00","80009","3"
"2024/02/01 04:59:59","0","9007008","106","2024/01/31 05:00:00","80009","3"
"2024/02/02 04:59:59","0","9007009","107","2024/02/01 05:00:00","80009","3"
"2024/02/03 04:59:59","0","9007010","108","2024/02/02 05:00:00","80009","3"
"2024/02/04 04:59:59","0","9007011","109","2024/02/03 05:00:00","80009","3"
"2024/02/05 04:59:59","0","9007012","110","2024/02/04 05:00:00","80009","3"
"2024/02/06 04:59:59","0","9007013","111","2024/02/05 05:00:00","80009","3"
"2024/02/07 04:59:59","0","9007014","112","2024/02/06 05:00:00","80009","3"
"2024/02/08 04:59:59","1","9007015","113","2024/02/07 05:00:00","80009","3"
"2024/04/06 04:59:59","0","400","114","2024/04/04 05:00:00","70010","0"
"2024/04/08 04:59:59","0","401","115","2024/04/06 05:00:00","70012","0"
"0","0","440","116","0","70011","1"
"2024/07/18 04:59:59","0","9008001","117","2024/07/17 05:00:00","80010","3"
"2024/07/19 04:59:59","0","9008002","118","2024/07/18 05:00:00","80010","3"
"2024/07/20 04:59:59","0","9008003","119","2024/07/19 05:00:00","80010","3"
"2024/07/21 04:59:59","0","9008004","120","2024/07/20 05:00:00","80010","3"
"2024/07/22 04:59:59","0","9008005","121","2024/07/21 05:00:00","80010","3"
"2024/07/23 04:59:59","0","9008006","122","2024/07/22 05:00:00","80010","3"
"2024/07/24 04:59:59","0","9008007","123","2024/07/23 05:00:00","80010","3"
"2024/07/25 04:59:59","0","9008008","124","2024/07/24 05:00:00","80010","3"
"2024/07/26 04:59:59","0","9008009","125","2024/07/25 05:00:00","80010","3"
"2024/07/27 04:59:59","0","9008010","126","2024/07/26 05:00:00","80010","3"
"2024/07/28 04:59:59","0","9008011","127","2024/07/27 05:00:00","80010","3"
"2024/07/29 04:59:59","1","9008012","128","2024/07/28 05:00:00","80010","3"
"2024/07/30 04:59:59","1","9008013","129","2024/07/29 05:00:00","80010","3"
"2024/07/31 04:59:59","1","9008014","130","2024/07/30 05:00:00","80010","3"
"2024/08/01 04:59:59","1","9008015","131","2024/07/31 05:00:00","80010","3"
"2024/08/02 04:59:59","1","9008016","132","2024/08/01 05:00:00","80010","3"
"2025/01/19 04:59:59","0","9009001","133","2025/01/18 05:00:00","80011","3"
"2025/01/20 04:59:59","0","9009002","134","2025/01/19 05:00:00","80011","3"
"2025/01/21 04:59:59","0","9009003","135","2025/01/20 05:00:00","80011","3"
"2025/01/22 04:59:59","0","9009004","136","2025/01/21 05:00:00","80011","3"
"2025/01/23 04:59:59","0","9009005","137","2025/01/22 05:00:00","80011","3"
"2025/01/24 04:59:59","0","9009006","138","2025/01/23 05:00:00","80011","3"
"2025/01/25 04:59:59","0","9009007","139","2025/01/24 05:00:00","80011","3"
"2025/01/26 04:59:59","0","9009008","140","2025/01/25 05:00:00","80011","3"
"2025/01/27 04:59:59","0","9009009","141","2025/01/26 05:00:00","80011","3"
"2025/01/28 04:59:59","0","9009010","142","2025/01/27 05:00:00","80011","3"
"2025/01/29 04:59:59","0","9009011","143","2025/01/28 05:00:00","80011","3"
"2025/01/30 04:59:59","0","9009012","144","2025/01/29 05:00:00","80011","3"
"2025/01/31 04:59:59","0","9009013","145","2025/01/30 05:00:00","80011","3"
"2025/02/01 04:59:59","0","9009014","146","2025/01/31 05:00:00","80011","3"
"2025/02/02 04:59:59","1","9009015","147","2025/02/01 05:00:00","80011","3"
"2025/04/04 04:59:59","0","400","148","2025/04/03 05:00:00","70014","0"
"2025/04/05 04:59:59","0","401","149","2025/04/04 05:00:00","70015","0"
