e8abe84008bace5b6abae3df2221662d8455056afcc89824eb1fd00e6d2b1285,07fe82521389c79e888e93c613db2885cc73ac8e1a83cc5fd25009432002c3d2,9c3b36005f4feb64c164bf5fd3d6e12a2d747f037e6e65bb4954ca5d0afa9425,c779abfded361676e0334c2ec03eaea75f0b2edfcbed0080911f0f90b12cdb52,47c92fdb98f959ad2488b5256863ec9051313968497511fa6fe28cb746e1bf1b,f2cd3c4ab1cc8d04312244d302eff36889c8fac8305577c40cb58fdce4261344,32610ab0df055f6f80ae026df69d573b9a0d9c35a53fa425a10cf371b30b3764,a6dcc42514b1a6de69beac5243ddb9970d6f35bbfec521ebf6b16a6c79a1b333,51d87f74c2721bbe8ede99b3cb5ba65e977eb1b59b3d46865949d1c333c4840c,bd2f34202a2e1aff8c0447ad66254e08cb87c3b71c1871e44498298587bd5022,f4e2cf8e0dec3ace79b35ebe68da9a359d60c9c18e0e25c51efaeac56953a42e
"","105811","0.2","1","","","3","travel_topdrama_r_2000_idle_smile","20012","1200120017",""
"","","","","","","112","","20012","1200120018",""
"","0","","","","","91","","20012","1200120019",""
"-68","1","0.8","101","42","1","1","100211","20021","1200210001","travel_topdrama_r_2000_idle_normal"
"-68","1","0.8","102","-42","0","1","100111","20021","1200210002","travel_topdrama_r_2002_sitting_loop"
"-68","3","0.8","100","-42","0","5","3","20021","1200210003","travel_topdrama_r_2002_sitting_loop"
"-75","0","1","110","0","0","5","0","20021","1200210004","mana"
"","0","","","","","91","","20021","1200210005",""
"","10","","","","","93","0","20021","1200210006",""
"","1200210006","","","","","101","","20021","1200210007",""
"","0","0","0","","","3","none","20021","1200210008",""
"","0","","","","","91","","20021","1200210009",""
"","100211","","","","","13","103","20022","1200220001",""
"","100111","","","","","13","104","20022","1200220002",""
"1","100211","0.2","1","","","3","travel_topdrama_r_2000_talk_normal","20022","1200220003",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20002_00","20022","1200220004",""
"1","100211","0","10","1","0","11","嗯，這樣應該就沒問題了。\n傷口應該都癒合了，\n還有哪裡會痛嗎？","20022","1200220005","0"
"","0","","","","","91","","20022","1200220006",""
"","100211","0.2","1","","","3","travel_topdrama_r_2000_idle_normal","20022","1200220007",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20002_01","20022","1200220008",""
"1","100111","0","10","1","0","11","沒問題了，謝謝妳！\n果然在長途的旅程中，\n優衣的魔法非常可靠呢♪","20022","1200220009","0"
"","0","","","","","91","","20022","1200220010",""
"1","100211","0.2","0","travel_topdrama_r_2000_talk_wish_loop_joy","","3","travel_topdrama_r_2000_talk_wish_in_joy","20022","1200220011",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20002_02","20022","1200220012",""
"1","100211","0","10","1","0","11","不用客氣♪\n雖然不要受傷最好的，但有\n困難的時候不用客氣儘管跟我說唷？","20022","1200220013","0"
"","0","","","","","91","","20022","1200220014",""
"","100211","0.2","1","","","3","travel_topdrama_r_2000_idle_wish_joy","20022","1200220015",""
"","","","","","","112","","20022","1200220016",""
"","0","","","","","91","","20022","1200220017",""
"-68","1","0.8","101","-42","0","1","100411","20031","1200310001","travel_topdrama_r_2000_idle_doya"
"-68","1","0.8","102","42","1","1","102011","20031","1200310002","travel_topdrama_r_2000_idle_normal"
"-75","0","1","110","0","0","5","0","20031","1200310003","mana"
"","0","","","","","91","","20031","1200310004",""
"","10","","","","","93","0","20031","1200310005",""
"","1200310005","","","","","101","","20031","1200310006",""
"","0","0","0","","","3","none","20031","1200310007",""
"","0","","","","","91","","20031","1200310008",""
"","100411","","","","","13","103","20032","1200320001",""
"","102011","","","","","13","104","20032","1200320002",""
"1","100411","0.2","0","travel_topdrama_r_2000_talk_doya_loop","","3","travel_topdrama_r_2000_talk_doya_in","20032","1200320003",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20003_00","20032","1200320004",""
"1","100411","0","10","1","0","11","冒險的準備是非常重要的！\n所以為了不要迷路\n把指南針給帶來了～♪","20032","1200320005","0"
"","0","","","","","91","","20032","1200320006",""
"","100411","0.2","1","","","3","travel_topdrama_r_2000_idle_doya","20032","1200320007",""
"1","102011","0.2","0","travel_topdrama_r_2000_talk_wish_loop","","3","travel_topdrama_r_2000_talk_wish_in","20032","1200320008",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20003_01","20032","1200320009",""
"1","102011","0","10","1","0","11","禊好厲害呀～♪\n這個指南針一直轉來轉去的，\n要怎麼看方向呀～？","20032","1200320010","0"
"","0","","","","","91","","20032","1200320011",""
"","102011","0.2","1","","","3","travel_topdrama_r_2000_idle_wish","20032","1200320012",""
"1","100411","0.2","0","travel_topdrama_r_2000_talk_sad_loop_surprise2","","3","travel_topdrama_r_2000_talk_sad_in_surprise2","20032","1200320013",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20003_02","20032","1200320014",""
"1","100411","0","10","1","0","11","咦？轉來轉去？\n……啊～！？惡作劇要用的磁鐵，\n不小心放在同一個口袋裡了～！","20032","1200320015","0"
"","0","","","","","91","","20032","1200320016",""
"","100411","0.2","1","","","3","travel_topdrama_r_2000_idle_sad_surprise2","20032","1200320017",""
"","","","","","","112","","20032","1200320018",""
"","0","","","","","91","","20032","1200320019",""
"-68","1","0.8","101","42","1","1","105311","20041","1200410001","travel_topdrama_r_2000_idle_normal"
"-68","1","0.8","102","-42","0","1","104511","20041","1200410002","travel_topdrama_r_2000_idle_wish"
"-75","0","1","110","0","0","5","0","20041","1200410003","mana"
"","0","","","","","91","","20041","1200410004",""
"","10","","","","","93","0","20041","1200410005",""
"","1200410005","","","","","101","","20041","1200410006",""
"","0","0","0","","","3","none","20041","1200410007",""
"","0","","","","","91","","20041","1200410008",""
"","105311","","","","","13","103","20042","1200420001",""
"","104511","","","","","13","104","20042","1200420002",""
"1","105311","0.2","0","travel_topdrama_r_2000_talk_surprise_loop_sad","","3","travel_topdrama_r_2000_talk_surprise_in_sad","20042","1200420003",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20004_00","20042","1200420004",""
"1","105311","0","10","1","0","11","怎、怎麼了空花！？\n臉紅通通的，還出了這麼多汗……\n是有哪裡不舒服的嘛！？","20042","1200420005","0"
"","0","","","","","91","","20042","1200420006",""
"","105311","0.2","1","","","3","travel_topdrama_r_2000_idle_surprise_sad","20042","1200420007",""
"1","104511","0.2","1","","","3","travel_topdrama_r_2000_talk_wish_loop","20042","1200420008",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20004_01","20042","1200420009",""
"1","104511","0","10","1","0","11","現在要去的地方有從未見過\n的可怕魔物，與其對峙空花一定\n會受到前所未有的凌虐……♪","20042","1200420010","0"
"","0","","","","","91","","20042","1200420011",""
"","104511","0.2","1","","","3","travel_topdrama_r_2000_idle_wish","20042","1200420012",""
"1","105311","0.2","0","travel_topdrama_r_2000_talk_doya_loop_sad","","3","travel_topdrama_r_2000_talk_doya_in_sad","20042","1200420013",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20004_02","20042","1200420014",""
"1","105311","0","10","1","0","11","啊，平常的妄想啊。\n整個白擔心了的感覺，\n拜託妳集中進行任務啊！","20042","1200420015","0"
"","0","","","","","91","","20042","1200420016",""
"","105311","0.2","1","","","3","travel_topdrama_r_2000_idle_doya_sad","20042","1200420017",""
"","","","","","","112","","20042","1200420018",""
"","0","","","","","91","","20042","1200420019",""
"-68","1","0.8","101","-42","0","1","100911","20051","1200510001","travel_topdrama_r_2000_idle_thinking"
"-68","1","0.8","102","42","1","1","105611","20051","1200510002","travel_topdrama_r_2000_idle_arm_crossed"
"-75","0","1","110","0","0","5","0","20051","1200510003","mana"
"","0","","","","","91","","20051","1200510004",""
"","10","","","","","93","0","20051","1200510005",""
"","1200510005","","","","","101","","20051","1200510006",""
"","0","0","0","","","3","none","20051","1200510007",""
"","0","","","","","91","","20051","1200510008",""
"","100911","","","","","13","103","20052","1200520001",""
"","105611","","","","","13","104","20052","1200520002",""
"1","100911","0.2","1","","","3","travel_topdrama_r_2000_talk_thinking","20052","1200520003",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20005_00","20052","1200520004",""
"1","100911","0","10","1","0","11","潛在我內心的黑暗在訴說著……\n眾多的命運的線條會複雜的纏繞著，\n這趟旅程將會成為壯大的冒險記！","20052","1200520005","0"
"","0","","","","","91","","20052","1200520006",""
"","100911","0.2","1","","","3","travel_topdrama_r_2000_idle_thinking","20052","1200520007",""
"1","105611","0.2","0","travel_topdrama_r_2000_talk_arm_crossed_loop","","3","travel_topdrama_r_2000_talk_arm_crossed_in","20052","1200520008",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20005_01","20052","1200520009",""
"1","105611","0","10","1","0","11","這樣啊。\n那麼首先，妳可以先接受\n去收集柴火的命運嗎？","20052","1200520010","0"
"","0","","","","","91","","20052","1200520011",""
"","105611","0.2","1","","","3","travel_topdrama_r_2000_idle_arm_crossed","20052","1200520012",""
"1","100911","0.2","0","travel_topdrama_r_2000_talk_doya_loop","","3","travel_topdrama_r_2000_talk_doya_in_blink","20052","1200520013",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20005_02","20052","1200520014",""
"1","100911","0","10","1","0","11","哼，那命運的話早就已經接受了！\n……但是，那個，完全收集不全。\n可以的話能幫個忙嗎？","20052","1200520015","0"
"","0","","","","","91","","20052","1200520016",""
"","100911","0.2","1","","","3","travel_topdrama_r_2000_idle_doya","20052","1200520017",""
"","","","","","","112","","20052","1200520018",""
"","0","","","","","91","","20052","1200520019",""
"-68","1","0.8","101","42","1","1","110911","20061","1200610001","travel_topdrama_r_2000_idle_kyapi"
"-68","1","0.8","102","-42","0","1","110811","20061","1200610002","travel_topdrama_r_2000_idle_doya_sad"
"-75","0","1","110","0","0","5","0","20061","1200610003","mana"
"","0","","","","","91","","20061","1200610004",""
"","10","","","","","93","0","20061","1200610005",""
"","1200610005","","","","","101","","20061","1200610006",""
"","0","0","0","","","3","none","20061","1200610007",""
"","0","","","","","91","","20061","1200610008",""
"","110911","","","","","13","103","20062","1200620001",""
"","110811","","","","","13","104","20062","1200620002",""
"1","110911","0.2","0","travel_topdrama_r_2000_talk_kyapi_loop","","3","travel_topdrama_r_2000_talk_kyapi_in","20062","1200620003",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20006_00","20062","1200620004",""
"1","110911","0","10","1","0","11","切嚕～☆\n切嚕切啦，切唎啪，\n切切唎啵噗！","20062","1200620005","0"
"","0","","","","","91","","20062","1200620006",""
"","110911","0.2","1","","","3","travel_topdrama_r_2000_idle_kyapi","20062","1200620007",""
"1","110811","0.2","0","travel_topdrama_r_2000_talk_doya_loop_sad","","3","travel_topdrama_r_2000_talk_doya_in_sad","20062","1200620008",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20006_01","20062","1200620009",""
"1","110811","0","10","1","0","11","那個啊。我是不介意啦。\n你那腦筋很差的怪聲剛才引來\n了一大堆魔物的事情，已經忘掉了嗎？","20062","1200620010","0"
"","0","","","","","91","","20062","1200620011",""
"","110811","0.2","1","","","3","travel_topdrama_r_2000_idle_doya_sad","20062","1200620012",""
"1","110911","0.2","1","","","3","travel_topdrama_r_2000_talk_normal2","20062","1200620013",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20006_02","20062","1200620014",""
"1","110911","0","10","1","0","11","……那個時候\n真的是非常的抱歉。","20062","1200620015","0"
"","0","","","","","91","","20062","1200620016",""
"","110911","0.2","1","","","3","travel_topdrama_r_2000_idle_normal","20062","1200620017",""
"","","","","","","112","","20062","1200620018",""
"","0","","","","","91","","20062","1200620019",""
"-68","1","0.8","101","42","1","1","102911","20071","1200710001","travel_topdrama_r_2000_idle_smile"
"-68","1","0.8","102","-42","0","1","105411","20071","1200710002","travel_topdrama_r_2000_idle_sad"
"-75","0","1","110","0","0","5","0","20071","1200710003","mana"
"","0","","","","","91","","20071","1200710004",""
"","10","","","","","93","0","20071","1200710005",""
"","1200710005","","","","","101","","20071","1200710006",""
"","0","0","0","","","3","none","20071","1200710007",""
"","0","","","","","91","","20071","1200710008",""
"","102911","","","","","13","103","20072","1200720001",""
"","105411","","","","","13","104","20072","1200720002",""
"1","102911","0.2","0","travel_topdrama_r_2000_talk_smile_loop","","3","travel_topdrama_r_2000_talk_smile_in","20072","1200720003",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20007_00","20072","1200720004",""
"1","102911","0","10","1","0","11","這附近的地形，\n應該滿適合練習跳舞的吧？\n能陪我練習舞步嗎？","20072","1200720005","0"
"","0","","","","","91","","20072","1200720006",""
"","102911","0.2","1","","","3","travel_topdrama_r_2000_idle_smile","20072","1200720007",""
"1","105411","0.2","0","travel_topdrama_r_2000_talk_sad_loop","0.2","3","travel_topdrama_r_2007_dance","20072","1200720008",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20007_01","20072","1200720009",""
"1","105411","0","10","1","0","11","咦，這樣的感覺嗎？\n……哇哇，差點失去平衡！？\n還挺困難的呢……","20072","1200720010","0"
"","0","","","","","91","","20072","1200720011",""
"","105411","0.2","1","","","3","travel_topdrama_r_2000_idle_sad","20072","1200720012",""
"1","102911","0.2","0","travel_topdrama_r_2000_talk_smile_loop","","3","travel_topdrama_r_2000_talk_smile_in","20072","1200720013",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20007_02","20072","1200720014",""
"1","102911","0","10","1","0","11","也就是說這是不錯的練習呢！\n在去演唱會前，為了不忘記這地方，\n要把這地方寫下來呢♪","20072","1200720015","0"
"","0","","","","","91","","20072","1200720016",""
"","102911","0.2","1","","","3","travel_topdrama_r_2000_idle_smile","20072","1200720017",""
"","","","","","","112","","20072","1200720018",""
"","0","","","","","91","","20072","1200720019",""
"-68","1","0.8","101","42","1","1","104711","20081","1200810001","travel_topdrama_r_2000_idle_sad"
"-68","1","0.8","102","-42","0","1","107111","20081","1200810002","travel_topdrama_r_2000_idle_doya"
"-75","0","1","110","0","0","5","0","20081","1200810003","mana"
"","0","","","","","91","","20081","1200810004",""
"","10","","","","","93","0","20081","1200810005",""
"","1200810005","","","","","101","","20081","1200810006",""
"","0","0","0","","","3","none","20081","1200810007",""
"","0","","","","","91","","20081","1200810008",""
"","104711","","","","","13","103","20082","1200820001",""
"","107111","","","","","13","104","20082","1200820002",""
"1","104711","0.2","0","travel_topdrama_r_2000_talk_sad_loop","","3","travel_topdrama_r_2000_talk_sad_in","20082","1200820003",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20008_00","20082","1200820004",""
"1","104711","0","10","1","0","11","雖然有幾次離開王宮的機會，\n果然還是靜不下來呢……\n發生什麼事的時候也很難對應。","20082","1200820005","0"
"","0","","","","","91","","20082","1200820006",""
"","104711","0.2","1","","","3","travel_topdrama_r_2000_idle_sad","20082","1200820007",""
"1","107111","0.2","0","travel_topdrama_r_2000_talk_doya_loop","","3","travel_topdrama_r_2000_talk_doya_in","20082","1200820008",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20008_01","20082","1200820009",""
"1","107111","0","10","1","0","11","現在才在擔心也沒意義吧？\n放鬆心情好好享受這趟旅行吧。\n旅程還很長的呢☆","20082","1200820010","0"
"","0","","","","","91","","20082","1200820011",""
"","107111","0.2","1","","","3","travel_topdrama_r_2000_idle_doya","20082","1200820012",""
"1","104711","0.2","0","travel_topdrama_r_2000_talk_guts_loop","","3","travel_topdrama_r_2000_talk_guts_in","20082","1200820013",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20008_02","20082","1200820014",""
"1","104711","0","10","1","0","11","謝謝妳，克莉絲。\n王宮也有優秀的部下在，\n現在還是集中在面前的工作上吧。","20082","1200820015","0"
"","0","","","","","91","","20082","1200820016",""
"","104711","0.2","1","","","3","travel_topdrama_r_2000_idle_guts","20082","1200820017",""
"","","","","","","112","","20082","1200820018",""
"","0","","","","","91","","20082","1200820019",""
"-68","1","0.8","101","42","1","1","104011","20091","1200910001","travel_topdrama_r_2000_idle_guts2"
"-68","1","0.8","102","-42","0","1","101511","20091","1200910002","travel_topdrama_r_2000_idle_smile"
"-75","0","1","110","0","0","5","0","20091","1200910003","mana"
"","0","","","","","91","","20091","1200910004",""
"","10","","","","","93","0","20091","1200910005",""
"","1200910005","","","","","101","","20091","1200910006",""
"","0","0","0","","","3","none","20091","1200910007",""
"","0","","","","","91","","20091","1200910008",""
"","104011","","","","","13","103","20092","1200920001",""
"","101511","","","","","13","104","20092","1200920002",""
"1","104011","0.2","0","travel_topdrama_r_2000_talk_guts2_loop","","3","travel_topdrama_r_2000_talk_guts2_in","20092","1200920003",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20009_00","20092","1200920004",""
"1","104011","0","10","1","0","11","這次的冒險有許多公會\n會參加對吧……？\n難道這是，交朋友的好機會……？","20092","1200920005","0"
"","0","","","","","91","","20092","1200920006",""
"","104011","0.2","1","","","3","travel_topdrama_r_2000_idle_guts2","20092","1200920007",""
"1","101511","0.2","0","travel_topdrama_r_2000_talk_wish_loop_joy","","3","travel_topdrama_r_2000_talk_wish_in_joy","20092","1200920008",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20009_01","20092","1200920009",""
"1","101511","0","10","1","0","11","呵呵，是啊～\n一定會有不少的邂逅，\n試著多跟人搭話如何～？","20092","1200920010","0"
"","0","","","","","91","","20092","1200920011",""
"","101511","0.2","1","","","3","travel_topdrama_r_2000_idle_wish_joy","20092","1200920012",""
"1","104011","0.2","0","travel_topdrama_r_2000_talk_surprise_loop_sad","","3","travel_topdrama_r_2000_talk_surprise_in_sad","20092","1200920013",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20009_02","20092","1200920014",""
"1","104011","0","10","1","0","11","多……跟人搭話……！？\n一瞬間就喪失自信了……\n果然還是走在邊邊就好了……","20092","1200920015","0"
"","0","","","","","91","","20092","1200920016",""
"","104011","0.2","1","","","3","travel_topdrama_r_2000_idle_surprise_sad","20092","1200920017",""
"","","","","","","112","","20092","1200920018",""
"","0","","","","","91","","20092","1200920019",""
"-68","1","0.8","101","42","1","1","102611","20101","1201010001","travel_topdrama_r_2000_idle_sad"
"-68","1","0.8","102","-42","0","1","103311","20101","1201010002","travel_topdrama_r_2000_idle_doya_sad"
"-75","0","1","110","0","0","5","0","20101","1201010003","mana"
"","0","","","","","91","","20101","1201010004",""
"","10","","","","","93","0","20101","1201010005",""
"","1201010005","","","","","101","","20101","1201010006",""
"","0","0","0","","","3","none","20101","1201010007",""
"","0","","","","","91","","20101","1201010008",""
"","102611","","","","","13","103","20102","1201020001",""
"","103311","","","","","13","104","20102","1201020002",""
"1","102611","0.2","0","travel_topdrama_r_2000_talk_sad_loop","","3","travel_topdrama_r_2000_talk_sad_in","20102","1201020003",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20010_00","20102","1201020004",""
"1","102611","0","10","1","0","11","呼……呼……！\n已經走了好久了啊～！\n想回家了啦～想懶懶散散地度過～！","20102","1201020005","0"
"","0","","","","","91","","20102","1201020006",""
"","102611","0.2","1","","","3","travel_topdrama_r_2000_idle_sad","20102","1201020007",""
"1","103311","0.2","0","travel_topdrama_r_2000_talk_doya_loop_sad","","3","travel_topdrama_r_2000_talk_doya_in_sad","20102","1201020008",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20010_01","20102","1201020009",""
"1","103311","0","10","1","0","11","在說什麼呀～！\n鈴鈴最需要多走走，\n重新鍛鍊身體！","20102","1201020010","0"
"","0","","","","","91","","20102","1201020011",""
"","103311","0.2","1","","","3","travel_topdrama_r_2000_idle_doya_sad","20102","1201020012",""
"1","102611","0.2","1","","","3","travel_topdrama_r_2000_talk_dead","20102","1201020013",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20010_02","20102","1201020014",""
"1","102611","0","10","1","0","11","那種事情完全不需要啦……！\n總之讓我休息！休息～！\n不吃個橡子的話，我的腳會開始痠痛的～！","20102","1201020015","0"
"","0","","","","","91","","20102","1201020016",""
"","102611","0.2","1","","","3","travel_topdrama_r_2000_idle_dead","20102","1201020017",""
"","","","","","","112","","20102","1201020018",""
"","0","","","","","91","","20102","1201020019",""
"-68","1","0.8","101","42","1","1","104911","20111","1201110001","travel_topdrama_r_2000_idle_smile"
"-68","1","0.8","102","-42","0","1","101111","20111","1201110002","travel_topdrama_r_2000_idle_normal"
"-75","0","1","110","0","0","5","0","20111","1201110003","mana"
"","0","","","","","91","","20111","1201110004",""
"","10","","","","","93","0","20111","1201110005",""
"","1201110005","","","","","101","","20111","1201110006",""
"","0","0","0","","","3","none","20111","1201110007",""
"","0","","","","","91","","20111","1201110008",""
"","104911","","","","","13","103","20112","1201120001",""
"","101111","","","","","13","104","20112","1201120002",""
"1","104911","0.2","0","travel_topdrama_r_2000_talk_smile_loop","","3","travel_topdrama_r_2000_talk_smile_in","20112","1201120003",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20011_00","20112","1201120004",""
"1","104911","0","10","1","0","11","不知道路上有沒有掉什麼好東西呢～？\n能讓弟弟興奮過頭，讓他瞬間忘掉\n最喜歡姐姐以外的感情的寶物之類的。","20112","1201120005","0"
"","0","","","","","91","","20112","1201120006",""
"","104911","0.2","1","","","3","travel_topdrama_r_2000_idle_smile","20112","1201120007",""
"1","101111","0.2","0","travel_topdrama_r_2000_talk_shock","","3","travel_topdrama_r_2000_shock_in","20112","1201120008",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20011_01","20112","1201120009",""
"1","101111","0","10","1","0","11","不不不，靜流姐？\n那根本就是受詛咒的裝備了，\n真的發現了也別帶回去喔。","20112","1201120010","0"
"","0","","","","","91","","20112","1201120011",""
"","101111","0.2","1","","","3","travel_topdrama_r_2000_idle_normal","20112","1201120012",""
"1","104911","0.2","0","travel_topdrama_r_2000_talk_wish_loop_joy","","3","travel_topdrama_r_2000_talk_wish_in_joy","20112","1201120013",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20011_02","20112","1201120014",""
"1","104911","0","10","1","0","11","唉……算了，也行。\n就算不依靠那種東西，弟弟\n也是最喜歡姐姐的呢♪","20112","1201120015","0"
"","0","","","","","91","","20112","1201120016",""
"","104911","0.2","1","","","3","travel_topdrama_r_2000_idle_wish_joy","20112","1201120017",""
"","","","","","","112","","20112","1201120018",""
"","0","","","","","91","","20112","1201120019",""
"-68","1","0.8","101","42","1","1","101011","20121","1201210001","travel_topdrama_r_2000_idle_sad"
"-68","1","0.8","102","-42","0","1","101711","20121","1201210002","travel_topdrama_r_2000_idle_guts2_joy"
"-68","3","0.8","103","-42","0","5","3","20121","1201210003","travel_topdrama_r_2012_empty"
"-75","0","1","110","0","0","5","0","20121","1201210004","mana"
"","0","","","","","91","","20121","1201210005",""
"","10","","","","","93","0","20121","1201210006",""
"","1201210006","","","","","101","","20121","1201210007",""
"","0","0","0","","","3","none","20121","1201210008",""
"","0","","","","","91","","20121","1201210009",""
"","101011","","","","","13","104","20122","1201220001",""
"","101711","","","","","13","105","20122","1201220002",""
"1","101011","0.2","0","travel_topdrama_r_2000_talk_sad_loop","","3","travel_topdrama_r_2000_talk_sad_in","20122","1201220003",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20012_00","20122","1201220004",""
"1","101011","0","10","1","0","11","冒險還真辛苦呢～\n人家已經有點累了，\n香織還很有精神呢～？","20122","1201220005","0"
"","0","","","","","91","","20122","1201220006",""
"","101011","0.2","1","","","3","travel_topdrama_r_2000_idle_sad","20122","1201220007",""
"1","101711","0.2","0","travel_topdrama_r_2012_raise_loop_talk","","3","travel_topdrama_r_2012_raise_in","20122","1201220008",""
"1","3","0.2","0","travel_topdrama_r_2012_raise_loop_talk","","3","travel_topdrama_r_2012_raise_in","20122","1201220009",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20012_01","20122","1201220010",""
"1","101711","0","10","1","0","11","都是多虧開口笑呢～♪\n又甜又吃得飽肚子，\n也分一些給真步吧～","20122","1201220011","0"
"","0","","","","","91","","20122","1201220012",""
"","101711","0.2","1","","","3","travel_topdrama_r_2012_raise_loop_idle","20122","1201220013",""
"","3","0.2","1","","","3","travel_topdrama_r_2012_raise_loop_talk","20122","1201220014",""
"1","101011","0.2","0","travel_topdrama_r_2000_talk_smile_loop","","3","travel_topdrama_r_2000_talk_smile_in","20122","1201220015",""
"","vo_travel_talk","","0","0","","21","vo_travel_talk_20012_02","20122","1201220016",""
"1","101011","0","10","1","0","11","謝謝妳呀～♪\n把這給吃下去，人家也要像香織\n一樣有精神的繼續冒險～♪","20122","1201220017","0"
"","0","","","","","91","","20122","1201220018",""
"","101011","0.2","1","","","3","travel_topdrama_r_2000_idle_smile","20122","1201220019",""
"","","","","","","112","","20122","1201220020",""
"","0","","","","","91","","20122","1201220021",""
"-68","1","0.8","101","42","1","1","104411","20131","1201310001","travel_topdrama_r_2000_idle_doya"
