6dfbc9c665a3a4a5c4c7691f33b825c7091e69a3953c9c2ffd6804831235b277,387db111f487d72bfa658d82cb1b6de438c4fe0823e2b598b03d3456cd06b2c3,8a9bc52c20fc56ac9a157d3a4b8ccc60654bfafe61cb4b79eef4d04aa69d9ee9,a6fa79634db0240cd87a1ce143df11a2beddc03fcb506a517b098cc8424f72e1,2ae25aeb234d759b0f10a32c98ad0ecc6c57da6db345b26ccad364b468419cdd,5e6d63655bd70c47fb233f7c828422e5c6d9b97a62551100c1b0317c3d89182c,65068262e41aaffb25b359fc2be58ece73c4055963a7040d8c6b3be5bdd77e74,fa98773a1e96a40624f38b83254cfcd1ebac7f7a8c28cd21579a833d768b6f1e,54b037ae59f5e80493059834e9e6b5cb51653d7ac30159e7ec14db769e4ec9f1,e67999b76f126575038a29c7a8cc36ec0d038becd5bd588a95ed7e8e59bb6351,4cb3a04ad37ca2d9d2cddf8d71afc2988bcabf2bb4928c924727fcb4709fa284
"3","0","0.2","129911","1","1","0","","1014","drama_talk_smile_in","drama_talk_smile_loop"
"21","0","","vo_minigame_1013","1","","","","1015","vo_minigame_1013_top_talk_1_002","0"
"11","4","0","129911","1","0","0","0.5","1016","如果能有助於訓練，\n它們也會感到光榮吧。\n嘻嘻……我好像聽見\n喜悅的叫聲了。","1"
"91","","","0","1","","","","1017","",""
"3","1","0.2","129911","1","","","","1018","drama_idle",""
"3","1","0.2","129811","1","","","","1019","drama_idle",""
"1","100","1.65","1","2","-224","1","drama_idle","2001","129811","167"
"1","100","1.65","1","2","-224","0","drama_idle","2002","129911","-49"
"3","1","0.2","129911","2","","","","2003","drama_idle",""
"3","0","0.2","129811","2","1","","","2004","drama_talk_admire_in","drama_talk_admire_loop"
"21","0","","vo_minigame_1013","2","","","","2005","vo_minigame_1013_top_talk_2_000","0"
"11","6","0","129811","2","0","0","0.5","2006","像這樣將眾多士兵\n聚集起來真是壯觀呢。\n場面魄力十足，\n完全不像是訓練兵喔。","1"
"91","","","0","2","","","","2007","",""
"3","1","0.2","129811","2","","","","2008","drama_idle_admire",""
"3","0","0.2","129911","2","1","","","2009","drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop"
"21","0","","vo_minigame_1013","2","","","","2010","vo_minigame_1013_top_talk_2_001","0"
"11","4","0","129911","2","0","0","0.3","2011","讓他們服從，\n教育他們的是我們……\n我們要回應期待，\n全力栽培他們吧。","1"
"91","","","0","2","","","","2012","",""
"3","1","0.2","129911","2","","","","2013","drama_idle_arm_crossed",""
"3","0","0.2","129811","2","1","","","2014","drama_talk_guts2_in","drama_talk_guts2_loop"
"21","0","","vo_minigame_1013","2","","","","2015","vo_minigame_1013_top_talk_2_002","0"
"11","5","0","129811","2","0","0","0.3","2016","惠理子確實也\n很有教官的架式了。\n好～\n我也不能輸啊！","1"
"91","","","0","2","","","","2017","",""
"3","1","0.2","129811","2","","","","2018","drama_idle",""
"3","1","0.2","129911","2","","","","2019","drama_idle",""
"1","100","1.65","1","3","-224","1","drama_idle","3001","129811","167"
"1","100","1.65","1","3","-224","0","drama_idle","3002","129911","-49"
"3","1","0.2","129811","3","","","","3003","drama_idle",""
"3","1","0.2","129911","3","","","","3004","drama_talk_thinking",""
"21","0","","vo_minigame_1013","3","","","","3005","vo_minigame_1013_top_talk_3_000","0"
"11","5","0","129911","3","0","0","0.8","3006","實際與魔物展開對峙，\n揮刀砍進對方的身體。\n正因為有這手感，\n才能算是訓練呢。","1"
"91","","","0","3","","","","3007","",""
"3","1","0.2","129911","3","","","","3008","drama_idle_thinking",""
"3","0","0.2","129811","3","1","","","3009","drama_talk_sad_in","drama_talk_sad_loop"
"21","0","","vo_minigame_1013","3","","","","3010","vo_minigame_1013_top_talk_3_001","0"
"11","6","0","129811","3","0","0","0.5","3011","妳的發言還是\n一樣危險……不過，\n比起理論更重視實踐\n也是一種指導方式吧。","1"
"91","","","0","3","","","","3012","",""
"3","1","0.2","129811","3","","","","3013","drama_idle_sad",""
"3","0","0.2","129911","3","1","","","3014","drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop"
"21","0","","vo_minigame_1013","3","","","","3015","vo_minigame_1013_top_talk_3_002","0"
"11","4","0","129911","3","0","0","0.3","3016","那麼\n實踐教育的優點\n就讓新兵們\n親身體驗吧。","1"
"91","","","0","3","","","","3017","",""
"3","1","0.2","129811","3","","","","3018","drama_idle",""
"3","1","0.2","129911","3","","","","3019","drama_idle",""
"1","100","1.65","1","4","-224","1","drama_idle","4001","129811","167"
"1","100","1.65","1","4","-224","0","drama_idle","4002","129911","-49"
"3","1","0.2","129911","4","","","","4003","drama_idle",""
"3","0","0.2","129811","4","1","","","4004","drama_talk_doya_in_shy","drama_talk_doya_loop_shy"
"21","0","","vo_minigame_1013","4","","","","4005","vo_minigame_1013_top_talk_4_000","0"
"11","5","0","129811","4","0","0","0.3","4006","真要說的話，\n因為我也是個感覺派，\n所以有點不擅長\n教別人東西呢。","1"
"91","","","0","4","","","","4007","",""
"3","1","0.2","129811","4","","","","4008","drama_idle_doya_shy",""
"3","0","0.2","129911","4","1","","","4009","drama_talk_wish_in","drama_talk_wish_loop"
"21","0","","vo_minigame_1013","4","","","","4010","vo_minigame_1013_top_talk_4_001","0"
"11","4","0","129911","4","0","0","0.5","4011","只要彼此互相信賴，\n不用言語也能傳達。\n就像我\n與那位大人一樣……","1"
"91","","","0","4","","","","4012","",""
"3","1","0.2","129911","4","","","","4013","drama_idle_wish",""
"3","1","0.2","129811","4","0","","","4014","drama_idle_thinking_shy",""
"21","0","","vo_minigame_1013","4","","","","4015","vo_minigame_1013_top_talk_4_002","0"
"11","7","0","129811","4","0","0","0","4016","（原來如此，那樣的話\n我也能好好傳達\n給他……呃，我在\n胡思亂想什麼啊～！）","1"
"91","","","0","4","","","","4017","",""
"3","1","0.2","129911","4","","","","4018","drama_idle",""
"3","1","0.2","129811","4","","","","4019","drama_idle",""
"1","100","1.65","1","5","-224","1","drama_idle","5001","129811","167"
"1","100","1.65","1","5","-224","0","drama_idle","5002","129911","-49"
"3","1","0.2","129811","5","","","","5003","drama_idle",""
"3","1","0.2","129911","5","","","","5004","drama_talk_thinking",""
"21","0","","vo_minigame_1013","5","","","","5005","vo_minigame_1013_top_talk_5_000","0"
"11","5","0","129911","5","0","0","0.8","5006","只要透過訓練交出成果\n勳章也會大大\n增添光彩……\n真是太棒了。","1"
"91","","","0","5","","","","5007","",""
"3","1","0.2","129911","5","","","","5008","drama_idle_thinking",""
"3","0","0.2","129811","5","1","","","5009","drama_talk_wonder_in","drama_talk_wonder_loop"
"21","0","","vo_minigame_1013","5","","","","5010","vo_minigame_1013_top_talk_5_001","0"
"11","5","0","129811","5","0","0","0.3","5011","雖然動機不單純，\n但妳作為教官\n果然很優秀呢～\n真不可思議啊。","1"
"91","","","0","5","","","","5012","",""
"3","1","0.2","129811","5","","","","5013","drama_idle_wonder",""
"3","1","0.2","129911","5","","","","5014","drama_talk_memory",""
"21","0","","vo_minigame_1013","5","","","","5015","vo_minigame_1013_top_talk_5_002","0"
"11","4","0","129911","5","0","0","0.5","5016","「不愧是惠理子呢！\n身為伴侶的我\n也感到非常自豪喔」\n這種話……嘻嘻嘻……","1"
"91","","","0","5","","","","5017","",""
"3","1","0.2","129811","5","","","","5018","drama_idle",""
"3","1","0.2","129911","5","","","","5019","drama_idle",""
"1","100","1.65","1","6","-224","1","drama_idle","6001","129811","167"
"1","100","1.65","1","6","-224","0","drama_idle","6002","129911","-49"
"3","1","0.2","129911","6","","","","6003","drama_idle",""
"3","1","0.2","129811","6","","","","6004","drama_talk_thinking_shy",""
"21","0","","vo_minigame_1013","6","","","","6005","vo_minigame_1013_top_talk_6_000","0"
"11","6","0","129811","6","0","0","0.3","6006","要是我也努力完成\n教官的工作，\n那傢伙也會\n感到高興嗎……","1"
"91","","","0","6","","","","6007","",""
"3","1","0.2","129811","6","","","","6008","drama_idle_thinking_shy",""
"3","0","0.2","129911","6","1","","","6009","drama_talk_doubt_in","drama_talk_doubt_loop"
"21","0","","vo_minigame_1013","6","","","","6010","vo_minigame_1013_top_talk_6_001","0"
"11","4","0","129911","6","0","0","0.8","6011","真琴？\n怎麼了嗎？\n我好像感覺到\n一股危險的氣息。","1"
"91","","","0","6","","","","6012","",""
"3","1","0.2","129911","6","","","","6013","drama_idle_doubt",""
"3","0","0.2","129811","6","1","","","6014","drama_talk_surprise_in_shy","drama_talk_surprise_loop_shy"
"21","0","","vo_minigame_1013","6","","","","6015","vo_minigame_1013_top_talk_6_002","0"
"11","7","0","129811","6","0","0","0.3","6016","沒、沒事，沒什麼！\n我才沒在思考\n奇怪的事情！\n重要的是訓練！","1"
"91","","","0","6","","","","6017","",""
"3","1","0.2","129911","6","","","","6018","drama_idle",""
"3","1","0.2","129811","6","","","","6019","drama_idle",""
"1","100","1.65","1","7","-224","1","drama_idle","7001","129811","167"
"1","100","1.65","1","7","-224","0","drama_idle","7002","129911","-49"
"3","1","0.2","129811","7","","","","7003","drama_idle",""
"3","0","0.2","129911","7","1","","","7004","drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop"
"21","0","","vo_minigame_1013","7","","","","7005","vo_minigame_1013_top_talk_7_000","0"
"11","5","0","129911","7","0","0","0.3","7006","我班上的所有人\n看來也依舊勤奮地\n進行訓練呢。\n值得讚賞。","1"
"91","","","0","7","","","","7007","",""
"3","1","0.2","129911","7","","","","7008","drama_idle_arm_crossed",""
"3","0","0.2","129811","7","1","","","7009","drama_talk_guts2_in","drama_talk_guts2_loop"
"21","0","","vo_minigame_1013","7","","","","7010","vo_minigame_1013_top_talk_7_001","0"
"11","5","0","129811","7","0","0","0","7011","惠理子班的急遽成長\n在騎士團中也\n成了話題呢。\n真是群厲害的傢伙。","1"
"91","","","0","7","","","","7012","",""
"3","1","0.2","129811","7","","","","7013","drama_idle_guts2",""
"3","1","0.2","129911","7","","","","7014","drama_talk_thinking",""
"21","0","","vo_minigame_1013","7","","","","7015","vo_minigame_1013_top_talk_7_002","0"
"11","5","0","129911","7","0","0","0.5","7016","正因為他們順從於我，\n努力不懈，\n才有如此有所收穫……\n……得好好感謝他們。","1"
"91","","","0","7","","","","7017","",""
"3","1","0.2","129811","7","","","","7018","drama_idle",""
"3","1","0.2","129911","7","","","","7019","drama_idle",""
"1","100","1.65","1","8","-224","1","drama_idle","8001","129811","167"
"1","100","1.65","1","8","-224","0","drama_idle","8002","129911","-49"
"3","1","0.2","129911","8","","","","8003","drama_idle",""
"3","0","0.2","129811","8","1","","","8004","drama_talk_doya_in_smile","drama_talk_doya_loop_smile"
"21","0","","vo_minigame_1013","8","","","","8005","vo_minigame_1013_top_talk_8_000","0"
"11","6","0","129811","8","0","0","0.3","8006","真琴班的所有人\n似乎也很認真努力。\n我身為教官\n感到非常高興喔。","1"
"91","","","0","8","","","","8007","",""
"3","1","0.2","129811","8","","","","8008","drama_idle_doya_smile",""
"3","0","0.2","129911","8","1","","","8009","drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop"
"21","0","","vo_minigame_1013","8","","","","8010","vo_minigame_1013_top_talk_8_001","0"
"11","4","0","129911","8","0","0","0.8","8011","訓練也順利完成，\n簡直是優等生呢。\n雖然你們的成績\n不如我的班就是了。","1"
"91","","","0","8","","","","8012","",""
"3","1","0.2","129911","8","","","","8013","drama_idle_arm_crossed",""
"3","1","0.2","129811","8","","","","8014","drama_talk_anger",""
"21","0","","vo_minigame_1013","8","","","","8015","vo_minigame_1013_top_talk_8_002","0"
"11","7","0","129811","8","0","0","0.3","8016","唔，被妳這麼一說，\n感覺真不甘心……！\n那麼，我就用這場\n行軍訓練逆轉戰局！","1"
"91","","","0","8","","","","8017","",""
"3","1","0.2","129811","8","","","","8018","drama_idle",""
"3","1","0.2","129911","8","","","","8019","drama_idle",""
"1","100","1.65","1","30","-224","1","drama_idle","30001","129811","167"
"1","100","1.65","1","30","-224","0","drama_idle","30002","129911","-49"
"3","1","0.2","129811","30","","","","30003","drama_idle",""
"3","1","0.2","129911","30","","","","30004","drama_idle",""
"93","","","0.5","30","","","","30005","0",""
"26","","","2","30","","","","30006","",""
"121","1.2","3","-80","30","0.9","","","30007","10","1.2"
"3","0","0.2","129911","30","","0.2","","30008","drama_joy_eriko",""
"140","0","","1","30","","","","30009","1",""
"1","100","1.65","1","31","-224","1","drama_idle","31001","129811","167"
"1","100","1.65","1","31","-224","0","drama_idle","31002","129911","-49"
"3","1","0.2","129811","31","","","","31003","drama_idle",""
"3","1","0.2","129911","31","","","","31004","drama_idle",""
"93","","","0.5","31","","","","31005","0",""
"26","","","2","31","","","","31006","",""
"121","1.2","3","-80","31","0.9","","","31007","10","1.2"
"3","0","0.2","129811","31","","0.2","","31008","drama_joy_makoto",""
"140","0","","1","31","","","","31009","2",""
"5","1","0.28","0","32","28","1","drama_talk_1","32001","1","320"
"5","0","0.28","0","32","28","0","drama_talk_2","32002","2","228"
"5","90","0.26","0","32","64","1","drama_swing","32003","3","45"
"5","91","0.3","0","32","-23","0","drama_streach","32004","4","-187"
"93","","","1","32","","","","32005","0",""
"3","0","0.2","1","32","","","","32006","drama_joy",""
"3","0","0.2","2","32","","","","32007","drama_joy",""
"3","0","0.2","3","32","","","","32008","drama_joy",""
"3","0","0.2","4","32","","","","32009","drama_joy",""
"93","","","1.5","32","","","","32010","0",""
"5","1","0.28","0","33","28","1","drama_talk_1","33001","1","320"
"5","0","0.28","0","33","28","0","drama_talk_2","33002","2","228"
"5","90","0.26","0","33","64","1","drama_swing","33003","3","45"
"5","91","0.3","0","33","-23","0","drama_streach","33004","4","-187"
