e27d45209d98c13252b4dc0de0d3116dfca9bf3a03eba9049d22289c2ee6af54,da1075a770cb9be35fc7f9ceef1b409b23cee3f2d45cbbfd1b819a37740a7512,e5556a7dc7127ca5c22efbdddfc2c192a9b21099c9bfaa5fe63cd4ab4a5fa940,bbaa6e47009cfa66d37571e8bc9f42efb81e8e81eddb1009bb9e4a824617126b,656db71b3f740c06c8445eb904d00001a87950ab6d6a76e244a8b1b7fac5ad2d,415a7b71753e5d75590071a10692429264b8865f10a35808a5148020c6be1273,c605491e073841cad7b7d54c93f44ad7fdb8eb607624542d1db893dbcd13b5c7,235794151f7c26a4ae2dbe44b34bd7b086b02085e184535033a5c88958379735,f9ca22687eb95e3a442914a9ec254066cb7a2048f9958f65b4e58ef47b1ecfe1,5c829d16cec84e1440e19f03aefce2ef1baf787628102f532b0d51d0bf6ac1a8,e30d751b709077b406705df40e19f358d74db96eb83ef0000b15ea4e29413695
"-245","18","2.2","5","270","13003","3","idle_look_precia","13","3","1"
"0","1","0","6","1","13004","1","","13","1","0"
"0","1","0","6","1","13005","1","","13","2","0"
"0","1","0","6","1","13006","1","","13","3","0"
"1","0","0","31","0","13007","100","","13","1",""
"","","","35","","13008","0","","13","100",""
"0","16","1","5","50","13009","0","black","13","0","0"
"0","1","0","6","1","13010","1","","13","0","0"
"","","","91","","13011","","","13","0",""
"","","","93","","13012","0","","13","0.1",""
"1","1","0.2","6","1","13013","1","","13","1","0"
"1","1","0.2","6","1","13014","1","","13","2","0"
"1","1","0.2","6","1","13015","1","","13","3","0"
"1","1","0.2","6","1","13016","1","","13","0","0"
"2","-230","","2","0.3","13017","-30","","13","1",""
"2","-255","","2","0.3","13018","-190","","13","2",""
"2","-245","","2","0.3","13019","220","","13","3",""
"2","0","","2","0.3","13020","0","","13","0",""
"","","","32","","13021","1","","13","100",""
"","","","93","","13022","0","","13","0.6",""
"","1","0.2","3","","13023","sad_talk_look_shy_riri","","13","1",""
"","0","","21","0","13024","vo_asb_1521","","13","vo_asb",""
"1","10","0","11","1","13025","其實我們……\n要讓兄長大人看這本\n學習的剪貼簿，\n會覺得有點害羞。","0","13","1","0"
"","0","","91","0","13026","","","13","0",""
"","1","0.2","3","","13027","sad_idle_normal_look_shy_riri","","13","1",""
"","1","0.2","3","","13028","clear_talk_look_shy","","13","2",""
"","0","","21","0","13029","vo_asb_1522","","13","vo_asb",""
"1","10","0","11","1","13030","因為，雖然有很多快樂的回憶，\n但也同樣搞砸了許多事或力不從心。\n這些事要特地讓哥哥看一遍，\n是很需要勇氣的……","0","13","2","0"
"","0","","91","0","13031","","","13","0",""
"","1","0.3","3","","13032","clear_idle_look_shy","","13","2",""
"","1","0.2","3","","13033","sad_talk_look_precia","","13","3",""
"","0","","21","0","13034","vo_asb_1523","","13","vo_asb",""
"1","10","0","11","1","13035","赤裸裸的，\n冒險記。","0","13","3","0"
"","0","","91","0","13036","","","13","0",""
"","1","0.2","3","","13037","idle_look_precia","","13","3",""
"","1","0.3","3","","13038","talk_look_shy_riri","","13","1",""
"","0","","21","0","13039","vo_asb_1524","","13","vo_asb",""
"1","10","0","11","1","13040","但是……這也是種學習。\n兄長大人，能請您務必告訴我們，\n您看完之後的感想嗎？","0","13","1","0"
"","0","","91","0","13041","","","13","0",""
"","1","0.2","3","","13042","wish_talk_look_shy_riri","","13","1",""
"","0","","21","0","13043","vo_asb_1525","","13","vo_asb",""
"1","10","0","11","1","13044","無論是多嚴厲的斥責或指教，\n我們都會虛心接受的──\n呃…………咦？","0","13","1","0"
"","0","","91","0","13045","","","13","0",""
"","1","0.2","3","","13046","idle_look_shy","","13","2",""
"","1","0.3","3","","13047","joy_idle_look_shy_precia","","13","3",""
"","1","0.2","3","","13048","wish_talk_Ex4","","13","1",""
"","0","","21","0","13049","vo_asb_1526","","13","vo_asb",""
"1","10","0","11","1","13050","…………\n沒、沒想到……\n竟然能像這樣被稱讚……","0","13","1","0"
"","0","","91","0","13051","","","13","0",""
"","1","0.2","3","","13052","idle_look_shy_riri","","13","1",""
"","1","0.4","3","","13053","surprise_idle_lookR_precia","","13","3",""
"","0","","21","0","13054","vo_asb_1527","","13","vo_asb",""
"1","10","0","11","1","13055","哥……","0","13","3","0"
"","0","","91","0","13056","","","13","0",""
"","1","0.4","3","","13057","joy_idle_look_shy_precia2","","13","3",""
"","1","0.2","3","","13058","clear_talk2_look","","13","2",""
"","0","","21","0","13059","vo_asb_1528","","13","vo_asb",""
"1","10","0","11","1","13060","哥哥你，\n並不是針對結果，\n而是看到我們努力的過程，\n稱讚了我們的付出……","0","13","2","0"
"","0","","91","0","13061","","","13","0",""
"","1","0.2","3","","13062","wish_talk_Ex3","","13","1",""
"","1","0.3","3","","13063","joy_idle_look_shy_precia","","13","3",""
"1","0","0.2","3","clear_wish_talk_joy_look","13064","talk2ToWish_look","","13","2","0"
"","0","","21","0","13065","vo_asb_1529","","13","vo_asb",""
"1","10","0","11","1","13066","……謝謝！","0","13","1","0"
"","0","","91","0","13067","","","13","0",""
"","1","0.2","3","","13068","idle_look_shy_riri","","13","1",""
"","1","0.2","3","","13069","idle_look_shy","","13","2",""
"1","0","0.2","3","doya_talk_precia","13070","doya_in_precia","","13","3","0"
"","0","","21","0","13071","vo_asb_1530","","13","vo_asb",""
"1","10","0","11","1","13072","自信滿滿的，\n冒險記。","0","13","3","0"
"","0","","91","0","13073","","","13","0",""
"","1","0.4","3","","13074","idle_look_normal_precia","","13","3",""
"","1","0.2","3","","13075","riri_talk_look_shy","","13","1",""
"","0","","21","0","13076","vo_asb_1531","","13","vo_asb",""
"1","10","0","11","1","13077","誠如您看到的，\n我們還是如此的笨拙不成熟……","0","13","1","0"
"","0","","91","0","13078","","","13","0",""
"","1","0.2","3","","13079","riri_idle_look_normal_shy","","13","1",""
"","1","0.2","3","","13080","clear_talk3_look","","13","2",""
"","0","","21","0","13081","vo_asb_1532","","13","vo_asb",""
"1","10","0","11","1","13082","但多虧有哥哥\n像這樣溫暖地守護我們，\n我才能繼續追逐夢想，\n想成為了不起的冒險者。","0","13","2","0"
"","0","","91","0","13083","","","13","0",""
"","1","0.2","3","","13084","clear_wish_talk_joy_look","","13","2",""
"","0","","21","0","13085","vo_asb_1533","","13","vo_asb",""
"1","10","0","11","1","13086","哥哥。\n從今以後，也請你繼續\n待在【幻變少女】身旁喔。","0","13","2","0"
"","0","","91","0","13087","","","13","0",""
"","1","0.2","3","","13088","clear_wish_idle_look","","13","2",""
"1","0","0.1","3","joy_idle_look_shy_precia2","13089","agree","","13","3","0.2"
"","0","","21","0","13090","vo_asb_1534","","13","vo_asb",""
"1","10","0","11","1","13091","請多指教。","0","13","3","0"
"","0","","91","0","13092","","","13","0",""
"1","0","0.2","3","idle_look_shy_riri","13093","bow_riri","","13","1","0.2"
"","0","","21","0","13094","vo_asb_1535","","13","vo_asb",""
"1","10","0","11","1","13095","請多多指教……！","0","13","1","0"
"","0","","91","0","13096","","","13","0",""
"","","","101","","13097","","","13","13098",""
"0","1","0.3","6","1","13098","1","","13","1","0"
"0","1","0.3","6","1","13099","1","","13","2","0"
"0","1","0.3","6","1","13100","1","","13","3","0"
"0","1","0.3","6","1","13101","1","","13","0","0"
"1","-230","","2","0.3","13102","-130","","13","1",""
"1","-255","","2","0.3","13103","-290","","13","2",""
"1","-245","","2","0.3","13104","120","","13","3",""
"1","0","","2","0.3","13105","-100","","13","0",""
"","","","22","","13106","0","","13","0",""
"","","","35","","13107","1","","13","100",""
"1","0","","33","0.3","13108","-100","","13","100",""
"","","","93","","13109","0","","13","0.4",""
"","","","32","","13110","0","","13","100",""
"-250","52","2.2","5","30","22001","1","surprise_idle_normal2_precia","22","3","0"
"0","1","0","6","1","22002","1","","22","1","0"
"0","29","1","5","50","22003","0","black","22","0","0"
"0","1","0","6","1","22004","1","","22","0","0"
"","","","91","","22005","","","22","0",""
"1","1","0.2","6","1","22006","1","","22","1","0"
"1","1","0.2","6","1","22007","1","","22","0","0"
"2","-250","","2","0.3","22008","-20","","22","1",""
"2","0","","2","0.3","22009","0","","22","0",""
"","","","93","","22010","0","","22","0.6",""
"","0","","21","0","22011","vo_asb_0221","","22","vo_asb",""
"1","10","0","11","1","22012","坐墊。\n餅乾。\n吃了好多。","0","22","1","0"
"","0","","91","0","22013","","","22","0",""
"","1","0.3","3","","22014","talk_surprise_precia","","22","1",""
"","0","","21","0","22015","vo_asb_0222","","22","vo_asb",""
"1","10","0","11","1","22016","鈴莓。\n好像，\n會做各式各樣。","0","22","1","0"
"","0","","91","0","22017","","","22","0",""
"","1","0.3","3","","22018","think_idle_precia","","22","1",""
"","0","","21","0","22019","vo_asb_0223","","22","vo_asb",""
"1","10","0","11","1","22020","像是，坐墊鬆餅。\n之類的？","0","22","1","0"
"","0","","91","0","22021","","","22","0",""
"","1","0.3","3","","22022","think_idle_dere_precia","","22","1",""
"","0","","21","0","22023","vo_asb_0224","","22","vo_asb",""
"1","10","0","11","1","22024","像是，坐墊馬芬蛋糕。\n之類的？","0","22","1","0"
"","0","","91","0","22025","","","22","0",""
"","1","0.3","3","","22026","think_idle_angerR","","22","1",""
"","0","","21","0","22027","vo_asb_0225","","22","vo_asb",""
"1","10","0","11","1","22028","像是，坐墊肉包子……\n之類的……（吞口水)","0","22","1","0"
"","0","","91","0","22029","","","22","0",""
"1","0","0.1","3","speak1_light_precia","22030","thinkToSpeak_precia","","22","1","0"
"","0","","21","0","22031","vo_asb_0226","","22","vo_asb",""
"1","10","0","11","1","22032","鈴莓。\n我要挖角她。\n來幻變少女。","0","22","1","0"
"","0","","91","0","22033","","","22","0",""
"","","","101","","22034","","","22","22035",""
"0","1","0.3","6","1","22035","1","","22","1","0"
"0","1","0.3","6","1","22036","1","","22","0","0"
"1","-250","","2","0.3","22037","-120","","22","1",""
"1","0","","2","0.3","22038","-100","","22","0",""
"","","","22","","22039","0","","22","0",""
"","","","93","","22040","0","","22","0.4",""
"-230","52","2.2","5","20","32001","1","riri_idle_look","32","1","0"
"-255","58","2.2","5","-140","32002","2","clear_book_read","32","2","0"
"-245","55","2.2","5","270","32003","3","joy_idle_precia","32","3","1"
"0","1","0","6","1","32004","1","","32","1","0"
"0","1","0","6","1","32005","1","","32","2","0"
"0","1","0","6","1","32006","1","","32","3","0"
"0","29","1","5","50","32007","0","black","32","0","0"
"0","1","0","6","1","32008","1","","32","0","0"
"","","","91","","32009","","","32","0",""
"1","1","0.2","6","1","32010","1","","32","1","0"
"1","1","0.2","6","1","32011","1","","32","2","0"
"1","1","0.2","6","1","32012","1","","32","3","0"
"1","1","0.2","6","1","32013","1","","32","0","0"
"2","-230","","2","0.3","32014","-30","","32","1",""
"2","-255","","2","0.3","32015","-190","","32","2",""
"2","-245","","2","0.3","32016","220","","32","3",""
"2","0","","2","0.3","32017","0","","32","0",""
"","","","93","","32018","0","","32","0.6",""
"","1","0.2","3","","32019","clear_book_talk","","32","2",""
"","0","","21","0","32020","vo_asb_0321","","32","vo_asb",""
"1","10","0","11","1","32021","這幅牛的畫，\n未免畫得太好了吧！？","0","32","2","0"
"","0","","91","0","32022","","","32","0",""
"","1","0.4","3","","32023","clear_book_idle","","32","2",""
"","1","0.2","3","","32024","riri_talk_look","","32","1",""
"","0","","21","0","32025","vo_asb_0322","","32","vo_asb",""
"1","10","0","11","1","32026","這是普蕾西亞畫的。\n因為她是天才呢。","0","32","1","0"
"","0","","91","0","32027","","","32","0",""
"","1","0.2","3","","32028","riri_idle_look","","32","1",""
"1","0","0.1","3","clear_talk2_noShy","32029","clear_bookToTalk2","","32","2","0"
"","0","","21","0","32030","vo_asb_0323","","32","vo_asb",""
"1","10","0","11","1","32031","話說回來，我和莉莉兩人，\n一直做不好「手插腰」，\n真陽小姐為了教我們，\n苦戰一番的時候也……","0","32","2","0"
"","0","","91","0","32032","","","32","0",""
"1","0","0.1","3","idle_talkjoy2","32033","talk2ToIdle_talkjoy2","","32","2","0"
"","1","0.2","3","","32034","sad_talk_joy2R","","32","1",""
"","0","","21","0","32035","vo_asb_0324","","32","vo_asb",""
"1","10","0","11","1","32036","是，只有普蕾西亞\n一次就合格了吧。\n從我們這些外行人的眼中看來，\n也是非常完美的「手插腰」。","0","32","1","0"
"","0","","91","0","32037","","","32","0",""
"","1","0.2","3","","32038","sad_idle_normal_riri","","32","1",""
"","1","0.2","3","","32039","idle","","32","2",""
"","1","0.3","3","","32040","talk_precia","","32","3",""
"","0","","21","0","32041","vo_asb_0325","","32","vo_asb",""
"1","10","0","11","1","32042","想看嗎？","0","32","3","0"
"","0","","91","0","32043","","","32","0",""
"","1","0.3","3","","32044","joy_idle_precia","","32","3",""
"","1","0.2","3","","32045","guts2_talk_riri","","32","1",""
"","1","0.2","3","","32046","clear_hope_talk","","32","2",""
"","0","","21","0","32047","vo_asb_0326","","32","vo_asb",""
"1","10","0","11","1","32048","當然的。","0","32","1","0"
"","0","","91","0","32049","","","32","0",""
"","1","0.2","3","","32050","guts2_idle_riri","","32","1",""
"","1","0.2","3","","32051","clear_hope_idle","","32","2",""
"1","0","0.2","3","cool_idle","32052","cool_in","","32","3","0"
"","0","","21","0","32053","vo_asb_0327","","32","vo_asb",""
"1","10","0","11","1","32054","插腰。","0","32","3","0"
"","0","","91","0","32055","","","32","0",""
"1","0","0.2","3","cool_idle_doya","32056","cool_idle_doya_in","","32","3","0.1"
"","1","0.2","3","","32057","guts2_idle_joy_riri","","32","1",""
"","1","0.2","3","","32058","clear_hope_joy","","32","2",""
"","0","","21","0","32059","vo_asb_0328","","32","vo_asb",""
"1","10","-85","11","1","32060","哇～♪","0","32","1","-22"
"","0","","91","0","32061","","","32","0",""
"","","","101","","32062","","","32","32063",""
"0","1","0.3","6","1","32063","1","","32","1","0"
"0","1","0.3","6","1","32064","1","","32","2","0"
"0","1","0.3","6","1","32065","1","","32","3","0"
"0","1","0.3","6","1","32066","1","","32","0","0"
"1","-230","","2","0.3","32067","-130","","32","1",""
"1","-255","","2","0.3","32068","-290","","32","2",""
"1","-245","","2","0.3","32069","120","","32","3",""
"1","0","","2","0.3","32070","-100","","32","0",""
"","","","22","","32071","0","","32","0",""
"","","","93","","32072","0","","32","0.4",""
"-250","52","2.2","5","30","42001","1","clear_wish_talk_joy_noShy","42","2","0"
"0","1","0","6","1","42002","1","","42","1","0"
"0","29","1","5","50","42003","0","black","42","0","0"
"0","1","0","6","1","42004","1","","42","0","0"
"","","","91","","42005","","","42","0",""
"1","1","0.2","6","1","42006","1","","42","1","0"
"1","1","0.2","6","1","42007","1","","42","0","0"
"2","-250","","2","0.3","42008","-20","","42","1",""
"2","0","","2","0.3","42009","0","","42","0",""
"","","","93","","42010","0","","42","0.6",""
"","0","","21","0","42011","vo_asb_0421","","42","vo_asb",""
"1","10","0","11","1","42012","鈴小姐模仿真陽小姐，\n模仿得非常到位。","0","42","1","0"
"","0","","91","0","42013","","","42","0",""
"","1","0.1","3","","42014","clear_talk_normal","","42","1",""
"","0","","21","0","42015","vo_asb_0422","","42","vo_asb",""
"1","10","0","11","1","42016","在公會久待，\n關係深厚的成員之間，\n要像那樣子互相模仿，\n似乎也會變得容易呢……","0","42","1","0"
"","0","","91","0","42017","","","42","0",""
"1","0","0.2","3","clear_kohon_loop","42018","clear_kohon_in","","42","1","0"
"","0","","21","0","42019","vo_asb_0423","","42","vo_asb",""
"1","10","0","11","1","42020","…………\n……咳咳。","0","42","1","0"
"","0","","91","0","42021","","","42","0",""
"1","0","0.2","3","clear_speak2_talk","42022","clear_imitation_in","","42","1","0"
"","0","","21","0","42023","vo_asb_0424","","42","vo_asb",""
"1","10","0","11","1","42024","兄、兄長大人。兄長大人……？\n哥、哥，哥……哥。\n…………","0","42","1","0"
"","0","","91","0","42025","","","42","0",""
"1","0","0.3","3","clear_surprise_talk_red","42026","clear_surprise_in_red","","42","1","0"
"","0","","21","0","42027","vo_asb_0425","","42","vo_asb",""
"1","10","0","11","1","42028","……啊！\n只是要模仿公會成員而已，\n我真是的，為什麼會臉紅……！","0","42","1","0"
"","0","","91","0","42029","","","42","0",""
"","1","0.2","3","","42030","clear_wish_talk_pain_red","","42","1",""
"","0","","21","0","42031","vo_asb_0426","","42","vo_asb",""
"1","10","0","11","1","42032","從各方面來說，我都還差得遠呢……！","0","42","1","0"
"","0","","91","0","42033","","","42","0",""
"","","","101","","42034","","","42","42035",""
"0","1","0.3","6","1","42035","1","","42","1","0"
"0","1","0.3","6","1","42036","1","","42","0","0"
"1","-250","","2","0.3","42037","-120","","42","1",""
"1","0","","2","0.3","42038","-100","","42","0",""
"","","","22","","42039","0","","42","0",""
"","","","93","","42040","0","","42","0.4",""
"-243","55","2.2","5","70","52001","1","dance_riri","52","1","0"
"-245","52","2.2","5","320","52002","2","dance_clear","52","2","1"
"-255","58","2.2","5","-90","52003","3","dance_precia","52","3","0"
"0","1","0","6","1","52004","1","","52","1","0"
"0","1","0","6","1","52005","1","","52","2","0"
"0","1","0","6","1","52006","1","","52","3","0"
"0","29","1","5","50","52007","0","black","52","0","0"
"0","1","0","6","1","52008","1","","52","0","0"
"","","","91","","52009","","","52","0",""
"","0","0.1","3","","52010","dance_riri","","52","1",""
"1","0","0.1","3","idle","52011","dance_clear","","52","2","0"
"1","0","0.1","3","idle_precia","52012","dance_precia","","52","3","0"
"1","1","0.2","6","1","52013","1","","52","1","0"
"1","1","0.2","6","1","52014","1","","52","2","0"
"1","1","0.2","6","1","52015","1","","52","3","0"
"1","1","0.2","6","1","52016","1","","52","0","0"
"2","-243","","2","0.3","52017","-30","","52","1",""
"2","-245","","2","0.3","52018","220","","52","2",""
"2","-255","","2","0.3","52019","-190","","52","3",""
"2","0","","2","0.3","52020","0","","52","0",""
"","","","93","","52021","0","","52","0.6",""
"","0","","21","0","52022","vo_asb_0521","","52","vo_asb",""
"0","11","0","11","0","52023","快、快、慢。","0.15","52","3","0"
"","0","","91","0","52024","","","52","0",""
"","0","","21","0","52025","vo_asb_0522","","52","vo_asb",""
"0","10","0","11","0","52026","旋轉、停，旋轉、停，\n快、快、慢！","0.75","52","1","0"
"","","","91","","52027","","","52","52010",""
"","1","0.1","3","","52028","idle","","52","1",""
"","","","93","","52029","0","","52","0.2",""
"1","0","0.1","3","talk_joy","52030","smile_riri","","52","1","0.2"
"","0","","21","0","52031","vo_asb_0523","","52","vo_asb",""
"1","10","0","11","1","52032","……呵呵呵，有了這個口號，\n我們三人的步調，\n就很不可思議地同步了呢。","0","52","1","0"
"","","","91","","52033","","","52","0",""
"","1","0.2","3","","52034","riri_idle","","52","1",""
"","1","0.2","3","","52035","clear_talk2_noShy","","52","2",""
"","0","","21","0","52036","vo_asb_0524","","52","vo_asb",""
"1","10","0","11","1","52037","是啊。所以在那之後，\n我們也很常用這個口號呢。\n像是要合力搬起重物時，\n或是三人要一起做體操時。","0","52","2","0"
"","0","","91","0","52038","","","52","0",""
"1","0","0.2","3","idle","52039","talk2ToIdle","","52","2","0"
"","1","0.2","3","","52040","riri_talk","","52","1",""
"","0","","21","0","52041","vo_asb_0525","","52","vo_asb",""
"1","10","0","11","1","52042","其他還有，戰鬥訓練中要配合步調時，\n還有走夜路要避開魔物的時候！","0","52","1","0"
"","0","","91","0","52043","","","52","0",""
"","1","0.2","3","","52044","riri_idle_look","","52","1",""
"","1","0.2","3","","52045","idle_talkjoy2","","52","2",""
"","1","0.3","3","","52046","talk_precia","","52","3",""
"","0","","21","0","52047","vo_asb_0526","","52","vo_asb",""
"1","10","0","11","1","52048","實用性，\n太高了。","0","52","3","0"
"","0","","91","0","52049","","","52","0",""
"","","","101","","52050","","","52","52051",""
"0","1","0.3","6","1","52051","1","","52","1","0"
"0","1","0.3","6","1","52052","1","","52","2","0"
"0","1","0.3","6","1","52053","1","","52","3","0"
"0","1","0.3","6","1","52054","1","","52","0","0"
"1","-230","","2","0.3","52055","-130","","52","1",""
"1","-245","","2","0.3","52056","120","","52","2",""
"1","-255","","2","0.3","52057","-290","","52","3",""
"1","0","","2","0.3","52058","-100","","52","0",""
"","","","22","","52059","0","","52","0",""
"","","","93","","52060","0","","52","0.4",""
"-250","52","2.2","5","30","62001","1","talk_joy","62","1","0"
"0","1","0","6","1","62002","1","","62","1","0"
"0","29","1","5","50","62003","0","black","62","0","0"
"0","1","0","6","1","62004","1","","62","0","0"
"","","","91","","62005","","","62","0",""
"1","1","0.2","6","1","62006","1","","62","1","0"
"1","1","0.2","6","1","62007","1","","62","0","0"
"2","-250","","2","0.3","62008","-20","","62","1",""
"2","0","","2","0.3","62009","0","","62","0",""
"","","","93","","62010","0","","62","0.6",""
"","0","","21","0","62011","vo_asb_0621","","62","vo_asb",""
"1","10","0","11","1","62012","演唱會結束後，\n慈樂之音的成員們來拜訪了。","0","62","1","0"
"","0","","91","0","62013","","","62","0",""
"","1","0.2","3","","62014","wish_talk_joyR_riri","","62","1",""
"","0","","21","0","62015","vo_asb_0622","","62","vo_asb",""
"1","10","0","11","1","62016","她們說「絕對要再一起跳舞」，\n還把手疊在我們的手上……","0","62","1","0"
"","0","","91","0","62017","","","62","0",""
"","1","0.3","3","","62018","memoly_talk_joy","","62","1",""
"","0","","21","0","62019","vo_asb_0623","","62","vo_asb",""
"1","10","0","11","1","62020","她們三位實在是又可愛又耀眼，\n我已經是，\n頭暈目眩了……","0","62","1","0"
"","0","","91","0","62021","","","62","0",""
"","1","0.2","3","","62022","sad_talk2_dere","","62","1",""
"","0","","21","0","62023","vo_asb_0624","","62","vo_asb",""
"1","10","0","11","1","62024","其實，與她們相疊的這隻手，\n我從那天以來一次都沒有洗過。","0","62","1","0"
"","0","","91","0","62025","","","62","0",""
"","1","0.3","3","","62026","wish_talk_nervous_riri","","62","1",""
"","0","","21","0","62027","vo_asb_0625","","62","vo_asb",""
"1","10","0","11","1","62028","雖然也不是沒感覺到\n璃亞用有點傻眼的視線\n看著我……\n但至少讓我再等半天……！","0","62","1","0"
"","0","","91","0","62029","","","62","0",""
"","","","101","","62030","","","62","62031",""
"0","1","0.3","6","1","62031","1","","62","1","0"
"0","1","0.3","6","1","62032","1","","62","0","0"
"1","-250","","2","0.3","62033","-120","","62","1",""
"1","0","","2","0.3","62034","-100","","62","0",""
"","","","22","","62035","0","","62","0",""
"","","","93","","62036","0","","62","0.4",""
"-250","52","2.2","5","30","72001","1","idle","72","2","0"
"0","1","0","6","1","72002","1","","72","1","0"
"0","29","1","5","50","72003","0","black","72","0","0"
"0","1","0","6","1","72004","1","","72","0","0"
"","","","91","","72005","","","72","0",""
"1","1","0.2","6","1","72006","1","","72","1","0"
"1","1","0.2","6","1","72007","1","","72","0","0"
"2","-250","","2","0.3","72008","-20","","72","1",""
"2","0","","2","0.3","72009","0","","72","0",""
"","","","93","","72010","0","","72","0.6",""
"","1","0.2","3","","72011","clear_talk_normal","","72","1",""
"","0","","21","0","72012","vo_asb_0721","","72","vo_asb",""
"1","10","0","11","1","72013","碧小姐好像很害羞。\n但不是有這樣的說法嗎？\n有共同話題的人，\n彼此更容易敞開心扉。","0","72","1","0"
"","0","","91","0","72014","","","72","0",""
"","1","0.2","3","","72015","clear_kohon_talk_surprise","","72","1",""
"","0","","21","0","72016","vo_asb_0722","","72","vo_asb",""
"1","10","0","11","1","72017","我的直覺是對的呢。\n雖然不像碧小姐那麼了解，\n但我也喜歡花草。\n我有種感覺，能跟這個人變得很要好。","0","72","1","0"
"","0","","91","0","72018","","","72","0",""
"","1","0.2","3","","72019","clear_talk2_noShy","","72","1",""
"","0","","21","0","72020","vo_asb_0723","","72","vo_asb",""
"1","10","0","11","1","72021","所以我啊，\n鼓起勇氣說出口了！\n「能跟妳當朋友嗎？」這句話。","0","72","1","0"
"","0","","91","0","72022","","","72","0",""
"1","0","0.2","3","clear_wish_talk_joy","72023","talk2ToWish","","72","1","0"
"","0","","21","0","72024","vo_asb_0724","","72","vo_asb",""
"1","10","0","11","1","72025","然後碧小姐她，\n臉就變得紅通通的，\n「嗯嗯！」地點頭如搗蒜。\n我當時心想，成功了！","0","72","1","0"
"","0","","91","0","72026","","","72","0",""
"","1","0.2","3","","72027","clear_talk2_nervous","","72","1",""
"","0","","21","0","72028","vo_asb_0725","","72","vo_asb",""
"1","10","0","11","1","72029","……但接下來，\n她說需要一點時間心理準備。\n而她的心理準備，\n可能會花上300年左右……","0","72","1","0"
"","0","","91","0","72030","","","72","0",""
"1","0","0.2","3","clear_kohon_loop_shy","72031","talk2ToKohon","","72","1","0"
"","0","","21","0","72032","vo_asb_0726","","72","vo_asb",""
