aee8ae30b42414f26e87639a5b3708681b4a27568fc0b868be49f090df1e1731,865f4e96d8ac03fc2368419c7aa9038224ff660523926ba236aaa342acbd26a8,17c9ad5b9e667215f4cea8e326d65713b2acdde9d8232ea8ec1242d2552e6706,c04bb44f5ae47ab54f50bb30b660a3601249396d99db1040e537c96b0a949ba9,9ab0deb23895a9f10bf5fb0757c711cf3ae62973bb65c25465c1dff8bf471e48,960559cf6e6d70b88c988ee06d24655f3d95b75edd520dc5ebf79c46c4d41aa6,659d25d189f6ac8ec1593f1da03fa6c74066fbed8da56c89b847e1fb02e47206,56d05251c485011f7d288cf21b8f0e4927d4edf020a5d58f16e6cbeb227252eb,12a82f15c7674305a89954e95c452420e9faf6d00d10bf94a199009056f177c4,089102589afd2272997bbbf6ae48b18e4af929a3bc2fed94f39aeadf6eb4ba3b,d67028eafc23bea364ae6a6e777ed83f4a825595fd1b6350d4ea9bf7bcf374fe
"","vo_minigame_1006_top_602","5","1050003","","","21","vo_minigame_1006","","0","0"
"0","很好！\n提起幹勁\n開始練習吧──！","5","1050004","0","0","11","3","","8","0"
"","","5","1050005","","","93","2","","",""
"","pkb_talk_handsup_l","5","1050006","1","0.2","3","3","0.2","0","pkb_idle_normal_l"
"","","5","1050007","","","91","1050004","","",""
"","pkb_idle_normal_l","5","1050008","","0.2","3","3","","1",""
"pkb_idle_normal_l","3","6","1060001","-155","57","5","3","1","100","64"
"","pkb_talk_arm_crossed_l","6","1060002","1","0.2","3","3","0.2","0","pkb_idle_arm_crossed_l"
"","vo_minigame_1006_top_603","6","1060003","","","21","vo_minigame_1006","","0","0"
"0","可別因為這是練習，\n就讓我看見你們\n散漫的樣子啊！","6","1060004","0","0","11","3","","8","0"
"","","6","1060005","","","93","3","","",""
"","pkb_talk_guts_l","6","1060006","1","0.2","3","3","","0","pkb_idle_guts_l"
"","","6","1060007","","","91","1060004","","",""
"","pkb_idle_normal_l","6","1060008","","0.2","3","3","","1",""
"pkb_idle_normal","113411","7","1070001","-175","1.65","1","1","1","100","64"
"","pkb_talk_fun","7","1070002","1","0.2","3","113411","0.2","0","pkb_talk_joy1"
"","vo_minigame_1006_top_201","7","1070003","","","21","vo_minigame_1006","","0","0"
"0","加油～加油～！\n今天也要努力加油喔！\n打起精神上吧～！","7","1070004","0","0","11","113411","0","8","0"
"","","7","1070005","","","93","3.4","","",""
"","pkb_talk_handsup","7","1070006","1","0.2","3","113411","0.2","0","pkb_idle_normal"
"","","7","1070007","","","91","1070004","","",""
"","pkb_idle_normal","7","1070008","","0.2","3","113411","","1",""
"pkb_idle_normal","113411","8","1080001","-175","1.65","1","1","1","100","64"
"","pkb_talk_joy2","8","1080002","","0.2","3","113411","","1",""
"","vo_minigame_1006_top_202","8","1080003","","","21","vo_minigame_1006","","0","0"
"-1","初音也要一起\n幫忙練習～！\n閃亮亮～☆","8","1080004","0","0","11","113411","0","8","0"
"","","8","1080005","","","93","3.6","","",""
"","pkb_hatsune_kiran","8","1080006","","0.2","3","113411","","0",""
"","","8","1080007","","","91","1080004","","",""
"","pkb_idle_normal","8","1080008","","0.2","3","113411","","1",""
"pkb_idle_normal","113411","9","1090001","-175","1.65","1","1","1","100","64"
"","pkb_talk_joy2","9","1090002","","0.2","3","113411","","1",""
"","vo_minigame_1006_top_203","9","1090003","","","21","vo_minigame_1006","","0","0"
"0","我也想試著投投看！\n我要用超能……不對，\n是用魔法，來投出\n很強力的球！","9","1090004","0","0","11","113411","0","6","0"
"","","9","1090005","","","93","3","","",""
"","pkb_surprise","9","1090006","1","0.2","3","113411","0.2","0","pkb_idle_surprise1"
"","","9","1090007","","","93","1","","",""
"","pkb_talk_joy3","9","1090008","","0.2","3","113411","","1",""
"","","9","1090009","","","91","1090004","","",""
"","pkb_idle_normal","9","1090010","","0.2","3","113411","","1",""
"pkb_idle_normal","106531","10","1100001","-175","1.65","1","1","1","100","64"
"","pkb_talk_arm_crossed","10","1100002","1","0.2","3","106531","","0","pkb_idle_arm_crossed"
"","vo_minigame_1006_top_301","10","1100003","","","21","vo_minigame_1006","","0","0"
"0","欸，趕快開始練習吧，\n我已經按捺不住，\n好想趕快投球啊！","10","1100004","0","0","11","106531","0","8","0"
"","","10","1100005","","","93","2.8","","",""
"","pkb_talk_joy1","10","1100006","","0.2","3","106531","","1",""
"","","10","1100007","","","91","1100004","","",""
"","pkb_idle_normal","10","1100008","","0.2","3","106531","","1",""
"pkb_idle_normal","106531","11","1110001","-175","1.65","1","1","1","100","64"
"","pkb_talk_normal","11","1110002","","0.2","3","106531","","1",""
"","vo_minigame_1006_top_302","11","1110003","","","21","vo_minigame_1006","","0","0"
"0","老娘的特訓可不是\n鬧著玩的，做好\n心理準備了吧？","11","1110004","0","0","11","106531","0","8","0"
"","","11","1110005","","","93","3.2","","",""
"","pkb_talk_arm_crossed","11","1110006","1","0.2","3","106531","0.2","0","pkb_idle_arm_crossed"
"","","11","1110007","","","91","1110004","","",""
"","pkb_idle_normal","11","1110008","","0.2","3","106531","","1",""
"pkb_idle_normal","106531","12","1120001","-175","1.65","1","1","1","100","64"
"","pkb_talk_arm_crossed","12","1120002","1","0.2","3","106531","0.2","0","pkb_idle_arm_crossed"
"","vo_minigame_1006_top_303","12","1120003","","","21","vo_minigame_1006","","0","0"
"0.5","你們的氣勢可不是\n只有嘴上功夫吧？\n展現給我看看！","12","1120004","0","0","11","106531","0","8","0"
"","","12","1120005","","","93","3.2","","",""
"","pkb_talk_doya","12","1120006","1","0.2","3","106531","","0","pkb_idle_doya"
"","","12","1120007","","","91","1120004","","",""
"","pkb_idle_normal","12","1120008","","0.2","3","106531","","1",""
"pkb_idle_normal","102311","13","1130001","-175","1.65","1","1","1","100","64"
"","pkb_talk_fun","13","1130002","1","0.2","3","102311","0.4","0","pkb_talk_joy1"
"","vo_minigame_1006_top_401","13","1130003","","","21","vo_minigame_1006","","0","0"
"0","今天也要打很多球！\n一起加油吧，\n噗吉！","13","1130004","0","0","11","102311","0","8","0"
"","","13","1130005","","","91","1130004","","",""
"","pkb_idle_normal","13","1130006","","0.2","3","102311","","1",""
"pkb_idle_normal","102311","14","1140001","-175","1.65","1","1","1","100","64"
"","pkb_talk_joy1","14","1140002","","0.2","3","102311","","1",""
"","vo_minigame_1006_top_402","14","1140003","","","21","vo_minigame_1006","","0","0"
"0","只要全部都打出\n全壘打就好了是吧？\n這點程度很簡單啦！","14","1140004","0","0","11","102311","0","8","0"
"","","14","1140005","","","93","3","","",""
"","pkb_talk_doya","14","1140006","1","0.2","3","102311","","0","pkb_idle_doya"
"","","14","1140007","","","91","1140004","","",""
"","pkb_idle_normal","14","1140008","","0.2","3","102311","","1",""
"pkb_idle_normal","102311","15","1150001","-175","1.65","1","1","1","100","64"
"","pkb_talk_wish","15","1150002","","0.2","3","102311","","1",""
"","vo_minigame_1006_top_403","15","1150003","","","21","vo_minigame_1006","","0","0"
"-0.5","為了可以成為哥哥\n他們的榜樣，\n我會努力打很多球的！","15","1150004","0","0","11","102311","0","8","0"
"","","15","1150005","","","93","2.4","","",""
"","pkb_talk_fun","15","1150006","1","0.2","3","102311","0.4","0","pkb_talk_joy1"
"","","15","1150007","","","91","1150004","","",""
"","pkb_idle_normal","15","1150008","","0.2","3","102311","","1",""
"pkb_idle_normal_l","1","16","1160001","-155","57","5","1","1","100","64"
"","pkb_talk_arm_crossed_l","16","1160002","1","0.2","3","1","0.2","0","pkb_idle_arm_crossed_l"
"","vo_minigame_1006_top_701","16","1160003","","","21","vo_minigame_1006","","0","0"
"0","以全國大賽為目標，\n今天也來努力練習吧！","16","1160004","0","0","11","1","0","8","0"
"","","16","1160005","","","93","2.6","","",""
"","pkb_talk_doya_l","16","1160006","1","0.2","3","1","0.2","0","pkb_idle_doya_l"
"","","16","1160007","","","91","1160004","","",""
"","pkb_idle_normal_l","16","1160008","","0.2","3","1","","1",""
"pkb_idle_normal_l","1","17","1170001","-155","57","5","1","1","100","64"
"","pkb_talk_guts_l","17","1170002","1","0.2","3","1","","0","pkb_idle_guts_l"
"","vo_minigame_1006_top_702","17","1170003","","","21","vo_minigame_1006","","0","0"
"0","為了實現夢想，\n大家來盡全力\n練習吧！","17","1170004","0","0","11","1","0","8","0"
"","","17","1170005","","","91","0","","",""
"","pkb_idle_normal_l","17","1170006","","0.2","3","1","","1",""
"pkb_idle_normal_l","1","18","1180001","-155","57","5","1","1","100","64"
"","pkb_talk_arm_crossed_l","18","1180002","1","0.2","3","1","0.2","0","pkb_idle_arm_crossed_l"
"","vo_minigame_1006_top_703","18","1180003","","","21","vo_minigame_1006","","0","0"
"0","社員們也都\n進步了好多……\n我可不能落後了！","18","1180004","0","0","11","1","0","8","0"
"","","18","1180005","","","93","2.9","","",""
"","pkb_talk_guts_l","18","1180006","1","0.2","3","1","","0","pkb_idle_guts_l"
"","","18","1180007","","","91","1180004","","",""
"","pkb_idle_normal_l","18","1180008","","0.2","3","1","","1",""
"pkb_idle_normal_l","2","19","1190001","-155","57","5","2","1","100","64"
"","pkb_talk_arm_crossed_l","19","1190002","1","0.2","3","2","0.2","0","pkb_idle_arm_crossed_l"
"","vo_minigame_1006_top_801","19","1190003","","","21","vo_minigame_1006","","0","0"
"0","我會把我的進步\n展現出來，畢竟\n我也是選手啊。","19","1190004","0","0","11","2","0","8","0"
"","","19","1190005","","","93","3.8","","",""
"","pkb_talk_guts_l","19","1190006","1","0.2","3","2","","0","pkb_idle_guts_l"
"","","19","1190007","","","91","1190004","","",""
"","pkb_idle_normal_l","19","1190008","","0.2","3","2","","1",""
"pkb_idle_normal_l","2","20","1200001","-155","57","5","2","1","100","64"
"","pkb_talk_guts_l","20","1200002","1","0.2","3","2","","0","pkb_idle_guts_l"
"","vo_minigame_1006_top_802","20","1200003","","","21","vo_minigame_1006","","0","0"
"0","今天我也要把球打飛！\n不用客氣，\n對我使出全力吧。","20","1200004","0","0","11","2","0","8","0"
"","","20","1200005","","","93","3.2","","",""
"","pkb_talk_doya_l","20","1200006","1","0.2","3","2","","0","pkb_idle_doya_l"
"","","20","1200007","","","91","1200004","","",""
"","pkb_idle_normal_l","20","1200008","","0.2","3","2","","1",""
"pkb_idle_normal_l","2","21","1210001","-155","57","5","2","1","100","64"
"","pkb_talk_arm_crossed_l","21","1210002","1","0.2","3","2","0.2","0","pkb_idle_arm_crossed_l"
"","vo_minigame_1006_top_803","21","1210003","","","21","vo_minigame_1006","","0","0"
"0","既然目標是全國大賽，\n不再多練習一點\n是不夠的吧。","21","1210004","0","0","11","2","0","8","0"
"","","21","1210005","","","91","0","","",""
"","pkb_idle_normal_l","21","1210006","","0.2","3","2","","1",""
"pkb_idle_normal","113511","22","1220001","-150","1.6","1","1","0","100","-20"
"pkb_idle_normal","113411","22","1220002","-150","1.6","1","1","1","100","170"
"","pkb_talk_joy1","22","1220003","","0.2","3","113511","","1",""
"","vo_minigame_1006_top_talk_1_101","22","1220004","","","21","vo_minigame_1006","","0","0"
"-0.5","呵呵，\n大家都幹勁十足呢，\n可能是因為有初音幫忙\n加油打氣吧♪","22","1220005","0","0","11","113511","0","6","0"
"","","22","1220006","","","91","0","","",""
"","pkb_idle_normal","22","1220007","","0.2","3","113511","","1",""
"","pkb_talk_joy1","22","1220008","","0.2","3","113411","","1",""
"","vo_minigame_1006_top_talk_1_202","22","1220009","","","21","vo_minigame_1006","","0","0"
"-0.5","是這樣嗎～？\n那我就要更努力\n幫大家加油囉～！","22","1220010","0","0","11","113411","0","6","0"
"","","22","1220011","","","93","4","","",""
"","pkb_talk_handsup","22","1220012","1","0.2","3","113411","0","0","pkb_idle_normal"
"","","22","1220013","","","91","1220010","","",""
"","pkb_idle_normal","22","1220014","","0.2","3","113411","","1",""
"pkb_idle_normal","113411","23","1230001","-150","1.6","1","1","1","100","170"
"pkb_idle_normal","113511","23","1230002","-150","1.6","1","1","0","100","-20"
"","pkb_talk_normal","23","1230003","","0.2","3","113411","","1",""
"","vo_minigame_1006_top_talk_2_201","23","1230004","","","21","vo_minigame_1006","","0","0"
"-1.5","美里老師也來一起\n幫忙加油嘛！","23","1230005","0","0","11","113411","0","8","0"
"","","23","1230006","","","91","0","","",""
"","pkb_idle_normal","23","1230007","","0.2","3","113411","","1",""
"","pkb_talk_normal","23","1230008","","0.2","3","113511","","1",""
"","vo_minigame_1006_top_talk_2_102","23","1230009","","","21","vo_minigame_1006","","0","0"
"3","哎呀哎呀，\n感覺很好玩呢～♪\n加油～加油～！","23","1230010","0","0","11","113511","0","5","0"
"","","23","1230011","","","93","4","","",""
"","pkb_talk_fun","23","1230012","0","0.2","3","113511","0.2","0","pkb_talk_fun"
"","","23","1230013","","","93","2.7","","",""
"","pkb_idle_normal","23","1230014","1","0.2","3","113511","0.2","0","pkb_talk_joy1"
"","","23","1230015","","","91","1230010","","",""
"","pkb_idle_normal","23","1230016","","0.2","3","113511","","1",""
"pkb_idle_normal","113511","24","1240001","-150","1.6","1","1","1","100","170"
"pkb_idle_normal","3","24","1240002","-130","55","5","3","0","100","-20"
"","pkb_talk_joy3","24","1240003","","0.2","3","113511","","1",""
"","vo_minigame_1006_top_talk_3_101","24","1240004","","","21","vo_minigame_1006","","0","0"
"-1","大地你還真是\n幹勁十足呢～！\n可是，不可以太過\n勉強自己喔～","24","1240005","0","0","11","113511","0","6","0"
"","","24","1240006","","","93","4","","",""
"","pkb_talk_wish","24","1240007","","0.2","3","113511","","1",""
"","","24","1240008","","","91","1240005","","",""
"","pkb_idle_normal","24","1240009","","0.2","3","113511","","1",""
"","pkb_talk_normal","24","1240010","","0.2","3","3","","1",""
"","vo_minigame_1006_top_talk_3_602","24","1240011","","","21","vo_minigame_1006","","0","0"
"-1","我知道啦，\n可是因為沙灘棒球\n實在太好玩了，\n這也沒辦法啊！","24","1240012","0","0","11","3","0","6","0"
"","","24","1240013","","","93","2","","",""
"","pkb_talk_doya","24","1240014","1","0.2","3","3","","0","pkb_idle_doya"
"","","24","1240015","","","91","1240012","","",""
"","pkb_idle_normal","24","1240016","","0.2","3","3","","1",""
"pkb_idle_normal","3","25","1250001","-130","55","5","3","0","100","-20"
"pkb_idle_normal","113511","25","1250002","-150","1.6","1","1","1","100","170"
"","pkb_talk_arm_crossed","25","1250003","1","0.2","3","3","0.2","0","pkb_idle_arm_crossed"
"","vo_minigame_1006_top_talk_4_601","25","1250004","","","21","vo_minigame_1006","","0","0"
"-0.5","現在的我們有實力\n參加全國大賽！\n我們一定要\n實現夢想！","25","1250005","0","0","11","3","0","8","0"
"","","25","1250006","","","93","3","","",""
"","pkb_talk_guts","25","1250007","1","0.2","3","3","","0","pkb_idle_guts"
"","","25","1250008","","","91","1250005","","",""
"","pkb_idle_normal","25","1250009","","0.2","3","3","","1",""
"","pkb_talk_wish","25","1250010","","0.2","3","113511","","1",""
"","vo_minigame_1006_top_talk_4_102","25","1250011","","","21","vo_minigame_1006","","0","0"
"1","是啊，我相信\n你們一定可以的，\n大家一起加油吧～♪","25","1250012","0","0","11","113511","0","6","0"
"","","25","1250013","","","93","5.6","","",""
"","pkb_talk_handsup","25","1250014","1","0.2","3","113511","0.2","0","pkb_idle_normal"
"","","25","1250015","","","91","0","","",""
"","pkb_idle_normal","25","1250016","","0.2","3","113511","","1",""
"pkb_idle_normal","113511","26","1260001","-150","1.6","1","1","1","100","170"
"pkb_idle_normal","1","26","1260002","-130","55","5","1","0","100","-20"
"","pkb_talk_joy3","26","1260003","","0.2","3","113511","","1",""
"","vo_minigame_1006_top_talk_5_101","26","1260004","","","21","vo_minigame_1006","","0","0"
"0","呵呵，老師也會\n一起協助你們練習的～","26","1260005","0","0","11","113511","0","6","0"
"","","26","1260006","","","91","0","","",""
"","pkb_idle_normal","26","1260007","","0.2","3","113511","","1",""
"","pkb_talk_guts","26","1260008","1","0.2","3","1","0.2","0","pkb_idle_guts"
"","vo_minigame_1006_top_talk_5_702","26","1260009","","","21","vo_minigame_1006","","0","0"
"-1","老師，真是感激不盡！\n我也會提起精神，\n努力加油的！","26","1260010","0","0","11","1","0","8","0"
"","","26","1260011","","","91","0","","",""
"","pkb_idle_normal","26","1260012","","0.2","3","1","","1",""
"pkb_idle_normal","1","27","1270001","-130","55","5","1","0","100","-20"
"pkb_idle_normal","113511","27","1270002","-150","1.6","1","1","1","100","170"
"","pkb_talk_arm_crossed","27","1270003","1","0.2","3","1","0.2","0","pkb_idle_arm_crossed"
"","vo_minigame_1006_top_talk_6_701","27","1270004","","","21","vo_minigame_1006","","0","0"
"-0.5","今天的球也\n乾淨得閃閃發亮…\n一定是因為老師幫我們\n好好擦過了……！","27","1270005","0","0","11","1","0","8","0"
"","","27","1270006","","","93","2.6","","",""
"","pkb_talk_guts","27","1270007","1","0.2","3","1","0.2","0","pkb_idle_guts"
"","","27","1270008","","","91","1270005","","",""
"","pkb_idle_normal","27","1270009","","0.2","3","1","","1",""
"","pkb_talk_joy3","27","1270010","","0.2","3","113511","","1",""
"","vo_minigame_1006_top_talk_6_102","27","1270011","","","21","vo_minigame_1006","","0","0"
"0.5","我只是做了我能\n幫上忙的事而已啦～\n這樣大家就可以\n更愉快地練習了吧♪","27","1270012","0","0","11","113511","0","6","0"
"","","27","1270013","","","93","4","","",""
"","pkb_talk_wish","27","1270014","","0.2","3","113511","","1",""
"","","27","1270015","","","91","1270012","","",""
"","pkb_idle_normal","27","1270016","","0.2","3","113511","","1",""
"pkb_idle_normal","113411","28","1280001","-150","1.6","1","1","1","100","170"
"pkb_idle_normal","3","28","1280002","-130","55","5","3","0","100","-20"
"","pkb_talk_yell","28","1280003","1","0.2","3","113411","0.2","0","pkb_talk_joy1"
"","vo_minigame_1006_top_talk_7_201","28","1280004","","","21","vo_minigame_1006","","0","0"
"-0.5","大家加油～♪\n期待看到大家\n帥氣的表現喔──！\n加油加油～！","28","1280005","0","0","11","113411","0","8","0"
"","","28","1280006","","","93","4.6","","",""
"","pkb_talk_fun","28","1280007","1","0.2","3","113411","0.2","0","pkb_idle_normal"
"","","28","1280008","","","91","1280005","","",""
"","pkb_idle_normal","28","1280009","","0.2","3","113411","","1",""
"","pkb_talk_guts","28","1280010","1","0.2","3","3","","0","pkb_idle_guts"
"","vo_minigame_1006_top_talk_7_602","28","1280011","","","21","vo_minigame_1006","","0","0"
"0","這加油聲真是動人……\n我要好好表現\n給小初音看！\n嗚喔喔喔喔！！","28","1280012","0","0","11","3","0","8","0"
"","","28","1280013","","","93","5","","",""
"","pkb_talk_handsup","28","1280014","1","0.2","3","3","","0","pkb_idle_normal"
"","","28","1280015","","","91","1280012","","",""
"","pkb_idle_normal","28","1280016","","0.2","3","3","","1",""
"pkb_idle_normal","3","29","1290001","-130","55","5","3","0","100","-20"
"pkb_idle_normal","113411","29","1290002","-150","1.6","1","1","1","100","170"
"","pkb_talk_arm_crossed","29","1290003","1","0.2","3","3","0.2","0","pkb_idle_arm_crossed"
"","vo_minigame_1006_top_talk_8_601","29","1290004","","","21","vo_minigame_1006","","0","0"
"-1","我們的練習過程\n可能會很煎熬，\n就拜託妳加油打氣\n讓大家鼓起精神啦！","29","1290005","0","0","11","3","0","8","0"
"","","29","1290006","","","93","2.8","","",""
"","pkb_talk_guts","29","1290007","1","0.2","3","3","","0","pkb_idle_guts"
"","","29","1290008","","","91","1290005","","",""
"","pkb_idle_normal","29","1290009","","0.2","3","3","","1",""
"","pkb_talk_joy1","29","1290010","","0.2","3","113411","","1",""
"","vo_minigame_1006_top_talk_8_202","29","1290011","","","21","vo_minigame_1006","","0","0"
"-0.5","包在我身上！\n我會比平常還要\n更努力加油打氣的～！","29","1290012","0","0","11","113411","0","8","0"
"","","29","1290013","","","93","2.2","","",""
"","pkb_talk_fun","29","1290014","0","0.2","3","113411","0.4","0","pkb_smile"
"","","29","1290015","","","93","2.2","","",""
"","pkb_idle_normal","29","1290016","","0.2","3","113411","","1",""
"","","29","1290017","","","91","1290012","","",""
"","pkb_idle_normal","29","1290018","","0.2","3","113411","","1",""
"pkb_idle_normal","113411","30","1300001","-150","1.6","1","1","1","100","170"
"pkb_idle_normal","1","30","1300002","-130","55","5","1","0","100","-20"
"","pkb_talk_joy1","30","1300003","","0.2","3","113411","","1",""
"","vo_minigame_1006_top_talk_9_201","30","1300004","","","21","vo_minigame_1006","","0","0"
"1","我會努力幫大家打氣，\n今天的練習\n也要加油喔！\n目標是全國大賽～！","30","1300005","0","0","11","113411","0","8","0"
"","","30","1300006","","","93","5","","",""
"","pkb_talk_handsup","30","1300007","1","0.2","3","113411","","0","pkb_idle_normal"
"","","30","1300008","","","91","1300005","","",""
"","pkb_idle_normal","30","1300009","","0.2","3","113411","","1",""
"","pkb_talk_normal","30","1300010","","0.2","3","1","","1",""
"","vo_minigame_1006_top_talk_9_702","30","1300011","","","21","vo_minigame_1006","","0","0"
"-1","小初音的聲援\n帶給我們\n很多力量喔，\n謝謝妳總是幫忙加油！","30","1300012","0","0","11","1","0","8","0"
"","","30","1300013","","","93","3.3","","",""
"","pkb_talk_guts","30","1300014","1","0.2","3","1","","0","pkb_idle_guts"
"","","30","1300015","","","91","1300012","","",""
"","pkb_idle_normal","30","1300016","","0.2","3","1","","1",""
"pkb_idle_normal","1","31","1310001","-130","55","5","1","0","100","-20"
"pkb_idle_normal","113411","31","1310002","-150","1.6","1","1","1","100","170"
"","pkb_talk_arm_crossed","31","1310003","1","0.2","3","1","0.2","0","pkb_idle_arm_crossed"
"","vo_minigame_1006_top_talk_10_701","31","1310004","","","21","vo_minigame_1006","","0","0"
"-1.5","身為隊長，\n我要更加進步，\n才能夠帶領大家前進！","31","1310005","0","0","11","1","0","8","0"
"","","31","1310006","","","93","3.6","","",""
"","pkb_talk_doya","31","1310007","1","0.2","3","1","","0","pkb_idle_doya"
"","","31","1310008","","","91","1310005","","",""
"","pkb_idle_normal","31","1310009","","0.2","3","1","","1",""
"","pkb_talk_joy1","31","1310010","","0.2","3","113411","","1",""
"","vo_minigame_1006_top_talk_10_202","31","1310011","","","21","vo_minigame_1006","","0","0"
"-0.5","哦，旭！\n你很有幹勁嘛！\n就是要有這股氣勢～！\n加油加油～☆","31","1310012","0","0","11","113411","0","8","0"
"","","31","1310013","","","93","3.6","","",""
"","pkb_talk_fun","31","1310014","0","0.2","3","113411","","0","pkb_talk_fun"
"","","31","1310015","","","93","3","","",""
"","pkb_idle_normal","31","1310016","","0.2","3","113411","","1",""
"","","31","1310017","","","91","1310012","","",""
"pkb_idle_normal","2","32","1320001","-130","55","5","2","0","100","-20"
"pkb_idle_normal","113411","32","1320002","-150","1.6","1","1","1","100","170"
"","pkb_talk_guts","32","1320003","1","0.2","3","2","","0","pkb_idle_guts"
"","vo_minigame_1006_top_talk_11_801","32","1320004","","","21","vo_minigame_1006","","0","0"
"0","小初音……\n我跟妳保證一定\n會打出全壘打的，\n妳可要看好喔。","32","1320005","0","0","11","2","0","8","0"
"","","32","1320006","","","93","5","","",""
"","pkb_talk_doya","32","1320007","1","0.2","3","2","","0","pkb_idle_doya"
"","","32","1320008","","","91","1320005","","",""
"","pkb_idle_normal","32","1320009","","0.2","3","2","","1",""
"","pkb_talk_joy2","32","1320010","","0.2","3","113411","","1",""
"","vo_minigame_1006_top_talk_11_202","32","1320011","","","21","vo_minigame_1006","","0","0"
"0","嗯，我知道了！\n就拜託你打出\n特大全壘打囉～！\n我很期待喔～！","32","1320012","0","0","11","113411","0","8","0"
"","","32","1320013","","","93","4.6","","",""
"","pkb_hatsune_kiran","32","1320014","1","0.2","3","113411","0.2","0","pkb_idle_normal"
"","","32","1320015","","","91","1320012","","",""
"","pkb_idle_normal","32","1320016","","0.2","3","113411","","1",""
"pkb_idle_normal","102311","33","1330001","-150","1.6","1","1","1","100","170"
"pkb_idle_normal","2","33","1330002","-130","55","5","2","0","100","-20"
"","pkb_talk_normal","33","1330003","","0.2","3","102311","","1",""
"","vo_minigame_1006_top_talk_12_401","33","1330004","","","21","vo_minigame_1006","","0","0"
"-0.5","來做大喊練習嘛！\n把「噗吉全力揮擊」\n大喊一百次～！","33","1330005","0","0","11","102311","0","8","0"
"","","33","1330006","","","93","1.6","","",""
"","pkb_talk_yell","33","1330007","1","0.2","3","102311","0.2","0","pkb_talk_joy1"
"","","33","1330008","","","91","1330005","","",""
"","pkb_idle_normal","33","1330009","","0.2","3","102311","","1",""
"","vo_minigame_1006_top_talk_12_802","33","1330010","","","21","vo_minigame_1006","","0","0"
"0","噗、噗吉\n全力揮擊──！！\n……這種練習\n也是挺累人的呢。","33","1330011","0","0","11","2","0","8","0"
"","","33","1330012","","","93","0.5","","",""
"","pkb_talk_yell","33","1330013","","0.2","3","2","","0",""
"","","33","1330014","","","93","3","","",""
