fb23585684d767caea4dc67b0323579039a05ca398eeee67982ed731b46350d7,0e48221aaedb2c9d2174f419ccf11616dd5bfde2c7651e0bdc3e17791c84dbe3,b157f53c5df1e8e92439572621de942e1eec691225820d5773f3e8966baf62e7,da4cb984c1a457813359acc8e1b9b22c51a03ff0fa870ef1a54bbba2ed0714a4,0e75629af88b2ee42dfd437cc20dc8174e04c1174a72102a452cee5e3def40dc,f6898473a6d5fb340646fb97e77ab686305eb8476604a3e2a2d014214993640f,6ef578a0114b3c7f93855add8d9b2de075d1b489acdf02f0b68097bb307dac68,def4129247d557af955fea45324eb20cd5cf71185869b8136355823cab77ae3c,3ee97574d04bc78bdc092b5340e5bd6740399466a0326418e28c02410400ac1b,5cc6dfc53101680e905815f6fa7040d04d3c8508e664cbab62406953d78a4ddf,f324ac0e37107ef50518e0e18beaea14173b66ac75f49eca0c1a7560fd16e055,b6c593de9a0d1bde0111cf9d36d1403ab6b1d907a2c1cd52ae597a755212881a,a50142b2dab234fa9b1cf3ad31c7aa4ab3225899ca8e71c590abb1073a401568,30b1b9ec3253f2d382ec5758324fa97a175f4a729f40d20d1525ed31f467b0c8,1168d711896225aeabf7b99080f0c509d0493db4b914955cd4beebf79bfc50bb,9c6c5a77497e5a959b582a98ef475571fae346377cf7a6d15ed5750507b79eba,9c3fcb93b6abb15b15ad5513e512e6a58ca7ccdbf67acd1f03b44df0cd4b35c0,9b8ce55c84110a9724a43ccad8a893a8f092e9afda08c2ba98bfb1be79e877b6,d8afe1398cfac2f39011d6a2f1c8bf70e0b1578951b18a9b3a9eebe80d0e7342,c1ae34d2982b3dff27013d2dfa1a2037d587a78c5bece6bdffbbaf178cda3c30,b25e10a9ec1b685975f8aa3ad3a9f8c4b81f247f76b617d6f74027ab206f5ff0,07e8933d7c9c29d3def717e6a0950d002ab7b09b8b2919c54bfb9f2e03703685,6e676e349e2052f4a7b9be820670a52ce1f400740e464182b41e43fff1fc4d23,1c5a930b7d3f0ca132c06cd8828c40123edf28651c4d374158d02d2592b2b63d,cfcbf4b152b6b35a337314275a38d52b94b58d9fa68696c99f1f3fb6378a4f38,3a7f08f83a037f527f11e6b4fd42f27cb99ba6d788ec97c22c6553e6475beab0,6b7230b83ebbb3926cb884a4fe02c5718c0aadfa2250fe1edd09cc6dd268734c,b92bf648d8fb68811f30774744cdd36fe87026a82e875ddcd651f265dfe49a4a,5f897cb29159913194c570d71f5dffeb63bd081041272d995638fa6ea0592c62,4f5286e0a3189f959cf4b18c3e7e1dd09aa1e31f85ac94250ac09ddd4e70ad2b,f9d89f5fa028bfd8d302f3e76dc1d115c54a789dddb20085415ca211789ee25f,a754435ccd792e255943477f6d1fad0561e567ed165e8522ee897e799f2f3b08,87da259432c8f7d3411cc3003fa4b0c23baa291a55a89849ac53002cc4dd7576,97f1dbe2c5264cc14a6b1753a20f6341aa9eeda71006beb39a0896e42fee67dc
"1038","1128","1235","位在山上的牧場公會。活動內容講白了就是牧場，飼育著牛及馬等等的動物。同時也是獸人們度過休假的野餐地及病人的靜養之地。","0","0","1033","0","1192","0","0","0","0","0","1254","0","伊麗莎白牧場","1123","1158","1127","1026","11","0","0","1052","0","0","0","0","1033","0","0","0","1807"
"1034","1146","1809","手邊有著龐大的資金，對各式各樣的事業進行融資及買賣的公會。懲治使用惡劣手段賺取金錢的生意人，是其背地裡的活動目的。","0","1267","1032","0","1169","0","0","0","0","0","1222","0","墨丘利財團","1080","1144","1079","1046","12","0","1268","1048","0","0","0","1251","1032","0","0","0","1168"
"1027","1132","1175","基於某個目的而組成，無論什麼危險的委託都會承攬下來的萬事屋公會。幾乎每個成員都擁有稱號，也傳聞是蘭德索爾最危險的公會。","0","1237","1056","1276","1170","0","1299","0","0","0","1208","0","暮光流星群","1009","1131","1090","1013","13","0","1247","1051","0","0","0","1219","1056","0","0","0","1133"
"1016","1179","1329","存在於蘭德索爾的學校之一。由公會管理協會所直營的公立教育機關。在學校裡，前來上學的學生的年齡、種族、學力都不盡相同。","0","0","1018","0","1273","0","0","0","0","0","0","0","月光學院","1100","1190","1101","1083","14","0","0","1050","0","0","0","0","1018","0","0","0","1214"
"1030","1096","1178","身為公會長的莫妮卡所組成的公會。總是因愚蠢的行動而招來許多危機，但成員都可憑己身之力華麗地解決。","0","1252","1053","1270","1176","0","1332","0","0","0","1191","0","純白之翼 蘭德索爾分部","1055","1130","1095","1045","15","0","1263","1008","0","0","0","1215","1053","0","0","0","1142"
"1109","1293","0","以通過獎學金審查做為目的，而為了表現具有達成「高親和力共同體」的條件，所趁勢結成的新感覺社團風公會。","0","0","1110","0","0","0","0","0","0","0","0","0","聖德蕾莎女子學院（好朋友社）","1162","1294","1164","1163","16","0","0","1108","0","0","0","0","1110","0","0","0","1295"
"1066","1245","0","為了發現並且保護稀有的種族－龍人族為目的而成立。僅管在各地都有進行著探索的蹤跡，然而私底下卻進行著幫派活動的負面傳聞不曾停歇過的一個公會。","0","0","1067","0","1318","0","0","0","0","0","0","0","龍族巢穴","1166","1249","1216","1165","17","0","0","1065","0","0","0","0","1067","0","0","0","1283"
"0","0","0","","0","0","1180","0","0","0","0","0","0","0","0","0","里士滿工商會","0","0","0","0","18","0","0","1280","0","0","0","0","1180","0","0","0","0"
"1269","1343","0","","0","0","1181","0","0","0","0","0","0","0","0","0","憤怒‧軍團","1312","0","1182","1311","19","0","0","1233","0","0","0","0","1923","0","0","0","0"
"1261","0","0","","0","0","1258","0","0","0","0","0","0","0","0","0","幻變少女","0","0","0","1316","20","0","0","1260","0","0","0","0","1258","0","0","0","0"
"1301","0","0","","0","0","1302","0","0","0","0","0","0","0","0","0","蠻賊三姊妹","0","0","0","0","21","0","0","1300","0","0","0","0","1300","0","0","0","0"
"1324","0","0","為了完成禁忌祕藥而奮鬥的鍊金術公會。是由妄想爆發的天才鍊金術師露易絲瑪莉，喜愛鍬形蟲的美女劍士彩羽，怠惰的小孩子店長苑所組成的三人組。","0","0","1323","0","0","0","0","0","0","0","0","0","阿爾克絲鍊金堂","0","0","0","0","22","0","0","1325","0","0","0","0","1323","0","0","0","0"
"1125","0","0","","0","0","1124","0","0","0","0","0","0","0","0","0","new generations","0","0","0","0","100","0","0","1126","0","0","0","0","1124","0","0","0","0"
"0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","森林守衛、牧場（伊麗莎白牧場）","0","0","0","0","500","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","墨丘利財團、咲戀育幼院","0","0","0","0","501","0","0","0","0","0","0","0","0","0","0","0","0"
