6526ed1a679b441ee5b7ac7b2f05e15b494499e8b4e30726c9a8d425b05ca03b,71b93a509448a94b66361fd6811a4ced8ab755b95a1fdb6bc9bc2855a469e5e3,80f3cb2ad79f1e7b058ae484364dd5aab9e72bfdb2f141ee0b391c7e03fca030,208b8a7513db22c20804b4a5846b00f09b1415475883b9bf5bc026981761c438,6c13dfdb115298b271e6adabbf88c2a904bfce7b7148003bc4e672f7b73ad20f,cc9bfbf10e472910cd56dd3ba75b6b77e7d0ade781abdd8817a294373002b916,4582d7da6034650c63737a1266920b380ba22d950fc03bd85210dad9cb563e90,7eb389a3776b5240ed35f3935dcbcf57be5f76f721f03a0dc74d897691ca4503
"用在眼鏡或各式東西上，折射光線用的透明物體。","2","ㄧㄥ","1001101","10011","1","ㄧㄢ","鏡片"
"只知道念書並對其餘事情一竅不通的人。","2","ㄨ","1001102","10011","1","ㄗ","書呆子"
"用來變裝，拿下後原來是美女的眼鏡。","2","ㄢ","1001103","10011","1","ㄩ","扮裝道具"
"公會小屋的管理員「花凜」戴著的眼鏡。","3","ㄨㄚ","1001104","10011","1","ㄧㄥ","花凜的眼鏡"
"為了把小東西放大觀看用的道具。","1","ㄤ","1001200","10012","1","ㄧㄥ","放大鏡"
"用在放大鏡或各式物品上，讓光線曲折用的透明物體。","1","ㄧㄥ","1001201","10012","1","ㄧㄢ","鏡片"
"具有放大效果的透鏡。","2","ㄨ","1001202","10012","1","ㄧㄥ","凸透鏡"
"名偵探「霞」愛用的偵探道具之一。","3","ㄣ","1001203","10012","1","ㄧㄣ","偵探必備的物品"
"拿去烤就會噗滋地流出肉汁，是很棒的食材。","1","ㄡ","1001300","10013","1","ㄡ","肉"
"食材經過巧手烹飪後的完美傑作，讓人忍不住要品嚐美味。","2","ㄧㄠ","1001301","10013","1","ㄧ","料理"
"帶骨的肉。或是以該狀態料理的食物。光是帶骨就看起來莫名的美味。","2","ㄞ","1001302","10013","1","ㄡ","帶骨肉"
"這麼棒的帶骨肉，該不會是傳說中存在於艾爾皮斯島上的「龍」吧。","3","ㄨㄥ","1001303","10013","1","ㄡ","龍肉"
"在夜空中閃耀著金黃色的美麗星球。","1","ㄩㄝ","1001400","10014","1","ㄧㄤ","月亮"
"渾圓的閃耀著的月亮。","1","ㄢ","1001401","10014","1","ㄩㄝ","滿月"
"「月亮」的拉丁文讀音。","2","ㄨ","1001402","10014","1","ㄚ","露娜"
"農曆八月十五號。","2","ㄨㄥ","1001403","10014","1","ㄧㄝ","中秋節"
"繞著行星公轉的天體。","2","ㄨㄟ","1001404","10014","1","ㄧㄥ","衛星"
"少數會飛行的哺乳類。雖然給人會吸血的印象，但是會吸血的品種非常少。","1","ㄧㄢ","1001500","10015","1","ㄨ","蝙蝠"
"著名的吸血鬼。","2","ㄜ","1001501","10015","1","ㄚ","德古拉"
"一份簡單的工作，只要摸摸女孩的頭，或抱抱她就好。","3","ㄧ","1001502","10015","1","ㄨ","伊莉亞的眷屬"
"全身覆滿著羽毛，用翅膀飛翔的物種的統稱。","1","ㄧㄠ","1001600","10016","1","ㄟ","鳥類"
"在蘭德索爾全境裡出現的怪物總稱。","2","ㄛ","1001601","10016","1","ㄨ","魔物"
"現代鳥類的始祖。","2","ㄕ","1001602","10016","1","ㄧㄠ","始祖鳥"
"具有攻擊性的鳥類。","2","ㄥ","1001603","10016","1","ㄧㄣ","猛禽"
"被封印在書中的鳥型魔物。是初音、栞所擊退的。","3","ㄧ","1001604","10016","1","ㄗ","席茲"
"穿在腳上之物。能保護腳底免於碰到小石頭或口香糖之類的文明頂端之物。","1","ㄧㄝ","1001700","10017","1","ㄗ","鞋子"
"能夠保護到腳踝的鞋子。","1","ㄨㄢ","1001701","10017","1","ㄩㄝ","短靴"
"從大叔到女高中生的廣泛客層都愛用的流行物品。不過很可惜，煮了也不能吃。","2","ㄧ","1001702","10017","1","ㄧㄝ","皮鞋"
"包住腳的長靴。尤其編織款的時尚度無人可及。","2","ㄩㄝ","1001703","10017","1","ㄗ","靴子"
"提供防護效果的衣物。","2","ㄤ","1001704","10017","1","ㄩ","防具"
"貓科的哺乳類。因為是人類很熟悉的動物，在可愛的牠面前，人類實在無法抵抗。","1","ㄠ","1001800","10018","1","ㄧ","貓咪"
"帶有花紋的貓。","1","ㄨㄚ","1001801","10018","1","ㄠ","花貓"
"是指貓咪們。珠希會餵牠們吃飯，不過花費可不能小覷。","3","ㄨ","1001802","10018","1","ㄧㄡ","珠希的朋友"
"觀賞用的紅色小型魚類。在廟會時讓人不能不去撈的邪惡東西。","1","ㄧㄣ","1001900","10019","1","ㄩ","金魚"
"魚類一般的稱呼方式。傳說吃了會變聰明。","1","ㄧㄠ","1001901","10019","1","ㄩ","小魚"
"魚類一般的稱呼方式。據說年紀大後，比起肉會更想吃牠。","1","ㄩ","1001902","10019","1","ㄩ","魚"
"用於觀賞而非食用所飼養的魚。","2","ㄨㄢ","1001903","10019","1","ㄩ","觀賞魚"
"囓齒類的一種。","1","ㄠ","1002000","10020","1","ㄨ","老鼠"
"老鼠的叫聲，或是暱稱。","1","ㄓ","1002001","10020","1","ㄓ","吱吱"
"咬食性哺乳動物的總稱。","2","ㄧㄝ","1002002","10020","1","ㄨ","齧齒生物"
"由鳥類或爬蟲類等的雌性所產下，以殼包覆著的球狀物體。","1","ㄢ","1002100","10021","1","ㄢ","蛋"
"雌性生物的生殖細胞。","2","ㄨㄢ","1002101","10021","1","ㄨㄢ","卵"
"鳥類用樹枝築成的家，會在這裡産卵。","2","ㄧㄠ","1002102","10021","1","ㄠ","鳥巢"
"燕子所築的巢，中醫認為其有高度營養價值。","2","ㄧㄢ","1002103","10021","1","ㄨㄛ","燕窩"
"載著人或物在水上前進的交通工具。","1","ㄨㄢ","1002200","10022","1","ㄨㄢ","船"
"海軍使用的軍用船隻。","1","ㄩㄣ","1002201","10022","1","ㄧㄢ","軍艦"
"張帆後以風力前進的船。","2","ㄢ","1002202","10022","1","ㄨㄢ","帆船"
"以大型船隻航海。","2","ㄤ","1002203","10022","1","ㄞ","航海"
"十五世紀歐洲人開始開發遠程海上航線的時代。","2","ㄚ","1002204","10022","1","ㄞ","大航海時代"
"互通有無的大規模商業行為。","2","ㄠ","1002205","10022","1","ㄧ","貿易"
"牛所流出的乳汁。除了可以直接飲用，還能加工成起司或奶油，是很棒的東西。","1","ㄧㄡ","1002300","10023","1","ㄞ","牛奶"
"「牛奶」的別種說法。要說出口有點丟臉。","2","ㄟ","1002301","10023","1","ㄟ","ㄋㄟㄋㄟ"
"某些地區是這麼稱呼優酪乳的。","2","ㄨㄢ","1002302","10023","1","ㄞ","酸奶"
"伊麗莎白牧場裡的牛的名字，是真陽的夥伴。","3","ㄧ","1002303","10023","1","ㄞ","伊麗莎白"
"將可可豆加工後的點心。在2月14日會被人大量消耗。","1","ㄧㄠ","1002400","10024","1","ㄧ","巧克力"
"賭神愛吃的甜食。","2","ㄨ","1002401","10024","1","ㄧ","朱古力"
"味道是甜的，疲倦時會想吃。","2","ㄧㄢ","1002402","10024","1","ㄕ","甜食"
"一旦試過就再也無法放手。","3","ㄨㄛ","1002403","10024","1","ㄧ","哆啦喜歡的東西"
"堅硬樹木的果實。不適合人類食用，但會刺激小孩子的收集慾望，充滿魅力的樹木的果實。","1","ㄧㄤ","1002500","10025","1","ㄨㄛ","橡果"
"會長成樹木的果實。","2","ㄨㄛ","1002501","10025","1","ㄕ","果實"
"被硬殼包覆著食用的果實。可放入點心或是當成下酒菜，在各處受到重用。","2","ㄧㄢ","1002502","10025","1","ㄨㄛ","堅果"
"雖然不及紅豆麵包，但鈴好像也喜歡的樣子。對戰時丟向敵人能讓其暈眩。","3","ㄧㄥ","1002503","10025","1","ㄧㄣ","鈴的點心"
"小小的又酸酸甜甜的水果。一顆顆的會被以為是種子，其實是果實。","1","ㄠ","1002600","10026","1","ㄟ","草莓"
"在野外自由生長的莓果。","2","ㄧㄝ","1002601","10026","1","ㄟ","野莓"
"一種小的、果肉狀的且可經常食用的水果。","2","ㄟ","1002602","10026","1","ㄨㄛ","莓果"
"大型貓科猛獸，肉食動物。","1","ㄠ","1002700","10027","1","ㄨ","老虎"
"高攻擊性動物的俗稱，通常是肉食動物。","2","ㄥ","1002701","10027","1","ㄡ","猛獸"
"虎虎！","3","ㄛ","1002702","10027","1","ㄧㄥ","茉莉的憧憬"
"茉莉仰慕的正義英雄。不能吐嘈那名字。","3","ㄨ","1002703","10027","1","ㄨ","無敵英雄虎虎"
"有著長長耳朵和短短尾巴的可愛哺乳類。作為寵物也很受歡迎。","1","ㄨ","1002800","10028","1","ㄗ","兔子"
"將布縫合後裝入棉花，做成像人或動物的形狀的東西。","1","ㄨㄢ","1002801","10028","1","ㄡ","玩偶"
"仿造人或生物製作的東西。有各種材質，可當玩具或作觀賞用、祭祀用等有各種用途。","2","ㄨㄚ","1002802","10028","1","ㄨㄚ","娃娃"
"真步的一隻玩偶。名稱的意象來自亞瑟王和圓桌騎士。","3","ㄧㄚ","1002803","10028","1","ㄜ","亞瑟"
"爆發後會產生熱與衝擊，並破壞、殺傷對方的一種兵器。超危險。","1","ㄚ","1002900","10029","1","ㄢ","炸彈"
"可能會危及生物或環境的物質。操作時可能需要有證照。","2","ㄨㄟ","1002901","10029","1","ㄧㄣ","危險物品"
"指可以飛得很遠的攻擊型武器，會爆炸的東西還是丟的遠遠的比較好吧？","2","ㄩㄢ","1002902","10029","1","ㄧ","遠距離武器"
"還是好好地被罵一次比較好。","3","ㄧ","1002903","10029","1","ㄩ","禊的惡作劇道具"
"瓜科的大型果實。綠色條紋的外皮，紅色果肉與黑色種子令人印象深刻。","1","ㄧ","1003000","10030","1","ㄨㄚ","西瓜"
"用來表示夏天感覺的東西。除了西瓜，其他還有大海或煙火等。","2","ㄧㄚ","1003001","10030","1","ㄧㄥ","夏天風情"
"某些食物吃了會有消暑的感覺。","2","ㄧㄥ","1003002","10030","1","ㄨㄛ","清涼退火"
"馬科的大型哺乳類。由於力量強大，還能快速跑步，大家很常將其作為家畜或賽馬。","1","ㄚ","1003100","10031","1","ㄚ","馬"
"馬科的哺乳類。和馬比起來雖然小，但力量強大，作為勞動力很受人重視。","1","ㄩ","1003101","10031","1","ㄗ","驢子"
"用馬的種類將品種改良成競賽用的類型。","2","ㄨㄣ","1003102","10031","1","ㄚ","純種馬"
"戰隊競賽時登場的馬型魔物。","3","ㄥ","1003103","10031","1","ㄧㄢ","夢魘"
"為了坐下用的家具。也有顯示職位、地位的意義。","1","ㄧ","1003200","10032","1","ㄗ","椅子"
"放在室內，平時使用的道具總稱。","2","ㄧㄚ","1003201","10032","1","ㄩ","家具"
"小學生使用的課桌椅。","2","ㄧㄠ","1003202","10032","1","ㄧ","小學椅"
"放在公會小屋的家具或裝飾品。從豪華的設計到獨特的物品，其變化非常豐富。","3","ㄨㄥ","1003203","10032","1","ㄩ","公會小屋道具"
"在陸地之外的凹陷處會不斷蓄滿水的地方。","1","ㄞ","1003300","10033","1","ㄞ","海"
"陸地和大海相連的地方。","1","ㄧㄢ","1003301","10033","1","ㄢ","淺灘"
"受到月球引力影響，海水往陸地推移或遠離的現象。","2","ㄠ","1003302","10033","1","ㄧ","潮汐"
"海浪受岸邊地形影響被打散時所出現的四濺水花。","2","ㄤ","1003303","10033","1","ㄨㄚ","浪花"
"雖然是可以從蘭德索爾徒步到達的受歡迎海灘，但是常出現魔物，意外的很危險。","3","ㄚ","1003304","10033","1","ㄢ","瑪爾傑海岸"
"包覆在貝類外側的殼。掉在沙灘上會讓人不自覺想收集。","1","ㄟ","1003400","10034","1","ㄜ","貝殼"
"有著堅硬外骨骼的節肢動物。蝦、蟹，還有水蚤都算在內。","2","ㄧㄚ","1003401","10034","1","ㄟ","甲殼類"
"蘭德索爾的所到之處出現的魔物。外觀像鎧甲一樣堅硬，是難對付的敵人。","3","ㄧ","1003402","10034","1","ㄕ","寄居蟹騎士"
"一般是指木管樂器。分為直笛與橫笛。","1","ㄧ","1003500","10035","1","ㄧ","笛"
"木管樂器之一。不能用來玩擊劍遊戲。","1","ㄓ","1003501","10035","1","ㄧ","直笛"
"樂器分類中的一種。吹入氣息，震動管內的空氣來發出聲音。","2","ㄨㄢ","1003502","10035","1","ㄧ","管樂器"
"以直立方式吹奏的笛子。直笛或單簧管等。","2","ㄨ","1003503","10035","1","ㄧ","豎笛"
"在一疊紙上印刷文字或圖畫後裝訂成冊的東西。","1","ㄨ","1003600","10036","1","ㄣ","書本"
"寫下文字或圖畫用的文具。","1","ㄧ","1003601","10036","1","ㄧ","筆記"
"創作的故事。有戀愛、歷史、推理等，種類繁多。","2","ㄧㄠ","1003602","10036","1","ㄨㄛ","小說"
"是書嗎？還是魔杖？","3","ㄞ","1003603","10036","1","ㄨ","凱留的魔導書"
"魚類一般的稱呼方式。傳說吃了會變聰明。","1","ㄩ","1003700","10037","1","ㄩ","魚"
"魚類一般的稱呼方式。據說年紀大後，比起肉會更想吃牠。","1","ㄧㄠ","1003701","10037","1","ㄩ","小魚"
"魚的一種。又大又美味的高級魚。說到壽司就是這個。","2","ㄨㄟ","1003702","10037","1","ㄩ","鮪魚"
"生活在海洋中的生命體。","2","ㄞ","1003703","10037","1","ㄨ","海洋生物"
"是樹木。","1","ㄨ","1003800","10038","1","ㄨ","樹"
"用來當聖誕樹的針葉樹。大株的還會長到40公尺。","2","ㄢ","1003801","10038","1","ㄨ","杉木"
"雖然不清楚是何時開始及為什麼，但是聖誕老公公送禮的日子。","2","ㄥ","1003802","10038","1","ㄧㄝ","聖誕節"
"耶誕節時的標誌裝飾物，將燈飾、彩帶等飾品掛在樹上而成。","2","ㄧㄝ","1003803","10038","1","ㄨ","耶誕樹"
"聖誕節前一天的夜晚，也指聖誕節天亮前的深夜。","2","ㄧㄥ","1003804","10038","1","ㄧㄝ","平安夜"
"和千歌一起，在聖夜於咲戀育幼院發生的奇蹟故事。","3","ㄨㄤ","1003805","10038","1","ㄜ","忘却的頌歌"
"有棍子的糖果。","1","ㄤ","1003900","10039","1","ㄤ","棒棒糖"
"甜甜的很好吃，含在口中的感覺最棒了！","2","ㄧㄢ","1003901","10039","1","ㄕ","甜食"
"光是拿著，那畫面就像一幅畫。","3","ㄜ","1003902","10039","1","ㄧㄣ","克蘿依的點心"
"上面是柔軟的，用波浪管製成的玩具。被打到會發出滑稽的聲音。","1","ㄨㄢ","1004000","10040","1","ㄨㄟ","玩具槌"
"上面是由金屬製成的鈍器。被打到會很痛。","2","ㄧㄝ","1004001","10040","1","ㄨㄟ","鐵鎚"
"小槌子。搖晃它可能會出現各種東西，也可能不會出現。","2","ㄧㄠ","1004002","10040","1","ㄨㄟ","小槌"
"祈梨的武器。動作很可愛，但進行的攻擊很兇狠。","3","ㄧ","1004003","10040","1","ㄧ","祈梨的武器"
"在夜空發光的天體。","1","ㄧㄥ","1004100","10041","1","ㄧㄥ","星星"
"星形的海洋生物。不適合食用。","2","ㄞ","1004101","10041","1","ㄧㄥ","海星"
"發光模樣的一種表現。","2","ㄧㄤ","1004102","10041","1","ㄧㄥ","亮晶晶"
"初音的必殺技","2","ㄧㄡ","1004103","10041","1","ㄧㄥ","流星"
"不從空中看的話不會知道。","3","ㄢ","1004104","10041","1","ㄨㄤ","蘭德索爾的形狀"
"戴在頭上的飾品。","1","ㄠ","1004200","10042","1","ㄗ","帽子"
"謹守禮儀的男士，也可以指社經地位高的人士。","1","ㄣ","1004201","10042","1","ㄕ","紳士"
"「帽子」的種類之一。","2","ㄧ","1004202","10042","1","ㄠ","禮帽"
"裝飲料等的容器。","1","ㄟ","1004300","10043","1","ㄗ","杯子"
"以可可樹的果實製成的飲品。","1","ㄜ","1004301","10043","1","ㄜ","可可"
"「杯子」的種類之一。","2","ㄚ","1004302","10043","1","ㄟ","馬克杯"
"混合巧克力的咖啡。","2","ㄛ","1004303","10043","1","ㄚ","摩卡"
"會汪汪叫的動物。","1","ㄡ","1004400","10044","1","ㄡ","狗"
"「狗」的別種說法。","1","ㄩㄢ","1004401","10044","1","ㄩㄢ","犬"
"「狗」的同類。野生之力。","2","ㄤ","1004402","10044","1","ㄤ","狼"
"哈士奇的暱稱。","2","ㄩㄝ","1004403","10044","1","ㄩㄝ","月月"
"非常像狼的大型犬種，可以當作寵物，如果你可以接受牠許多讓人哭笑不得的行為。","2","ㄚ","1004404","10044","1","ㄧ","哈士奇"
"輕飄飄的布。","1","ㄧ","1004500","10045","1","ㄗ","旗子"
"軍隊在戰鬥時使用的旗子，用以分辨敵我，也可以當作下達指令的工具。","2","ㄢ","1004501","10045","1","ㄧ","戰旗"
"用來傳遞訊息的旗子，通常是透過暗號或旗語來運作。","2","ㄧㄣ","1004502","10045","1","ㄧ","信號旗"
"很棒的點心。甜甜的很好吃。","1","ㄢ","1004600","10046","1","ㄠ","蛋糕"
"很棒的食物。","2","ㄧㄢ","1004601","10046","1","ㄧㄣ","點心"
"準備好要唱生日快樂歌了嗎？","2","ㄥ","1004602","10046","1","ㄜ","生日快樂"
"羈絆的深遠不只是共同渡過的時間。卡路里也是羈絆的證明……","3","ㄧ","1004603","10046","1","ㄨ","羈絆點數"
"大家的最愛，就不說是什麼了，直接加上30羈絆值。","3","ㄨㄥ","1004604","10046","1","ㄠ","綜合莓果蛋糕"
"將聲音轉換成信號的裝置。","1","ㄞ","1004700","10047","1","ㄥ","麥克風"
"麥克風是唱歌的必需品！","2","ㄤ","1004701","10047","1","ㄜ","唱歌"
"在舞台上現場演奏。","2","ㄧㄢ","1004702","10047","1","ㄨㄟ","演唱會"
"要是沒有這個就無法開始。","2","ㄡ","1004703","10047","1","ㄧㄣ","偶像的必備物品"
"望的專用裝備。有慈樂之音的標誌！","3","ㄢ","1004704","10047","1","ㄥ","閃耀麥克風"
"能襯出嘴唇的化妝品。","1","ㄡ","1004800","10048","1","ㄨㄥ","口紅"
"抹在嘴唇上，用來保護嘴唇的保養品。","1","ㄨㄣ","1004801","10048","1","ㄠ","唇膏"
"為了美觀而塗抹在臉上的物品。","2","ㄨㄚ","1004802","10048","1","ㄧㄣ","化妝品"
"將穀物蒸煮後的東西。也是吉祥物。","1","ㄧㄢ","1004900","10049","1","ㄠ","年糕"
"「年糕」的別種說法。","1","ㄚ","1004901","10049","1","ㄨ","麻糬"
"新年時可以供奉神佛，一大一小相疊的糯米糕。","2","ㄧㄥ","1004902","10049","1","ㄧㄥ","鏡餅"
"年糕的主要營養素。小心不要吃太多。","2","ㄢ","1004903","10049","1","ㄨ","碳水化合物"
"以糯米製成的點心。","2","ㄨㄛ","1004904","10049","1","ㄠ","糯米糕"
"嬌小又長著翅膀的種族。","1","ㄧㄠ","1005000","10050","1","ㄧㄥ","妖精"
"住在公會小屋的惡作劇妖精。","3","ㄧㄝ","1005001","10050","1","ㄧㄚ","涅比亞"
"主要是避雨用的傘。","1","ㄩ","1005100","10051","1","ㄢ","雨傘"
"主要是遮陽用的傘。","2","ㄜ","1005101","10051","1","ㄢ","遮陽傘"
"主要是遮陽用的傘。","2","ㄧㄤ","1005102","10051","1","ㄢ","陽傘"
"盛夏時海灘公主的必需品！","3","ㄢ","1005103","10051","1","ㄖ","貪吃佩可夏日"
"為了產生亂數用的道具。","1","ㄞ","1005200","10052","1","ㄗ","骰子"
"賭博。骰子上的數字讓人一喜一憂。","2","ㄨ","1005201","10052","1","ㄛ","賭博"
"一般的骰子形狀。","2","ㄧㄡ","1005202","10052","1","ㄧ","六面體"
"使用骰子的桌遊。","2","ㄚ","1005203","10052","1","ㄨㄥ","大富翁"
"一種以骰子進行的賭博遊戲，許多香腸攤老闆都對這個遊戲有自己的見解。","2","ㄧ","1005204","10052","1","ㄚ","洗八啦"
"將無法言喻的心意化為文字。","1","ㄧㄣ","1005300","10053","1","ㄧㄣ","信"
"透過郵遞系統移動的書信或包裹。","2","ㄧㄡ","1005301","10053","1","ㄧㄢ","郵件"
"用來傳達愛意的信。","2","ㄧㄥ","1005302","10053","1","ㄨ","情書"
"用來傳遞訊息的文件。","2","ㄨ","1005303","10053","1","ㄧㄣ","書信"
"古代利用鴿子傳遞訊息的方法。","2","ㄟ","1005304","10053","1","ㄨ","飛鴿傳書"
"是一串的。旁邊的好像很酸。","1","ㄨ","1005400","10054","1","ㄠ","葡萄"
"紫色的葡萄，說到葡萄，還是紫色的最常見。","1","ㄗ","1005401","10054","1","ㄠ","紫葡萄"
"「葡萄」的種類之一。","2","ㄩ","1005402","10054","1","ㄥ","巨峰"
"有著鬆軟的毛。","1","ㄧㄢ","1005500","10055","1","ㄧㄤ","綿羊"
"對小孩子說羊的時候，有時候會這麼說。","1","ㄧㄤ","1005501","10055","1","ㄧㄝ","羊咩咩"
"白色的羊。","2","ㄞ","1005502","10055","1","ㄧㄤ","白羊"
"真可愛呀～♪","2","ㄚ","1005503","10055","1","ㄧㄤ","瑪莉有隻小綿羊"
"用豆子製成的東國料理。","1","ㄡ","1005600","10056","1","ㄨ","豆腐"
"「豆腐」的種類之一。野性的口感。","2","ㄨ","1005601","10056","1","ㄨ","木綿豆腐"
"代表性的豆腐料理。","2","ㄧㄤ","1005602","10056","1","ㄨ","涼拌豆腐"
"杏仁做成的形狀像豆腐的甜品。","2","ㄧㄥ","1005603","10056","1","ㄨ","杏仁豆腐"
"不會飛的鳥。會嗄嗄的叫。","1","ㄧㄚ","1005700","10057","1","ㄗ","鴨子"
"也有會飛的鳥。也有不會飛的鳥。","2","ㄧㄠ","1005701","10057","1","ㄟ","鳥類"
"依水而生的鳥類。","2","ㄨㄟ","1005702","10057","1","ㄧㄠ","水鳥"
"在空中飛的昆蟲。","1","ㄧㄥ","1005800","10058","1","ㄧㄥ","蜻蜓"
"「蜻蜓」的種類之一。","2","ㄧㄢ","1005801","10058","1","ㄧㄥ","晏蜓"
"六支腳的動物。","2","ㄨㄣ","1005802","10058","1","ㄨㄥ","昆蟲"
"「蜻蜓」的英文稱呼，直譯後的意思，很厲害吧。","2","ㄟ","1005803","10058","1","ㄨㄥ","飛龍"
"高等植物的營養器官。","1","ㄧㄝ","1005900","10059","1","ㄗ","葉子"
"樹木的葉子。","1","ㄨ","1005901","10059","1","ㄧㄝ","樹葉"
"綠色的葉子。","2","ㄩ","1005902","10059","1","ㄧㄝ","綠葉"
"碧可以毫無顧慮聊天的少數的朋友。是朋友。","3","ㄧ","1005903","10059","1","ㄧㄡ","碧的朋友"
"戴在手指上的飾品。","1","ㄧㄝ","1006000","10060","1","ㄓ","戒指"
"鑲有鑽石的戒指。","1","ㄨㄢ","1006001","10060","1","ㄧㄝ","鑽戒"
