859758d6d0646b0f297ce870a43fc2dcbe0d2a1b9c7b466af6775b69fba2bed6,8ebe6b1858ee7f41e44e3af6ddc7958bce881252294a8a0a197c1ab081f5eb03,1e9efbc7dd796c9b609f5ea7e8f1a1d935d18e530fb47a24ffefc5c20df3b520,d2a929c527ca19399933aad7741b0a56560d0e990e1348c14b28e23d9626509e,ef6b8c039661a647b697901c9153476a890853c31adb2e6323d134f965dec4ef,497504de156e2eebeba6fc3521e93ea49a0fd59dc6621d64a380b52532b8f10a,145604914d7b6ac00f4a918d147d9c5a73ca0dd2492154439a3d05206fbf207e,172713e640377695c2170106f2cda3581c425b0f71ee3e3cf8662b656d6bbdf5,07a7292d177dcdeb8bb36c25b45f9ad88a65e9ce7d15601052a77b388c5ca8c2,c520b599e3870165942c87b7f39d7b83da0e03cb4330f6bc2f5c0a3d5ba1018a,5a1eb6d3503ede684e3dacbffd2190b70a05ea036dd39738179d58bf68bde45c,e6959fc548705de6c8d76575c89d67af3145d62295ca5a8a530b5531029c191e,238882dba26e6ac0724d3912f51881ca3c556760465346f7817f6e6fc9f91547,c6a54604efd512ba8185ea543da5f88cbbf85e8f4610dd2fcf31446912b15157,b27c117020ac45541112da40937efddceca621076db7b15b17c819600077c70d,7cd93bfbf4b2fa8f3f7983ce465d3565f730a60f3df2a31ec59ef98b6dfe7f07,4db4fa704d23c6c99e949d32b51e8f8129f8a85e0ddefb720915e9ed1de031ab
"51011","3","莉瑪的不可思議\n甜蘋果","10","0","下次投擲的骰子一定會丟出「2」，再下一次投擲的骰子一定會丟出「7」。","52011","莉瑪的不可思議甜蘋果","1","7","獲得1張抽獎券。","0","2","3","莉瑪用從似似花那裡拿到的蘋果製作出來的祕密甜點。\n清爽的酸味與濃厚的甜味\n保持著彷彿像魔法一般的平衡，互相襯托著彼此。\n讓吃下的人轉眼之間就變成它的俘虜。","1","500"
"51012","2","妮諾的原創\n一二三壽司","10","0","下次投擲的骰子一定會丟出「1、2、3」，並且跳過下次的回合數計算。","52012","妮諾的原創一二三壽司","30002","3","獲得1個未鑑定的平凡寶物。","0","1","1","妮諾帶到吉歐‧提格尼亞的特別\n壽司。雖是使用了嚴選新鮮海產的絕品料理，\n一部分的食材，卻是由手法超脫一般壽司範疇的妮諾\n以自創方式料理出來的。","1","500"
"51013","3","克蕾琪塔的開運\n點心拼盤","10","0","打開RANK2的里程商店。","52013","克蕾琪塔的開運點心拼盤","2","8","獲得800里程。","0","0","4","由克蕾琪塔設計，以流通於吉歐‧提格尼亞的\n巧克力貨幣組成的拼盤。乍看之下\n只是個把金幣放入口中的傻瓜，然而\n吃下貨幣的悖德感，成了最佳的額外香料。","3","500"
"51014","2","璃乃的\n「時乃金時」刨冰","11","0","跳過里程格進行移動。效果持續2回合。","52014","璃乃的「時乃金時」刨冰","1","9","下次擲骰的時候，多前進1格。","0","2","1","可愛的妹妹為了哥哥誠心製作的\n特別刨冰。只要吃下一口，精神就會立即\n被那冰冷的甜美滋味研磨至最銳利狀態，變成\n不放過任何好康的要塞賢母。","1","500"
"51015","1","靜流的愛情\n滿滿漢堡排","11","0","下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","52015","靜流的愛情滿滿漢堡排","2","1","下次擲骰的時候，多前進1格。","0","1","1","姊姊為了弟弟誠心製作的\n特別漢堡排。裡面塞滿了熱騰騰的肉汁\n和滿溢的愛情，只要吃下\n一口，就會美味到讓人想要四處亂跑。","1","500"
"51016","3","碧的衝刺\n三明治","0","0","下次投擲的骰子一定會丟出「6」。","52016","碧的衝刺三明治","20005","2","無","0","1","0","碧做來當作便當的精靈族傳統三明治。\n這是源自陪著她的至親好友給她的建議，\n據說無論在多麼幽暗的森林中，\n都能使出全力衝刺。（碧本人表示）","1","500"
"51017","3","空花的活切\n緊綁觸手","10","1","[FF7C4E,D62146]【不可覆寫】[-]下一回合無法食用「移動系的料理」，相對地當場獲得2000里程。","52017","空花的活切緊綁觸手","1","2","無","0","2","5","妄想過無數種被虐場景的空花最近熱衷的事物，\n是種以觸手為主軸的活切料理。\n新鮮的章魚腳與濃郁的鮮味在物理上交纏在一塊，\n無論身心都能體驗到被緊綁的感受。","1","500"
"51018","1","蘭法的熱心馬鈴薯燉肉","10","0","下次投擲的骰子一定會丟出「3」。","52018","蘭法的熱心馬鈴薯燉肉","20006","2","獲得1000里程。","0","1","6","在可可蘿的指導下提升了料理技術的蘭法\n所親手製作的馬鈴薯燉肉。雖然還有改善的空間，\n但只要一想到這是笨拙的蘭法為了他人\n而拼命努力煮出的菜餚，就覺得格外美味。","1","500"
"0","1","若菜的節儉八分飽咖哩","0","0","下次投擲的骰子一定會丟出「8」。","52019","若菜的節儉八分飽咖哩","20007","2","無","0","1","0","蠻賊三姊妹昨天晚餐的咖哩。\n若菜將吃不完的份分裝給了大家。\n因為靜置了一晚，味道變得更加濃郁，\n是極致的隔夜咖哩。","1","500"
"51014","2","璃乃的\n「時乃金時」刨冰","11","0","跳過里程格進行移動。效果持續2回合。","52020","璃乃的「時乃金時」刨冰","1","9","下次擲骰的時候，多前進1格。","0","2","1","可愛的妹妹為了哥哥誠心製作的\n特別刨冰。只要吃下一口，精神就會立即\n被那冰冷的甜美滋味研磨至最銳利狀態，變成\n不放過任何好康的要塞賢母。","2","500"
"51021","3","霞的看透真相的\n糖果巧克力","10","0","跳過寶物格進行移動。效果持續3回合。","52021","霞的看透真相的糖果巧克力","2","9","	獲得2個未鑑定的平凡寶物。","0","3","7","放在華麗禮盒中的糖果巧克力。\n當那甜中帶苦的濃厚滋味，活化灰色的腦細胞時，\n名偵探便能展現精闢的推理，\n使謎團真相大白，讓事件劃下句點。","2","500"
"51022","1","秋乃的煉獄\n烤雞拼盤","0","0","在投擲3次骰子之前，投擲的骰子丟出「5和6」的機率變成3倍。","52022","秋乃的煉獄烤雞拼盤","20008","2","無","0","3","0","使用了秋乃在吉歐‧格黑納取得\n的香料，既時髦又豪華的烤雞拼盤。佐以\n牧場特製優格醬所演繹出的刺激風味，\n實在是兩個世界奇蹟般的完美結合。","1","500"
"51023","1","美美的丟沙包\n圓滾滾飯糰","10","1","[FF7C4E,D62146]【不可被覆蓋】[-]下次投擲的骰子一定會丟出「6」，再下一次投擲的骰子一定會丟出「3」。","52023","美美的丟沙包圓滾滾飯糰","1","7","獲得1個未鑑定的平凡寶物。","0","2","1","美美想著在吉歐‧格黑納幫助自己的\n姐姐們所製作的飯糰。雖然每個被加入\n不同的佐料，但都一如美美的願望，\n彼此不吵架、和睦地演奏著和聲。","1","500"
"51024","3","步未的祕密\n隱形蛋糕","11","0","打開RANK2的里程商店。","52024","步未的祕密隱形蛋糕","2","8","下次擲骰的時候，多前進3格。","0","0","3","回過神來就在莉莉手中的不可思議的點心。\n雖然乍看之下是普通的蛋糕，\n內部卻藏了各式各樣的配料。\n其複雜又多層次的滋味，彷彿就像是某人一般。","3","500"
"51025","3","安涅默涅的\n爛漫花朵牛排沙拉","0","0","跳過「里程格」及「寶物格」進行移動。效果持續1回合。","52025","安涅默涅的爛漫花朵牛排沙拉","3","9","無","0","1","0","使用安涅默涅照料著的祕密菜園中的蔬菜的沙拉。\n重視營養的安涅默涅將草食動物的肉視為蔬菜，\n一開始只是在蔬菜上放上肉而已，\n後來在涅羅的指導下重新進行了擺盤。","2","500"
"51026","1","杏奈的\n煉獄番茄燉煮渾沌蛋","10","0","讓隨機活動出現。","52026","杏奈的煉獄番茄燉煮渾沌蛋","1","4","獲得2張抽獎券。","0","0","8","一道用探索吉歐‧格黑納的冥姬們\n在當地採集的調味料製作的料理。\n沸騰的紅醬帶有刺激而深奧的味道，\n就像一片未知的土地，吸引冒險者深入探索。","3","500"
"51027","3","優衣的\n營養滿分心意滿分便當","0","0","在投擲2次骰子之前，投擲的骰子一定會丟出「5」。","52027","優衣的營養滿分心意滿分便當","20004","2","無","0","2","0","優衣想著吃的人用心製作的便當。\n大小適中的便當盒裡裝滿了\n充滿愛意且精心烹調的極品料理，\n溫柔地填滿吃的人的心和胃。","1","500"
"51028","3","鈴的\n堅果懶人紅豆麵包","10","0","下次投擲的骰子只會丟出「1、2」。\n同時會當場獲得3張抽獎券。","52028","鈴的堅果懶人紅豆麵包","30003","2","無","0","1","9","鈴給了防災糧食的紅豆麵包。\n添加了堅果的脆脆口感讓人百吃不膩。\n似乎是窩在房間裡玩遊戲之際的好夥伴，\n也是能補充必要營養素的完全營養食物。","1","500"
"51029","2","雪菲的\n冰晶輝煌手工冰","0","0","下次投擲的骰子一定會丟出「2」。並且跳過下次的回合數計算。","52029","雪菲的冰晶輝煌手工冰","30004","3","無","0","1","0","雪菲利用自身的魔力冰製作的冰品。\n雖然是在貪吃佩可央求之下製作的，\n不過也備受凱留等人的好評。據可可蘿的表示，\n這雖然吃起來冰冰涼涼的，卻能溫暖內心。","1","500"
"51030","1","美空的\n隨興味噌拉麵★","0","0","3回合之內，所有的「里程格」變成Rank 3的「寶物格」。","52030","美空的隨興味噌拉麵★","1","12","無","0","3","0","美空做的拉麵。因為蘭法記得她隨口說的喜歡的食物，\n所以在對方準備好材料之後，\n不得已而做出來的，但是味道是好事級的。\n她似乎不討厭別人津津有味地吃著它的樣子。","3","500"
"51031","3","彩羽的\n最強鍬形蟲果凍（人類用）","0","0","下次投擲的骰子會丟出「1、6、6、6、8、8」。","52031","彩羽的最強鍬形蟲果凍（人類用）","20009","2","無","0","1","0","彩羽總是隨身攜帶的色彩斑斕的果凍……\n但是它是阿爾克絲鍊金堂製作的，\n有著跟鍬形蟲果凍一樣的外觀。雖然很甜很好吃，\n但是問她那是給人吃的嗎時，她會別開視線。","1","500"
"51032","3","格蕾斯的\n目瞪口呆杯子蛋糕","11","0","跳過料理格進行移動。效果持續2回合。","52032","格蕾斯的目瞪口呆杯子蛋糕","4","9","下次擲骰的時候，多前進3格。","0","2","3","格蕾斯親手做的杯子蛋糕。把全力都用在\n刺激的外觀上了……雖然讓人那麼覺得，\n但是連眼球都能吃又很美味……才讓人那麼覺得，但是一部分\n又甜到讓人覺得靈魂要消散了。她堅持不說出原料是什麼。","2","500"
"51033","1","苑的今天是特別獎勵蛋包飯","0","0","打開RANK3的里程商店。","52033","苑的今天是特別獎勵蛋包飯","3","8","無","0","0","0","苑做的蛋包飯。是彩羽非常喜歡吃的料理，\n有家庭的味道。雖然平常因為嫌麻煩所以不會去做，\n但是在彩羽當乖孩子時會用番茄醬\n幫她畫鍬形蟲。那個時候似乎會比平常還好吃。","3","500"
"51034","1","吉塔的\n炙燒‧怨念肉片","10","0","跳過里程格進行移動。效果持續2回合。","52034","吉塔的炙燒‧怨念肉片","1","9","獲得1個未鑑定的平凡寶物。","0","2","1","由於實在太過美味又含有爆表熱量，\n這道肉料理獲得了像惡意集合體般的嚇人名字。\n由於收集這些肉能夠展現作為騎空士的力量，\n所以吉塔想要大量收集。","2","500"
"51035","1","露易絲瑪莉\n過於成功的炸物","10","0","讓隨機活動出現。","52035","露易絲瑪莉過於成功的炸物","1","4","獲得1個未鑑定的貴重寶物。","0","0","10","露易絲瑪莉完整重現祖母食譜的最佳傑作。\n精細的調配與溫度控管下生產出的麵衣\n以及酥脆鬆軟的食材被譽為鍊金技術的最終目標，\n但也有不少意見認為只是單純的烹飪。","3","500"
"51036","3","給你\n吃鳳凰的權利！饅頭","0","1","[FF7C4E,D62146]【不可被覆蓋】[-]這回合投擲的骰子一定會丟出「12」，下一回合與下下一回合投擲的骰子一定會丟出「1」。","52036","鳳凰的賜予你享用的權利！饅頭","1","7","無","0","3","0","身為吉歐‧格黑納天空霸主的煉花鳳凰\n為集結對自身的信仰而訂製的甜點。\n內餡香甜綿密，風味高雅。任意封其為\n吉歐‧格黑納知名點心的日子或許也不遠了。","1","500"
"51037","3","魔法少女\n七七香威化餅","10","0","地圖上的「里程格」、「寶物格」、「商店格」的RANK提升1。效果將持續到停在對象格上1次之後為止。","52037","魔法少女七七香威化餅","1","6","獲得3個未鑑定的平凡寶物。","1","0","11","由七七香構思＆監製的威化餅。由於提高了\n附贈貼紙的收藏性，而在整個蘭德索爾\n蔚為風潮……然而最重要的餅乾卻遭到捨棄。\n為了解決這個問題，公主便親自張口吃下。","2","500"
"51038","1","亞里莎為你送上♪\n破魔蟲紙包料理","10","0","下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","52038","亞里莎為你送上♪破魔蟲紙包料理","2","1","獲得1張抽獎券。","0","1","3","亞里莎特製的紙包料理。據說由於使用了與傳說\n怪物極為相似的魔物作為材料，\n不知何時便被以與該怪物相同的名字相稱。\n請小心那銳利的鐮刃與火傷，趁熱享用吧。","1","500"
"51039","2","伊莉亞的†嗜血†\n番茄汁","0","0","2回合之內，所有的「里程格」變成Rank 3的「商店格子」。","52039","伊莉亞的†嗜血†番茄汁","2","12","無","0","2","0","伊莉亞愛喝的鮮紅番茄汁。\n為了追求與傳說的吸血鬼相符的品質，\n所製作出來的終極逸品。所以價格\n也相對昂貴，似乎只有在特別的時候才能飲用。","3","500"
"51040","1","茉莉的活力源\n～騎士團遠征拼盤～","11","0","跳過寶物格進行移動。效果持續3回合。","52040","茉莉的活力源～騎士團遠征拼盤～","2","9","下次擲骰的時候，多前進2格。","0","3","2","【王宮騎士團】遠征時的固定菜單，\n茉莉加以改良的拼盤。原本打算把不喜歡的蔬菜\n拿掉，並把肉量加倍，但在出菜前就被識破。\n只好在純的指導下，乖乖加入蔬菜。","2","500"
"51041","1","班比的\n無敵濃湯","10","1","[FF7C4E,D62146]【不可被覆蓋】[-]這回合投擲的骰子一定會丟出「7」，下一回合投擲的骰子一定會丟出「2」。","52041","班比的最～強濃湯","1","7","獲得1個未鑑定的平凡寶物。","0","2","1","班比用心製成的特製湯品。\n像是家庭料理一般的樸素味道\n會引發人們的鄉愁。以前好像曾經和別人\n站在一起弄過肉丸……班比是這樣說的。","1","500"
"51042","2","埃拉想和\n大家一起喝的赤麥酒","0","0","在投擲2次骰子之前，投擲的骰子只會丟出「4、5、6」。","52042","埃拉想和大家一起喝的赤麥酒","20002","2","無","0","2","0","埃拉心愛的赤麥酒。根據她的期望\n也開始了生產給小孩子喝不會醉的版本。據她所說\n是為了把這美味推廣出去，不過也可能只是\n想讓男女老幼也能愉快飲用而已。","1","500"
"51043","1","怜的現釣\n鹽燒炭火鮮魚","10","1","【不可覆寫】下一回合無法食用「移動系的料理」，相對地當場獲得3個未鑑定的貴重寶物。","52043","怜的炭火鹽燒現釣鮮魚","1","2","無","0","2","12","怜釣起的魚的鹽烤魚。在不斷嘗試後終於找到了\n理想的鹽量和火候。她說料理和釣魚一樣\n都是認真對決，是與自己內心的戰鬥。\n怜有時候也會被夥伴擔心會不會太集中了。","1","500"
"51044","2","雪野的硬邦邦\n整顆果實冰品","10","0","這回合投擲的骰子一定只會丟出「1、2、3」，並且跳過下次的回合數計算。","52044","雪野的硬邦邦整顆果實冰品","30002","3","獲得1張抽獎券。","0","1","3","雪野偶然創造出來的藍果實冰棒。\n原本是不小心冰凍的，清爽的滋味廣受好評，\n意外地成了代表久遠冰河的伴手禮。\n持續攀升的銷售額融化最多的是當事人的心。","1","500"
