edcc01a64689f1630c1b63c794abcc05fd518cdf759d3b21bf240b806cf8ca92,eeadd17baf052f4e7f27c171f6bf4e2bf6e74c1e5d96495842753f09992d7569,1c7941f1f2f2d0b6dcff974a13590f81f1bba473293d6dc65949971c541d487c,9430a80a5a58334d7ee8d678c8cabb6e466c8dbc264d421f9a08a04122446db1,377f1bc017fbcc70d8158cfb0bd15f495bd91d86f4313a1111f7d0dfba23ab98,18a594cfcdff620f6bd2e0edd61ba06748899a1445af06ab78a31f533b628896,870f7e3762f618ea95acd2728727bb40950532418fc2ff3e5378da347e493f15,f5fe2b74bc36a2a99065777f9cca11cf25acc35c5b1c5711cf501c293186011e,bca4e09c36358a93c4c3bba090f0ea0456eaffa237353ce1a2d4e182bd53442c,1e25963c9a5bfc10ee8fa4ae9ca67db19f9ea774af02cefde65952b070b7a974,d123bded0504fca06a0daf7ea5a041e08cf5b66135a468a70ae652c7e4a0f1a2,a4a2d8c37ee0dc24a01a03a5916d5974e4360858937d1156448a069ce35dc85f
"101604","1","310","1","1","360","1","5","5","1","1","32"
"101605","1","310","1","1","360","1","-1","5","1","1","32"
"101606","1","-1","1","1","360","1","-1","5","1","1","32"
"101701","1","310","1","1","380","1","5","6","1","1","32"
"101702","1","310","1","1","380","1","-1","6","1","1","32"
"101703","1","-1","1","1","380","1","-1","6","1","1","32"
"101704","1","310","1","1","380","1","5","5","1","1","32"
"101705","1","310","1","1","380","1","-1","5","1","1","32"
"101706","1","-1","1","1","380","1","-1","5","1","1","32"
"101801","1","310","1","1","400","1","5","6","1","1","32"
"101802","1","310","1","1","400","1","-1","6","1","1","32"
"101803","1","-1","1","1","400","1","-1","6","1","1","32"
"101804","1","310","1","1","400","1","5","5","1","1","32"
"101805","1","310","1","1","400","1","-1","5","1","1","32"
"101806","1","-1","1","1","400","1","-1","5","1","1","32"
"111601","1","310","1","1","400","1","5","6","1","1","33"
"111602","1","310","1","1","400","1","-1","6","1","1","33"
"111603","1","-1","1","1","400","1","-1","6","1","1","33"
"111604","1","310","1","1","400","1","5","5","1","1","33"
"111605","1","310","1","1","400","1","-1","5","1","1","33"
"111606","1","-1","1","1","400","1","-1","5","1","1","33"
"111701","1","310","1","1","450","1","5","6","1","1","33"
"111702","1","310","1","1","450","1","-1","6","1","1","33"
"111703","1","-1","1","1","450","1","-1","6","1","1","33"
"111704","1","310","1","1","450","1","5","5","1","1","33"
"111705","1","310","1","1","450","1","-1","5","1","1","33"
"111706","1","-1","1","1","450","1","-1","5","1","1","33"
"111801","1","310","1","1","500","1","5","6","1","1","33"
"111802","1","310","1","1","500","1","-1","6","1","1","33"
"111803","1","-1","1","1","500","1","-1","6","1","1","33"
"111804","1","310","1","1","500","1","5","5","1","1","33"
"111805","1","310","1","1","500","1","-1","5","1","1","33"
"111806","1","-1","1","1","500","1","-1","5","1","1","33"
