bf910f32ffbb2bc753d90fc23689fd4217749a95821000b3b7551b0c10594a56,4fc2824c4908eae13f57add8dc83573cd31e143659fba11371faf3aed308ccd5,3a4e301d8ea9a087c0cc360e8e9eef6d58801b9925567cb464273c5bd87644b4,541e41f817bf7b8efc4d815368fbd7494e7ec205c076b1bc4e3d0b2a9a2d47e5,fb65b0ff2e2eea78854be07428037ddd874f1ee8923192e2e3fda8f8f6f63883,7ab863297b02dc2f75c889f7d8da255849f80533d9b6065a7b3eacc337de0a85,721c4634032913c93ab06635931d86a8483a5769575a1053ad1f588663560d36,6215ec70fcce0ab7a586ac8b52235734efa6deb6ae15c153a822425d98336e96,a0189f097cdae86032d7ce3088ca6212246067b9e7b9aca688497eb5add5398a,409d1c99ce43d6492eb4fbc133ff92ef0b56349b283350feb5fe6d3c8a94a4dd,9715b34a9ba739b309edf5a8107a90ccb05401b2a5d8f1f3449bd82d7e50f674,404e25d9b1705abe8537e0e8851cd6e8b06d198a0d49a4378819069fe07cf945,9eeaa7ae7111fbaba366908042379ec30feabb48dbe73e698bb4d235373ccb5d,df31b393c7ad1b0e7080c4f851dcca5ccd9e549238ea668d9ce4b4b58665f66d
"10","1.5","100000","1.7","-23","0","0","10050","0","-47","-32","1005005","3","0"
"10","1.5","100000","1.7","0","0","0","10077","0","-30","30","1007701","2","0"
"0","1.5","100000","1.7","-40","0","0.03","10077","1","25","-17","1007701","1","10077101"
"10","1.5","100000","1.7","-23","0","0","10077","0","-47","-32","1007701","3","0"
"10","1.5","100000","1.7","0","0","0","10077","0","-30","30","1007702","2","0"
"0","1.5","100000","1.7","-40","0","0.03","10077","1","25","-17","1007702","1","10077201"
"10","1.5","100000","1.7","-23","0","0","10077","0","-47","-32","1007702","3","0"
"10","1.5","100000","1.7","0","0","0","10077","0","-30","30","1007703","2","0"
"0","1.5","100000","1.7","-40","0","0.03","10077","1","25","-17","1007703","1","10077301"
"10","1.5","100000","1.7","-23","0","0","10077","0","-47","-32","1007703","3","0"
"10","1.5","100000","1.7","0","0","0","10077","0","-30","30","1007704","2","0"
"0","1.5","100000","1.7","-40","0","0.03","10077","1","25","-17","1007704","1","10077401"
"10","1.5","100000","1.7","-23","0","0","10077","0","-47","-32","1007704","3","0"
"10","1.5","100000","1.7","0","0","0","10077","0","-30","30","1007705","2","0"
"0","1.5","100000","1.7","-40","0","0.03","10077","1","25","-17","1007705","1","0"
"10","1.5","100000","1.7","-23","0","0","10077","0","-47","-32","1007705","3","0"
"10","0.92","100000","0.84","-50","0","0.03","10088","1","-25","-13","1008801","1","10088101"
"0","0.8","100000","0.7","-50","0","0","10088","0","-25","13","1008801","2","0"
"10","0.92","100000","0.84","-50","0","0.03","10088","1","-25","-13","1008802","1","10088201"
"0","0.8","100000","0.7","-50","0","0","10088","0","-25","13","1008802","2","0"
"10","0.92","100000","0.84","-50","0","0.03","10088","1","-25","-13","1008803","1","10088301"
"0","0.8","100000","0.7","-50","0","0","10088","0","-25","13","1008803","2","0"
"10","0.92","100000","0.7","-50","0","0.03","10088","1","-30","-17","1008804","1","10088401"
"0","0.8","100000","0.6","-50","0","0","10088","0","-30","30","1008804","2","0"
"10","0.92","100000","0.7","-50","0","0.03","10088","1","-30","-17","1008805","1","0"
"0","0.8","100000","0.6","-50","0","0","10088","0","-30","30","1008805","2","0"
"10","1.5","100000","1.7","0","0","0","20029","0","-30","30","2002901","2","0"
"0","1.5","100000","1.7","-40","0","0.03","20029","1","25","-17","2002901","1","20029101"
"10","1.5","100000","1.7","-23","0","0","20029","0","-47","-32","2002901","3","0"
"10","1.5","100000","1.7","0","0","0","20029","0","-30","30","2002902","2","0"
"0","1.5","100000","1.7","-40","0","0.03","20029","1","25","-17","2002902","1","0"
"10","1.5","100000","1.7","-23","0","0","20029","0","-47","-32","2002902","3","0"
"10","1.5","100000","1.7","0","0","0","20029","0","-30","30","2002903","2","0"
"0","1.5","100000","1.7","-40","0","0.03","20029","1","25","-17","2002903","1","0"
"10","1.5","100000","1.7","-23","0","0","20029","0","-47","-32","2002903","3","0"
"10","1.5","100000","1.7","0","0","0","20029","0","-30","30","2002904","2","0"
"0","1.5","100000","1.7","-40","0","0.03","20029","1","25","-17","2002904","1","0"
"10","1.5","100000","1.7","-23","0","0","20029","0","-47","-32","2002904","3","0"
"10","1.5","100000","1.7","0","0","0","20029","0","-30","30","2002905","2","0"
"0","1.5","100000","1.7","-40","0","0.03","20029","1","25","-17","2002905","1","0"
"10","1.5","100000","1.7","-23","0","0","20029","0","-47","-32","2002905","3","0"
"10","0.92","100000","0.84","-50","0","0.03","10115","1","-25","-13","1011501","1","10115101"
"0","0.8","100000","0.7","-50","0","0","10115","0","-25","13","1011501","2","0"
"10","0.92","100000","0.84","-50","0","0.03","10115","1","-25","-13","1011502","1","10115201"
"0","0.8","100000","0.7","-50","0","0","10115","0","-25","13","1011502","2","0"
"10","0.92","100000","0.84","-50","0","0.03","10115","1","-25","-13","1011503","1","10115301"
"0","0.8","100000","0.7","-50","0","0","10115","0","-25","13","1011503","2","0"
"10","0.92","100000","0.7","-50","0","0.03","10115","1","-30","-17","1011504","1","10115401"
"0","0.8","100000","0.6","-50","0","0","10115","0","-30","30","1011504","2","0"
"10","0.92","100000","0.7","-50","0","0.03","10115","1","-30","-17","1011505","1","0"
"0","0.8","100000","0.6","-50","0","0","10115","0","-30","30","1011505","2","0"
"10","0.92","100000","0.84","-50","0","0.03","20048","1","-25","-13","2004801","1","0"
"0","0.8","100000","0.7","-50","0","0","20048","0","-25","13","2004801","2","0"
"10","0.92","100000","0.84","-50","0","0.03","20048","1","-25","-13","2004802","1","0"
"0","0.8","100000","0.7","-50","0","0","20048","0","-25","13","2004802","2","0"
"10","0.92","100000","0.84","-50","0","0.03","20048","1","-25","-13","2004803","1","0"
"0","0.8","100000","0.7","-50","0","0","20048","0","-25","13","2004803","2","0"
