c97377aa27d65e2baa780a27108859af1dc95f6ed584ce4d2a70c86938e83d29,4f5f84189056c664511e00388b781c2815cb85b9508518b8af87ff48504b24d4,e349cd6edf4b133ed4fbc810577ae6d9f545a7df269301159ae46c3ac3467cf1,22f2921d6c8adcec5a59f36c762ed5992f4010fa22a9a7193227718b799f0950,30793368f65a35f7b600c9ea2af0378a650f0cd5b840eeae9caf06e90fa9a5f4,fe0cea5a919ea4df95f3d37d4653fa7bab37a5d2e4b535f4ad020d5573707d6f,34de6c3ec5f11267c3625258196c167c7dc6d1c14906b98a15119a6d1425a969,f243307e0e45ff9feb6c06cb41fb897792c160c6afe8f273d28f1117abe5d250,b223dfa513b7bcbf0394524dd5930d575e91a24d803e491d61b6b6934bc4af8c,18d779227b13dfde200126431e1c8f368a8e25a3ecfc414d0c941449716ab88d,60f9164511569e8de66cb50b486c903cbedf0fd1dea370848a39c0dd4be57bb0,4e8e10577e7af1715cc5683a768c663e79acc4c3fed689c1bc877f0c1267b490,01d18c07d8a62d63bb7972be4b5f8e03758f2141d89c1dc04d2dee1702aa908a,a26af20ed823ec6ab2d0b667d7d698125f16a21501178609e57b1271a4283647
"0.84","-13","0.03","-50","1","10088","-25","1008802","10","0.92","100000","1","10088201","0"
"0.7","13","0","-50","2","10088","-25","1008802","0","0.8","100000","0","0","0"
"0.84","-13","0.03","-50","1","10088","-25","1008803","10","0.92","100000","1","10088301","0"
"0.7","13","0","-50","2","10088","-25","1008803","0","0.8","100000","0","0","0"
"0.7","-17","0.03","-50","1","10088","-30","1008804","10","0.92","100000","1","10088401","0"
"0.6","30","0","-50","2","10088","-30","1008804","0","0.8","100000","0","0","0"
"0.7","-17","0.03","-50","1","10088","-30","1008805","10","0.92","100000","1","0","0"
"0.6","30","0","-50","2","10088","-30","1008805","0","0.8","100000","0","0","0"
"1.7","30","0","0","2","20029","-30","2002901","10","1.5","100000","0","0","0"
"1.7","-17","0.03","-40","1","20029","25","2002901","0","1.5","100000","1","20029101","0"
"1.7","-32","0","-23","3","20029","-47","2002901","10","1.5","100000","0","0","0"
"1.7","30","0","0","2","20029","-30","2002902","10","1.5","100000","0","0","0"
"1.7","-17","0.03","-40","1","20029","25","2002902","0","1.5","100000","1","0","0"
"1.7","-32","0","-23","3","20029","-47","2002902","10","1.5","100000","0","0","0"
"1.7","30","0","0","2","20029","-30","2002903","10","1.5","100000","0","0","0"
"1.7","-17","0.03","-40","1","20029","25","2002903","0","1.5","100000","1","0","0"
"1.7","-32","0","-23","3","20029","-47","2002903","10","1.5","100000","0","0","0"
"1.7","30","0","0","2","20029","-30","2002904","10","1.5","100000","0","0","0"
"1.7","-17","0.03","-40","1","20029","25","2002904","0","1.5","100000","1","0","0"
"1.7","-32","0","-23","3","20029","-47","2002904","10","1.5","100000","0","0","0"
"1.7","30","0","0","2","20029","-30","2002905","10","1.5","100000","0","0","0"
"1.7","-17","0.03","-40","1","20029","25","2002905","0","1.5","100000","1","0","0"
"1.7","-32","0","-23","3","20029","-47","2002905","10","1.5","100000","0","0","0"
"0.84","-13","0.03","-50","1","10115","-25","1011501","10","0.92","100000","1","10115101","0"
"0.7","13","0","-50","2","10115","-25","1011501","0","0.8","100000","0","0","0"
"0.84","-13","0.03","-50","1","10115","-25","1011502","10","0.92","100000","1","10115201","0"
"0.7","13","0","-50","2","10115","-25","1011502","0","0.8","100000","0","0","0"
"0.84","-13","0.03","-50","1","10115","-25","1011503","10","0.92","100000","1","10115301","0"
"0.7","13","0","-50","2","10115","-25","1011503","0","0.8","100000","0","0","0"
"0.7","-17","0.03","-50","1","10115","-30","1011504","10","0.92","100000","1","10115401","0"
"0.6","30","0","-50","2","10115","-30","1011504","0","0.8","100000","0","0","0"
"0.7","-17","0.03","-50","1","10115","-30","1011505","10","0.92","100000","1","0","0"
"0.6","30","0","-50","2","10115","-30","1011505","0","0.8","100000","0","0","0"
"0.84","-13","0.03","-50","1","20048","-25","2004801","10","0.92","100000","1","0","0"
"0.7","13","0","-50","2","20048","-25","2004801","0","0.8","100000","0","0","0"
"0.84","-13","0.03","-50","1","20048","-25","2004802","10","0.92","100000","1","0","0"
"0.7","13","0","-50","2","20048","-25","2004802","0","0.8","100000","0","0","0"
"0.84","-13","0.03","-50","1","20048","-25","2004803","10","0.92","100000","1","0","0"
"0.7","13","0","-50","2","20048","-25","2004803","0","0.8","100000","0","0","0"
