f073a60ee0d1edb5e31ddaf6ed51833dab892b1bac3c2d970074693dfd1963ee,4e95279bc706b986afd5db701321690668ff4f89da32fab161ec68084e8e1442,152c12ea97729bbd575c7cbb4d8571a10e93689445ea12ffeae1bfafca93c144,fce14034fe930d5f196d8c98dfe17c57b214398ee0892254c6ba6b7fc7ac2d32,5382fa3003a5f691bd567cf3d463d88af09a1ec323cfe916c3718ead7a3ae3cf
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","79","減少降低TP","92407310","boss_tp_down_cut"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","80","火屬性獎勵特大幅度提升","92407320","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81","傷害值衰減","92407320","18"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","82","提升物理防禦力（不可降低）","92407320","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","83","提升魔法防禦力（不可降低）","92407320","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","84","賦予TP上升的上限","92407320","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","85","降低HP吸收","92407320","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","86","減少降低TP","92407320","boss_tp_down_cut"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","87","火屬性獎勵特大幅度提升","92407330","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","88","傷害值衰減","92407330","18"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","89","提升物理防禦力（不可降低）","92407330","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","90","提升魔法防禦力（不可降低）","92407330","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","91","賦予TP上升的上限","92407330","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92","降低HP吸收","92407330","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","93","減少降低TP","92407330","boss_tp_down_cut"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","94","火屬性獎勵特大幅度提升","92407340","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","95","傷害值衰減","92407340","18"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","96","提升物理防禦力（不可降低）","92407340","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","97","提升魔法防禦力（不可降低）","92407340","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","98","賦予TP上升的上限","92407340","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","99","降低HP吸收","92407340","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","100","減少降低TP","92407340","boss_tp_down_cut"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","101","水屬性獎勵特大幅度提升","92408010","13"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","102","提升物理防禦力（不可降低）","92408010","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","103","提升魔法防禦力（不可降低）","92408010","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","104","賦予TP上升的上限","92408010","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","105","降低HP吸收","92408010","9"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","106","水屬性獎勵特大幅度提升","92408020","13"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","107","提升物理防禦力（不可降低）","92408020","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","108","提升魔法防禦力（不可降低）","92408020","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","109","賦予TP上升的上限","92408020","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","110","降低HP吸收","92408020","9"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","111","水屬性獎勵特大幅度提升","92408030","13"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","112","提升物理防禦力（不可降低）","92408030","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","113","提升魔法防禦力（不可降低）","92408030","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","114","賦予TP上升的上限","92408030","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","115","降低HP吸收","92408030","9"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","116","水屬性獎勵特大幅度提升","92408110","13"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","117","提升物理防禦力（不可降低）","92408110","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","118","提升魔法防禦力（不可降低）","92408110","boss_magic_def_lower_limit"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","119","減少降低TP","92408110","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","120","傷害值衰減","92408110","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","121","賦予TP上升的上限","92408110","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","122","降低HP吸收","92408110","9"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","123","水屬性獎勵特大幅度提升","92408120","13"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","124","提升物理防禦力（不可降低）","92408120","boss_def_lower_limit"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","125","提升魔法防禦力（不可降低）","92408120","boss_magic_def_lower_limit"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","126","減少降低TP","92408120","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","127","傷害值衰減","92408120","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","128","賦予TP上升的上限","92408120","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","129","降低HP吸收","92408120","9"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","130","水屬性獎勵特大幅度提升","92408130","13"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","131","提升物理防禦力（不可降低）","92408130","boss_def_lower_limit"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","132","提升魔法防禦力（不可降低）","92408130","boss_magic_def_lower_limit"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","133","減少降低TP","92408130","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","134","傷害值衰減","92408130","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","135","賦予TP上升的上限","92408130","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","136","降低HP吸收","92408130","9"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","137","水屬性獎勵特大幅度提升","92408140","13"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","138","提升物理防禦力（不可降低）","92408140","boss_def_lower_limit"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","139","提升魔法防禦力（不可降低）","92408140","boss_magic_def_lower_limit"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","140","減少降低TP","92408140","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","141","傷害值衰減","92408140","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","142","賦予TP上升的上限","92408140","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","143","降低HP吸收","92408140","9"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","144","水屬性獎勵特大幅度提升","92408210","13"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","145","提升物理防禦力（不可降低）","92408210","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","146","提升魔法防禦力（不可降低）","92408210","boss_magic_def_lower_limit"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","147","減少降低TP","92408210","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","148","傷害值衰減","92408210","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","149","賦予TP上升的上限","92408210","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","150","降低HP吸收","92408210","9"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","151","水屬性獎勵特大幅度提升","92408220","13"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","152","提升物理防禦力（不可降低）","92408220","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","153","提升魔法防禦力（不可降低）","92408220","boss_magic_def_lower_limit"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","154","減少降低TP","92408220","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","155","傷害值衰減","92408220","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","156","賦予TP上升的上限","92408220","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","157","降低HP吸收","92408220","9"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","158","水屬性獎勵特大幅度提升","92408230","13"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","159","提升物理防禦力（不可降低）","92408230","boss_def_lower_limit"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","160","提升魔法防禦力（不可降低）","92408230","boss_magic_def_lower_limit"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","161","減少降低TP","92408230","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","162","傷害值衰減","92408230","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","163","賦予TP上升的上限","92408230","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","164","降低HP吸收","92408230","9"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","165","水屬性獎勵特大幅度提升","92408240","13"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","166","提升物理防禦力（不可降低）","92408240","boss_def_lower_limit"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","167","提升魔法防禦力（不可降低）","92408240","boss_magic_def_lower_limit"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","168","減少降低TP","92408240","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","169","傷害值衰減","92408240","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","170","賦予TP上升的上限","92408240","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","171","降低HP吸收","92408240","9"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","172","水屬性獎勵特大幅度提升","92408310","13"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","173","提升物理防禦力（不可降低）","92408310","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","174","提升魔法防禦力（不可降低）","92408310","boss_magic_def_lower_limit"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","175","減少降低TP","92408310","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","176","傷害值衰減","92408310","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","177","賦予TP上升的上限","92408310","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","178","降低HP吸收","92408310","9"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","179","水屬性獎勵特大幅度提升","92408320","13"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","180","提升物理防禦力（不可降低）","92408320","boss_def_lower_limit"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","181","提升魔法防禦力（不可降低）","92408320","boss_magic_def_lower_limit"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","182","減少降低TP","92408320","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","183","傷害值衰減","92408320","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","184","賦予TP上升的上限","92408320","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","185","降低HP吸收","92408320","9"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","186","水屬性獎勵特大幅度提升","92408330","13"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","187","提升物理防禦力（不可降低）","92408330","boss_def_lower_limit"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","188","提升魔法防禦力（不可降低）","92408330","boss_magic_def_lower_limit"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","189","減少降低TP","92408330","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","190","傷害值衰減","92408330","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","191","賦予TP上升的上限","92408330","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","192","降低HP吸收","92408330","9"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","193","水屬性獎勵特大幅度提升","92408340","13"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","194","提升物理防禦力（不可降低）","92408340","boss_def_lower_limit"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","195","提升魔法防禦力（不可降低）","92408340","boss_magic_def_lower_limit"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","196","減少降低TP","92408340","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","197","傷害值衰減","92408340","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","198","賦予TP上升的上限","92408340","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","199","降低HP吸收","92408340","9"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","200","闇屬性獎勵特大幅度提升","92409010","16"
