4dd488d945766557d227842fd964415c5ec035bf8fd6586f67e229febfe18de4,858488938fc83ad81487a601745197eb1cf5c093de0660be051ed8f8885d1c13,0d5419df41728c9afd75dff9939bc4b816cffc31bc8c7622fcec89badabf3d8e,f23e856091f3aed9d5d442827d3bedeaaaa2f52b4a54588190fe85e5724b0f4b,492c30afb50dae763b58b7d0d286b4e67efbd4ee61431e72e9108f0696bbb4f8,a72b66a3e1888e70d203dbb3def165476d82673b278f2a6132a1294488794087,46e84ca189626450f38e50802fae710d0602438a35cfa99086f076541c863a31,50f8940b809b18186b608bad711098318ee3694be3b82f71ad738ff18c7a4fa6,c95f0ab416830f9d5e3fd971440d5856816263a31e074f768abc2690c3f642c3,2639937af946f6159504195b49e99bc070a812c6ab8f25355d79aba8ed08844d,e5bfd153f2256c4efb9a8a2a519f3371c2bd0c2c607c177cd5953c588e74f238,e7c9becc03cfd49285a5001e052feedd753dc8e74b97535da3d5fa575796f095,7035efc31db2a393d0b6d216db5ddbd06c38f58fdcf385828bba492d0b49c73a,f2c4e4c7f7f1f281675ac0eec0c06f8005992bba0f78f29c1da00c9090bdce7a,e5e5b00a19d00733651d28d73ec5ae24148a4b4eebd59270cbe7e3ca356254c7
"1004110","5","32001005","3200505","603","32005","登頂5次特殊地下城","0","80001","CONQUEST！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","1","32001001","3200601","603","32006","登頂1次特殊地下城","0","80001","1st Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","2","32001002","3200602","603","32006","登頂2次特殊地下城","0","80001","2nd Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","3","32001003","3200603","603","32006","登頂3次特殊地下城","0","80001","3rd Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","4","32001004","3200604","603","32006","登頂4次特殊地下城","0","80001","4th Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","5","32001005","3200605","603","32006","登頂5次特殊地下城","0","80001","CONQUEST！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","1","32001001","3200701","603","32007","登頂1次特殊地下城","0","80001","1st Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","2","32001002","3200702","603","32007","登頂2次特殊地下城","0","80001","2nd Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","3","32001003","3200703","603","32007","登頂3次特殊地下城","0","80001","3rd Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","4","32001004","3200704","603","32007","登頂4次特殊地下城","0","80001","4th Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","5","32001005","3200705","603","32007","登頂5次特殊地下城","0","80001","CONQUEST！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","1","32001001","3200801","603","32008","登頂1次特殊地下城","0","80001","1st Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","2","32001002","3200802","603","32008","登頂2次特殊地下城","0","80001","2nd Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","3","32001003","3200803","603","32008","登頂3次特殊地下城","0","80001","3rd Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","4","32001004","3200804","603","32008","登頂4次特殊地下城","0","80001","4th Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","5","32001005","3200805","603","32008","登頂5次特殊地下城","0","80001","CONQUEST！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","1","32001001","3200901","603","32009","登頂1次特殊地下城","0","80001","1st Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","2","32001002","3200902","603","32009","登頂2次特殊地下城","0","80001","2nd Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","3","32001003","3200903","603","32009","登頂3次特殊地下城","0","80001","3rd Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","4","32001004","3200904","603","32009","登頂4次特殊地下城","0","80001","4th Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","5","32001005","3200905","603","32009","登頂5次特殊地下城","0","80001","CONQUEST！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","1","32001001","3201001","603","32010","登頂1次特殊地下城","0","80001","1st Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","2","32001002","3201002","603","32010","登頂2次特殊地下城","0","80001","2nd Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","3","32001003","3201003","603","32010","登頂3次特殊地下城","0","80001","3rd Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","4","32001004","3201004","603","32010","登頂4次特殊地下城","0","80001","4th Round Clear！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
"1004110","5","32001005","3201005","603","32010","登頂5次特殊地下城","0","80001","CONQUEST！","0","2030/04/01 14:59:59","2015/04/01 15:00:00","0","1"
