858488938fc83ad81487a601745197eb1cf5c093de0660be051ed8f8885d1c13,e5bfd153f2256c4efb9a8a2a519f3371c2bd0c2c607c177cd5953c588e74f238,f2c4e4c7f7f1f281675ac0eec0c06f8005992bba0f78f29c1da00c9090bdce7a,c95f0ab416830f9d5e3fd971440d5856816263a31e074f768abc2690c3f642c3,e7c9becc03cfd49285a5001e052feedd753dc8e74b97535da3d5fa575796f095,7035efc31db2a393d0b6d216db5ddbd06c38f58fdcf385828bba492d0b49c73a,4dd488d945766557d227842fd964415c5ec035bf8fd6586f67e229febfe18de4,a72b66a3e1888e70d203dbb3def165476d82673b278f2a6132a1294488794087,2639937af946f6159504195b49e99bc070a812c6ab8f25355d79aba8ed08844d,50f8940b809b18186b608bad711098318ee3694be3b82f71ad738ff18c7a4fa6,492c30afb50dae763b58b7d0d286b4e67efbd4ee61431e72e9108f0696bbb4f8,0d5419df41728c9afd75dff9939bc4b816cffc31bc8c7622fcec89badabf3d8e,e5e5b00a19d00733651d28d73ec5ae24148a4b4eebd59270cbe7e3ca356254c7,46e84ca189626450f38e50802fae710d0602438a35cfa99086f076541c863a31,f23e856091f3aed9d5d442827d3bedeaaaa2f52b4a54588190fe85e5724b0f4b
"3","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32006","3rd Round Clear！","0","603","32001003","1","登頂3次特殊地下城","3200603"
"4","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32006","4th Round Clear！","0","603","32001004","1","登頂4次特殊地下城","3200604"
"5","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32006","CONQUEST！","0","603","32001005","1","登頂5次特殊地下城","3200605"
"1","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32007","1st Round Clear！","0","603","32001001","1","登頂1次特殊地下城","3200701"
"2","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32007","2nd Round Clear！","0","603","32001002","1","登頂2次特殊地下城","3200702"
"3","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32007","3rd Round Clear！","0","603","32001003","1","登頂3次特殊地下城","3200703"
"4","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32007","4th Round Clear！","0","603","32001004","1","登頂4次特殊地下城","3200704"
"5","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32007","CONQUEST！","0","603","32001005","1","登頂5次特殊地下城","3200705"
"1","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32008","1st Round Clear！","0","603","32001001","1","登頂1次特殊地下城","3200801"
"2","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32008","2nd Round Clear！","0","603","32001002","1","登頂2次特殊地下城","3200802"
"3","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32008","3rd Round Clear！","0","603","32001003","1","登頂3次特殊地下城","3200803"
"4","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32008","4th Round Clear！","0","603","32001004","1","登頂4次特殊地下城","3200804"
"5","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32008","CONQUEST！","0","603","32001005","1","登頂5次特殊地下城","3200805"
"1","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32009","1st Round Clear！","0","603","32001001","1","登頂1次特殊地下城","3200901"
"2","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32009","2nd Round Clear！","0","603","32001002","1","登頂2次特殊地下城","3200902"
"3","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32009","3rd Round Clear！","0","603","32001003","1","登頂3次特殊地下城","3200903"
"4","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32009","4th Round Clear！","0","603","32001004","1","登頂4次特殊地下城","3200904"
"5","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32009","CONQUEST！","0","603","32001005","1","登頂5次特殊地下城","3200905"
"1","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32010","1st Round Clear！","0","603","32001001","1","登頂1次特殊地下城","3201001"
"2","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32010","2nd Round Clear！","0","603","32001002","1","登頂2次特殊地下城","3201002"
"3","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32010","3rd Round Clear！","0","603","32001003","1","登頂3次特殊地下城","3201003"
"4","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32010","4th Round Clear！","0","603","32001004","1","登頂4次特殊地下城","3201004"
"5","0","0","80001","2030/04/01 14:59:59","2015/04/01 15:00:00","1004110","32010","CONQUEST！","0","603","32001005","1","登頂5次特殊地下城","3201005"
