b08cde881da6c63c5da632b18a3a653866834f73d9e8f9ee43bce177f0eda375,5896aca0ccbfaa53e139dd6fc06d653a73a056d6972fba2e92915af53a7ecbbb,68c1bc32f4432935e6757ba4bfee072c179d3ca68527387c2e73e83148ffee90,84a79c81311f8ec4dc6c749dcdb6e5b3e0c08b663b945718e5e20fb768e66772,d338b6a1bf641e6a25a14c07222d27ac0b9f0675c9e6c8cf7833dfa8ccb07166,801e0e960388c4fe0c7df32170b33ed970242472f2937619288a3480fa064efe,90ef30e6c9557c10bba8f1beaf7879f00c48c40e8c2e8737a79a5e579cfcb088,8c75cc19a5eb41d8cfbab92927da8b2f5f869b0aaf1835ed72064dd7c4e22731,f304c5328204d23435ec71d3396b9336542e5e26f53bd14f9d094e50e9eb5a29,387d9b72985a3c15d1328922bba715fe5126d6d27b7cdca0f2285dab2ea6b939,45c1d32d1dd803cfe9678240963428abe4e30a5ed710c994d1bb3e84bf069d39
"","0","","1020023","2","vo_omp_7002_003","0","","","vo_omp_7002","21"
"","10","","1020024","2","味道超乎想像呢，\n我是指好的方面。","1","","1","112511","11"
"","","","1020025","2","","","","","0","91"
"","1","","1020026","2","omp_talk_sad","","0","","112511","3"
"","0","","1020027","2","vo_omp_7002_004","0","","","vo_omp_7002","21"
"","10","","1020028","2","可是在料理魔物的時候，\n嗯，該怎麼說……","1","","1","112511","11"
"","","","1020029","2","","","","","0","91"
"","1","","1020030","2","omp_idle_sad","","0","","112511","3"
"","1","","1020031","2","omp_talk_bitter","","0","","112411","3"
"","0","","1020032","2","vo_omp_7002_005","0","","","vo_omp_7002","21"
"","10","","1020033","2","……很、很不得了呢！","1","","1","112411","11"
"","","","1020034","2","","","","","0","91"
"","1","","1020035","2","omp_idle_bitter","","0","","112411","3"
"","1","","1020036","2","omp_talk_joy1","","0","","112611","3"
"","0","","1020037","2","vo_omp_7002_006","0","","","vo_omp_7002","21"
"","10","","1020038","2","魔物料理就全權\n交給佩可小姐處理或許\n比較好呢。啊哈哈～","1","","1","112611","11"
"","","","1020039","2","","","","","0","91"
"","1","","1020040","2","omp_idle_joy1","","0","","112611","3"
"","1","","1020041","2","omp_talk_bitter","","0","","112511","3"
"","0","","1020042","2","vo_omp_7002_007","0","","","vo_omp_7002","21"
"","10","","1020043","2","冒險真是深奧呢……","1","","1","112511","11"
"","","","1020044","2","","","","","0","91"
"","","","1020045","2","","","","","0.4","93"
"0","1500","omp_talk_joy1","1030001","3","112411","-140","1.8","-190","1","1"
"1","1500","omp_idle_normal","1030002","3","112611","140","1.8","-190","1","1"
"","0","","1030003","3","1","0","1","1","1","31"
"","","","1030004","3","","","","","1","93"
"","0","","1030005","3","vo_omp_7003_000","0","","","vo_omp_7003","21"
"","10","","1030006","3","未央！\n這附近有各式各樣的魔物，\n好有趣呢！","1","","1","112411","11"
"","","","1030007","3","","","","","0","91"
"","1","","1030008","3","omp_psn_20","","0","","112411","3"
"","1","","1030009","3","omp_psn_19","","0","","112611","3"
"","0","","1030010","3","vo_omp_7003_001","0","","","vo_omp_7003","21"
"","10","","1030011","3","有、有趣嗎～？","1","","1","112611","11"
"","","","1030012","3","","","","","0","91"
"","1","","1030013","3","omp_psn_18","","0","","112611","3"
"","1","","1030014","3","omp_talk_joy1","","0","","112411","3"
"","0","","1030015","3","vo_omp_7003_002","0","","","vo_omp_7003","21"
"","10","","1030016","3","雖然有很多可怕的魔物，\n但是仔細去找，我想也會有像\n皮喵太或小小格里芬先生\n這樣可愛的魔物哦！","1","","1","112411","11"
"","","","1030017","3","","","","","0","91"
"","1","","1030018","3","omp_psn_20","","0","","112411","3"
"","1","","1030019","3","omp_talk_joy1","","0","","112611","3"
"","0","","1030020","3","vo_omp_7003_003","0","","","vo_omp_7003","21"
"","10","","1030021","3","原來是那樣啊。\n不對，慢著島村村，\n小小格里芬或許還稱得上可愛，\n可是皮喵……算可愛嗎～？","1","","1","112611","11"
"","","","1030022","3","1","","","","1.5","93"
"","1","","1030023","3","omp_psn_19","","0.2","","112611","3"
"","","","1030024","3","","","","","1030021","91"
"","1","","1030025","3","omp_psn_18","","0","","112611","3"
"","1","","1030026","3","omp_talk_joy1","","0","","112411","3"
"","0","","1030027","3","vo_omp_7003_004","0","","","vo_omp_7003","21"
"","10","","1030028","3","很可愛啊～\n不知道能不能用我們的歌聲\n吸引很多的\n皮喵太過來呢？","1","","1","112411","11"
"","","","1030029","3","","","","","0","91"
"","1","","1030030","3","omp_psn_20","","0","","112411","3"
"","1","","1030031","3","omp_psn_19","","0","","112611","3"
"","0","","1030032","3","vo_omp_7003_005","0","","","vo_omp_7003","21"
"","10","","1030033","3","哎呀～不好說呢，\n皮喵感覺是\n世上唯一一個……\n不如說是希望只有牠一個……","1","","1","112611","11"
"","","","1030034","3","","","","","0","91"
"","1","","1030035","3","omp_psn_18","","0","","112611","3"
"","1","","1030036","3","omp_talk_joy2","","0","","112411","3"
"","0","","1030037","3","vo_omp_7003_006","0","","","vo_omp_7003","21"
"","10","","1030038","3","啊，確實是呢！\n首先得讓陪著我們的皮喵太\n認可我們才行呢♪","1","","1","112411","11"
"","","","1030039","3","","","","","0","91"
"","1","","1030040","3","omp_psn_20","","0","","112411","3"
"","1","","1030041","3","omp_talk_sad","","0","","112611","3"
"","0","","1030042","3","vo_omp_7003_007","0","","","vo_omp_7003","21"
"","10","","1030043","3","我不是那個意思……\n不過妳放棄吸引牠們的話，\n那就這樣吧！\n照這股氣勢加油吧，島村村！","1","","1","112611","11"
"","","","1030044","3","1","","","","6","93"
"","1","","1030045","3","omp_talk_joy2","","0.2","","112611","3"
"","","","1030046","3","","","","","1030043","91"
"","1","","1030047","3","omp_idle_joy2","","0","","112611","3"
"","1","","1030048","3","omp_talk_joy2","","0","","112411","3"
"","0","","1030049","3","vo_omp_7003_008","0","","","vo_omp_7003","21"
"","10","","1030050","3","好的！\n一起加油吧！","1","","1","112411","11"
"","","","1030051","3","","","","","0","91"
"","","","1030052","3","","","","","0.4","93"
"0","1600","omp_talk_normal","1040001","4","105831","-180","1.8","-195","1","1"
"1","1500","omp_idle_normal","1040002","4","105931","20","1.8","-190","1","1"
"1","1600","omp_idle_normal","1040003","4","106031","220","1.8","-205","1","1"
"","0","","1040004","4","1","0","1","1","1","31"
"","","","1040005","4","","","","","1","93"
"","0","","1040006","4","vo_omp_7004_000","0","","","vo_omp_7004","21"
"","10","","1040007","4","機會難得，\n我們要不要也來\n當當看偶像啊？","1","","1","105831","11"
"","","","1040008","4","","","","","0","91"
"","1","","1040009","4","omp_idle_normal","","0","","105831","3"
"","1","","1040010","4","omp_talk_normal","","0","","105931","3"
"","0","","1040011","4","vo_omp_7004_001","0","","","vo_omp_7004","21"
"","10","","1040012","4","偶像團體\n【美食殿堂】嗎？\n感覺很有趣呢。","1","","1","105931","11"
"","","","1040013","4","","","","","0","91"
"","","","1040014","4","0","","","","105931","4"
"","1","","1040015","4","omp_idle_normal","","0","","105931","3"
"","0","","1040016","4","omp_surprise","omp_idle_surprise1","0","1","106031","3"
"","0","","1040017","4","vo_omp_7004_002","0","","","vo_omp_7004","21"
"","10","","1040018","4","咦！？真的嗎…！？\n不、不對，\n妳們是笨蛋嗎！？","1","","1","106031","11"
"","","","1040019","4","1","","","","2","93"
"","1","","1040020","4","omp_talk_tsun","","0.1","","106031","3"
"","","","1040021","4","","","","","1040018","91"
"","1","","1040022","4","omp_talk_tsun","","0","","106031","3"
"","0","","1040023","4","vo_omp_7004_003","0","","","vo_omp_7004","21"
"","10","","1040024","4","看著她們三個人，\n妳們還不懂偶像\n有多辛苦嗎？","1","","1","106031","11"
"","","","1040025","4","","","","","0","91"
"","1","","1040026","4","omp_idle_tsun","","0","","106031","3"
"","1","","1040027","4","omp_talk_worry","","0","","105931","3"
"","0","","1040028","4","vo_omp_7004_004","0","","","vo_omp_7004","21"
"","10","","1040029","4","話是那麼說沒錯……\n不過實在是太叫人好奇了呢。","1","","1","105931","11"
"","","","1040030","4","","","","","0","91"
"","","","1040031","4","1","","","","105931","4"
"","1","","1040032","4","omp_idle_worry","","0","","105931","3"
"","1","","1040033","4","omp_talk_joy1","","0","","105831","3"
"","0","","1040034","4","vo_omp_7004_005","0","","","vo_omp_7004","21"
"","10","","1040035","4","就如小可蘿所說的！\n好，那來練習招牌姿勢吧！\n耶～！","1","","1","105831","11"
"","","","1040036","4","1","","","","5.5","93"
"","0","","1040037","4","omp_psn_11","","0.2","","105831","3"
"","","","1040038","4","","","","","1040035","91"
"","1","","1040039","4","omp_talk_normal","","0","","105931","3"
"","0","","1040040","4","vo_omp_7004_006","0","","","vo_omp_7004","21"
"","10","","1040041","4","好的♪\n如此這般，耶……！","1","","1","105931","11"
"","","","1040042","4","1","","","","1.5","93"
"","0","","1040043","4","omp_psn_11","","0.2","1","105931","3"
"","","","1040044","4","","","","","1040041","91"
"","","","1040045","4","0","","","","105931","4"
"","1","","1040046","4","omp_idle_normal","","0","","105931","3"
"","1","","1040047","4","omp_idle_joy1","","0.2","","105831","3"
"","1","","1040048","4","omp_idle_tsun","","0","","106031","3"
"","0","","1040049","4","vo_omp_7004_007","0","","","vo_omp_7004","21"
"","10","","1040050","4","還「耶～」咧……\n至少也得要做得出這種動作吧！\n——請多指教喵♪","1","","1","106031","11"
"","","","1040051","4","1","","","","7","93"
"","0","","1040052","4","omp_psn_12","","0.1","","106031","3"
"","","","1040053","4","","","","","1.5","93"
"","","","1040054","4","","","","","1040050","91"
"","1","","1040055","4","omp_idle_normal","","0.2","","106031","3"
"","1","","1040056","4","omp_idle_surprise1","","0","","105831","3"
"","0","","1040057","4","vo_omp_7004_008","0","","","vo_omp_7004","21"
"","10","","1040058","4","小、小凱留……","1","","1","105831","11"
"","","","1040059","4","","","","","0","91"
"","1","","1040060","4","omp_idle_surprise1","","0","","105831","3"
"","1","","1040061","4","omp_talk_sad","","0","","105931","3"
"","0","","1040062","4","vo_omp_7004_009","0","","","vo_omp_7004","21"
"","10","","1040063","4","您做得非常專業呢。","1","","1","105931","11"
"","","","1040064","4","","","","","0","91"
"","1","","1040065","4","omp_idle_sad","","0","","105931","3"
"0.1","0","","1040066","4","omp_surprise","omp_talk_surprise2","0","1","106031","3"
"","0","","1040067","4","vo_omp_7004_010","0","","","vo_omp_7004","21"
"","10","","1040068","4","啊……！\n不、不是啦，\n剛才那是反射動作……\n討、討厭！不要看我啦，笨蛋～！","1","","1","106031","11"
"","","","1040069","4","1","","","","6.5","93"
"","1","","1040070","4","omp_talk_tsun","","0.2","","106031","3"
"","","","1040071","4","","","","","1040068","91"
"","","","1040072","4","","","","","0.4","93"
"0","1500","omp_talk_joy1","1050001","5","112611","-140","1.8","-190","1","1"
"1","1500","omp_idle_normal","1050002","5","112511","140","1.8","-190","1","1"
"","0","","1050003","5","1","0","1","1","1","31"
"","","","1050004","5","","","","","1","93"
"","0","","1050005","5","vo_omp_7005_000","0","","","vo_omp_7005","21"
"","10","","1050006","5","我們身為冒險者，\n雖然去過很多地方，\n但這趟旅行是最開心的呢！","1","","1","112611","11"
"","","","1050007","5","","","","","0","91"
"","1","","1050008","5","omp_idle_joy1","","0","","112611","3"
"","1","","1050009","5","omp_talk_normal","","0","","112511","3"
"","0","","1050010","5","vo_omp_7005_001","0","","","vo_omp_7005","21"
"","10","","1050011","5","或許是呢。\n可能因為這趟旅程並非是為了幫助誰，\n而是朝著我們自己的目標邁進的吧。","1","","1","112511","11"
"","","","1050012","5","","","","","0","91"
"","1","","1050013","5","omp_idle_normal","","0","","112511","3"
"","1","","1050014","5","omp_talk_joy1","","0","","112611","3"
"","0","","1050015","5","vo_omp_7005_002","0","","","vo_omp_7005","21"
"","10","","1050016","5","只要我們很樂在其中，\n看著我們的人也能很開心\n的話，那就最棒了。\n能夠實現這個夢想嗎……","1","","1","112611","11"
"","","","1050017","5","1","","","","6.2","93"
"","1","","1050018","5","omp_talk_thinking","","0.2","","112611","3"
"","","","1050019","5","","","","","1050016","91"
"","1","","1050020","5","omp_idle_thinking","","0","","112611","3"
"","1","","1050021","5","omp_talk_normal2","","0","","112511","3"
"","0","","1050022","5","vo_omp_7005_003","0","","","vo_omp_7005","21"
"","10","","1050023","5","如果是未央……不對，\n如果是我們的話一定可以。\n一起加油吧！","1","","1","112511","11"
"","","","1050024","5","","","","","0","91"
"","1","","1050025","5","omp_idle_calm","","0","","112511","3"
"","1","","1050026","5","omp_talk_sad","","0.1","","112611","3"
"","0","","1050027","5","vo_omp_7005_004","0","","","vo_omp_7005","21"
"","10","","1050028","5","澀…澀…","1","","1","112611","11"
"","","","1050029","5","","","","","0","91"
"","1","","1050030","5","omp_idle_sad","","0","","112611","3"
"","1","","1050031","5","omp_psn_19","","0","","112511","3"
"","0","","1050032","5","vo_omp_7005_005","0","","","vo_omp_7005","21"
"","10","","1050033","5","澀…？","1","","1","112511","11"
"","","","1050034","5","","","","","0","91"
"","1","","1050035","5","omp_psn_18","","0","","112511","3"
"","1","","1050036","5","omp_talk_sad","","0","","112611","3"
"","0","","1050037","5","vo_omp_7005_006","0","","","vo_omp_7005","21"
"","10","","1050038","5","澀凜凜妳怎麼一反常態\n這麼溫柔……！？\n妳怎麼了，吃到怪東西了嗎！？","1","","1","112611","11"
"","","","1050039","5","1","","","","4.5","93"
"","1","","1050040","5","omp_talk_surprise2","","0.2","","112611","3"
"","","","1050041","5","","","","","1050038","91"
"","1","","1050042","5","omp_idle_surprise2","","0","","112611","3"
"","1","","1050043","5","omp_talk_normal","","0","","112511","3"
"","0","","1050044","5","vo_omp_7005_007","0","","","vo_omp_7005","21"
"","10","","1050045","5","剛才吃了貪吃佩可的魔物料理……\n唔，妳這樣說好像我平時\n很不溫柔一樣。\n難得我想說要鼓勵妳的……","1","","1","112511","11"
"","","","1050046","5","1","","","","3.5","93"
"","1","","1050047","5","omp_talk_anger","","0.2","","112511","3"
"","","","1050048","5","","","","","1050045","91"
"","1","","1050049","5","omp_idle_anger","","0","","112511","3"
"","1","","1050050","5","omp_talk_joy1","","0","","112611","3"
"","0","","1050051","5","vo_omp_7005_008","0","","","vo_omp_7005","21"
"","10","","1050052","5","欸嘿嘿，抱歉抱歉☆","1","","1","112611","11"
"","","","1050053","5","","","","","0","91"
"","1","","1050054","5","omp_idle_joy1","","0","","112611","3"
"","1","","1050055","5","omp_talk_sad","","0","","112511","3"
"","0","","1050056","5","vo_omp_7005_009","0","","","vo_omp_7005","21"
"","10","","1050057","5","真是的。\n……不過，我剛才說的\n都是真心話哦。","1","","1","112511","11"
"","","","1050058","5","1","","","","2","93"
"","1","","1050059","5","omp_talk_normal","","0.2","","112511","3"
"","","","1050060","5","","","","","1050057","91"
"","1","","1050061","5","omp_idle_normal","","0","","112511","3"
"","1","","1050062","5","omp_talk_joy2","","0","","112611","3"
"","0","","1050063","5","vo_omp_7005_010","0","","","vo_omp_7005","21"
"","10","","1050064","5","嗯！\n謝謝妳，澀凜凜！！","1","","1","112611","11"
"","","","1050065","5","","","","","0","91"
"","","","1050066","5","","","","","0.4","93"
"0","1600","omp_talk_normal","1060001","6","112511","-180","1.8","-195","1","1"
"1","1500","omp_idle_normal","1060002","6","112411","20","1.8","-190","1","1"
"1","1600","omp_idle_normal","1060003","6","112611","220","1.8","-205","1","1"
"","0","","1060004","6","1","0","1","1","1","31"
"","","","1060005","6","","","","","1","93"
"","0","","1060006","6","vo_omp_7006_000","0","","","vo_omp_7006","21"
"","10","","1060007","6","卯月……\n今天的練習，\n妳很有幹勁呢。","1","","1","112511","11"
"","","","1060008","6","","","","","0","91"
"","1","","1060009","6","omp_idle_normal","","0","","112511","3"
"","1","","1060010","6","omp_talk_joy1","","0","","112611","3"
"","0","","1060011","6","vo_omp_7006_001","0","","","vo_omp_7006","21"
"","10","","1060012","6","嗯嗯！\n就連一起練習的我\n都看得出神了～！\n發生什麼事了嗎，島村村？","1","","1","112611","11"
"","","","1060013","6","","","","","0","91"
"","","","1060014","6","0","","","","112411","4"
"","1","","1060015","6","omp_idle_joy1","","0","","112611","3"
"","1","","1060016","6","omp_talk_joy1","","0","","112411","3"
"","0","","1060017","6","vo_omp_7006_002","0","","","vo_omp_7006","21"
"","10","","1060018","6","欸嘿嘿，謝謝妳們！\n嗯……","1","","1","112411","11"
"","","","1060019","6","","","","","0","91"
"","1","","1060020","6","omp_talk_normal","","0","","112411","3"
"","0","","1060021","6","vo_omp_7006_003","0","","","vo_omp_7006","21"
"","10","","1060022","6","我早上一個人練習時，\n有個散步經過的人\n對我說：\n「妳一直都很努力呢」。","1","","1","112411","11"
"","","","1060023","6","","","","","0","91"
"","1","","1060024","6","omp_talk_thinking","","0","","112411","3"
"","0","","1060025","6","vo_omp_7006_004","0","","","vo_omp_7006","21"
"","10","","1060026","6","對那個人來說或許就是\n一句不經意的話，\n卻讓我非常的開心。","1","","1","112411","11"
"","","","1060027","6","","","","","0","91"
"","1","","1060028","6","omp_talk_normal2","","0","","112411","3"
"","0","","1060029","6","vo_omp_7006_005","0","","","vo_omp_7006","21"
"","10","","1060030","6","所以我想要更加更加努力，\n呈現出最棒的表演，\n希望能藉此回應\n他的那句話……","1","","1","112411","11"
"","","","1060031","6","","","","","0","91"
"","1","","1060032","6","omp_idle_calm","","0","","112411","3"
"","1","","1060033","6","omp_talk_sad","","0","","112611","3"
"","0","","1060034","6","vo_omp_7006_006","0","","","vo_omp_7006","21"
"","10","","1060035","6","島村村……！","1","","1","112611","11"
"","","","1060036","6","","","","","0","91"
"","","","1060037","6","1","","","","112411","4"
"","1","","1060038","6","omp_idle_sad","","0","","112611","3"
"","1","","1060039","6","omp_talk_thinking","","0","","112511","3"
"","0","","1060040","6","vo_omp_7006_007","0","","","vo_omp_7006","21"
"","10","","1060041","6","這樣啊，\n既然卯月這樣想，\n我們也會一起努力的！\n未央也是這樣想的吧？","1","","1","112511","11"
"","","","1060042","6","","","","","0","91"
"","","","1060043","6","0","","","","112411","4"
"","1","","1060044","6","omp_idle_thinking","","0","","112511","3"
"","1","","1060045","6","omp_talk_joy1","","0","","112611","3"
"","0","","1060046","6","vo_omp_7006_008","0","","","vo_omp_7006","21"
"","10","","1060047","6","嗯！接下來也三個人\n一起繼續努力吧！\n島村村、澀凜凜！","1","","1","112611","11"
"","","","1060048","6","","","","","0","91"
"","","","1060049","6","1","","","","112411","4"
"","1","","1060050","6","omp_idle_joy1","","0","","112611","3"
"","1","","1060051","6","omp_talk_joy2","","0","","112411","3"
"","0","","1060052","6","vo_omp_7006_009","0","","","vo_omp_7006","21"
"","10","","1060053","6","小凜、未央……！好的！\n讓我們【new generations】\n一起以最棒的偶像為目標努力吧！","1","","1","112411","11"
"","","","1060054","6","1","","","","1.2","93"
"","","","1060055","6","0","","","","112411","4"
"","","","1060056","6","","","","","1060053","91"
"","-195","","1060057","6","-180","0","","1","112511","2"
"","-190","","1060058","6","0","0","","1","112411","2"
"","-195","","1060059","6","180","0","","1","112611","2"
"","0","","1060060","6","omp_psn_dicision_rin","","0.1","","112511","3"
"","0","","1060061","6","omp_psn_dicision_uduki","","0.1","","112411","3"
"","0","","1060062","6","omp_psn_dicision_mio","","0.1","","112611","3"
"","0","","1060063","6","2","0","1","1","2","31"
"","","","1060064","6","","","","","1060062","91"
"","","","1060065","6","","","","","0.6","93"
"0","1600","omp_idle_normal","1070001","7","105831","-100","1.8","-205","1","1"
"0","1600","omp_idle_normal","1070002","7","105931","-390","1.8","-225","1","1"
"0","1500","omp_idle_normal","1070003","7","106031","-260","1.8","-190","1","1"
"1","1500","omp_idle_normal","1070004","7","112511","250","1.8","-185","1","1"
"1","1600","omp_idle_normal","1070005","7","112411","385","1.8","-220","1","1"
"1","1600","omp_idle_normal","1070006","7","112611","100","1.8","-195","1","1"
"","0","","1070007","7","1","0","1","1","1","31"
"","","","1070008","7","","","","","0.2","93"
"","1","","1070009","7","omp_idle_normal","","0.1","","112611","3"
"","1","","1070010","7","omp_talk_normal","","0","","112411","3"
"","1","","1070011","7","omp_idle_normal","","0.1","","112511","3"
"","1","","1070012","7","omp_idle_normal","","0.1","","105831","3"
"","","","1070013","7","","","","","0.1","93"
"","","","1070014","7","","","","","1","93"
"","0","","1070015","7","vo_omp_7007_000","0","","","vo_omp_7007","21"
"","10","","1070016","7","現在想想……一開始的\n快閃演唱會實在是很緊張呢。","1","","1","112411","11"
"","","","1070017","7","","","","","0","91"
"","1","","1070018","7","omp_idle_normal","","0.1","","112411","3"
"","1","","1070019","7","omp_talk_normal","","0.1","","105831","3"
"","0","","1070020","7","vo_omp_7007_001","0","","","vo_omp_7007","21"
"","10","","1070021","7","看得出來妳們很緊張，\n總覺得連我們都緊張起來，\n感覺腸胃都揪在一起了～","1","","1","105831","11"
"","","","1070022","7","","","","","0","91"
"","1","","1070023","7","omp_idle_normal","","0","","105831","3"
"","1","","1070024","7","omp_talk_worry","","0","","105931","3"
"","0","","1070025","7","vo_omp_7007_002","0","","","vo_omp_7007","21"
"","10","","1070026","7","如果是貪吃佩可小姐的話，\n也有可能是空腹才會造成\n腸胃揪在一起的……","1","","1","105931","11"
"","","","1070027","7","","","","","0","91"
"","1","","1070028","7","omp_idle_worry","","0","","105931","3"
"","1","","1070029","7","omp_talk_normal","","0","","106031","3"
"","0","","1070030","7","vo_omp_7007_003","0","","","vo_omp_7007","21"
"","10","","1070031","7","不過的確是呢，當時\n卯月妳們的快閃演唱會\n真的是表演得慘不忍睹呢！","1","","1","106031","11"
"","","","1070032","7","","","","","0","91"
"","1","","1070033","7","omp_idle_normal","","0","","106031","3"
"","1","","1070034","7","omp_talk_worry","","0","","112611","3"
"","0","","1070035","7","vo_omp_7007_004","0","","","vo_omp_7007","21"
"","10","","1070036","7","真是的，凱留凱留～\n不要那樣說嘛～！\n我們自己也很清楚啦～","1","","1","112611","11"
"","","","1070037","7","","","","","0","91"
"","1","","1070038","7","omp_idle_worry","","0","","112611","3"
"","1","","1070039","7","omp_talk_normal2","","0","","105931","3"
"","0","","1070040","7","vo_omp_7007_005","0","","","vo_omp_7007","21"
"","10","","1070041","7","可是，自己振作起來\n再次站上舞台的身姿……\n讓在下十分感動。","1","","1","105931","11"
"","","","1070042","7","","","","","0","91"
"","1","","1070043","7","omp_idle_calm","","0","","105931","3"
"","1","","1070044","7","omp_talk_normal2","","0","","112511","3"
"","0","","1070045","7","vo_omp_7007_006","0","","","vo_omp_7007","21"
"","10","","1070046","7","畢竟我們才不會因為那點小挫折\n就止步不前呢。\n我一直相信卯月和未央\n都一定能振作起來的。","1","","1","112511","11"
"","","","1070047","7","","","","","0","91"
"","1","","1070048","7","omp_idle_calm","","0","","112511","3"
"","1","","1070049","7","omp_talk_joy1","","0","","112411","3"
