eea0096a6f4b312548f81cd72da91f67d68cc1517215af0355b8a3ccbc883631,429f3fcdf82c271c101e00f737c7a17c4f1cff55a70acf1571967412ed4a7c55,00fa8e83b691c48672d314cb04c09ece3f03e6830ee609cfd8a64d5f1cd2fe4b,149de9037c203a7c2902b2de2867c7bd4d044f8c5561096cd3ec4795bb5f1f64,354ae2ec64675872f88f2deb9631096f881c01d7d9ff154161b13f2f85c8876e,119b3f2d9d14114a9f92a1bae712540c6520c3ca9264375928072cc470839b9b,7af984732e0ae4aa04f6424a45c6ed1d046164c53af19a8376878a8f0efb0c28
"3","2","10017","1001702","咕麼！？（噫！）","vo_minigame_1004","vo_minigame_1004_top_2_030"
"2","1","10018","1001801","哎呀，那時真是不好意思啊哈哈哈！","vo_minigame_1004","vo_minigame_1004_top_2_031"
"3","2","10018","1001802","咕麼麼麼……（嘉夜夜 好可怕）","vo_minigame_1004","vo_minigame_1004_top_2_032"
"2","1","10019","1001901","你啊……還真是一臉呆樣呢。","vo_minigame_1004","vo_minigame_1004_top_2_033"
"3","2","10019","1001902","咕麼……（妳還 敢說我）","vo_minigame_1004","vo_minigame_1004_top_2_034"
"3","2","10020","1002001","咕麼……（肚子餓了 想要巧克力）","vo_minigame_1004","vo_minigame_1004_top_2_044"
"2","1","10020","1002002","怎麼了？睏了嗎？","vo_minigame_1004","vo_minigame_1004_top_2_045"
"3","2","10021","1002101","咕麼麼（這傢伙……好危險）","vo_minigame_1004","vo_minigame_1004_top_2_046"
"2","1","10021","1002102","嗯？　怎麼了？想當我的小弟嗎？","vo_minigame_1004","vo_minigame_1004_top_2_047"
"3","2","10022","1002201","咕麼……（嘉夜夜是 肌肉笨蛋）","vo_minigame_1004","vo_minigame_1004_top_2_048"
"2","1","10022","1002202","喂，你現在在想沒禮貌的事吧？","vo_minigame_1004","vo_minigame_1004_top_2_049"
"2","1","10023","1002301","欸，這個要持續到什麼時候？","vo_minigame_1004","vo_minigame_1004_top_3_058"
"1","2","10023","1002302","到嘉夜夜投降為止！","vo_minigame_1004","vo_minigame_1004_top_3_059"
"3","2","10023","1002303","咕麼麼！（給我投降！）","vo_minigame_1004","vo_minigame_1004_top_3_060"
"3","2","10024","1002401","咕麼！（祈梨 我想要巧克力）","vo_minigame_1004","vo_minigame_1004_top_3_065"
"1","1","10024","1002402","真拿你沒辦法，不可以吃太多哦！","vo_minigame_1004","vo_minigame_1004_top_3_066"
"2","1","10024","1002403","你好像很喜歡伴手禮的巧克力呢。","vo_minigame_1004","vo_minigame_1004_top_3_067"
"3","2","10025","1002501","咕麼！（我不會輸給 嘉夜夜！）","vo_minigame_1004","vo_minigame_1004_top_3_068"
"2","1","10025","1002502","哦？怎麼了？是肚子餓了嗎？","vo_minigame_1004","vo_minigame_1004_top_3_069"
"1","2","10025","1002503","……完全無法溝通。","vo_minigame_1004","vo_minigame_1004_top_3_070"
