df4b0deebb6008fd47ced02276d8c1d98ffcdf4418479326903a6470b9cc91ab,331eded035b42231c15c19ffa1b44293073ccc5641059e3bebc39f4bd39945a2,bb28bc369cc72341a505ffbad2228b81bb804d1f58f000bad3659165978b69fb,d6ad55681d9aaf05115545b74a9d54a126779d2d083e79d93774cde286d920bc,cacb2d88a1daf529a7c4eb236f3a07b7a425d52409a3ed05d31df603d61c5c7a,9b23454e7671c4f67f4f4bc01ccbf82e426e627bd737555cb94835b3058a67ea,3d0a1a547ac05caefeb5125f08a198e7c74baf84b12927f967574eb2e8fda3b1,1a2384735716c8b2bc64a28b7fbd30fd9b6c5c5428ff3dc62e4828fdd4d9bf5b,df4d46850a1d9ac83a6b3e20ade7af1b1da6d523e6a09c1fa1a225ca1c27afb5,1e44e9b105a702827d9b9976dcbf9f82754555cc956f243bb7b069385db425bf,db3d9f54343aab7870a323c253c44018be8a4a8496f77170773ea03e377c25a2,feeaa95171c886329842325cea5036106e8d6567627cf5f7ed9172c5f51a7830,560b79e6041e7a00dd9ee8ee0261523c8dd2f0be780f1a3304205601a6ad7cf8,f5eb7739b69257346bbe8db1efa8a1dbfd21f6a251ff8fed282456012545644f
"1","5","130502","2","2","2024/10/16 16:00:00","-470","2025/01/23 15:59:59","3.18","鳳凰","2002","10018","我可沒有對外販售\n喊小鳳的權利哦？\n這是騎士先生的特別待遇！","0"
"4","5","130503","3","4","2024/10/16 16:00:00","-470","2025/01/23 15:59:59","0","鳳凰","2002","10019","唔啊啊啊！\n又變成這副模樣了！\n拜託捐贈點什麼吧～！","0"
"2","5","123301","1","1","2024/10/16 16:00:00","-470","2025/01/23 15:59:59","4.9","涅婭","2002","10020","你好～♪\n什麼都可以交換～\n小卡里莎除外。","0"
"2","5","123301","2","1","2024/10/16 16:00:00","-470","2025/01/23 15:59:59","4.8","涅婭","2002","10021","順便問一下，\n小騎士要多少盧幣呀？\n說‧真‧的♡","0"
"1","6","133301","1","3","2025/01/16 16:00:00","-470","2025/04/24 15:59:59","4.922","卡里莎","2002","10022","哼，為什麼我得當\n店員……別過來，黃的，\n我可不是商品啊！","0"
"5","6","133301","2","3","2025/01/16 16:00:00","-470","2025/04/24 15:59:59","9.638","卡里莎","2002","10023","一、一定要說不可嗎？\n「……歡迎光臨……」\n可惡，不准笑！","0"
"2","6","133401","1","1","2025/01/16 16:00:00","-470","2025/04/24 15:59:59","2.88","米亞","2002","10024","歡迎光臨商店～\n就由有如涅羅殿下之心腹的\n我來擔任店員～","0"
"1","6","133401","2","5","2025/01/16 16:00:00","-470","2025/04/24 15:59:59","4.818","米亞","2002","10025","我蛻下的空殼\n會有人想要嗎～\n我是在說笑的啦！","0"
"1","7","133002","1","2","2025/04/17 16:00:00","-470","2025/07/23 15:59:59","1.78","格蕾斯","2002","10026","歡迎光臨。\n好啦騎士氏。你想要什麼東西\n當下地獄的伴手禮呢？","0"
"7","7","133002","2","1","2025/04/17 16:00:00","-470","2025/07/23 15:59:59","6.15","格蕾斯","2002","10027","每次購買商品時，\n都會給你小格蕾點數。\n我開玩笑的啦。","0"
"2","7","133102","1","6","2025/04/17 16:00:00","-470","2025/07/23 15:59:59","4.28","薇歐莉特","2002","10028","歡迎光臨。\n……接待客人\n是像這樣子做就可以了嗎？","0"
"1","7","133102","2","1","2025/04/17 16:00:00","-470","2025/07/23 15:59:59","0","薇歐莉特","2002","10029","因為這裡沒有\n潮濕的商品，\n所以請放心選購。","0"
