8a364e8d59fd368e4af4a48c8dc18817361a893528635f66c55790941b4f06e2,e9d613acbb15c4ea3797e5fd691ca426690e2df13163378ee1310201acac596a,ed404310503eea269c050b6590f40762f73068bca3a37640c5e50f16658ef83b,0b451e8d75e497b466ded45dfa993fb2924a0a130f81e7213f7e63c7252bf553,765ae8da837881735f35d5b56ae30902c1eee20d4628dfe8a6b2c7a07f1e28d6,b0ab7fe394d2cba5cafd1c1b831713d6273ea39f38cb83ddc573b13a0fbc290e,30a328b23b84afdeeed2e23565b31e4ce5f66cc0d50ff1f5332a31fad59fa73c,8740d3df12eda3888a9b281b2c1492d22db79eca39833670cdd13e166d8eae0a,2b050a7c4c054108de2588c9d1e0834ddc6f177acaf4412467a3928741cf9263
"1","-42","610203201","0","190","1","","0","0.66"
"1","-80","610203202","0","190","1","","0","1.03"
"1","-80","610203203","0","190","1","","0","1.03"
"1","-42","610203301","0","190","1","","0","0.66"
"1","-80","610203302","0","190","1","","0","1.03"
"1","-80","610203303","0","190","1","","0","1.03"
"2","0","610203401","-200","0","0","","0","0.78"
"3","0","610203402","-140","0","0","","0","0.78"
"4","0","610203403","-60","0","0","","0","0.78"
"5","0","610203404","-30","0","0","","0","0.78"
"2","0","610203501","-200","0","0","","0","0.78"
"3","0","610203502","-140","0","0","","0","0.78"
"4","0","610203503","-60","0","0","","0","0.78"
"5","0","610203504","-30","0","0","","0","0.78"
"1","-65","610204101","0","305","1","","0","1.75"
"1","-55","610204201","0","305","1","","0","1.4"
"1","-65","610204202","0","305","1","","0","1.75"
"1","-65","610204203","0","305","1","","0","1.75"
"1","-55","610204301","0","305","1","","0","1.4"
"1","-65","610204302","0","305","1","","0","1.75"
"1","-65","610204303","0","305","1","","0","1.75"
"2","0","610204401","-200","0","0","","0","0.85"
"3","0","610204402","-140","0","0","","0","0.85"
"4","0","610204403","-60","0","0","","0","1"
"5","0","610204404","-60","0","0","","0","1"
"2","0","610204501","-200","0","0","","0","0.85"
"3","0","610204502","-140","0","0","","0","0.85"
"4","0","610204503","-60","0","0","","0","1"
"5","0","610204504","-60","0","0","","0","1"
"1","-60","610205101","0","160","1","","0","1.38"
"1","0","610205201","0","160","1","","0","0.94"
"1","-60","610205202","0","160","1","","0","1.38"
"1","-60","610205203","0","160","1","","0","1.38"
"1","0","610205301","0","160","1","","0","0.94"
"1","-60","610205302","0","160","1","","0","1.38"
"1","-60","610205303","0","160","1","","0","1.38"
"2","0","610205401","-200","0","0","","0","0.9"
"3","0","610205402","-140","0","0","","0","0.9"
"4","0","610205403","-60","0","0","","0","0.9"
"5","0","610205404","-60","0","0","","0","0.9"
"2","0","610205501","-200","0","0","","0","0.9"
"3","0","610205502","-140","0","0","","0","0.9"
"4","0","610205503","-60","0","0","","0","0.9"
"5","0","610205504","-60","0","0","","0","0.9"
"1","-80","610206101","0","295","1","","0","0.86"
"1","-50","610206201","0","295","1","","0","0.68"
"1","-50","610206202","0","295","1","","0","0.68"
"1","-80","610206203","0","295","1","","0","0.86"
"1","-50","610206301","0","295","1","","0","0.68"
"1","-50","610206302","0","295","1","","0","0.68"
"1","-80","610206303","0","295","1","","0","0.86"
"2","0","610206401","-200","0","0","","0","0.85"
"3","0","610206402","-140","0","0","","0","1"
"4","0","610206403","-60","0","0","","0","1"
"5","0","610206404","-60","0","0","","0","1"
"6","0","610206405","-200","0","0","","0","0.78"
"7","0","610206406","-140","0","0","","0","0.78"
"8","0","610206407","-60","0","0","","0","0.78"
"9","0","610206408","-60","0","0","","0","0.78"
"2","0","610206501","-200","0","0","","0","0.85"
"3","0","610206502","-140","0","0","","0","1"
"4","0","610206503","-60","0","0","","0","1"
"5","0","610206504","-60","0","0","","0","1"
"6","0","610206505","-200","0","0","","0","0.78"
"7","0","610206506","-140","0","0","","0","0.78"
"8","0","610206507","-60","0","0","","0","0.78"
"9","0","610206508","-60","0","0","","0","0.78"
"1","-17","610207101","0","250","1","","0","1.35"
"1","0","610207201","0","250","1","","0","0.95"
"1","-17","610207202","0","250","1","","0","1.35"
"1","-17","610207203","0","250","1","","0","1.35"
"1","0","610207301","0","250","1","","0","0.95"
"1","-17","610207302","0","250","1","","0","1.35"
"1","-17","610207303","0","250","1","","0","1.35"
"2","-21","610207401","-200","0","0","","0","0.85"
"3","-21","610207402","-140","0","0","","0","0.85"
"4","-21","610207403","-60","0","0","","0","0.85"
"5","-21","610207404","-60","0","0","","0","0.73"
"2","-21","610207501","-200","0","0","","0","0.85"
"3","-21","610207502","-140","0","0","","0","0.85"
"4","-21","610207503","-60","0","0","","0","0.85"
"5","-21","610207504","-60","0","0","","0","0.73"
