cde5b0be5d836da2e4d471f65829d2414dcd1f7c19aea06ad6712a4fa0e70de8,074e80f173ac5bc9f08f6935c413947cb95931e70aefc33f4cbf2dcef625f60d,b9025b34bed511c176e87a5623263c3a533ac47f8f98bf4504a22e255565e5e4,6ab57fc0f9264859651606e43cec206c2bc6bb4b6877a792ec046385bd78250a,099d376bc4ebf516c6add9d3954c94c656f569be208f913c2d666361b5558a6b,66799aeba7abfffd6ec07431b644b78adf47a2eb3d781aa24d6fa98e70f5845a,e84cec91c3c315bf0dbe88ea2ed567e7e8b88347c32d3a2934f1782088de58fd,76a096a1bcb3caa957e81c5eee74a528c42c37b9b588f208f502b3d79c349d53,284d5a22f1e9652b364598f188273cf56a536d5e601e99277caf4bcf581d46c6,d7338c515eaaef530f3882d43bcf3120720b20ef08c8d4d388974de28692cc12,e5637f7936dc484cac70befac1f007ac3a21e966c5e4d006fea45f5884998ba8
"1200120017","0.2","","105811","3","","20012","travel_topdrama_r_2000_idle_smile","","1",""
"1200120018","","","","112","","20012","","","",""
"1200120019","","","0","91","","20012","","","",""
"1200210001","0.8","-68","1","1","42","20021","100211","travel_topdrama_r_2000_idle_normal","101","1"
"1200210002","0.8","-68","1","1","-42","20021","100111","travel_topdrama_r_2002_sitting_loop","102","0"
"1200210003","0.8","-68","3","5","-42","20021","3","travel_topdrama_r_2002_sitting_loop","100","0"
"1200210004","1","-75","0","5","0","20021","0","mana","110","0"
"1200210005","","","0","91","","20021","","","",""
"1200210006","","","10","93","","20021","0","","",""
"1200210007","","","1200210006","101","","20021","","","",""
"1200210008","0","","0","3","","20021","none","","0",""
"1200210009","","","0","91","","20021","","","",""
"1200220001","","","100211","13","","20022","103","","",""
"1200220002","","","100111","13","","20022","104","","",""
"1200220003","0.2","1","100211","3","","20022","travel_topdrama_r_2000_talk_normal","","1",""
"1200220004","","","vo_travel_talk","21","0","20022","vo_travel_talk_20002_00","","0",""
"1200220005","0","1","100211","11","1","20022","嗯，這樣應該就沒問題了。\n傷口應該都癒合了，\n還有哪裡會痛嗎？","0","10","0"
"1200220006","","","0","91","","20022","","","",""
"1200220007","0.2","","100211","3","","20022","travel_topdrama_r_2000_idle_normal","","1",""
"1200220008","","","vo_travel_talk","21","0","20022","vo_travel_talk_20002_01","","0",""
"1200220009","0","1","100111","11","1","20022","沒問題了，謝謝妳！\n果然在長途的旅程中，\n優衣的魔法非常可靠呢♪","0","10","0"
"1200220010","","","0","91","","20022","","","",""
"1200220011","0.2","1","100211","3","travel_topdrama_r_2000_talk_wish_loop_joy","20022","travel_topdrama_r_2000_talk_wish_in_joy","","0",""
"1200220012","","","vo_travel_talk","21","0","20022","vo_travel_talk_20002_02","","0",""
"1200220013","0","1","100211","11","1","20022","不用客氣♪\n雖然不要受傷最好的，但有\n困難的時候不用客氣儘管跟我說唷？","0","10","0"
"1200220014","","","0","91","","20022","","","",""
"1200220015","0.2","","100211","3","","20022","travel_topdrama_r_2000_idle_wish_joy","","1",""
"1200220016","","","","112","","20022","","","",""
"1200220017","","","0","91","","20022","","","",""
"1200310001","0.8","-68","1","1","-42","20031","100411","travel_topdrama_r_2000_idle_doya","101","0"
"1200310002","0.8","-68","1","1","42","20031","102011","travel_topdrama_r_2000_idle_normal","102","1"
"1200310003","1","-75","0","5","0","20031","0","mana","110","0"
"1200310004","","","0","91","","20031","","","",""
"1200310005","","","10","93","","20031","0","","",""
"1200310006","","","1200310005","101","","20031","","","",""
"1200310007","0","","0","3","","20031","none","","0",""
"1200310008","","","0","91","","20031","","","",""
"1200320001","","","100411","13","","20032","103","","",""
"1200320002","","","102011","13","","20032","104","","",""
"1200320003","0.2","1","100411","3","travel_topdrama_r_2000_talk_doya_loop","20032","travel_topdrama_r_2000_talk_doya_in","","0",""
"1200320004","","","vo_travel_talk","21","0","20032","vo_travel_talk_20003_00","","0",""
"1200320005","0","1","100411","11","1","20032","冒險的準備是非常重要的！\n所以為了不要迷路\n把指南針給帶來了～♪","0","10","0"
"1200320006","","","0","91","","20032","","","",""
"1200320007","0.2","","100411","3","","20032","travel_topdrama_r_2000_idle_doya","","1",""
"1200320008","0.2","1","102011","3","travel_topdrama_r_2000_talk_wish_loop","20032","travel_topdrama_r_2000_talk_wish_in","","0",""
"1200320009","","","vo_travel_talk","21","0","20032","vo_travel_talk_20003_01","","0",""
"1200320010","0","1","102011","11","1","20032","禊好厲害呀～♪\n這個指南針一直轉來轉去的，\n要怎麼看方向呀～？","0","10","0"
"1200320011","","","0","91","","20032","","","",""
"1200320012","0.2","","102011","3","","20032","travel_topdrama_r_2000_idle_wish","","1",""
"1200320013","0.2","1","100411","3","travel_topdrama_r_2000_talk_sad_loop_surprise2","20032","travel_topdrama_r_2000_talk_sad_in_surprise2","","0",""
"1200320014","","","vo_travel_talk","21","0","20032","vo_travel_talk_20003_02","","0",""
"1200320015","0","1","100411","11","1","20032","咦？轉來轉去？\n……啊～！？惡作劇要用的磁鐵，\n不小心放在同一個口袋裡了～！","0","10","0"
"1200320016","","","0","91","","20032","","","",""
"1200320017","0.2","","100411","3","","20032","travel_topdrama_r_2000_idle_sad_surprise2","","1",""
"1200320018","","","","112","","20032","","","",""
"1200320019","","","0","91","","20032","","","",""
"1200410001","0.8","-68","1","1","42","20041","105311","travel_topdrama_r_2000_idle_normal","101","1"
"1200410002","0.8","-68","1","1","-42","20041","104511","travel_topdrama_r_2000_idle_wish","102","0"
"1200410003","1","-75","0","5","0","20041","0","mana","110","0"
"1200410004","","","0","91","","20041","","","",""
"1200410005","","","10","93","","20041","0","","",""
"1200410006","","","1200410005","101","","20041","","","",""
"1200410007","0","","0","3","","20041","none","","0",""
"1200410008","","","0","91","","20041","","","",""
"1200420001","","","105311","13","","20042","103","","",""
"1200420002","","","104511","13","","20042","104","","",""
"1200420003","0.2","1","105311","3","travel_topdrama_r_2000_talk_surprise_loop_sad","20042","travel_topdrama_r_2000_talk_surprise_in_sad","","0",""
"1200420004","","","vo_travel_talk","21","0","20042","vo_travel_talk_20004_00","","0",""
"1200420005","0","1","105311","11","1","20042","怎、怎麼了空花！？\n臉紅通通的，還出了這麼多汗……\n是有哪裡不舒服的嘛！？","0","10","0"
"1200420006","","","0","91","","20042","","","",""
"1200420007","0.2","","105311","3","","20042","travel_topdrama_r_2000_idle_surprise_sad","","1",""
"1200420008","0.2","1","104511","3","","20042","travel_topdrama_r_2000_talk_wish_loop","","1",""
"1200420009","","","vo_travel_talk","21","0","20042","vo_travel_talk_20004_01","","0",""
"1200420010","0","1","104511","11","1","20042","現在要去的地方有從未見過\n的可怕魔物，與其對峙空花一定\n會受到前所未有的凌虐……♪","0","10","0"
"1200420011","","","0","91","","20042","","","",""
"1200420012","0.2","","104511","3","","20042","travel_topdrama_r_2000_idle_wish","","1",""
"1200420013","0.2","1","105311","3","travel_topdrama_r_2000_talk_doya_loop_sad","20042","travel_topdrama_r_2000_talk_doya_in_sad","","0",""
"1200420014","","","vo_travel_talk","21","0","20042","vo_travel_talk_20004_02","","0",""
"1200420015","0","1","105311","11","1","20042","啊，平常的妄想啊。\n整個白擔心了的感覺，\n拜託妳集中進行任務啊！","0","10","0"
"1200420016","","","0","91","","20042","","","",""
"1200420017","0.2","","105311","3","","20042","travel_topdrama_r_2000_idle_doya_sad","","1",""
"1200420018","","","","112","","20042","","","",""
"1200420019","","","0","91","","20042","","","",""
"1200510001","0.8","-68","1","1","-42","20051","100911","travel_topdrama_r_2000_idle_thinking","101","0"
"1200510002","0.8","-68","1","1","42","20051","105611","travel_topdrama_r_2000_idle_arm_crossed","102","1"
"1200510003","1","-75","0","5","0","20051","0","mana","110","0"
"1200510004","","","0","91","","20051","","","",""
"1200510005","","","10","93","","20051","0","","",""
"1200510006","","","1200510005","101","","20051","","","",""
"1200510007","0","","0","3","","20051","none","","0",""
"1200510008","","","0","91","","20051","","","",""
"1200520001","","","100911","13","","20052","103","","",""
"1200520002","","","105611","13","","20052","104","","",""
"1200520003","0.2","1","100911","3","","20052","travel_topdrama_r_2000_talk_thinking","","1",""
"1200520004","","","vo_travel_talk","21","0","20052","vo_travel_talk_20005_00","","0",""
"1200520005","0","1","100911","11","1","20052","潛在我內心的黑暗在訴說著……\n眾多的命運的線條會複雜的纏繞著，\n這趟旅程將會成為壯大的冒險記！","0","10","0"
"1200520006","","","0","91","","20052","","","",""
"1200520007","0.2","","100911","3","","20052","travel_topdrama_r_2000_idle_thinking","","1",""
"1200520008","0.2","1","105611","3","travel_topdrama_r_2000_talk_arm_crossed_loop","20052","travel_topdrama_r_2000_talk_arm_crossed_in","","0",""
"1200520009","","","vo_travel_talk","21","0","20052","vo_travel_talk_20005_01","","0",""
"1200520010","0","1","105611","11","1","20052","這樣啊。\n那麼首先，妳可以先接受\n去收集柴火的命運嗎？","0","10","0"
"1200520011","","","0","91","","20052","","","",""
"1200520012","0.2","","105611","3","","20052","travel_topdrama_r_2000_idle_arm_crossed","","1",""
"1200520013","0.2","1","100911","3","travel_topdrama_r_2000_talk_doya_loop","20052","travel_topdrama_r_2000_talk_doya_in_blink","","0",""
"1200520014","","","vo_travel_talk","21","0","20052","vo_travel_talk_20005_02","","0",""
"1200520015","0","1","100911","11","1","20052","哼，那命運的話早就已經接受了！\n……但是，那個，完全收集不全。\n可以的話能幫個忙嗎？","0","10","0"
"1200520016","","","0","91","","20052","","","",""
"1200520017","0.2","","100911","3","","20052","travel_topdrama_r_2000_idle_doya","","1",""
"1200520018","","","","112","","20052","","","",""
"1200520019","","","0","91","","20052","","","",""
"1200610001","0.8","-68","1","1","42","20061","110911","travel_topdrama_r_2000_idle_kyapi","101","1"
"1200610002","0.8","-68","1","1","-42","20061","110811","travel_topdrama_r_2000_idle_doya_sad","102","0"
"1200610003","1","-75","0","5","0","20061","0","mana","110","0"
"1200610004","","","0","91","","20061","","","",""
"1200610005","","","10","93","","20061","0","","",""
"1200610006","","","1200610005","101","","20061","","","",""
"1200610007","0","","0","3","","20061","none","","0",""
"1200610008","","","0","91","","20061","","","",""
"1200620001","","","110911","13","","20062","103","","",""
"1200620002","","","110811","13","","20062","104","","",""
"1200620003","0.2","1","110911","3","travel_topdrama_r_2000_talk_kyapi_loop","20062","travel_topdrama_r_2000_talk_kyapi_in","","0",""
"1200620004","","","vo_travel_talk","21","0","20062","vo_travel_talk_20006_00","","0",""
"1200620005","0","1","110911","11","1","20062","切嚕～☆\n切嚕切啦，切唎啪，\n切切唎啵噗！","0","10","0"
"1200620006","","","0","91","","20062","","","",""
"1200620007","0.2","","110911","3","","20062","travel_topdrama_r_2000_idle_kyapi","","1",""
"1200620008","0.2","1","110811","3","travel_topdrama_r_2000_talk_doya_loop_sad","20062","travel_topdrama_r_2000_talk_doya_in_sad","","0",""
"1200620009","","","vo_travel_talk","21","0","20062","vo_travel_talk_20006_01","","0",""
"1200620010","0","1","110811","11","1","20062","那個啊。我是不介意啦。\n你那腦筋很差的怪聲剛才引來\n了一大堆魔物的事情，已經忘掉了嗎？","0","10","0"
"1200620011","","","0","91","","20062","","","",""
"1200620012","0.2","","110811","3","","20062","travel_topdrama_r_2000_idle_doya_sad","","1",""
"1200620013","0.2","1","110911","3","","20062","travel_topdrama_r_2000_talk_normal2","","1",""
"1200620014","","","vo_travel_talk","21","0","20062","vo_travel_talk_20006_02","","0",""
"1200620015","0","1","110911","11","1","20062","……那個時候\n真的是非常的抱歉。","0","10","0"
"1200620016","","","0","91","","20062","","","",""
"1200620017","0.2","","110911","3","","20062","travel_topdrama_r_2000_idle_normal","","1",""
"1200620018","","","","112","","20062","","","",""
"1200620019","","","0","91","","20062","","","",""
"1200710001","0.8","-68","1","1","42","20071","102911","travel_topdrama_r_2000_idle_smile","101","1"
"1200710002","0.8","-68","1","1","-42","20071","105411","travel_topdrama_r_2000_idle_sad","102","0"
"1200710003","1","-75","0","5","0","20071","0","mana","110","0"
"1200710004","","","0","91","","20071","","","",""
"1200710005","","","10","93","","20071","0","","",""
"1200710006","","","1200710005","101","","20071","","","",""
"1200710007","0","","0","3","","20071","none","","0",""
"1200710008","","","0","91","","20071","","","",""
"1200720001","","","102911","13","","20072","103","","",""
"1200720002","","","105411","13","","20072","104","","",""
"1200720003","0.2","1","102911","3","travel_topdrama_r_2000_talk_smile_loop","20072","travel_topdrama_r_2000_talk_smile_in","","0",""
"1200720004","","","vo_travel_talk","21","0","20072","vo_travel_talk_20007_00","","0",""
"1200720005","0","1","102911","11","1","20072","這附近的地形，\n應該滿適合練習跳舞的吧？\n能陪我練習舞步嗎？","0","10","0"
"1200720006","","","0","91","","20072","","","",""
"1200720007","0.2","","102911","3","","20072","travel_topdrama_r_2000_idle_smile","","1",""
"1200720008","0.2","1","105411","3","travel_topdrama_r_2000_talk_sad_loop","20072","travel_topdrama_r_2007_dance","","0","0.2"
"1200720009","","","vo_travel_talk","21","0","20072","vo_travel_talk_20007_01","","0",""
"1200720010","0","1","105411","11","1","20072","咦，這樣的感覺嗎？\n……哇哇，差點失去平衡！？\n還挺困難的呢……","0","10","0"
"1200720011","","","0","91","","20072","","","",""
"1200720012","0.2","","105411","3","","20072","travel_topdrama_r_2000_idle_sad","","1",""
"1200720013","0.2","1","102911","3","travel_topdrama_r_2000_talk_smile_loop","20072","travel_topdrama_r_2000_talk_smile_in","","0",""
"1200720014","","","vo_travel_talk","21","0","20072","vo_travel_talk_20007_02","","0",""
"1200720015","0","1","102911","11","1","20072","也就是說這是不錯的練習呢！\n在去演唱會前，為了不忘記這地方，\n要把這地方寫下來呢♪","0","10","0"
"1200720016","","","0","91","","20072","","","",""
"1200720017","0.2","","102911","3","","20072","travel_topdrama_r_2000_idle_smile","","1",""
"1200720018","","","","112","","20072","","","",""
"1200720019","","","0","91","","20072","","","",""
"1200810001","0.8","-68","1","1","42","20081","104711","travel_topdrama_r_2000_idle_sad","101","1"
"1200810002","0.8","-68","1","1","-42","20081","107111","travel_topdrama_r_2000_idle_doya","102","0"
"1200810003","1","-75","0","5","0","20081","0","mana","110","0"
"1200810004","","","0","91","","20081","","","",""
"1200810005","","","10","93","","20081","0","","",""
"1200810006","","","1200810005","101","","20081","","","",""
"1200810007","0","","0","3","","20081","none","","0",""
"1200810008","","","0","91","","20081","","","",""
"1200820001","","","104711","13","","20082","103","","",""
"1200820002","","","107111","13","","20082","104","","",""
"1200820003","0.2","1","104711","3","travel_topdrama_r_2000_talk_sad_loop","20082","travel_topdrama_r_2000_talk_sad_in","","0",""
"1200820004","","","vo_travel_talk","21","0","20082","vo_travel_talk_20008_00","","0",""
"1200820005","0","1","104711","11","1","20082","雖然有幾次離開王宮的機會，\n果然還是靜不下來呢……\n發生什麼事的時候也很難對應。","0","10","0"
"1200820006","","","0","91","","20082","","","",""
"1200820007","0.2","","104711","3","","20082","travel_topdrama_r_2000_idle_sad","","1",""
"1200820008","0.2","1","107111","3","travel_topdrama_r_2000_talk_doya_loop","20082","travel_topdrama_r_2000_talk_doya_in","","0",""
"1200820009","","","vo_travel_talk","21","0","20082","vo_travel_talk_20008_01","","0",""
"1200820010","0","1","107111","11","1","20082","現在才在擔心也沒意義吧？\n放鬆心情好好享受這趟旅行吧。\n旅程還很長的呢☆","0","10","0"
"1200820011","","","0","91","","20082","","","",""
"1200820012","0.2","","107111","3","","20082","travel_topdrama_r_2000_idle_doya","","1",""
"1200820013","0.2","1","104711","3","travel_topdrama_r_2000_talk_guts_loop","20082","travel_topdrama_r_2000_talk_guts_in","","0",""
"1200820014","","","vo_travel_talk","21","0","20082","vo_travel_talk_20008_02","","0",""
"1200820015","0","1","104711","11","1","20082","謝謝妳，克莉絲。\n王宮也有優秀的部下在，\n現在還是集中在面前的工作上吧。","0","10","0"
"1200820016","","","0","91","","20082","","","",""
"1200820017","0.2","","104711","3","","20082","travel_topdrama_r_2000_idle_guts","","1",""
"1200820018","","","","112","","20082","","","",""
"1200820019","","","0","91","","20082","","","",""
"1200910001","0.8","-68","1","1","42","20091","104011","travel_topdrama_r_2000_idle_guts2","101","1"
"1200910002","0.8","-68","1","1","-42","20091","101511","travel_topdrama_r_2000_idle_smile","102","0"
"1200910003","1","-75","0","5","0","20091","0","mana","110","0"
"1200910004","","","0","91","","20091","","","",""
"1200910005","","","10","93","","20091","0","","",""
"1200910006","","","1200910005","101","","20091","","","",""
"1200910007","0","","0","3","","20091","none","","0",""
"1200910008","","","0","91","","20091","","","",""
"1200920001","","","104011","13","","20092","103","","",""
"1200920002","","","101511","13","","20092","104","","",""
"1200920003","0.2","1","104011","3","travel_topdrama_r_2000_talk_guts2_loop","20092","travel_topdrama_r_2000_talk_guts2_in","","0",""
"1200920004","","","vo_travel_talk","21","0","20092","vo_travel_talk_20009_00","","0",""
"1200920005","0","1","104011","11","1","20092","這次的冒險有許多公會\n會參加對吧……？\n難道這是，交朋友的好機會……？","0","10","0"
"1200920006","","","0","91","","20092","","","",""
"1200920007","0.2","","104011","3","","20092","travel_topdrama_r_2000_idle_guts2","","1",""
"1200920008","0.2","1","101511","3","travel_topdrama_r_2000_talk_wish_loop_joy","20092","travel_topdrama_r_2000_talk_wish_in_joy","","0",""
"1200920009","","","vo_travel_talk","21","0","20092","vo_travel_talk_20009_01","","0",""
"1200920010","0","1","101511","11","1","20092","呵呵，是啊～\n一定會有不少的邂逅，\n試著多跟人搭話如何～？","0","10","0"
"1200920011","","","0","91","","20092","","","",""
"1200920012","0.2","","101511","3","","20092","travel_topdrama_r_2000_idle_wish_joy","","1",""
"1200920013","0.2","1","104011","3","travel_topdrama_r_2000_talk_surprise_loop_sad","20092","travel_topdrama_r_2000_talk_surprise_in_sad","","0",""
"1200920014","","","vo_travel_talk","21","0","20092","vo_travel_talk_20009_02","","0",""
"1200920015","0","1","104011","11","1","20092","多……跟人搭話……！？\n一瞬間就喪失自信了……\n果然還是走在邊邊就好了……","0","10","0"
"1200920016","","","0","91","","20092","","","",""
"1200920017","0.2","","104011","3","","20092","travel_topdrama_r_2000_idle_surprise_sad","","1",""
"1200920018","","","","112","","20092","","","",""
"1200920019","","","0","91","","20092","","","",""
"1201010001","0.8","-68","1","1","42","20101","102611","travel_topdrama_r_2000_idle_sad","101","1"
"1201010002","0.8","-68","1","1","-42","20101","103311","travel_topdrama_r_2000_idle_doya_sad","102","0"
"1201010003","1","-75","0","5","0","20101","0","mana","110","0"
"1201010004","","","0","91","","20101","","","",""
"1201010005","","","10","93","","20101","0","","",""
"1201010006","","","1201010005","101","","20101","","","",""
"1201010007","0","","0","3","","20101","none","","0",""
"1201010008","","","0","91","","20101","","","",""
"1201020001","","","102611","13","","20102","103","","",""
"1201020002","","","103311","13","","20102","104","","",""
"1201020003","0.2","1","102611","3","travel_topdrama_r_2000_talk_sad_loop","20102","travel_topdrama_r_2000_talk_sad_in","","0",""
"1201020004","","","vo_travel_talk","21","0","20102","vo_travel_talk_20010_00","","0",""
"1201020005","0","1","102611","11","1","20102","呼……呼……！\n已經走了好久了啊～！\n想回家了啦～想懶懶散散地度過～！","0","10","0"
"1201020006","","","0","91","","20102","","","",""
"1201020007","0.2","","102611","3","","20102","travel_topdrama_r_2000_idle_sad","","1",""
"1201020008","0.2","1","103311","3","travel_topdrama_r_2000_talk_doya_loop_sad","20102","travel_topdrama_r_2000_talk_doya_in_sad","","0",""
"1201020009","","","vo_travel_talk","21","0","20102","vo_travel_talk_20010_01","","0",""
"1201020010","0","1","103311","11","1","20102","在說什麼呀～！\n鈴鈴最需要多走走，\n重新鍛鍊身體！","0","10","0"
"1201020011","","","0","91","","20102","","","",""
"1201020012","0.2","","103311","3","","20102","travel_topdrama_r_2000_idle_doya_sad","","1",""
"1201020013","0.2","1","102611","3","","20102","travel_topdrama_r_2000_talk_dead","","1",""
"1201020014","","","vo_travel_talk","21","0","20102","vo_travel_talk_20010_02","","0",""
"1201020015","0","1","102611","11","1","20102","那種事情完全不需要啦……！\n總之讓我休息！休息～！\n不吃個橡子的話，我的腳會開始痠痛的～！","0","10","0"
"1201020016","","","0","91","","20102","","","",""
"1201020017","0.2","","102611","3","","20102","travel_topdrama_r_2000_idle_dead","","1",""
"1201020018","","","","112","","20102","","","",""
"1201020019","","","0","91","","20102","","","",""
"1201110001","0.8","-68","1","1","42","20111","104911","travel_topdrama_r_2000_idle_smile","101","1"
"1201110002","0.8","-68","1","1","-42","20111","101111","travel_topdrama_r_2000_idle_normal","102","0"
"1201110003","1","-75","0","5","0","20111","0","mana","110","0"
"1201110004","","","0","91","","20111","","","",""
"1201110005","","","10","93","","20111","0","","",""
"1201110006","","","1201110005","101","","20111","","","",""
"1201110007","0","","0","3","","20111","none","","0",""
"1201110008","","","0","91","","20111","","","",""
"1201120001","","","104911","13","","20112","103","","",""
"1201120002","","","101111","13","","20112","104","","",""
"1201120003","0.2","1","104911","3","travel_topdrama_r_2000_talk_smile_loop","20112","travel_topdrama_r_2000_talk_smile_in","","0",""
"1201120004","","","vo_travel_talk","21","0","20112","vo_travel_talk_20011_00","","0",""
"1201120005","0","1","104911","11","1","20112","不知道路上有沒有掉什麼好東西呢～？\n能讓弟弟興奮過頭，讓他瞬間忘掉\n最喜歡姐姐以外的感情的寶物之類的。","0","10","0"
"1201120006","","","0","91","","20112","","","",""
"1201120007","0.2","","104911","3","","20112","travel_topdrama_r_2000_idle_smile","","1",""
"1201120008","0.2","1","101111","3","travel_topdrama_r_2000_talk_shock","20112","travel_topdrama_r_2000_shock_in","","0",""
"1201120009","","","vo_travel_talk","21","0","20112","vo_travel_talk_20011_01","","0",""
"1201120010","0","1","101111","11","1","20112","不不不，靜流姐？\n那根本就是受詛咒的裝備了，\n真的發現了也別帶回去喔。","0","10","0"
"1201120011","","","0","91","","20112","","","",""
"1201120012","0.2","","101111","3","","20112","travel_topdrama_r_2000_idle_normal","","1",""
"1201120013","0.2","1","104911","3","travel_topdrama_r_2000_talk_wish_loop_joy","20112","travel_topdrama_r_2000_talk_wish_in_joy","","0",""
"1201120014","","","vo_travel_talk","21","0","20112","vo_travel_talk_20011_02","","0",""
"1201120015","0","1","104911","11","1","20112","唉……算了，也行。\n就算不依靠那種東西，弟弟\n也是最喜歡姐姐的呢♪","0","10","0"
"1201120016","","","0","91","","20112","","","",""
"1201120017","0.2","","104911","3","","20112","travel_topdrama_r_2000_idle_wish_joy","","1",""
"1201120018","","","","112","","20112","","","",""
"1201120019","","","0","91","","20112","","","",""
"1201210001","0.8","-68","1","1","42","20121","101011","travel_topdrama_r_2000_idle_sad","101","1"
"1201210002","0.8","-68","1","1","-42","20121","101711","travel_topdrama_r_2000_idle_guts2_joy","102","0"
"1201210003","0.8","-68","3","5","-42","20121","3","travel_topdrama_r_2012_empty","103","0"
"1201210004","1","-75","0","5","0","20121","0","mana","110","0"
"1201210005","","","0","91","","20121","","","",""
"1201210006","","","10","93","","20121","0","","",""
"1201210007","","","1201210006","101","","20121","","","",""
"1201210008","0","","0","3","","20121","none","","0",""
"1201210009","","","0","91","","20121","","","",""
"1201220001","","","101011","13","","20122","104","","",""
"1201220002","","","101711","13","","20122","105","","",""
"1201220003","0.2","1","101011","3","travel_topdrama_r_2000_talk_sad_loop","20122","travel_topdrama_r_2000_talk_sad_in","","0",""
"1201220004","","","vo_travel_talk","21","0","20122","vo_travel_talk_20012_00","","0",""
"1201220005","0","1","101011","11","1","20122","冒險還真辛苦呢～\n人家已經有點累了，\n香織還很有精神呢～？","0","10","0"
"1201220006","","","0","91","","20122","","","",""
"1201220007","0.2","","101011","3","","20122","travel_topdrama_r_2000_idle_sad","","1",""
"1201220008","0.2","1","101711","3","travel_topdrama_r_2012_raise_loop_talk","20122","travel_topdrama_r_2012_raise_in","","0",""
"1201220009","0.2","1","3","3","travel_topdrama_r_2012_raise_loop_talk","20122","travel_topdrama_r_2012_raise_in","","0",""
"1201220010","","","vo_travel_talk","21","0","20122","vo_travel_talk_20012_01","","0",""
"1201220011","0","1","101711","11","1","20122","都是多虧開口笑呢～♪\n又甜又吃得飽肚子，\n也分一些給真步吧～","0","10","0"
"1201220012","","","0","91","","20122","","","",""
"1201220013","0.2","","101711","3","","20122","travel_topdrama_r_2012_raise_loop_idle","","1",""
"1201220014","0.2","","3","3","","20122","travel_topdrama_r_2012_raise_loop_talk","","1",""
"1201220015","0.2","1","101011","3","travel_topdrama_r_2000_talk_smile_loop","20122","travel_topdrama_r_2000_talk_smile_in","","0",""
"1201220016","","","vo_travel_talk","21","0","20122","vo_travel_talk_20012_02","","0",""
"1201220017","0","1","101011","11","1","20122","謝謝妳呀～♪\n把這給吃下去，人家也要像香織\n一樣有精神的繼續冒險～♪","0","10","0"
"1201220018","","","0","91","","20122","","","",""
"1201220019","0.2","","101011","3","","20122","travel_topdrama_r_2000_idle_smile","","1",""
"1201220020","","","","112","","20122","","","",""
"1201220021","","","0","91","","20122","","","",""
"1201310001","0.8","-68","1","1","42","20131","104411","travel_topdrama_r_2000_idle_doya","101","1"
