95869e31460c29d53ca2a68286f3431dd630b5de248bb07100f442ecbe553773,886923d8a470ab25fde85759f0c077282f113eee7b29a10bf16c509ecb41f531,927bbf42fe2071d9ce23485a94b7056cb5ef44dd6c291dacfd1baba7d6229b25,ca9faad531302c8cb0fc796f8951971f4923b1fe1318fa820ad88997c7cbcc7e,3f1cf7366aec0600c60e33253bac3abbe6b45e010cb27f2fbbaadcdfe96384ed,590875c6de891c5094ffbecc4c06d083d6232c8695ae7151b7117ccdb641ea14,e65e26a84ef82b9e695c854d75e58684a1ec350630937f6c7043a9fe00327353
"21","無法坦率的心！","01:34","角色歌曲\n\n時間 / 01:34\n演唱　 / 紡希（木戸衣吹）\n作詞 / 磯谷佳江\n作曲 / 磯谷佳江\n編曲 / 內海孝彰","00:48","bgm_M148","bgm_M148"
"22","向詭譎氣氛挺身而出的鬥志","01:46","主線冒險\n\n時間 / 01:46\n作曲 / 本田晃弘（Cygames）\n編曲 / 岡出莉菜","00:00","bgm_M42","bgm_M42_juke"
"23","野豬雙胞胎","01:07","戰隊競賽\n\n時間 / 01:07\n作曲 / 西木康智\n編曲 / 西木康智","00:00","bgm_M104","bgm_M104_juke"
"24","吸血鬼獵人with伊莉亞","00:54","故事劇情主題曲\n-「Peaceful*沖繩雜炒」編曲-\n\n時間 / 00:54\n作曲 / 小野貴光\n編曲 / 東大路憲太","00:00","bgm_M106","bgm_M106_juke"
"25","加爾格","03:18","故事劇情頭目戰\n\n時間 / 03:18\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M109","bgm_M109_juke"
"26","Peaceful*沖繩雜炒","01:30","角色歌曲\n\n時間 / 01:30\n演唱　 / 真步（内田真礼）\n　　　香織（高森奈津美）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","00:44","bgm_M151","bgm_M151"
"27","天蠍毒者","01:12","戰隊競賽\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M166","bgm_M166_juke"
"28","暮光破壞者","01:30","故事劇情主題曲\n-「最強對吧，對吧？」編曲-\n\n時間 / 01:30\n作曲 / Heart's Cry\n編曲 / 多田彰文","00:00","bgm_M162","bgm_M162_juke"
"29","奧拉姆","02:02","故事劇情頭目戰\n\n時間 / 02:02\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M165","bgm_M165_juke"
"30","最強對吧，對吧？","01:22","角色歌曲\n\n時間 / 01:22\n演唱　 / 杏奈（髙野麻美）\n　　　七七香（佳村はるか）\n作詞 / Heart's Cry\n作曲 / Heart's Cry\n編曲 / Heart's Cry","00:42","bgm_M176","bgm_M176"
"31","冰海之地","02:05","主線冒險\n\n時間 / 02:05\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M141","bgm_M141_juke"
"32","冰天雪地","01:08","主線冒險\n\n時間 / 01:08\n作曲 / 西村真吾\n編曲 / 西村真吾","00:00","bgm_M58","bgm_M58_juke"
"33","涼爽的風","01:05","主線冒險\n\n時間 / 01:05\n作曲 / 加藤慶\n編曲 / 加藤慶","00:00","bgm_M101","bgm_M101_juke"
"34","加爾基諾司","01:02","戰隊競賽\n\n時間 / 01:02\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","00:00","bgm_M115","bgm_M115_juke"
"35","危險的假期海岸邊的美食家公主","01:05","故事劇情主題曲\n-「充滿笑容的家」編曲-\n\n時間 / 01:05\n作曲 / Lucas\n編曲 / 西村真吾","00:00","bgm_M112","bgm_M112_juke"
"36","天塔帕斯","02:10","故事劇情頭目戰\n\n時間 / 02:10\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M116","bgm_M116_juke"
"37","充滿笑容的家","01:40","角色歌曲\n\n時間 / 01:40\n演唱　 / 咲戀（堀江由衣）\n　　　鈴莓（悠木碧）\n作詞 / Mitsu\n作曲 / Lucas\n編曲 / Lucas","01:00","bgm_M147","bgm_M147"
"38","人馬座","00:45","戰隊競賽\n\n時間 / 00:45\n作曲 / 庄司真吾（Cygames）\n編曲 / 庄司真吾（Cygames）","00:00","bgm_M175","bgm_M175_juke"
"39","忘却的頌歌","00:55","故事劇情主題曲\n-「Ding Dong Holy Night♪」編曲-\n\n時間 / 00:55\n作曲 / 馬淵直純\n編曲 / 中村早織（Cygames）","00:00","bgm_M171","bgm_M171_juke"
"40","霧奇","02:57","故事劇情頭目戰\n\n時間 / 02:57\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M172","bgm_M172_juke"
"41","Ding Dong Holy Night♪","01:28","角色歌曲\n\n時間 / 01:28\n演唱　 / 綾音（芹澤優）\n　　　胡桃（植田佳奈）\n作詞 / 磯谷佳江\n作曲 / 馬淵直純\n編曲 / 馬淵直純","00:42","bgm_M187","bgm_M187"
"42","險峻枯原","00:57","主線冒險\n\n時間 / 00:57\n作曲 / 多田彰文\n編曲 / 多田彰文","00:00","bgm_M93","bgm_M93_juke"
"43","奧爾獅","01:06","戰隊競賽\n\n時間 / 01:06\n作曲 / 庄司真吾（Cygames）\n編曲 / 西村真吾","00:00","bgm_M119","bgm_M119_juke"
"44","珠希和美冬的無人島0盧幣生活","01:10","故事劇情主題曲\n-「閃亮亮☆Happiness！」編曲-\n\n時間 / 01:10\n作曲 / 齊藤裕也\n編曲 / 西村真吾","00:00","bgm_M121","bgm_M121_juke"
"45","島鯨","02:35","故事劇情頭目戰\n\n時間 / 02:35\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M124","bgm_M124_juke"
"46","閃亮亮☆Happiness！","01:20","角色歌曲\n\n時間 / 01:20\n演唱　 / 珠希（沼倉愛美）\n　　　美冬（田所あずさ）\n　　　秋乃（松嵜麗）\n　　　優花梨（今井麻美）\n作詞 / joru\n作曲 / 齊藤裕也\n編曲 / 齊藤裕也","00:42","bgm_M146","bgm_M146"
"47","新的出航","01:20","主線冒險\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M179","bgm_M179_juke"
"48","阿爾珈提","00:58","戰隊競賽\n\n時間 / 00:58\n作曲 / 加藤慶\n編曲 / 加藤慶","00:00","bgm_M181","bgm_M181_juke"
"49","新春破曉之星大危機！","00:58","故事劇情主題曲\n-「TwinkleStars」編曲-\n\n時間 / 00:58\n作曲 / 石濱翔（MONACA）\n編曲 / 東大路憲太","00:00","bgm_M182","bgm_M182_juke"
"50","邪餅神鏡餅","02:32","故事劇情頭目戰\n\n時間 / 02:32\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M183","bgm_M183_juke"
"51","TwinkleStars","01:24","角色歌曲\n\n時間 / 01:24\n演唱　 / 優衣（種田梨沙）\n　　　日和（東山奈央）\n　　　怜（早見沙織）\n作詞 / 野村イクミ（Cygames）\n作曲 / 石濱翔（MONACA）\n編曲 / 石濱翔（MONACA）","00:45","bgm_M202","bgm_M202"
"52","酷熱沙漠","01:26","主線冒險\n\n時間 / 01:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M94","bgm_M94_juke"
"53","美杜莎","01:25","戰隊競賽\n\n時間 / 01:25\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M132","bgm_M132_juke"
"54","黑鐵的亡靈（Nightmare）","01:29","故事劇情主題曲\n-｢Aloofness Code｣編曲-\n\n時間 / 01:29\n作曲 / 小野貴光\n編曲 / 多田彰文","00:00","bgm_M128","bgm_M128_juke"
"55","亡靈鎧甲","02:28","故事劇情頭目戰\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M131","bgm_M131_juke"
"56","Aloofness Code","01:20","角色歌曲\n\n時間 / 01:20\n歌　 / 純（川澄綾子）\n　　　克莉絲提娜（たかはし智秋）\n　　　智（茅原実里）\n　　　茉莉（下田麻美）\n作詞 / a*mu\n作曲 / 小野貴光\n編曲 / 玉木千尋","00:46","bgm_M154","bgm_M154"
"57","Absolute Secret","01:13","角色歌曲\n\n時間 / 01:13\n歌　 / 凱留（立花理香）\n作詞 / corochi（Cygames）\n作曲 / 馬淵直純\n編曲 / 馬淵直純","00:44","bgm_M214","bgm_M214"
"58","水之里歐斯","01:00","戰隊競賽\n\n時間 / 01:00\n作曲 / 加藤慶\n編曲 / 加藤慶","00:00","bgm_M186","bgm_M186_juke"
"59","情人節之戰！正中紅心的甜蜜戰鬥","01:02","故事劇情主題曲\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 01:02\n作曲 / 山崎真吾\n編曲 / 藤原宏惠","00:00","bgm_M189","bgm_M189_juke"
"60","醜陋可愛","02:24","故事劇情頭目戰\n\n時間 / 02:24\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M192","bgm_M192_juke"
"61","SUPER CHOCOLATE","01:15","角色歌曲\n\n時間 / 01:15\n歌　 / 靜流（生天目仁美）\n　　　璃乃（阿澄佳奈）\n作詞 / 坂井龍二\n作曲 / 山崎真吾\n編曲 / 山崎真吾","00:40","bgm_M200","bgm_M200"
"62","砂海綠洲","01:07","主線冒險\n\n時間 / 01:07\n作曲 / 石塚玲衣\n編曲 / 石塚玲衣","00:00","bgm_M118","bgm_M118_juke"
"63","不可思議的森林","01:20","主線冒險\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M180","bgm_M180_juke"
"64","托爾披頓","01:00","戰隊競賽\n\n時間 / 01:00\n作曲 / 中村早織（Cygames）\n編曲 / 中村早織（Cygames）","00:00","bgm_M205","bgm_M205_juke"
"65","王都的名偵探　嘆息的追緝者","00:39","故事劇情主題曲\n-｢未解明的心意｣編曲-\n\n時間 / 00:39\n作曲 / 出口遼\n編曲 / 庄司真吾（Cygames）","00:00","bgm_M206","bgm_M206_juke"
"66","哀嘆之女神","02:09","故事劇情頭目戰\n\n時間 / 02:09\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","00:00","bgm_M209","bgm_M209_juke"
"67","未解明的心意","01:22","角色歌曲\n\n時間 / 01:22\n歌　 / 真琴（小松未可子）\n　　　霞（水瀨いのり）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 飯田涼太","00:38","bgm_M222","bgm_M222"
"68","機械莉瑪來襲！王都毀滅前的倒數","01:27","愚人節活動\n\n時間 / 01:27\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M219","bgm_M219_juke"
"69","機械莉瑪","01:38","愚人節活動\n\n時間 / 01:38\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M220","bgm_M220_juke"
"70","機械莉瑪~終焉~","01:12","愚人節活動\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M221","bgm_M221_juke"
"71","在阿斯特朗盛開的雙輪之花","00:55","故事劇情主題曲\n-｢Crossing Destiny｣編曲-\n\n時間 / 00:55\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","00:00","bgm_M215","bgm_M215_juke"
"72","元核‧巨靈","01:45","故事劇情頭目戰\n\n時間 / 01:45\n作曲 / 中村博\n編曲 / 中村博","00:00","bgm_M218","bgm_M218_juke"
"73","Crossing Destiny","01:30","角色歌曲\n\n時間 / 01:30\n歌　 / 安（日笠陽子）\n　　　古蕾婭（福原綾香）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","00:54","bgm_M235","bgm_M235"
"74","潛入岩峰","00:55","主線冒險\n\n\n\n時間 / 00:55\n作曲 / 西村真吾\n編曲 / 西村真吾","00:00","bgm_M232","bgm_M232_juke"
"75","將軍道中記　白翼的武士","00:59","故事劇情主題曲\n-「白翼的榮耀」編曲-\n\n\n\n時間 / 00:59\n作曲 / 渡部チェル\n編曲 / 中村博","00:00","bgm_M223","bgm_M223_juke"
"76","惡代官","01:58","故事劇情頭目戰\n\n時間 / 01:58\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M226","bgm_M226_juke"
"77","白翼的榮耀","01:13","角色歌曲\n\n時間 / 01:13\n歌　 / 莫妮卡（辻あゆみ）\n　　　雪（大空直美）\n　　　妮諾（佐藤聡美）\n　　　空花（長妻樹里）\n　　　步未（大関英里）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","00:42","bgm_M236","bgm_M236"
"78","火山山麓","1:20","主線冒險\n\n時間 / 01:20\n作曲 / 伊藤翼\n編曲 / 伊藤翼","00:00","bgm_M95","bgm_M95_juke"
"79","險惡荒地","1:02","主線冒險\n\n時間 / 01:02\n作曲 / 伊藤翼\n編曲 / 伊藤翼","00:00","bgm_M96","bgm_M96_juke"
"80","怠惰的狂人","2:33","故事劇情頭目戰\n\n時間 / 02:33\n作曲 / 松尾早人\n編曲 / 松尾早人","00:00","bgm_M231","bgm_M231_juke"
"81","鼓聲響動的森林","1:08","主線冒險\n\n時間 / 01:08\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M233","bgm_M233_juke"
"82","鈴奈的彩虹舞臺！","0:52","故事劇情主題曲\n-｢踮腳尖的First Kiss｣編曲-\n\n時間 / 00:52\n作曲 / 設樂哲也\n\n編曲 / 庄司真吾（Cygames）","00:00","bgm_M237","bgm_M237_juke"
"83","雨神大人","2:47","故事劇情頭目戰\n\n時間 / 02:47\n作曲 / 澤下葵\n編曲 / 東大路憲太","00:00","bgm_M240","bgm_M240_juke"
"84","踮腳尖的First Kiss","1:19","角色歌曲\n\n時間 / 01:19\n演唱　 / 伊緒（伊藤静）\n　　　鈴奈（上坂すみれ）\n　　　美咲（久野美咲）\n作詞 / 野村イクミ&瀧沢和也（Cygames）\n作曲 / 設樂哲也\n\n編曲 / 設樂哲也\n","00:45","bgm_M252","bgm_M252"
"85","哥哥爭奪戰！　幫忙靜流","00:31","小遊戲\n-｢SUPER CHOCOLATE｣編曲-\n\n時間 / 00:31\n作曲 / 山崎真吾\n編曲 / 中村早織（Cygames）","00:00","bgm_M199","bgm_M199_juke"
"86","哥哥爭奪戰！　幫忙惠理子","00:34","小遊戲\n-｢SUPER CHOCOLATE｣編曲-\n\n時間 / 00:34\n作曲 / 山崎真吾\n編曲 / 庄司真吾（Cygames）","00:00","bgm_M198","bgm_M198_juke"
"87","盛夏的真步真步王國　浪花拍岸的靈魂之夏！","00:57","故事劇情主題曲\n-｢We Are Golden｣編曲-\n\n時間 / 00:57\n作曲 / TAKU INOUE\n編曲 / 伊禮完（Cygames）","00:00","bgm_M245","bgm_M245_juke"
"88","奄美魔物","02:03","故事劇情頭目戰\n\n時間 / 02:03\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M248","bgm_M248_juke"
"89","We Are Golden","01:18","角色歌曲\n\n時間 / 01:18\n演唱　 / 真步（内田真礼）\n　　　真琴（小松未可子）\n　　　香織（高森奈津美）\n作詞 / MCTC\n作曲 / TAKU INOUE\n編曲 / TAKU INOUE","00:44","bgm_M263","bgm_M263"
"90","空花大迴轉","0:30","小遊戲\n-｢白翼的榮耀｣編曲-\n\n時間 / 00:30\n作曲 / 渡部チェル\n編曲 / 中村早織（Cygames）","0:00","bgm_M227","bgm_M227_juke"
"91","森林的膽小鬼與神聖學院的問題兒童","0:57","故事劇情主題曲\n-｢好朋友新感覺｣編曲-\n\n時間 / 00:57\n作曲 / 大久保薰\n編曲 / 中村早織（Cygames）","0:00","bgm_M254","bgm_M254_juke"
"92","劇毒曼德拉草","2:45","故事劇情頭目戰\n\n時間 / 02:45\n作曲 / 澤下葵\n編曲 / 東大路憲太","0:00","bgm_M257","bgm_M257_juke"
"93","好朋友新感覺","01:20","角色歌曲\n\n時間 / 01:20\n歌　 / 琪愛兒（佐倉綾音）\n　　　克蘿依（種﨑敦美）\n　　　優妮（小原好美）\n作詞 / 磯谷佳江\n作曲 / 大久保薰\n編曲 / 大久保薰","00:47","bgm_M272","bgm_M272"
"94","跨越危險之根","1:00","主線冒險\n\n時間 / 01:00\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","0:00","bgm_M260","bgm_M260_juke"
"95","香織的靈魂式空手道場","0:34","小遊戲\n-｢We Are Golden｣編曲-\n\n時間 / 00:34\n作曲 / TAKU INOUE\n編曲 / 中村早織（Cygames）","0:00","bgm_M249","bgm_M249_juke"
"96","小小勇敢的萬聖節之夜！","0:52","故事劇情主題曲\n-｢惡作劇狂熱｣編曲-\n\n時間 / 00:52\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","0:00","bgm_M265","bgm_M265_juke"
"97","幻影男爵","2:50","故事劇情頭目戰\n\n時間 / 02:50\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","0:00","bgm_M268","bgm_M268_juke"
"98","惡作劇狂熱","1:24","角色歌曲\n\n時間 / 01:24\n演唱　 / 鏡華（小倉唯）\n　　　禊（諸星すみれ）\n　　　美美（日高里菜）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","0:46","bgm_M280","bgm_M280"
"99","泥濘森林的前方","1:14","主線冒險\n\n時間 / 01:14\n作曲 / 東大路憲太\n編曲 / 東大路憲太","0:00","bgm_M278","bgm_M278_juke"
"100","大激戰！龍人們的接龍競賽","0:48","小遊戲\n-｢in flames｣編曲-\n\n時間 / 00:48\n作曲 / R・O・N\n編曲 / 東大路憲太","0:00","bgm_M277","bgm_M277_juke"
"101","龍的探索者們","1:07","故事劇情主題曲\n-｢in flames｣編曲-\n\n時間 / 01:07\n作曲 / R・O・N\n編曲 / 東大路憲太","0:00","bgm_M273","bgm_M273_juke"
"102","似龍生物","2:29","故事劇情頭目戰\n\n時間 / 02:29\n作曲 / 澤下葵\n編曲 / 東大路憲太","0:00","bgm_M276","bgm_M276_juke"
"103","in flames","1:28","角色歌曲\n\n時間 / 01:28\n歌　 / 祈梨（藤田茜）\n　　　嘉夜（小市眞琴）\n　　　帆稀（大西沙織）\n作詞 / eNu\n作曲 / R・O・N\n編曲 / R・O・N","0:56","bgm_M291","bgm_M291"
"104","獲得全新力量的試煉","1:13","解放冒險\n\n時間 / 01:13\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","0:00","bgm_M259","bgm_M259_juke"
"105","禮物大恐慌！　蘭德索爾的聖誕老人們","0:58","故事劇情主題曲\n-｢Call Me Darling！｣編曲\n\n時間 / 00:58\n作曲 / 池田健仁(Cygames)\n編曲 / 中村早織(Cygames)","0:00","bgm_M281","bgm_M281_juke"
"106","復仇者馴鹿","1:48","故事劇情頭目戰\n\n時間 / 01:48\n作曲 / 伊禮完(Cygames)\n編曲 / 伊禮完(Cygames)","0:00","bgm_M284","bgm_M284_juke"
"107","Call Me Darling！","1:30","角色歌曲\n\n時間 / 01:30\n歌　 / 望（日笠陽子）\n　　　千歌（福原綾香）\n　　　紡希（木戸衣吹）\n作詞 / 野村イクミ(Cygames)\n作曲 / 池田健仁(Cygames)\n編曲 / 池田健仁(Cygames)","0:54","bgm_M285","bgm_M285"
"108","王都終末決戰","1:45","王都終末決戰\n\n時間 / 01:45\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","0:00","bgm_M300","bgm_M300_juke"
"109","與侍奉皇帝之徒的戰鬥","2:15","王都終末決戰Boss戰\n\n時間 / 02:15\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","0:00","bgm_M301","bgm_M301_juke"
"110","與神的決戰","2:45","王都終末決戰Boss戰\n-｢Lost Princess｣「真正的皇帝」編曲-\n\n時間 / 02:45\n作曲 / 田中公平、西木康智\n編曲 / 東大路憲太","0:00","bgm_M299","bgm_M299_juke"
"111","狂奔！　蘭德索爾的公會競速賽","1:08","故事劇情主題曲\n-｢SAI＊KOU起跑衝刺｣編曲-\n\n時間 / 01:08\n作曲 / 奧井康介\n編曲 / 伊禮完（Cygames）","0:00","bgm_M294","bgm_M294_juke"
"112","山神大人","2:00","故事劇情Boss戰\n\n時間 / 02:00\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","0:00","bgm_M297","bgm_M297_juke"
"113","SAI＊KOU起跑衝刺","1:25","角色歌曲\n\n時間 / 01:25\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　凱留（立花理香）\n　　　可可蘿（伊藤美来）\n　　　鈴莓（悠木碧）\n作詞 / KOCHO\n作曲 / 奧井康介\n編曲 / 奧井康介","1:00","bgm_M327","bgm_M327"
"114","遙望著大海","1:25","主線冒險\n\n時間 / 01:25\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","0:00","bgm_M293","bgm_M293_juke"
"115","魔法少女　兩人是Misty&Purely","1:06","故事劇情主題曲\n-｢枝葉流光下的蒙太奇｣編曲-\n\n時間 / 01:06\n作曲 / 渡部チェル\n編曲 / 加藤慶久(Cygames)","0:00","bgm_M316","bgm_M316_juke"
"116","反逆獸","1:28","故事劇情Boss戰\n\n時間 / 01:28\n作曲 / 中村博\n編曲 / 中村博","0:00","bgm_M319","bgm_M319_juke"
"117","枝葉流光下的蒙太奇","1:32","角色歌曲\n\n時間 / 01:32\n演唱　 / 霞（水瀨いのり）\n　　　栞（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","0:50","bgm_M340","bgm_M340"
"118","目標成為偶像！","0:51","故事劇情主題曲\n\n時間 / 00:51\n作曲 / 中村早織(Cygames)\n編曲 / 中村早織(Cygames)","0:00","bgm_M330","bgm_M330_juke"
"119","回憶的足跡","1:34","回憶地圖\n\n時間 / 01:34\n作曲 / 東大路憲太\n編曲 / 東大路憲太","0:00","bgm_M333","bgm_M333_juke"
"120","公主騎士","2:24","主線劇情\n\n時間 / 02:24\n作曲 / 西木康智\n編曲 / 西木康智","0:00","bgm_M57","bgm_M57_juke"
"121","恩賜的財團與神聖學院的問題兒童","1:07","故事劇情主題曲\n-｢青春翻轉家｣アレンジ-\n\n時間 / 01:07\n作曲 / 睦月周平\n編曲 / 澤下葵","0:00","bgm_M343","bgm_M343_juke"
"122","好朋友X","2:43","故事劇情BOSS戰\n\n時間 / 02:43\n作曲 / 加藤慶久（Cygames）\n編曲 / 加藤慶久（Cygames）","0:00","bgm_M346","bgm_M346_juke"
"123","青春翻轉家","1:20","角色歌曲\n\n時間 / 01:20\n演唱　 / 琪愛兒（佐倉綾音）\n　　　克蘿依（種﨑敦美）\n　　　優妮（小原好美）\n作詞 / ミズノゲンキ\n作曲 / 睦月周平\n編曲 / 睦月周平","0:51","bgm_M359","bgm_M359"
"124","密林暗處潛伏者","2:00","主線冒險\n\n時間 / 02:00\n作曲 / 加藤慶久（Cygames）\n編曲 / 加藤慶久（Cygames）","0:00","bgm_M339","bgm_M339_juke"
