fc1068a3e393df101fda45823e21d73a46ef5f5052d3a8c2958f9b8416b9fe91,e4f97bf4364a7ca8e13c74a9c9dc335d81e167e5bc6ce5f661d4f136136d53c8,56e9f31935ef2e92a9efbea49dcdbde58c0e84fbfcbb41222576188694688fc6,3436206718e17a210af0376197d816864c2bdc74464b8b03792dd64b64d44c88,1e5676e23e8ae0c19f0f1480afc2ce4355e07e7a59ec4d5c25fbb9d5b0daa256,1b30bf16e1e85ba01ed3ce0cc1c01969e008be86c06f2e73a40b6fa08b7c3e50,f878d9c5c65e9f0d607fa9d5e87ceace03cd254c7b5b7bf1acc88d4b3d385e22
"2021/08/01 05:00:00","80004","9002016","2021/08/02 04:59:59","3","0","41"
"2021/08/02 05:00:00","80004","9002017","2021/08/03 04:59:59","3","1","42"
"2022/04/24 05:00:00","70006","400","2022/04/25 04:59:59","0","0","43"
"2022/04/25 05:00:00","70006","401","2022/04/26 04:59:59","0","0","44"
"2022/07/16 05:00:00","80006","9004001","2022/07/17 04:59:59","3","0","45"
"2022/07/17 05:00:00","80006","9004002","2022/07/18 04:59:59","3","0","46"
"2022/07/18 05:00:00","80006","9004003","2022/07/19 04:59:59","3","0","47"
"2022/07/19 05:00:00","80006","9004004","2022/07/20 04:59:59","3","0","48"
"2022/07/20 05:00:00","80006","9004005","2022/07/21 04:59:59","3","0","49"
"2022/07/21 05:00:00","80006","9004006","2022/07/22 04:59:59","3","0","50"
"2022/07/22 05:00:00","80006","9004007","2022/07/23 04:59:59","3","0","51"
"2022/07/23 05:00:00","80006","9004008","2022/07/24 04:59:59","3","0","52"
"2022/07/24 05:00:00","80006","9004009","2022/07/25 04:59:59","3","0","53"
"2022/07/25 05:00:00","80006","9004010","2022/07/26 04:59:59","3","0","54"
"2022/07/26 05:00:00","80006","9004011","2022/07/27 04:59:59","3","0","55"
"2022/07/27 05:00:00","80006","9004012","2022/07/28 04:59:59","3","0","56"
"2022/07/28 05:00:00","80006","9004013","2022/07/29 04:59:59","3","0","57"
"2022/07/29 05:00:00","80006","9004014","2022/07/30 04:59:59","3","0","58"
"2022/07/30 05:00:00","80006","9004015","2022/07/31 04:59:59","3","0","59"
"2022/07/31 05:00:00","80006","9004016","2022/08/01 04:59:59","3","0","60"
"2022/08/01 05:00:00","80006","9004017","2022/08/02 04:59:59","3","1","61"
"0","70007","436","0","1","0","62"
"0","70007","437","0","2","0","63"
"0","70007","438","0","3","0","64"
"2023/01/06 05:00:00","80007","9005001","2023/01/07 04:59:59","3","0","65"
"2023/01/07 05:00:00","80007","9005002","2023/01/08 04:59:59","3","0","66"
"2023/01/08 05:00:00","80007","9005003","2023/01/09 04:59:59","3","0","67"
"2023/01/09 05:00:00","80007","9005004","2023/01/10 04:59:59","3","0","68"
"2023/01/10 05:00:00","80007","9005005","2023/01/11 04:59:59","3","0","69"
"2023/01/11 05:00:00","80007","9005006","2023/01/12 04:59:59","3","0","70"
"2023/01/12 05:00:00","80007","9005007","2023/01/13 04:59:59","3","0","71"
"2023/01/13 05:00:00","80007","9005008","2023/01/14 04:59:59","3","0","72"
"2023/01/14 05:00:00","80007","9005009","2023/01/15 04:59:59","3","0","73"
"2023/01/15 05:00:00","80007","9005010","2023/01/16 04:59:59","3","0","74"
"2023/01/16 05:00:00","80007","9005011","2023/01/17 04:59:59","3","0","75"
"2023/01/17 05:00:00","80007","9005012","2023/01/18 04:59:59","3","0","76"
"2023/01/18 05:00:00","80007","9005013","2023/01/19 04:59:59","3","0","77"
"2023/01/19 05:00:00","80007","9005014","2023/01/20 04:59:59","3","0","78"
"2023/01/20 05:00:00","80007","9005015","2023/01/21 04:59:59","3","1","79"
"2023/04/24 05:00:00","70008","400","2023/04/25 04:59:59","0","0","80"
"2023/04/25 05:00:00","70008","401","2023/04/26 04:59:59","0","0","81"
"0","70009","439","0","1","0","82"
"2023/07/17 05:00:00","80008","9006001","2023/07/18 04:59:59","3","0","83"
"2023/07/18 05:00:00","80008","9006002","2023/07/19 04:59:59","3","0","84"
"2023/07/19 05:00:00","80008","9006003","2023/07/20 04:59:59","3","0","85"
"2023/07/20 05:00:00","80008","9006004","2023/07/21 04:59:59","3","0","86"
"2023/07/21 05:00:00","80008","9006005","2023/07/22 04:59:59","3","0","87"
"2023/07/22 05:00:00","80008","9006006","2023/07/23 04:59:59","3","0","88"
"2023/07/23 05:00:00","80008","9006007","2023/07/24 04:59:59","3","0","89"
"2023/07/24 05:00:00","80008","9006008","2023/07/25 04:59:59","3","0","90"
"2023/07/25 05:00:00","80008","9006009","2023/07/26 04:59:59","3","0","91"
"2023/07/26 05:00:00","80008","9006010","2023/07/27 04:59:59","3","0","92"
"2023/07/27 05:00:00","80008","9006011","2023/07/28 04:59:59","3","0","93"
"2023/07/28 05:00:00","80008","9006012","2023/07/29 04:59:59","3","0","94"
"2023/07/29 05:00:00","80008","9006013","2023/07/30 04:59:59","3","0","95"
"2023/07/30 05:00:00","80008","9006014","2023/07/31 04:59:59","3","0","96"
"2023/07/31 05:00:00","80008","9006015","2023/08/01 04:59:59","3","0","97"
"2023/08/01 05:00:00","80008","9006016","2023/08/02 04:59:59","3","1","98"
"2024/01/24 05:00:00","80009","9007001","2024/01/25 04:59:59","3","0","99"
"2024/01/25 05:00:00","80009","9007002","2024/01/26 04:59:59","3","0","100"
"2024/01/26 05:00:00","80009","9007003","2024/01/27 04:59:59","3","0","101"
"2024/01/27 05:00:00","80009","9007004","2024/01/28 04:59:59","3","0","102"
"2024/01/28 05:00:00","80009","9007005","2024/01/29 04:59:59","3","0","103"
"2024/01/29 05:00:00","80009","9007006","2024/01/30 04:59:59","3","0","104"
"2024/01/30 05:00:00","80009","9007007","2024/01/31 04:59:59","3","0","105"
"2024/01/31 05:00:00","80009","9007008","2024/02/01 04:59:59","3","0","106"
"2024/02/01 05:00:00","80009","9007009","2024/02/02 04:59:59","3","0","107"
"2024/02/02 05:00:00","80009","9007010","2024/02/03 04:59:59","3","0","108"
"2024/02/03 05:00:00","80009","9007011","2024/02/04 04:59:59","3","0","109"
"2024/02/04 05:00:00","80009","9007012","2024/02/05 04:59:59","3","0","110"
"2024/02/05 05:00:00","80009","9007013","2024/02/06 04:59:59","3","0","111"
"2024/02/06 05:00:00","80009","9007014","2024/02/07 04:59:59","3","0","112"
"2024/02/07 05:00:00","80009","9007015","2024/02/08 04:59:59","3","1","113"
"2024/04/04 05:00:00","70010","400","2024/04/06 04:59:59","0","0","114"
"2024/04/06 05:00:00","70012","401","2024/04/08 04:59:59","0","0","115"
"0","70011","440","0","1","0","116"
"2024/07/17 05:00:00","80010","9008001","2024/07/18 04:59:59","3","0","117"
"2024/07/18 05:00:00","80010","9008002","2024/07/19 04:59:59","3","0","118"
"2024/07/19 05:00:00","80010","9008003","2024/07/20 04:59:59","3","0","119"
"2024/07/20 05:00:00","80010","9008004","2024/07/21 04:59:59","3","0","120"
"2024/07/21 05:00:00","80010","9008005","2024/07/22 04:59:59","3","0","121"
"2024/07/22 05:00:00","80010","9008006","2024/07/23 04:59:59","3","0","122"
"2024/07/23 05:00:00","80010","9008007","2024/07/24 04:59:59","3","0","123"
"2024/07/24 05:00:00","80010","9008008","2024/07/25 04:59:59","3","0","124"
"2024/07/25 05:00:00","80010","9008009","2024/07/26 04:59:59","3","0","125"
"2024/07/26 05:00:00","80010","9008010","2024/07/27 04:59:59","3","0","126"
"2024/07/27 05:00:00","80010","9008011","2024/07/28 04:59:59","3","0","127"
"2024/07/28 05:00:00","80010","9008012","2024/07/29 04:59:59","3","1","128"
"2024/07/29 05:00:00","80010","9008013","2024/07/30 04:59:59","3","1","129"
"2024/07/30 05:00:00","80010","9008014","2024/07/31 04:59:59","3","1","130"
"2024/07/31 05:00:00","80010","9008015","2024/08/01 04:59:59","3","1","131"
"2024/08/01 05:00:00","80010","9008016","2024/08/02 04:59:59","3","1","132"
"2025/01/18 05:00:00","80011","9009001","2025/01/19 04:59:59","3","0","133"
"2025/01/19 05:00:00","80011","9009002","2025/01/20 04:59:59","3","0","134"
"2025/01/20 05:00:00","80011","9009003","2025/01/21 04:59:59","3","0","135"
"2025/01/21 05:00:00","80011","9009004","2025/01/22 04:59:59","3","0","136"
"2025/01/22 05:00:00","80011","9009005","2025/01/23 04:59:59","3","0","137"
"2025/01/23 05:00:00","80011","9009006","2025/01/24 04:59:59","3","0","138"
"2025/01/24 05:00:00","80011","9009007","2025/01/25 04:59:59","3","0","139"
"2025/01/25 05:00:00","80011","9009008","2025/01/26 04:59:59","3","0","140"
"2025/01/26 05:00:00","80011","9009009","2025/01/27 04:59:59","3","0","141"
"2025/01/27 05:00:00","80011","9009010","2025/01/28 04:59:59","3","0","142"
"2025/01/28 05:00:00","80011","9009011","2025/01/29 04:59:59","3","0","143"
"2025/01/29 05:00:00","80011","9009012","2025/01/30 04:59:59","3","0","144"
"2025/01/30 05:00:00","80011","9009013","2025/01/31 04:59:59","3","0","145"
"2025/01/31 05:00:00","80011","9009014","2025/02/01 04:59:59","3","0","146"
"2025/02/01 05:00:00","80011","9009015","2025/02/02 04:59:59","3","1","147"
"2025/04/03 05:00:00","70014","400","2025/04/04 04:59:59","0","0","148"
"2025/04/04 05:00:00","70015","401","2025/04/05 04:59:59","0","0","149"
"0","70013","441","0","1","0","150"
"2025/07/24 05:00:00","80012","9010001","2025/07/25 04:59:59","3","0","151"
"2025/07/25 05:00:00","80012","9010002","2025/07/26 04:59:59","3","0","152"
"2025/07/26 05:00:00","80012","9010003","2025/07/27 04:59:59","3","0","153"
"2025/07/27 05:00:00","80012","9010004","2025/07/28 04:59:59","3","0","154"
"2025/07/28 05:00:00","80012","9010005","2025/07/29 04:59:59","3","0","155"
"2025/07/29 05:00:00","80012","9010006","2025/07/30 04:59:59","3","0","156"
"2025/07/30 05:00:00","80012","9010007","2025/07/31 04:59:59","3","0","157"
"2025/07/31 05:00:00","80012","9010008","2025/08/01 04:59:59","3","0","158"
"2025/08/01 16:00:00","70016","442","2025/08/24 04:59:59","0","0","159"
