7dde82b8e470c420bb438c08b5c5644d83b7a4f17568c4a9797a6efd5ed60376,089895d3cc3d0576c4f2ddfdacff0779f4076dbc2d9c60ad7f2401ecab419a5a,77764d00577c7c8e09b2291c0a891db8675d57e000433859d8f3619e7290035c,023d1d12a8da0eec350ce8ac27c7bc0f2d8d0ad6b60c785be7076be85b9797ba,393f3f8468e0a9e1419695340311e1fad1f1d4c472f9f74ea8713e85febeb40a,c7860c8f922e360bc1fa6265a4391b11cebf6d8525cf41c196f54746fc66156b,192e10665820666e1cb2cc1e7b65c6874e4e191fa5f136b7bdca06f97c5f8e67,cea56815fa9b251786149731bf02d9ff1b3f776230db5eef3385c715ac6c8784,d634aba226c12dbf3827d7b0651f6f6e302a5e3d5f91ce00bb9995a0025151db,0078dc0613d7b61213d36a443e4a26a785cda9041bff78a14ffa4c8293b1878a,9bb7138835ce42a596d86702f66ff05f051dea2aad6dbebdf3041506ac6af5a8
"","","","","1007001037","","1007001","32","1","15",""
"","","","","1007001038","","1007001","93","","0.6",""
"","","1","0.2","1007001039","","1007001","3","svd_idle_joy1","113411",""
"","","1","0.2","1007001040","","1007001","3","svd_talk_wish","113511",""
"","0","0","","1007001041","","1007001","21","vo_svd_0121","vo_svd",""
"0","0","6","0","1007001042","0","1007001","11","我一定會為大人\n獻上永生難忘的\n最棒的暑假……","113511","1"
"","","","","1007001043","","1007001","91","","0",""
"","","1","0.2","1007001044","","1007001","3","svd_idle_wish","113511",""
"","","1","0.2","1007001045","","1007001","3","svd_talk_joy1","113411",""
"","0","0","","1007001046","","1007001","21","vo_svd_0122","vo_svd",""
"0","0","8","0","1007001047","0","1007001","11","來制定一個每到夏天\n都能回味無窮的\n夏日計畫吧！","113411","1"
"","","","","1007001048","","1007001","91","","0",""
"","","1","0.2","1007001049","","1007001","3","svd_idle_joy1","113411",""
"","","1","0.2","1007001050","","1007001","3","svd_talk_thinking","113511",""
"","0","0","","1007001051","","1007001","21","vo_svd_0123","vo_svd",""
"0","0","6","0","1007001052","0","1007001","11","咦……？但我明年夏天\n也會和大人一起過。\n不需要特別留下回憶呢……","113511","1"
"","","","","1007001053","","1007001","91","","0",""
"","","1","0.2","1007001054","","1007001","3","svd_idle_thinking","113511",""
"1","svd_talk_anger","0","0.2","1007001055","0.2","1007001","3","svd_surprise","113411",""
"","0","0","","1007001056","","1007001","21","vo_svd_0124","vo_svd",""
"0","0","8","0","1007001057","0","1007001","11","啊！惠理子妳太狡猾了！\n姐姐我也要永遠永遠\n和弟弟在一起！","113411","1"
"","","","","1007001058","","1007001","93","","3",""
"1","svd_talk_joy1","0","0.2","1007001059","0.4","1007001","3","svd_jump","113411",""
"","","","","1007001060","","1007001","91","","1007001057",""
"","","1","0.2","1007001061","","1007001","3","svd_idle_joy1","113411",""
"","","","","1007001062","","1007001","102","","",""
"","","","","1007001063","","1007001","32","0","14",""
"","","","","1007001064","","1007001","32","0","15",""
"","","","","1007001065","","1007001","93","","1",""
"","","1","0","1007001066","0","1007001","12","7","113511",""
"","","1","0.2","1007001067","","1007001","3","svd_talk_normal","113511",""
"","","","","1007001068","","1007001","93","","3",""
"","","1","0.2","1007001069","","1007001","3","svd_idle_normal","113511",""
"","","1","0","1007001070","0","1007001","12","10","113411",""
"1","","1","0.2","1007001071","","1007001","3","svd_talk_normal","113411",""
"","","","","1007001072","","1007001","93","","3",""
"1","","1","0.2","1007001073","","1007001","3","svd_idle_normal","113411",""
"","","1","0","1007001074","0","1007001","12","7","113511",""
"","","1","0.2","1007001075","","1007001","3","svd_talk_memory","113511",""
"","","","","1007001076","","1007001","93","","3",""
"","","1","0.2","1007001077","","1007001","3","svd_idle_memory","113511",""
"","","1","0","1007001078","0","1007001","12","10","113411",""
"1","","1","0.2","1007001079","","1007001","3","svd_talk_memory","113411",""
"","","","","1007001080","","1007001","93","","3",""
"1","","1","0.2","1007001081","","1007001","3","svd_idle_memory","113411",""
"","","","","1007001082","","1007001","101","","1007001066",""
"0","1","1","1","1007001083","0","1007001","6","1","333",""
"","","","","1007001084","","1007001","4","1","113511",""
"","","1","0.2","1007001085","","1007001","3","svd_run","113511",""
"0","0.8","-300","","1007001086","","1007001","2","-750","113511",""
"","","","","1007001087","","1007001","4","0","113411",""
"","","1","0.2","1007001088","","1007001","3","svd_run","113411",""
"0","0.8","-300","","1007001089","","1007001","2","750","113411",""
"","","","","1007001090","","1007001","93","","0.6",""
"0","1","1","0.2","1007001091","0","1007001","6","1","113511",""
"0","1","1","0.2","1007001092","0","1007001","6","1","113411",""
"","","","","1007001093","","1007001","91","","0",""
"-300","-650","100","2.08","1007002001","0","1007002","5","113511","2","svd_idle_normal"
"-300","650","100","2.08","1007002002","1","1007002","5","113411","1","svd_idle_normal"
"0","0","0","1","1007002003","0","1007002","5","333","3","svd_white_loop"
"0","1","1","0","1007002004","0","1007002","6","1","333",""
"0","1","1","0","1007002005","0","1007002","6","1","113511",""
"0","1","1","0","1007002006","0","1007002","6","1","113411",""
"","","","","1007002007","","1007002","93","","1",""
"0.4","1","1","0.8","1007002008","0","1007002","6","1","333",""
"","","1","0.2","1007002009","","1007002","3","svd_run","113511",""
"0","1.2","-300","","1007002010","","1007002","2","-250","113511",""
"1","1","1","0.4","1007002011","0","1007002","6","1","113511",""
"","","","","1007002012","","1007002","93","","1.2",""
"","","","","1007002013","","1007002","91","","0",""
"","","1","0.1","1007002014","","1007002","3","svd_idle_normal","113511",""
"","","","","1007002015","","1007002","93","","0.6",""
"","","1","0.2","1007002016","","1007002","3","svd_talk_memory","113511",""
"","0","0","","1007002017","","1007002","21","vo_svd_0221","vo_svd",""
"0","0","6","0","1007002018","0","1007002","11","大人游泳時的英姿……\n已經被我深深地\n烙印在腦海裡了。","113511","1"
"","","","","1007002019","","1007002","91","","0",""
"","","1","0.2","1007002020","","1007002","3","svd_idle_memory","113511",""
"","","1","0.2","1007002021","","1007002","3","svd_run","113411",""
"0","1.2","-300","","1007002022","","1007002","2","250","113411",""
"1","1","1","0.4","1007002023","0","1007002","6","1","113411",""
"","","","","1007002024","","1007002","93","","1.2",""
"","","1","0.1","1007002025","","1007002","3","svd_idle_joy1","113411",""
"","","","","1007002026","","1007002","93","","0.3",""
"","","1","0.2","1007002027","","1007002","3","svd_talk_memory","113411",""
"","0","0","","1007002028","","1007002","21","vo_svd_0222","vo_svd",""
"0","0","6","0","1007002029","0","1007002","11","弟弟賣力滑動手腳的樣子……\n真可愛呀……","113411","1"
"","","","","1007002030","","1007002","91","","0",""
"","","1","0.2","1007002031","","1007002","3","svd_idle_memory","113411",""
"","","1","0.2","1007002032","","1007002","3","svd_talk_memory","113511",""
"","0","0","","1007002033","","1007002","21","vo_svd_0223","vo_svd",""
"0","0","6","0","1007002034","0","1007002","11","大人游泳時濺起的水花，\n一定能製成比任何秘藥\n都更有效的靈藥！","113511","1"
"","","","","1007002035","","1007002","91","","0",""
"","","1","0.2","1007002036","","1007002","3","svd_idle_memory","113511",""
"","","1","0.2","1007002037","","1007002","3","svd_talk_worry","113411",""
"","0","0","","1007002038","","1007002","21","vo_svd_0224","vo_svd",""
"0","0","6","0","1007002039","0","1007002","11","惠理子……\n那樣好像有點太過火了……","113411","1"
"","","","","1007002040","","1007002","91","","0",""
"","","1","0.2","1007002041","","1007002","3","svd_idle_worry","113411",""
"","","1","0.2","1007002042","","1007002","3","svd_talk_thinking","113511",""
"","0","0","","1007002043","","1007002","21","vo_svd_0225","vo_svd",""
"0","0","6","0","1007002044","0","1007002","11","看來靜流是不需要呢。\n那我就一人獨吞吧……","113511","1"
"","","","","1007002045","","1007002","91","","0",""
"","","1","0.2","1007002046","","1007002","3","svd_idle_thinking","113511",""
"","","0","0","1007002047","0","1007002","12","4","113411",""
"","","0","0.2","1007002048","","1007002","3","svd_surprise","113411",""
"","","","","1007002049","","1007002","93","","1",""
"","","1","0.2","1007002050","","1007002","3","svd_talk_joy2","113411",""
"","0","0","","1007002051","","1007002","21","vo_svd_0226","vo_svd",""
"0","0","8","0","1007002052","0","1007002","11","我想要！\n想用漂亮的小瓶子裝起來！","113411","1"
"","","","","1007002053","","1007002","91","","0",""
"","","1","0.2","1007002054","","1007002","3","svd_idle_joy1","113411",""
"","","","","1007002055","","1007002","102","","",""
"","","","","1007002056","","1007002","93","","1",""
"","","1","0","1007002057","0","1007002","12","8","113511",""
"","","1","0.2","1007002058","","1007002","3","svd_talk_memory","113511",""
"","","","","1007002059","","1007002","93","","3",""
"","","1","0.2","1007002060","","1007002","3","svd_idle_memory","113511",""
"","","1","0","1007002061","0","1007002","12","1","113411",""
"1","","1","0.2","1007002062","","1007002","3","svd_talk_worry","113411",""
"","","","","1007002063","","1007002","93","","3",""
"1","","1","0.2","1007002064","","1007002","3","svd_idle_worry","113411",""
"","","1","0","1007002065","0","1007002","12","11","113511",""
"1","svd_idle_guts2","0","0.2","1007002066","0.2","1007002","3","svd_talk_guts2","113511",""
"","","","","1007002067","","1007002","93","","3",""
"","","1","0.2","1007002068","","1007002","3","svd_idle_guts2","113511",""
"","","1","0","1007002069","0","1007002","12","7","113411",""
"1","","1","0.2","1007002070","","1007002","3","svd_talk_joy1","113411",""
"","","","","1007002071","","1007002","93","","3",""
"1","","1","0.2","1007002072","","1007002","3","svd_idle_joy1","113411",""
"","","","","1007002073","","1007002","101","","1007002057",""
"0","1","1","1","1007002074","0","1007002","6","1","333",""
"","","","","1007002075","","1007002","4","1","113511",""
"","","1","0.2","1007002076","","1007002","3","svd_run","113511",""
"0","0.8","-300","","1007002077","","1007002","2","-750","113511",""
"","","","","1007002078","","1007002","4","0","113411",""
"","","1","0.2","1007002079","","1007002","3","svd_run","113411",""
"0","0.8","-300","","1007002080","","1007002","2","750","113411",""
"","","","","1007002081","","1007002","93","","0.6",""
"0","1","1","0.2","1007002082","0","1007002","6","1","113511",""
"0","1","1","0.2","1007002083","0","1007002","6","1","113411",""
"","","","","1007002084","","1007002","91","","0",""
"-300","-750","100","2.08","1007003001","0","1007003","5","113511","1","svd_idle_normal"
"-300","650","100","2.08","1007003002","1","1007003","5","113411","2","svd_idle_normal"
"0","0","0","1","1007003003","0","1007003","5","333","3","svd_white_loop"
"0","1","1","0","1007003004","0","1007003","6","1","333",""
"","0","0","","1007003005","","1007003","7","2","113511",""
"0","0.5","-300","","1007003006","","1007003","2","-750","113511",""
"0","1","1","0","1007003007","0","1007003","6","1","113411",""
"0.8","-40","-140","0","1007003008","","1007003","31","16","6",""
"","0","0","","1007003009","","1007003","34","2","16",""
"","","","","1007003010","","1007003","93","","1",""
"0.4","1","1","0.8","1007003011","0","1007003","6","1","333",""
"1","svd_idle_see_sad","0","0.2","1007003012","0","1007003","3","svd_idle_see_sad_pre","113511",""
"0","1.1","-300","","1007003013","","1007003","2","-600","113511",""
"","","","","1007003014","","1007003","93","","1",""
"","","","","1007003015","","1007003","32","1","16",""
"","","","","1007003016","","1007003","91","","0",""
"80","0","260","","1007003017","","1007003","94","240","113511",""
"","","","","1007003018","","1007003","32","0","16",""
"","","1","0","1007003019","0","1007003","12","17","113511",""
"","","1","0.2","1007003020","","1007003","3","svd_walk_sad","113511",""
"","0","2","","1007003021","","1007003","7","0","113511",""
"0","2.4","-300","","1007003022","","1007003","2","-250","113511",""
"","","","","1007003023","","1007003","93","","2.4",""
"","","1","0.2","1007003024","","1007003","3","svd_idle_sad","113511",""
"","","","","1007003025","","1007003","93","","0.5",""
"","","","","1007003026","","1007003","91","","0",""
"","","1","0.2","1007003027","","1007003","3","svd_talk_sad","113511",""
"","0","0","","1007003028","","1007003","21","vo_svd_0321","vo_svd",""
"0","0","7","0","1007003029","0","1007003","11","本來想送弟弟一隻\n巨大的獨角仙\n當作禮物的……","113511","1"
"","","","","1007003030","","1007003","91","","0",""
"","","1","0.2","1007003031","","1007003","3","svd_idle_sad","113511",""
"","","1","0.2","1007003032","","1007003","3","svd_walk","113411",""
"0","2","-300","","1007003033","","1007003","2","250","113411",""
"1","1","1","0.4","1007003034","0","1007003","6","1","113411",""
"","","","","1007003035","","1007003","93","","2",""
"","","1","0.2","1007003036","","1007003","3","svd_idle_normal","113411",""
"","","","","1007003037","","1007003","93","","0.4",""
"","","1","0.2","1007003038","","1007003","3","svd_talk_thinking","113411",""
"","0","0","","1007003039","","1007003","21","vo_svd_0322","vo_svd",""
"0","0","6","0","1007003040","0","1007003","11","確實是有些可惜。\n但也因此看到了\n更有價值的事物呢。","113411","1"
"","","","","1007003041","","1007003","91","","0",""
"","","1","0.2","1007003042","","1007003","3","svd_idle_thinking","113411",""
"","","1","0.2","1007003043","","1007003","3","svd_talk_joy1","113511",""
"","0","0","","1007003044","","1007003","21","vo_svd_0323","vo_svd",""
"0","0","6","0","1007003045","0","1007003","11","溫柔的弟弟很迷人唷！\n下次再挑戰\n抓獨角仙吧！","113511","1"
"","","","","1007003046","","1007003","91","","0",""
"","","1","0.2","1007003047","","1007003","3","svd_talk_sad","113511",""
"","0","0","","1007003048","","1007003","21","vo_svd_0324","vo_svd",""
"0","0","6","0","1007003049","0","1007003","11","如果還是抓不到，\n到時候就……","113511","1"
"","","","","1007003050","","1007003","91","","0",""
"","","1","0.2","1007003051","","1007003","3","svd_idle_sad","113511",""
"","","1","0.2","1007003052","","1007003","3","svd_talk_sad","113411",""
"","0","0","","1007003053","","1007003","21","vo_svd_0325","vo_svd",""
"0","0","6","0","1007003054","0","1007003","11","如果還有下次……就由\n我們來假扮獨角仙吧。\n我會扮演得惟妙惟肖。","113411","1"
"","","","","1007003055","","1007003","93","","5",""
"","","1","0.2","1007003056","","1007003","3","svd_talk_wish2","113411",""
"","","","","1007003057","","1007003","91","","1007003054",""
"","","1","0.2","1007003058","","1007003","3","svd_idle_wish2","113411",""
"","","","","1007003059","","1007003","102","","",""
"","","","","1007003060","","1007003","93","","1",""
"","","1","0","1007003061","0","1007003","12","12","113511",""
"1","svd_idle_normal","0","0.2","1007003062","0.2","1007003","3","svd_cmn_think","113511",""
"","","","","1007003063","","1007003","93","","3",""
"","","1","0.2","1007003064","","1007003","3","svd_idle_normal","113511",""
"","","1","0","1007003065","0","1007003","12","10","113411",""
"1","","1","0.2","1007003066","","1007003","3","svd_talk_normal","113411",""
"","","","","1007003067","","1007003","93","","3",""
"1","","1","0.2","1007003068","","1007003","3","svd_idle_normal","113411",""
"","","1","0","1007003069","0","1007003","12","1","113511",""
"","","1","0.2","1007003070","","1007003","3","svd_talk_sad","113511",""
"","","","","1007003071","","1007003","93","","3",""
"","","1","0.2","1007003072","","1007003","3","svd_idle_sad","113511",""
"","","1","0","1007003073","0","1007003","12","7","113411",""
"1","","1","0.2","1007003074","","1007003","3","svd_talk_wish","113411",""
"","","","","1007003075","","1007003","93","","3",""
"1","","1","0.2","1007003076","","1007003","3","svd_idle_wish","113411",""
"","","","","1007003077","","1007003","101","","1007003061",""
"0","1","1","1","1007003078","0","1007003","6","1","333",""
"","","","","1007003079","","1007003","4","1","113511",""
"","","1","0.2","1007003080","","1007003","3","svd_run","113511",""
"0","0.8","-300","","1007003081","","1007003","2","-750","113511",""
"","","","","1007003082","","1007003","4","0","113411",""
"","","1","0.2","1007003083","","1007003","3","svd_run","113411",""
"0","0.8","-300","","1007003084","","1007003","2","750","113411",""
"","","","","1007003085","","1007003","93","","0.6",""
"0","1","1","0.2","1007003086","0","1007003","6","1","113511",""
"0","1","1","0.2","1007003087","0","1007003","6","1","113411",""
"","","","","1007003088","","1007003","91","","0",""
"-560","-250","100","2.08","1007004001","0","1007004","5","113511","1","svd_idle_normal"
"-560","250","100","2.08","1007004002","1","1007004","5","113411","2","svd_idle_normal"
"0","0","0","1","1007004003","0","1007004","5","333","3","svd_white_loop"
"0","1","1","0","1007004004","0","1007004","6","1","333",""
"0","1","1","0","1007004005","0","1007004","6","1","113511",""
"0","1","1","0","1007004006","0","1007004","6","1","113411",""
"","","","","1007004007","","1007004","93","","1",""
"0.4","1","1","0.8","1007004008","0","1007004","6","1","333",""
"1","svd_idle_normal","0","0.2","1007004009","0.2","1007004","3","svd_jump1","113511",""
"1","svd_idle_normal","0","0.2","1007004010","0.2","1007004","3","svd_jump1","113411",""
"","","","","1007004011","","1007004","93","","0.3",""
"0","0.75","-300","","1007004012","","1007004","2","-250","113511",""
"0","0.75","-300","","1007004013","","1007004","2","250","113411",""
"1","1","1","0.4","1007004014","0","1007004","6","1","113511",""
"1","1","1","0.4","1007004015","0","1007004","6","1","113411",""
"","","","","1007004016","","1007004","93","","1.2",""
"","","","","1007004017","","1007004","91","","0",""
"","","1","0.2","1007004018","","1007004","3","svd_idle_normal","113411",""
"","","1","0.2","1007004019","","1007004","3","svd_talk_joy1","113511",""
"","0","0","","1007004020","","1007004","21","vo_svd_0421","vo_svd",""
"0","0","6","0","1007004021","0","1007004","11","月光學院的大家\n都是好孩子呢！\n校園生活也感覺很有趣──","113511","1"
"","","","","1007004022","","1007004","91","","0",""
"","","1","0.2","1007004023","","1007004","3","svd_idle_joy1","113511",""
"","","1","0.2","1007004024","","1007004","3","svd_talk_thinking","113411",""
"","0","0","","1007004025","","1007004","21","vo_svd_0422","vo_svd",""
"0","0","6","0","1007004026","0","1007004","11","有小伊緒這名\n優秀的老師教導，\n有點讓人羨慕呢……","113411","1"
"","","","","1007004027","","1007004","91","","0",""
"","","1","0.2","1007004028","","1007004","3","svd_idle_thinking","113411",""
"","","1","0.2","1007004029","","1007004","3","svd_talk_normal","113511",""
"","0","0","","1007004030","","1007004","21","vo_svd_0423","vo_svd",""
"0","0","7","0","1007004031","0","1007004","11","欸欸，我們兩個……\n也進去就讀怎麼樣？","113511","1"
"","","","","1007004032","","1007004","91","","0",""
"","","1","0.2","1007004033","","1007004","3","svd_idle_joy1","113511",""
"1","svd_talk_joy1","0","0.2","1007004034","0.2","1007004","3","svd_surprise","113411",""
"","0","0","","1007004035","","1007004","21","vo_svd_0424","vo_svd",""
"0","0","6","0","1007004036","0","1007004","11","……！真是個好主意！\n那就快去拿\n入學申請書吧！","113411","1"
"","","","","1007004037","","1007004","91","","0",""
"","","1","0.2","1007004038","","1007004","3","svd_idle_joy1","113411",""
"","","","","1007004039","","1007004","102","","",""
"","","","","1007004040","","1007004","93","","1",""
"","","1","0","1007004041","0","1007004","12","7","113511",""
"","","1","0.2","1007004042","","1007004","3","svd_talk_normal","113511",""
"","","","","1007004043","","1007004","93","","3",""
"","","1","0.2","1007004044","","1007004","3","svd_idle_normal","113511",""
"","","1","0","1007004045","0","1007004","12","6","113411",""
"1","","1","0.2","1007004046","","1007004","3","svd_talk_joy1","113411",""
"","","","","1007004047","","1007004","93","","3",""
"1","","1","0.2","1007004048","","1007004","3","svd_idle_joy1","113411",""
"","","1","0","1007004049","0","1007004","12","10","113511",""
"","","1","0.2","1007004050","","1007004","3","svd_talk_joy2","113511",""
"","","","","1007004051","","1007004","93","","3",""
"","","1","0.2","1007004052","","1007004","3","svd_idle_joy2","113511",""
"","","1","0","1007004053","0","1007004","12","10","113411",""
"1","svd_idle_joy1","0","0.2","1007004054","0.2","1007004","3","svd_cmn_smile3","113411",""
"","","","","1007004055","","1007004","93","","3",""
"1","","1","0.2","1007004056","","1007004","3","svd_idle_joy1","113411",""
"","","","","1007004057","","1007004","101","","1007004041",""
"0","1","1","1","1007004058","0","1007004","6","1","333",""
"","","","","1007004059","","1007004","4","1","113511",""
"","","1","0.2","1007004060","","1007004","3","svd_run","113511",""
"0","0.8","-300","","1007004061","","1007004","2","-750","113511",""
"","","","","1007004062","","1007004","4","0","113411",""
"","","1","0.2","1007004063","","1007004","3","svd_run","113411",""
"0","0.8","-300","","1007004064","","1007004","2","750","113411",""
"","","","","1007004065","","1007004","93","","0.6",""
"0","1","1","0.2","1007004066","0","1007004","6","1","113511",""
"0","1","1","0.2","1007004067","0","1007004","6","1","113411",""
"","","","","1007004068","","1007004","91","","0",""
"-300","-700","110","2.08","1007005001","0","1007005","5","113511","1","svd_idle_normal"
"-300","-550","100","2.08","1007005002","0","1007005","5","113411","2","svd_idle_normal"
"0","0","0","1","1007005003","0","1007005","5","333","3","svd_white_loop"
"0","1","1","0","1007005004","0","1007005","6","1","333",""
"1.3","60","-630","0","1007005005","","1007005","31","13","3",""
"0","1","1","0","1007005006","0","1007005","6","1","113511",""
"0","1","1","0","1007005007","0","1007005","6","1","113411",""
"","","","","1007005008","","1007005","93","","1",""
"0.4","1","1","0.8","1007005009","0","1007005","6","1","333",""
"","","1","0.2","1007005010","","1007005","3","svd_walk_glad","113511",""
"0","2","-300","","1007005011","","1007005","2","-250","113511",""
"","","1","0.2","1007005012","","1007005","3","svd_walk_glad2","113411",""
"0","2.2","-300","","1007005013","","1007005","2","-50","113411",""
"1","1","1","0.4","1007005014","0","1007005","6","1","113511",""
"1","1","1","0.4","1007005015","0","1007005","6","1","113411",""
"","","","","1007005016","","1007005","32","1","13",""
"0","2","60","","1007005017","","1007005","33","-180","13",""
"","","","","1007005018","","1007005","93","","2",""
"","","","","1007005019","","1007005","32","0","13",""
"","","1","0.2","1007005020","","1007005","3","svd_idle_normal","113511",""
"","","","","1007005021","","1007005","93","","0.2",""
"","","","","1007005022","","1007005","4","1","113411",""
"","","1","0.2","1007005023","","1007005","3","svd_idle_normal","113411",""
"","","","","1007005024","","1007005","93","","0.5",""
"","","0.5","0","1007005025","0","1007005","12","10","113511",""
"","","0.5","0","1007005026","0","1007005","12","10","113411",""
"1","svd_idle_normal","0","0.2","1007005027","0.2","1007005","3","svd_wink","113511",""
"1","svd_idle_normal","0","0.2","1007005028","0.2","1007005","3","svd_wink","113411",""
"","","","","1007005029","","1007005","93","","1.5",""
"","","","","1007005030","","1007005","4","0","113411",""
"","","1","0.2","1007005031","","1007005","3","svd_walk","113411",""
"0","1","-300","","1007005032","","1007005","2","250","113411",""
"","","","","1007005033","","1007005","93","","1",""
"1","svd_idle_normal","0","0.4","1007005034","0","1007005","3","svd_idle_normal","113411",""
"","","","","1007005035","","1007005","93","","0",""
"","","","","1007005036","","1007005","4","1","113411",""
"","","","","1007005037","","1007005","93","","0.6",""
"","","1","0.2","1007005038","","1007005","3","svd_talk_joy1","113511",""
"","0","0","","1007005039","","1007005","21","vo_svd_0521","vo_svd",""
"0","0","5","0","1007005040","0","1007005","11","和弟弟在平靜的島上生活……\n這裡真的是天堂呢。","113511","1"
"","","","","1007005041","","1007005","91","","0",""
"","","1","0.2","1007005042","","1007005","3","svd_idle_memory","113511",""
"","","1","0.2","1007005043","","1007005","3","svd_talk_memory","113411",""
"","0","0","","1007005044","","1007005","21","vo_svd_0522","vo_svd",""
"0","0","6","0","1007005045","0","1007005","11","如果這都不算幸福，\n還有什麼能\n稱得上是幸福……","113411","1"
"","","","","1007005046","","1007005","91","","0",""
"","","1","0.2","1007005047","","1007005","3","svd_idle_memory","113411",""
"","","1","0.2","1007005048","","1007005","3","svd_talk_memory","113511",""
"","0","0","","1007005049","","1007005","21","vo_svd_0523","vo_svd",""
"0","0","6","0","1007005050","0","1007005","11","從早到晚\n都能和弟弟\n待在一起……","113511","1"
"","","","","1007005051","","1007005","91","","0",""
"","","1","0.2","1007005052","","1007005","3","svd_idle_memory","113511",""
"","","1","0.2","1007005053","","1007005","3","svd_talk_memory","113411",""
"","0","0","","1007005054","","1007005","21","vo_svd_0524","vo_svd",""
"0","0","4","0","1007005055","0","1007005","11","無論是剛睡醒的可愛一面\n還是祥和的睡臉\n都能看個夠……","113411","1"
"","","","","1007005056","","1007005","91","","0",""
"","","1","0.2","1007005057","","1007005","3","svd_idle_memory","113411",""
"","","1","0.2","1007005058","","1007005","3","svd_talk_joy2","113511",""
"","0","0","","1007005059","","1007005","21","vo_svd_0525","vo_svd",""
"0","0","8","0","1007005060","0","1007005","11","為了回報這份幸福之恩，\n我們來做一棟最棒的房子吧！\n惠理子！","113511","1"
"","","","","1007005061","","1007005","93","","4",""
"1","svd_idle_guts","0","0.2","1007005062","0.2","1007005","3","svd_talk_guts","113511",""
"","","","","1007005063","","1007005","91","","1007005060",""
"","","1","0.2","1007005064","","1007005","3","svd_idle_guts","113511",""
"1","svd_idle_guts2","0","0.2","1007005065","0.2","1007005","3","svd_talk_guts2","113411",""
"","0","0","","1007005066","","1007005","21","vo_svd_0526","vo_svd",""
"0","0","6","0","1007005067","0","1007005","11","那當然！","113411","1"
"","","","","1007005068","","1007005","91","","0",""
"","","","","1007005069","","1007005","102","","",""
"","","","","1007005070","","1007005","93","","1",""
"","","1","0","1007005071","0","1007005","12","9","113511",""
"","","1","0.2","1007005072","","1007005","3","svd_talk_memory","113511",""
"","","","","1007005073","","1007005","93","","3",""
"","","1","0.2","1007005074","","1007005","3","svd_idle_memory","113511",""
"","","1","0","1007005075","0","1007005","12","7","113411",""
