371d0390cb6db7b070e33edeeebfb826b15bb5340e3616fc8f434d835bbb39f0,d7d9caed3469ba3a75d9b75acd0ba16581ad573626ea7061aa0d4db68c371714,3c9579e93e1beb3cf08b38bd3345e71cdd4dab579d7c0990e0a5334a1e1e3e2a,f10d55297f800b036d899244e0f71312a90b673fec173473ec017b4b7f818f30,bd30fdc785eb71eeb528f28b2231230d8690f1c3a904890d61fda9de2f717aed,e9a20c5ab78d8b55dafed2440f43988848607f3cf64d31dfcfc0a9cc129cbfd3,aa44ba275366a44f87ae3ca3d43311230685a0ee56323984c8315dd7e293faf2,268c5f7c652eebe5ea954695ffce7625aded0d144f0bf726c3d7ebbf294e4e2d,5103fe47248ecc1c5868ba2b11c517f37e20bb529f5c9c475cd39bc2d4fd30e9,07b5ebbb566ffa2eee533611c87d926aed2b195ffbefdb1ee5ce7edff236e8d2,5f08b793a09e66617677b6965bb5addf9dc4532bf684c80b9e00d42d2c5c6839
"0.2","","","","1007001","svd_talk_memory","113511","","3","1","1007001075"
"","","","","1007001","","3","","93","","1007001076"
"0.2","","","","1007001","svd_idle_memory","113511","","3","1","1007001077"
"0","","","0","1007001","10","113411","","12","1","1007001078"
"0.2","","","","1007001","svd_talk_memory","113411","1","3","1","1007001079"
"","","","","1007001","","3","","93","","1007001080"
"0.2","","","","1007001","svd_idle_memory","113411","1","3","1","1007001081"
"","","","","1007001","","1007001066","","101","","1007001082"
"1","1","","0","1007001","1","333","0","6","1","1007001083"
"","","","","1007001","1","113511","","4","","1007001084"
"0.2","","","","1007001","svd_run","113511","","3","1","1007001085"
"","0.8","","","1007001","-750","113511","0","2","-300","1007001086"
"","","","","1007001","0","113411","","4","","1007001087"
"0.2","","","","1007001","svd_run","113411","","3","1","1007001088"
"","0.8","","","1007001","750","113411","0","2","-300","1007001089"
"","","","","1007001","","0.6","","93","","1007001090"
"0.2","1","","0","1007001","1","113511","0","6","1","1007001091"
"0.2","1","","0","1007001","1","113411","0","6","1","1007001092"
"","","","","1007001","","0","","91","","1007001093"
"2.08","-650","svd_idle_normal","0","1007002","113511","2","-300","5","100","1007002001"
"2.08","650","svd_idle_normal","1","1007002","113411","1","-300","5","100","1007002002"
"1","0","svd_white_loop","0","1007002","333","3","0","5","0","1007002003"
"0","1","","0","1007002","1","333","0","6","1","1007002004"
"0","1","","0","1007002","1","113511","0","6","1","1007002005"
"0","1","","0","1007002","1","113411","0","6","1","1007002006"
"","","","","1007002","","1","","93","","1007002007"
"0.8","1","","0","1007002","1","333","0.4","6","1","1007002008"
"0.2","","","","1007002","svd_run","113511","","3","1","1007002009"
"","1.2","","","1007002","-250","113511","0","2","-300","1007002010"
"0.4","1","","0","1007002","1","113511","1","6","1","1007002011"
"","","","","1007002","","1.2","","93","","1007002012"
"","","","","1007002","","0","","91","","1007002013"
"0.1","","","","1007002","svd_idle_normal","113511","","3","1","1007002014"
"","","","","1007002","","0.6","","93","","1007002015"
"0.2","","","","1007002","svd_talk_memory","113511","","3","1","1007002016"
"","0","","","1007002","vo_svd_0221","vo_svd","","21","0","1007002017"
"0","0","1","0","1007002","あなた様の泳ぐ姿…この目に\nしかと焼き付けさせて\n頂きました。","113511","0","11","6","1007002018"
"","","","","1007002","","0","","91","","1007002019"
"0.2","","","","1007002","svd_idle_memory","113511","","3","1","1007002020"
"0.2","","","","1007002","svd_run","113411","","3","1","1007002021"
"","1.2","","","1007002","250","113411","0","2","-300","1007002022"
"0.4","1","","0","1007002","1","113411","1","6","1","1007002023"
"","","","","1007002","","1.2","","93","","1007002024"
"0.1","","","","1007002","svd_idle_joy1","113411","","3","1","1007002025"
"","","","","1007002","","0.3","","93","","1007002026"
"0.2","","","","1007002","svd_talk_memory","113411","","3","1","1007002027"
"","0","","","1007002","vo_svd_0222","vo_svd","","21","0","1007002028"
"0","0","1","0","1007002","弟くんが一生懸命動かす手足…\nかわいかったなぁ…","113411","0","11","6","1007002029"
"","","","","1007002","","0","","91","","1007002030"
"0.2","","","","1007002","svd_idle_memory","113411","","3","1","1007002031"
"0.2","","","","1007002","svd_talk_memory","113511","","3","1","1007002032"
"","0","","","1007002","vo_svd_0223","vo_svd","","21","0","1007002033"
"0","0","1","0","1007002","あなた様が上げる水しぶきは\nどんな秘薬よりも優れた霊薬\nになりそうですわ…","113511","0","11","6","1007002034"
"","","","","1007002","","0","","91","","1007002035"
"0.2","","","","1007002","svd_idle_memory","113511","","3","1","1007002036"
"0.2","","","","1007002","svd_talk_worry","113411","","3","1","1007002037"
"","0","","","1007002","vo_svd_0224","vo_svd","","21","0","1007002038"
"0","0","1","0","1007002","エリコちゃん…\nそれはさすがにちょっと…","113411","0","11","6","1007002039"
"","","","","1007002","","0","","91","","1007002040"
"0.2","","","","1007002","svd_idle_worry","113411","","3","1","1007002041"
"0.2","","","","1007002","svd_talk_thinking","113511","","3","1","1007002042"
"","0","","","1007002","vo_svd_0225","vo_svd","","21","0","1007002043"
"0","0","1","0","1007002","シズルさんには\n必要ないのですね。\nそれならば私がすべて…","113511","0","11","6","1007002044"
"","","","","1007002","","0","","91","","1007002045"
"0.2","","","","1007002","svd_idle_thinking","113511","","3","1","1007002046"
"0","","","0","1007002","4","113411","","12","0","1007002047"
"0.2","","","","1007002","svd_surprise","113411","","3","0","1007002048"
"","","","","1007002","","1","","93","","1007002049"
"0.2","","","","1007002","svd_talk_joy2","113411","","3","1","1007002050"
"","0","","","1007002","vo_svd_0226","vo_svd","","21","0","1007002051"
"0","0","1","0","1007002","ほしい！\n奇麗な小瓶に集めちゃう！","113411","0","11","8","1007002052"
"","","","","1007002","","0","","91","","1007002053"
"0.2","","","","1007002","svd_idle_joy1","113411","","3","1","1007002054"
"","","","","1007002","","","","102","","1007002055"
"","","","","1007002","","1","","93","","1007002056"
"0","","","0","1007002","8","113511","","12","1","1007002057"
"0.2","","","","1007002","svd_talk_memory","113511","","3","1","1007002058"
"","","","","1007002","","3","","93","","1007002059"
"0.2","","","","1007002","svd_idle_memory","113511","","3","1","1007002060"
"0","","","0","1007002","1","113411","","12","1","1007002061"
"0.2","","","","1007002","svd_talk_worry","113411","1","3","1","1007002062"
"","","","","1007002","","3","","93","","1007002063"
"0.2","","","","1007002","svd_idle_worry","113411","1","3","1","1007002064"
"0","","","0","1007002","11","113511","","12","1","1007002065"
"0.2","svd_idle_guts2","","0.2","1007002","svd_talk_guts2","113511","1","3","0","1007002066"
"","","","","1007002","","3","","93","","1007002067"
"0.2","","","","1007002","svd_idle_guts2","113511","","3","1","1007002068"
"0","","","0","1007002","7","113411","","12","1","1007002069"
"0.2","","","","1007002","svd_talk_joy1","113411","1","3","1","1007002070"
"","","","","1007002","","3","","93","","1007002071"
"0.2","","","","1007002","svd_idle_joy1","113411","1","3","1","1007002072"
"","","","","1007002","","1007002057","","101","","1007002073"
"1","1","","0","1007002","1","333","0","6","1","1007002074"
"","","","","1007002","1","113511","","4","","1007002075"
"0.2","","","","1007002","svd_run","113511","","3","1","1007002076"
"","0.8","","","1007002","-750","113511","0","2","-300","1007002077"
"","","","","1007002","0","113411","","4","","1007002078"
"0.2","","","","1007002","svd_run","113411","","3","1","1007002079"
"","0.8","","","1007002","750","113411","0","2","-300","1007002080"
"","","","","1007002","","0.6","","93","","1007002081"
"0.2","1","","0","1007002","1","113511","0","6","1","1007002082"
"0.2","1","","0","1007002","1","113411","0","6","1","1007002083"
"","","","","1007002","","0","","91","","1007002084"
"2.08","-750","svd_idle_normal","0","1007003","113511","1","-300","5","100","1007003001"
"2.08","650","svd_idle_normal","1","1007003","113411","2","-300","5","100","1007003002"
"1","0","svd_white_loop","0","1007003","333","3","0","5","0","1007003003"
"0","1","","0","1007003","1","333","0","6","1","1007003004"
"","0","","","1007003","2","113511","","7","0","1007003005"
"","0.5","","","1007003","-750","113511","0","2","-300","1007003006"
"0","1","","0","1007003","1","113411","0","6","1","1007003007"
"0","-40","","","1007003","16","6","0.8","31","-140","1007003008"
"","0","","","1007003","2","16","","34","0","1007003009"
"","","","","1007003","","1","","93","","1007003010"
"0.8","1","","0","1007003","1","333","0.4","6","1","1007003011"
"0.2","svd_idle_see_sad","","0","1007003","svd_idle_see_sad_pre","113511","1","3","0","1007003012"
"","1.1","","","1007003","-600","113511","0","2","-300","1007003013"
"","","","","1007003","","1","","93","","1007003014"
"","","","","1007003","1","16","","32","","1007003015"
"","","","","1007003","","0","","91","","1007003016"
"","0","","","1007003","240","113511","80","94","260","1007003017"
"","","","","1007003","0","16","","32","","1007003018"
"0","","","0","1007003","17","113511","","12","1","1007003019"
"0.2","","","","1007003","svd_walk_sad","113511","","3","1","1007003020"
"","0","","","1007003","0","113511","","7","2","1007003021"
"","2.4","","","1007003","-250","113511","0","2","-300","1007003022"
"","","","","1007003","","2.4","","93","","1007003023"
"0.2","","","","1007003","svd_idle_sad","113511","","3","1","1007003024"
"","","","","1007003","","0.5","","93","","1007003025"
"","","","","1007003","","0","","91","","1007003026"
"0.2","","","","1007003","svd_talk_sad","113511","","3","1","1007003027"
"","0","","","1007003","vo_svd_0321","vo_svd","","21","0","1007003028"
"0","0","1","0","1007003","弟くんに大きなカブトムシを\nプレゼントして\nあげたかったな…","113511","0","11","7","1007003029"
"","","","","1007003","","0","","91","","1007003030"
"0.2","","","","1007003","svd_idle_sad","113511","","3","1","1007003031"
"0.2","","","","1007003","svd_walk","113411","","3","1","1007003032"
"","2","","","1007003","250","113411","0","2","-300","1007003033"
"0.4","1","","0","1007003","1","113411","1","6","1","1007003034"
"","","","","1007003","","2","","93","","1007003035"
"0.2","","","","1007003","svd_idle_normal","113411","","3","1","1007003036"
"","","","","1007003","","0.4","","93","","1007003037"
"0.2","","","","1007003","svd_talk_thinking","113411","","3","1","1007003038"
"","0","","","1007003","vo_svd_0322","vo_svd","","21","0","1007003039"
"0","0","1","0","1007003","確かに心残りではありますが\nそれ以上によいものを\n見られましたわ。","113411","0","11","6","1007003040"
"","","","","1007003","","0","","91","","1007003041"
"0.2","","","","1007003","svd_idle_thinking","113411","","3","1","1007003042"
"0.2","","","","1007003","svd_talk_joy1","113511","","3","1","1007003043"
"","0","","","1007003","vo_svd_0323","vo_svd","","21","0","1007003044"
"0","0","1","0","1007003","優しい弟くんも素敵だったね！\nでもカブトムシ捕りは\nまた挑戦しよう！","113511","0","11","6","1007003045"
"","","","","1007003","","0","","91","","1007003046"
"0.2","","","","1007003","svd_talk_sad","113511","","3","1","1007003047"
"","0","","","1007003","vo_svd_0324","vo_svd","","21","0","1007003048"
"0","0","1","0","1007003","それでもまたダメだったら\nそのときは…","113511","0","11","6","1007003049"
"","","","","1007003","","0","","91","","1007003050"
"0.2","","","","1007003","svd_idle_sad","113511","","3","1","1007003051"
"0.2","","","","1007003","svd_talk_sad","113411","","3","1","1007003052"
"","0","","","1007003","vo_svd_0325","vo_svd","","21","0","1007003053"
"0","0","1","0","1007003","もし次があるのなら…私たちが\nカブトムシになりましょう。\nなりきってみせましょう。","113411","0","11","6","1007003054"
"","","","","1007003","","5","","93","","1007003055"
"0.2","","","","1007003","svd_talk_wish2","113411","","3","1","1007003056"
"","","","","1007003","","1007003054","","91","","1007003057"
"0.2","","","","1007003","svd_idle_wish2","113411","","3","1","1007003058"
"","","","","1007003","","","","102","","1007003059"
"","","","","1007003","","1","","93","","1007003060"
"0","","","0","1007003","12","113511","","12","1","1007003061"
"0.2","svd_idle_normal","","0.2","1007003","svd_cmn_think","113511","1","3","0","1007003062"
"","","","","1007003","","3","","93","","1007003063"
"0.2","","","","1007003","svd_idle_normal","113511","","3","1","1007003064"
"0","","","0","1007003","10","113411","","12","1","1007003065"
"0.2","","","","1007003","svd_talk_normal","113411","1","3","1","1007003066"
"","","","","1007003","","3","","93","","1007003067"
"0.2","","","","1007003","svd_idle_normal","113411","1","3","1","1007003068"
"0","","","0","1007003","1","113511","","12","1","1007003069"
"0.2","","","","1007003","svd_talk_sad","113511","","3","1","1007003070"
"","","","","1007003","","3","","93","","1007003071"
"0.2","","","","1007003","svd_idle_sad","113511","","3","1","1007003072"
"0","","","0","1007003","7","113411","","12","1","1007003073"
"0.2","","","","1007003","svd_talk_wish","113411","1","3","1","1007003074"
"","","","","1007003","","3","","93","","1007003075"
"0.2","","","","1007003","svd_idle_wish","113411","1","3","1","1007003076"
"","","","","1007003","","1007003061","","101","","1007003077"
"1","1","","0","1007003","1","333","0","6","1","1007003078"
"","","","","1007003","1","113511","","4","","1007003079"
"0.2","","","","1007003","svd_run","113511","","3","1","1007003080"
"","0.8","","","1007003","-750","113511","0","2","-300","1007003081"
"","","","","1007003","0","113411","","4","","1007003082"
"0.2","","","","1007003","svd_run","113411","","3","1","1007003083"
"","0.8","","","1007003","750","113411","0","2","-300","1007003084"
"","","","","1007003","","0.6","","93","","1007003085"
"0.2","1","","0","1007003","1","113511","0","6","1","1007003086"
"0.2","1","","0","1007003","1","113411","0","6","1","1007003087"
"","","","","1007003","","0","","91","","1007003088"
"2.08","-250","svd_idle_normal","0","1007004","113511","1","-560","5","100","1007004001"
"2.08","250","svd_idle_normal","1","1007004","113411","2","-560","5","100","1007004002"
"1","0","svd_white_loop","0","1007004","333","3","0","5","0","1007004003"
"0","1","","0","1007004","1","333","0","6","1","1007004004"
"0","1","","0","1007004","1","113511","0","6","1","1007004005"
"0","1","","0","1007004","1","113411","0","6","1","1007004006"
"","","","","1007004","","1","","93","","1007004007"
"0.8","1","","0","1007004","1","333","0.4","6","1","1007004008"
"0.2","svd_idle_normal","","0.2","1007004","svd_jump1","113511","1","3","0","1007004009"
"0.2","svd_idle_normal","","0.2","1007004","svd_jump1","113411","1","3","0","1007004010"
"","","","","1007004","","0.3","","93","","1007004011"
"","0.75","","","1007004","-250","113511","0","2","-300","1007004012"
"","0.75","","","1007004","250","113411","0","2","-300","1007004013"
"0.4","1","","0","1007004","1","113511","1","6","1","1007004014"
"0.4","1","","0","1007004","1","113411","1","6","1","1007004015"
"","","","","1007004","","1.2","","93","","1007004016"
"","","","","1007004","","0","","91","","1007004017"
"0.2","","","","1007004","svd_idle_normal","113411","","3","1","1007004018"
"0.2","","","","1007004","svd_talk_joy1","113511","","3","1","1007004019"
"","0","","","1007004","vo_svd_0421","vo_svd","","21","0","1007004020"
"0","0","1","0","1007004","ルーセント学院のみんな\nいい子だったね！\n学校生活も楽しそうだなー","113511","0","11","6","1007004021"
"","","","","1007004","","0","","91","","1007004022"
"0.2","","","","1007004","svd_idle_joy1","113511","","3","1","1007004023"
"0.2","","","","1007004","svd_talk_thinking","113411","","3","1","1007004024"
"","0","","","1007004","vo_svd_0422","vo_svd","","21","0","1007004025"
"0","0","1","0","1007004","イオちゃんという\nすばらしい先生にも恵まれて\n少しうらやましいですわ…","113411","0","11","6","1007004026"
"","","","","1007004","","0","","91","","1007004027"
"0.2","","","","1007004","svd_idle_thinking","113411","","3","1","1007004028"
"0.2","","","","1007004","svd_talk_normal","113511","","3","1","1007004029"
"","0","","","1007004","vo_svd_0423","vo_svd","","21","0","1007004030"
"0","0","1","0","1007004","ねぇねぇ、二人で入学する…\nっていうのはどうかな？","113511","0","11","7","1007004031"
"","","","","1007004","","0","","91","","1007004032"
"0.2","","","","1007004","svd_idle_joy1","113511","","3","1","1007004033"
"0.2","svd_talk_joy1","","0.2","1007004","svd_surprise","113411","1","3","0","1007004034"
"","0","","","1007004","vo_svd_0424","vo_svd","","21","0","1007004035"
"0","0","1","0","1007004","…！　よいアイデアですわ！\nさっそく入学願書を\n取り寄せましょう！","113411","0","11","6","1007004036"
"","","","","1007004","","0","","91","","1007004037"
"0.2","","","","1007004","svd_idle_joy1","113411","","3","1","1007004038"
"","","","","1007004","","","","102","","1007004039"
"","","","","1007004","","1","","93","","1007004040"
"0","","","0","1007004","7","113511","","12","1","1007004041"
"0.2","","","","1007004","svd_talk_normal","113511","","3","1","1007004042"
"","","","","1007004","","3","","93","","1007004043"
"0.2","","","","1007004","svd_idle_normal","113511","","3","1","1007004044"
"0","","","0","1007004","6","113411","","12","1","1007004045"
"0.2","","","","1007004","svd_talk_joy1","113411","1","3","1","1007004046"
"","","","","1007004","","3","","93","","1007004047"
"0.2","","","","1007004","svd_idle_joy1","113411","1","3","1","1007004048"
"0","","","0","1007004","10","113511","","12","1","1007004049"
"0.2","","","","1007004","svd_talk_joy2","113511","","3","1","1007004050"
"","","","","1007004","","3","","93","","1007004051"
"0.2","","","","1007004","svd_idle_joy2","113511","","3","1","1007004052"
"0","","","0","1007004","10","113411","","12","1","1007004053"
"0.2","svd_idle_joy1","","0.2","1007004","svd_cmn_smile3","113411","1","3","0","1007004054"
"","","","","1007004","","3","","93","","1007004055"
"0.2","","","","1007004","svd_idle_joy1","113411","1","3","1","1007004056"
"","","","","1007004","","1007004041","","101","","1007004057"
"1","1","","0","1007004","1","333","0","6","1","1007004058"
"","","","","1007004","1","113511","","4","","1007004059"
"0.2","","","","1007004","svd_run","113511","","3","1","1007004060"
"","0.8","","","1007004","-750","113511","0","2","-300","1007004061"
"","","","","1007004","0","113411","","4","","1007004062"
"0.2","","","","1007004","svd_run","113411","","3","1","1007004063"
"","0.8","","","1007004","750","113411","0","2","-300","1007004064"
"","","","","1007004","","0.6","","93","","1007004065"
"0.2","1","","0","1007004","1","113511","0","6","1","1007004066"
"0.2","1","","0","1007004","1","113411","0","6","1","1007004067"
"","","","","1007004","","0","","91","","1007004068"
"2.08","-700","svd_idle_normal","0","1007005","113511","1","-300","5","110","1007005001"
"2.08","-550","svd_idle_normal","0","1007005","113411","2","-300","5","100","1007005002"
"1","0","svd_white_loop","0","1007005","333","3","0","5","0","1007005003"
"0","1","","0","1007005","1","333","0","6","1","1007005004"
"0","60","","","1007005","13","3","1.3","31","-630","1007005005"
"0","1","","0","1007005","1","113511","0","6","1","1007005006"
"0","1","","0","1007005","1","113411","0","6","1","1007005007"
"","","","","1007005","","1","","93","","1007005008"
"0.8","1","","0","1007005","1","333","0.4","6","1","1007005009"
"0.2","","","","1007005","svd_walk_glad","113511","","3","1","1007005010"
"","2","","","1007005","-250","113511","0","2","-300","1007005011"
"0.2","","","","1007005","svd_walk_glad2","113411","","3","1","1007005012"
"","2.2","","","1007005","-50","113411","0","2","-300","1007005013"
"0.4","1","","0","1007005","1","113511","1","6","1","1007005014"
"0.4","1","","0","1007005","1","113411","1","6","1","1007005015"
"","","","","1007005","1","13","","32","","1007005016"
"","2","","","1007005","-180","13","0","33","60","1007005017"
"","","","","1007005","","2","","93","","1007005018"
"","","","","1007005","0","13","","32","","1007005019"
"0.2","","","","1007005","svd_idle_normal","113511","","3","1","1007005020"
"","","","","1007005","","0.2","","93","","1007005021"
"","","","","1007005","1","113411","","4","","1007005022"
"0.2","","","","1007005","svd_idle_normal","113411","","3","1","1007005023"
"","","","","1007005","","0.5","","93","","1007005024"
"0","","","0","1007005","10","113511","","12","0.5","1007005025"
"0","","","0","1007005","10","113411","","12","0.5","1007005026"
"0.2","svd_idle_normal","","0.2","1007005","svd_wink","113511","1","3","0","1007005027"
"0.2","svd_idle_normal","","0.2","1007005","svd_wink","113411","1","3","0","1007005028"
"","","","","1007005","","1.5","","93","","1007005029"
"","","","","1007005","0","113411","","4","","1007005030"
"0.2","","","","1007005","svd_walk","113411","","3","1","1007005031"
"","1","","","1007005","250","113411","0","2","-300","1007005032"
"","","","","1007005","","1","","93","","1007005033"
"0.4","svd_idle_normal","","0","1007005","svd_idle_normal","113411","1","3","0","1007005034"
"","","","","1007005","","0","","93","","1007005035"
"","","","","1007005","1","113411","","4","","1007005036"
"","","","","1007005","","0.6","","93","","1007005037"
"0.2","","","","1007005","svd_talk_joy1","113511","","3","1","1007005038"
"","0","","","1007005","vo_svd_0521","vo_svd","","21","0","1007005039"
"0","0","1","0","1007005","静かな島で弟くんと暮らす…\nここは本当に天国だね。","113511","0","11","5","1007005040"
"","","","","1007005","","0","","91","","1007005041"
"0.2","","","","1007005","svd_idle_memory","113511","","3","1","1007005042"
"0.2","","","","1007005","svd_talk_memory","113411","","3","1","1007005043"
"","0","","","1007005","vo_svd_0522","vo_svd","","21","0","1007005044"
"0","0","1","0","1007005","これを幸せと呼ばずして\n何を幸せと呼べば\nよいのでしょう…","113411","0","11","6","1007005045"
"","","","","1007005","","0","","91","","1007005046"
"0.2","","","","1007005","svd_idle_memory","113411","","3","1","1007005047"
"0.2","","","","1007005","svd_talk_memory","113511","","3","1","1007005048"
"","0","","","1007005","vo_svd_0523","vo_svd","","21","0","1007005049"
"0","0","1","0","1007005","おはようからおやすみまで\nずっと弟くんと一緒に\nいられる…","113511","0","11","6","1007005050"
"","","","","1007005","","0","","91","","1007005051"
"0.2","","","","1007005","svd_idle_memory","113511","","3","1","1007005052"
"0.2","","","","1007005","svd_talk_memory","113411","","3","1","1007005053"
"","0","","","1007005","vo_svd_0524","vo_svd","","21","0","1007005054"
"0","0","1","0","1007005","寝起きのかわいらしい顔も\n穏やかな寝顔も\nすべて見放題…","113411","0","11","4","1007005055"
"","","","","1007005","","0","","91","","1007005056"
"0.2","","","","1007005","svd_idle_memory","113411","","3","1","1007005057"
"0.2","","","","1007005","svd_talk_joy2","113511","","3","1","1007005058"
"","0","","","1007005","vo_svd_0525","vo_svd","","21","0","1007005059"
"0","0","1","0","1007005","この幸せをお返しできるように\n最高のおうちを作ろうね！\nエリコちゃん！","113511","0","11","8","1007005060"
"","","","","1007005","","4","","93","","1007005061"
"0.2","svd_idle_guts","","0.2","1007005","svd_talk_guts","113511","1","3","0","1007005062"
"","","","","1007005","","1007005060","","91","","1007005063"
"0.2","","","","1007005","svd_idle_guts","113511","","3","1","1007005064"
"0.2","svd_idle_guts2","","0.2","1007005","svd_talk_guts2","113411","1","3","0","1007005065"
"","0","","","1007005","vo_svd_0526","vo_svd","","21","0","1007005066"
"0","0","1","0","1007005","もちろんですわ！","113411","0","11","6","1007005067"
"","","","","1007005","","0","","91","","1007005068"
"","","","","1007005","","","","102","","1007005069"
"","","","","1007005","","1","","93","","1007005070"
"0","","","0","1007005","9","113511","","12","1","1007005071"
"0.2","","","","1007005","svd_talk_memory","113511","","3","1","1007005072"
"","","","","1007005","","3","","93","","1007005073"
