cb260fb4415d8dd6860ce279da6dc8c45f187f23256f4a6710e60d947a8128f3,2cb4057e850f59e2455960c7aef3d2d4dc0664893a9f806a64c041bfe9da7dea,b7ae205ae1c8f5a2afefd984ad0de3d3ff58b69495afec1992c9aa00b0fe8c51,d4eaa00b74866a7ed64e881219bfc567dc6e7d3943290f9a9ebc997a47061cb9,6482354cf7740e6b64c042ffc1c77efb299df72031fe8c4bd061e0c792d253ea,a13c48ec74610296da0c7eb0c90acad293878acda16ae6767c8e65ac305a0fff,476b5651a24a2b699824c7677c6655d0453773c9ad5365584237825d4aaff7de
"ぐも！（オデ チョコスキ）","vo_minigame_1004","2","10013","3","vo_minigame_1004_top_2_019","1001302"
"なあイノリ……もしかして当初の目的見失ってないよな？","vo_minigame_1004","1","10014","2","vo_minigame_1004_top_2_023","1001401"
"もちろん覚えてるですカヤぴぃを倒し我々の知能を証明するです","vo_minigame_1004","2","10014","1","vo_minigame_1004_top_2_024","1001402"
"いくらイノリ相手でも勝ちを譲る気はないからな！","vo_minigame_1004","1","10015","2","vo_minigame_1004_top_2_025","1001501"
"望むところです手加減はなしですよ","vo_minigame_1004","2","10015","1","vo_minigame_1004_top_2_026","1001502"
"へっ、なかなかやるじゃねえか","vo_minigame_1004","1","10016","2","vo_minigame_1004_top_2_027","1001601"
"カヤぴぃも思ったよりやるですね！","vo_minigame_1004","2","10016","1","vo_minigame_1004_top_2_028","1001602"
"お～い、ドラゴンもどき？","vo_minigame_1004","1","10017","2","vo_minigame_1004_top_2_029","1001701"
"ぐもっ！？（ヒッ！）","vo_minigame_1004","2","10017","3","vo_minigame_1004_top_2_030","1001702"
"いやあ、あんときは悪かったなはっはっは","vo_minigame_1004","1","10018","2","vo_minigame_1004_top_2_031","1001801"
"ぐももも……（かやピィ コワカッタ）","vo_minigame_1004","2","10018","3","vo_minigame_1004_top_2_032","1001802"
"お前ってさ……ほんとマヌケな顔してるよな","vo_minigame_1004","1","10019","2","vo_minigame_1004_top_2_033","1001901"
"ぐも……（オマエガ イウカ）","vo_minigame_1004","2","10019","3","vo_minigame_1004_top_2_034","1001902"
"ぐも……（ハラヘッタ チョコホシイ）","vo_minigame_1004","2","10020","3","vo_minigame_1004_top_2_044","1002001"
"なんだ？眠いのか？","vo_minigame_1004","1","10020","2","vo_minigame_1004_top_2_045","1002002"
"ぐもも（コイツ……キケン）","vo_minigame_1004","2","10021","3","vo_minigame_1004_top_2_046","1002101"
"うん？　なんだ？オレの舎弟にでもなりたいのか？","vo_minigame_1004","1","10021","2","vo_minigame_1004_top_2_047","1002102"
"ぐも…（かやピィノウキン）","vo_minigame_1004","2","10022","3","vo_minigame_1004_top_2_048","1002201"
"おい、今失礼なこと考えてるだろ？","vo_minigame_1004","1","10022","2","vo_minigame_1004_top_2_049","1002202"
"なあ、これいつまで続けるんだ？","vo_minigame_1004","1","10023","2","vo_minigame_1004_top_3_058","1002301"
"カヤぴぃが降参するまでです！","vo_minigame_1004","2","10023","1","vo_minigame_1004_top_3_059","1002302"
"ぐもも！（コウサンシロ！）","vo_minigame_1004","2","10023","3","vo_minigame_1004_top_3_060","1002303"
"ぐも！（イノリ チョコホシイ）","vo_minigame_1004","2","10024","3","vo_minigame_1004_top_3_065","1002401"
"しょうがないですね、食べ過ぎはダメですよ","vo_minigame_1004","1","10024","1","vo_minigame_1004_top_3_066","1002402"
"土産のチョコ、そうとう気に入ったみたいだな","vo_minigame_1004","1","10024","2","vo_minigame_1004_top_3_067","1002403"
"ぐも！（かやピィニハ マケナイ！）","vo_minigame_1004","2","10025","3","vo_minigame_1004_top_3_068","1002501"
"お？なんだ？腹でも減ってるのか？","vo_minigame_1004","1","10025","2","vo_minigame_1004_top_3_069","1002502"
"……全然話が通じてないです","vo_minigame_1004","2","10025","1","vo_minigame_1004_top_3_070","1002503"
